"Sys name" Contri "%% Contri"
"Electron Identification/Isolation " 0.0489 61.998182977833395
"MC and MisID Backgrounds Statistical Uncertainty " 0.02791 35.38587498796176
"Electron Momentum Scale " 0.02336 29.617127901067242
"LQ LO reweighting " 0.0223 28.27320000829621
"Luminosity " 0.015309999999999999 19.410883055023092
"$\ttbar$ Cross Section " 0.013280000000000002 16.837134354716312
"Electron Trigger Prefire Correction " 0.01286 16.304634623618355
"DY Cross Section " 0.01248 15.822849152624965
"$\alpha_s$ + Renormalization/Factorization Scales " 0.01185 15.024099555978033
"Electron MisID Normalization " 0.00985 12.488386550749672
"$e\mu$ Shape Corrections " 0.009040000000000001 11.461422783632187
"Electron Trigger " 0.00856 10.85285166237738
"PDFs " 0.0069299999999999995 8.786245563116266
"Electron MisID Shape " 0.0058200000000000005 7.378924845214528
"Electron Reconstruction " 0.00569 7.214103499874683
"Pileup " 0.00403 5.109461705535145
"Diboson Cross Section " 0.00303 3.841605202920965
"$\PGg\PGg$ Cross Section " 0.00055 0.697321076437799
"Statistical Uncertainty" 0.027267454633401078 34.57121966669471
"Background Cross Sections" 0.018482213070950135 23.43279402470492
"Trigger & Prefire" 0.01544840444835647 19.586360034862576
"MisID shape and normalization" 0.030163935419636478 38.243541666220295
"Total systematic uncertainty" 0.07400999999999999 93.83405975847545
