
Attaching file multidimfit.ee_d_-1.root as _file0...
(TFile *) 0x36dd820

  RooFitResult: minimized FCN value: -2.77869e-08, estimated distance to minimum: 3.23927e-08
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    8.0778e-02 +/-  6.66e-02
                    A4    1.6249e+00 +/-  7.88e-02
                 FAC16   -1.4000e-01 +/-  9.89e-01
               FAC1718    4.3069e-01 +/-  1.14e+00
        MCStatBin10y16   -8.4196e-01 +/-  9.61e-01
        MCStatBin10y17    8.4655e-02 +/-  9.73e-01
        MCStatBin10y18    4.7879e-01 +/-  9.60e-01
        MCStatBin11y16   -1.7084e-01 +/-  9.60e-01
        MCStatBin11y17   -3.1529e-01 +/-  9.80e-01
        MCStatBin11y18    2.8321e-02 +/-  9.68e-01
        MCStatBin15y16    1.1912e-01 +/-  9.61e-01
        MCStatBin15y17    1.5088e-01 +/-  9.80e-01
        MCStatBin15y18   -1.3463e-02 +/-  9.66e-01
        MCStatBin16y16    3.2312e-01 +/-  9.57e-01
        MCStatBin16y17   -4.7725e-02 +/-  9.72e-01
        MCStatBin16y18   -2.2811e-01 +/-  9.61e-01
        MCStatBin17y16    1.6840e-01 +/-  9.60e-01
        MCStatBin17y17    1.1442e-01 +/-  9.78e-01
        MCStatBin17y18    7.2467e-03 +/-  9.69e-01
         MCStatBin1y16    4.1509e-02 +/-  9.91e-01
         MCStatBin1y17    3.7125e-02 +/-  9.95e-01
         MCStatBin1y18    9.8950e-03 +/-  9.96e-01
        MCStatBin21y16    1.3683e-02 +/-  9.98e-01
        MCStatBin21y17    2.0618e-02 +/-  9.98e-01
        MCStatBin21y18    6.6627e-02 +/-  9.99e-01
        MCStatBin22y16   -6.2350e-02 +/-  9.92e-01
        MCStatBin22y17   -1.6524e-02 +/-  9.96e-01
        MCStatBin22y18    2.6709e-04 +/-  9.94e-01
        MCStatBin23y16    2.3165e-01 +/-  9.88e-01
        MCStatBin23y17   -2.8403e-02 +/-  9.96e-01
        MCStatBin23y18    2.3329e-03 +/-  9.93e-01
        MCStatBin24y16   -2.1630e-02 +/-  9.92e-01
        MCStatBin24y17    1.1327e-01 +/-  9.95e-01
        MCStatBin24y18   -1.4488e-02 +/-  9.94e-01
        MCStatBin29y16   -1.6842e-01 +/-  9.94e-01
        MCStatBin29y17    2.4840e-02 +/-  9.96e-01
        MCStatBin29y18    8.8555e-02 +/-  9.95e-01
         MCStatBin2y16    5.6064e-01 +/-  9.57e-01
         MCStatBin2y17    1.3317e-01 +/-  9.78e-01
         MCStatBin2y18   -1.4347e-01 +/-  9.72e-01
        MCStatBin30y16    1.7584e-01 +/-  9.87e-01
        MCStatBin30y17    2.0468e-02 +/-  9.96e-01
        MCStatBin30y18   -7.0038e-02 +/-  9.87e-01
        MCStatBin31y16   -1.3670e-01 +/-  9.96e-01
        MCStatBin31y17    8.9600e-02 +/-  9.95e-01
        MCStatBin31y18    7.4180e-02 +/-  9.93e-01
        MCStatBin35y16    5.4036e-02 +/-  9.89e-01
        MCStatBin35y17    5.7508e-02 +/-  9.94e-01
        MCStatBin35y18    3.5441e-01 +/-  9.89e-01
        MCStatBin36y16   -3.1499e-02 +/-  9.88e-01
        MCStatBin36y17    1.1956e-01 +/-  9.93e-01
        MCStatBin36y18    8.1094e-02 +/-  9.87e-01
        MCStatBin37y16    1.9694e-01 +/-  9.89e-01
        MCStatBin37y17   -9.7979e-02 +/-  9.96e-01
        MCStatBin37y18    5.4954e-02 +/-  9.84e-01
         MCStatBin3y16   -2.4193e-01 +/-  9.59e-01
         MCStatBin3y17    1.7906e-01 +/-  9.73e-01
         MCStatBin3y18    2.5782e-01 +/-  9.66e-01
        MCStatBin41y16    8.6374e-02 +/-  9.96e-01
        MCStatBin41y17   -5.8670e-02 +/-  9.99e-01
        MCStatBin41y18   -6.4173e-02 +/-  9.96e-01
        MCStatBin42y16   -4.9287e-02 +/-  9.96e-01
        MCStatBin42y17    1.5042e-01 +/-  9.97e-01
        MCStatBin42y18   -2.3630e-02 +/-  9.97e-01
        MCStatBin43y16    6.2934e-02 +/-  9.94e-01
        MCStatBin43y17   -9.9977e-02 +/-  9.99e-01
        MCStatBin43y18   -1.1993e-01 +/-  9.96e-01
        MCStatBin44y16    1.4558e-02 +/-  9.95e-01
        MCStatBin44y17   -8.3949e-02 +/-  9.99e-01
        MCStatBin44y18   -1.9244e-03 +/-  9.98e-01
        MCStatBin49y16   -9.4819e-02 +/-  9.97e-01
        MCStatBin49y17    4.6408e-02 +/-  9.98e-01
        MCStatBin49y18   -1.3174e-02 +/-  9.89e-01
         MCStatBin4y16    1.8429e-01 +/-  9.58e-01
         MCStatBin4y17   -3.2074e-02 +/-  9.78e-01
         MCStatBin4y18   -1.3494e-01 +/-  9.70e-01
        MCStatBin50y16   -2.4974e-01 +/-  1.00e+00
        MCStatBin50y17   -5.8066e-02 +/-  9.98e-01
        MCStatBin50y18   -2.1057e-02 +/-  9.90e-01
        MCStatBin51y16   -1.7706e-01 +/-  9.98e-01
        MCStatBin51y17   -4.5158e-02 +/-  9.98e-01
        MCStatBin51y18   -6.1007e-02 +/-  9.97e-01
        MCStatBin55y16   -6.6427e-02 +/-  9.93e-01
        MCStatBin55y17   -3.9575e-02 +/-  9.97e-01
        MCStatBin55y18   -8.4815e-02 +/-  9.96e-01
        MCStatBin56y16   -4.3800e-02 +/-  9.95e-01
        MCStatBin56y17   -7.3459e-02 +/-  9.98e-01
        MCStatBin56y18   -5.7951e-02 +/-  9.98e-01
        MCStatBin57y16   -1.0756e-01 +/-  9.97e-01
        MCStatBin57y17   -5.8795e-03 +/-  9.98e-01
        MCStatBin57y18    1.0880e-01 +/-  9.97e-01
         MCStatBin9y16   -1.7717e-01 +/-  9.71e-01
         MCStatBin9y17   -1.6463e-01 +/-  9.86e-01
         MCStatBin9y18   -5.3374e-01 +/-  9.79e-01
                    Pu    1.5787e-01 +/-  1.06e+00
               REFAC16    1.5670e-02 +/-  8.29e-01
             REFAC1718    3.7213e-01 +/-  8.92e-01
              RENORM16    1.2849e-01 +/-  1.01e+00
            RENORM1718   -2.8988e-02 +/-  1.03e+00
              alphaS16    7.2264e-03 +/-  1.07e+00
            alphaS1718    1.3258e-11 +/-  1.00e+00
               db_xsec   -1.0261e-01 +/-  9.96e-01
               dy_xsec    5.4373e-01 +/-  8.32e-01
             elFakes16    1.3009e-01 +/-  8.63e-01
             elFakes17    3.0836e-01 +/-  8.65e-01
             elFakes18    4.8897e-01 +/-  6.57e-01
          elHLTBARPT16   -1.1121e-01 +/-  1.05e+00
          elHLTBARPT17    2.2452e-01 +/-  9.60e-01
          elHLTBARPT18   -5.3441e-02 +/-  1.01e+00
          elHLTENDPT16    2.4961e-01 +/-  8.52e-01
          elHLTENDPT17    2.3097e-01 +/-  9.77e-01
          elHLTENDPT18   -1.1690e-01 +/-  9.91e-01
           elRECOBARPT   -1.3103e-01 +/-  9.70e-01
           elRECOENDPT    1.4003e-01 +/-  9.44e-01
         elScaleGain16   -3.4553e-01 +/-  7.10e-01
         elScaleGain17   -3.7901e-02 +/-  7.90e-01
         elScaleGain18   -3.0274e-02 +/-  6.26e-01
         elScaleStat16    1.3258e-11 +/-  1.00e+00
         elScaleStat17    1.3258e-11 +/-  1.00e+00
         elScaleStat18    1.3258e-11 +/-  1.00e+00
           elScaleSyst    1.2418e-01 +/-  9.09e-01
               elSmear    1.9264e-02 +/-  9.79e-01
         elfakesrw1b16   -1.4638e-01 +/-  8.63e-01
         elfakesrw1b17    1.0160e-01 +/-  8.71e-01
         elfakesrw1b18    2.0608e-01 +/-  8.90e-01
         elfakesrw2b16   -3.4298e-02 +/-  9.95e-01
         elfakesrw2b17    2.0339e-01 +/-  9.86e-01
         elfakesrw2b18    7.2001e-02 +/-  9.92e-01
         elfakesrw3b16    3.0965e-01 +/-  9.60e-01
         elfakesrw3b17    7.8153e-02 +/-  9.84e-01
         elfakesrw3b18   -3.1914e-05 +/-  9.97e-01
         elfakesrw4b16    1.4869e-01 +/-  9.87e-01
         elfakesrw4b17   -3.1957e-02 +/-  9.80e-01
         elfakesrw4b18    1.0965e-01 +/-  9.79e-01
         emucostrw1b16   -1.5722e-01 +/-  9.18e-01
       emucostrw1b1718   -3.1621e-01 +/-  8.91e-01
         emucostrw2b16    1.1826e-01 +/-  9.88e-01
       emucostrw2b1718   -3.0771e-02 +/-  9.89e-01
         emucostrw3b16   -1.6996e-01 +/-  9.96e-01
       emucostrw3b1718    1.3003e-01 +/-  9.93e-01
         emucostrw4b16    1.6683e-02 +/-  9.98e-01
       emucostrw4b1718   -6.2360e-02 +/-  9.97e-01
              gam_xsec   -5.2812e-04 +/-  9.99e-01
                lumi16   -2.7575e-02 +/-  9.47e-01
                lumi17    6.9257e-01 +/-  9.00e-01
                lumi18   -3.0972e-01 +/-  9.31e-01
                lumiBC    6.3199e-02 +/-  9.98e-01
                lumiDB    1.3456e-01 +/-  9.95e-01
                lumiGS    2.9897e-02 +/-  9.98e-01
                lumiLS    6.3199e-02 +/-  9.98e-01
                lumiXY   -1.0993e-01 +/-  9.13e-01
               nlo_sys    1.0381e-02 +/-  1.00e+00
                  pdf1    4.4036e-02 +/-  9.88e-01
                 pdf10   -8.4633e-03 +/-  9.98e-01
                 pdf11   -7.3092e-02 +/-  1.01e+00
                 pdf12   -4.6518e-02 +/-  1.02e+00
                 pdf13   -5.6194e-03 +/-  9.93e-01
                 pdf14    7.9610e-03 +/-  9.93e-01
                 pdf15   -4.8238e-02 +/-  1.05e+00
                 pdf16   -4.9799e-03 +/-  1.00e+00
                 pdf17   -1.1804e-01 +/-  1.02e+00
                 pdf18   -3.2417e-02 +/-  1.03e+00
                 pdf19   -1.1747e-01 +/-  1.01e+00
                  pdf2    3.6989e-02 +/-  9.96e-01
                 pdf20   -9.2873e-02 +/-  1.05e+00
                 pdf21   -6.3493e-04 +/-  9.96e-01
                 pdf22   -5.8375e-02 +/-  1.04e+00
                 pdf23    4.4554e-02 +/-  1.01e+00
                 pdf24   -1.6132e-02 +/-  1.00e+00
                 pdf25    1.8231e-02 +/-  9.96e-01
                 pdf26    1.1601e-02 +/-  9.86e-01
                 pdf27   -1.4102e-02 +/-  9.95e-01
                 pdf28    5.2692e-02 +/-  9.91e-01
                 pdf29   -3.4983e-02 +/-  1.02e+00
                  pdf3    4.8327e-02 +/-  9.99e-01
                 pdf30   -5.5283e-02 +/-  1.01e+00
