
Attaching file multidimfit.ee_d_vec_-1.root as _file0...
(TFile *) 0x385cfb0

  RooFitResult: minimized FCN value: -12.6482, estimated distance to minimum: 1.16231e-09
                covariance matrix quality: Unknown, matrix was externally provided
                Status : 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                 FAC16    7.6590e-02 +/-  1.00e+00
                 FAC17    2.3272e-01 +/-  9.05e-01
                 FAC18    1.8315e-01 +/-  9.43e-01
        MCStatBin10y16   -8.7368e-01 +/-  9.57e-01
        MCStatBin10y17    6.4574e-02 +/-  9.70e-01
        MCStatBin10y18    4.7973e-01 +/-  9.58e-01
        MCStatBin11y16   -1.4810e-01 +/-  9.55e-01
        MCStatBin11y17   -3.4159e-01 +/-  9.78e-01
        MCStatBin11y18    1.3307e-02 +/-  9.66e-01
        MCStatBin15y16    7.5873e-02 +/-  9.59e-01
        MCStatBin15y17    1.3021e-01 +/-  9.78e-01
        MCStatBin15y18    1.9673e-02 +/-  9.65e-01
        MCStatBin16y16    2.8039e-01 +/-  9.56e-01
        MCStatBin16y17   -1.6356e-01 +/-  9.73e-01
        MCStatBin16y18   -2.4013e-01 +/-  9.61e-01
        MCStatBin17y16    1.2355e-01 +/-  9.63e-01
        MCStatBin17y17   -8.6933e-03 +/-  9.82e-01
        MCStatBin17y18   -1.4077e-03 +/-  9.71e-01
         MCStatBin1y16    4.1141e-02 +/-  9.89e-01
         MCStatBin1y17    3.8443e-02 +/-  9.93e-01
         MCStatBin1y18   -1.8033e-03 +/-  9.96e-01
        MCStatBin21y16    1.7332e-02 +/-  9.97e-01
        MCStatBin21y17    3.2131e-02 +/-  9.97e-01
        MCStatBin21y18    6.7615e-02 +/-  9.99e-01
        MCStatBin22y16   -5.2786e-02 +/-  9.89e-01
        MCStatBin22y17   -5.7045e-03 +/-  9.95e-01
        MCStatBin22y18    1.0032e-02 +/-  9.92e-01
        MCStatBin23y16    2.9799e-01 +/-  9.86e-01
        MCStatBin23y17   -1.4385e-02 +/-  9.95e-01
        MCStatBin23y18    2.3877e-02 +/-  9.91e-01
        MCStatBin24y16   -2.7451e-03 +/-  9.89e-01
        MCStatBin24y17    1.5416e-01 +/-  9.94e-01
        MCStatBin24y18    8.8391e-03 +/-  9.92e-01
        MCStatBin29y16   -1.9741e-01 +/-  9.93e-01
        MCStatBin29y17    2.6473e-02 +/-  9.95e-01
        MCStatBin29y18    1.1087e-01 +/-  9.93e-01
         MCStatBin2y16    6.1644e-01 +/-  9.51e-01
         MCStatBin2y17    8.6693e-02 +/-  9.78e-01
         MCStatBin2y18   -1.6748e-01 +/-  9.71e-01
        MCStatBin30y16    2.2063e-01 +/-  9.83e-01
        MCStatBin30y17    3.3458e-02 +/-  9.95e-01
        MCStatBin30y18   -7.6169e-02 +/-  9.91e-01
        MCStatBin31y16   -1.4025e-01 +/-  9.91e-01
        MCStatBin31y17    1.0723e-01 +/-  9.94e-01
        MCStatBin31y18    9.0471e-02 +/-  9.91e-01
        MCStatBin35y16    5.4157e-02 +/-  9.87e-01
        MCStatBin35y17    7.0056e-02 +/-  9.93e-01
        MCStatBin35y18    3.9305e-01 +/-  9.88e-01
        MCStatBin36y16   -4.6897e-02 +/-  9.86e-01
        MCStatBin36y17    1.1226e-01 +/-  9.93e-01
        MCStatBin36y18    8.7322e-02 +/-  9.89e-01
        MCStatBin37y16    2.0354e-01 +/-  9.86e-01
        MCStatBin37y17   -1.2062e-01 +/-  9.96e-01
        MCStatBin37y18    5.5631e-02 +/-  9.90e-01
         MCStatBin3y16   -2.3708e-01 +/-  9.54e-01
         MCStatBin3y17    1.7642e-01 +/-  9.71e-01
         MCStatBin3y18    2.8317e-01 +/-  9.63e-01
        MCStatBin41y16    1.4327e-01 +/-  9.94e-01
        MCStatBin41y17   -7.0349e-02 +/-  9.98e-01
        MCStatBin41y18   -8.3682e-02 +/-  9.98e-01
        MCStatBin42y16   -3.4438e-02 +/-  9.91e-01
        MCStatBin42y17    2.3339e-01 +/-  9.96e-01
        MCStatBin42y18   -4.4897e-03 +/-  9.95e-01
        MCStatBin43y16    1.2039e-01 +/-  9.90e-01
        MCStatBin43y17   -1.1242e-01 +/-  9.97e-01
        MCStatBin43y18   -1.3862e-01 +/-  9.97e-01
        MCStatBin44y16    5.8437e-02 +/-  9.91e-01
        MCStatBin44y17   -8.9929e-02 +/-  9.98e-01
        MCStatBin44y18    2.3410e-02 +/-  9.96e-01
        MCStatBin49y16   -1.1537e-01 +/-  9.96e-01
        MCStatBin49y17    6.4051e-02 +/-  9.96e-01
        MCStatBin49y18   -6.0782e-03 +/-  9.95e-01
         MCStatBin4y16    2.2278e-01 +/-  9.53e-01
         MCStatBin4y17   -3.3549e-02 +/-  9.76e-01
         MCStatBin4y18   -1.1008e-01 +/-  9.67e-01
        MCStatBin50y16   -3.0518e-01 +/-  1.00e+00
        MCStatBin50y17   -6.3970e-02 +/-  9.98e-01
        MCStatBin50y18   -1.7468e-02 +/-  9.96e-01
        MCStatBin51y16   -2.1340e-01 +/-  9.97e-01
        MCStatBin51y17   -4.7471e-02 +/-  9.97e-01
        MCStatBin51y18   -6.9463e-02 +/-  9.97e-01
        MCStatBin55y16   -7.7716e-02 +/-  9.91e-01
        MCStatBin55y17   -4.2285e-02 +/-  9.97e-01
        MCStatBin55y18   -9.5908e-02 +/-  9.95e-01
        MCStatBin56y16   -5.4405e-02 +/-  9.94e-01
        MCStatBin56y17   -8.5199e-02 +/-  9.98e-01
        MCStatBin56y18   -6.6520e-02 +/-  9.97e-01
        MCStatBin57y16   -1.2776e-01 +/-  9.96e-01
        MCStatBin57y17   -9.7702e-03 +/-  9.97e-01
        MCStatBin57y18    1.2182e-01 +/-  9.95e-01
         MCStatBin9y16   -2.0429e-01 +/-  9.66e-01
         MCStatBin9y17   -2.1109e-01 +/-  9.83e-01
         MCStatBin9y18   -5.6418e-01 +/-  9.77e-01
                    Pu    1.5269e-01 +/-  1.01e+00
               REFAC16    3.4149e-01 +/-  9.18e-01
               REFAC17    3.8169e-01 +/-  9.09e-01
               REFAC18    2.5319e-02 +/-  9.47e-01
              RENORM16    2.2301e-01 +/-  9.27e-01
              RENORM17    1.9183e-01 +/-  9.33e-01
              RENORM18   -2.1044e-01 +/-  1.04e+00
              alphaS16   -3.6414e-02 +/-  1.00e+00
              alphaS17    2.6708e-12 +/-  1.00e+00
              alphaS18    2.6708e-12 +/-  1.00e+00
               db_xsec   -8.5471e-02 +/-  9.96e-01
             dy_xsec16    1.7963e-01 +/-  9.56e-01
             dy_xsec17    4.2375e-01 +/-  9.61e-01
             dy_xsec18    7.3200e-02 +/-  9.43e-01
             elFakes16    1.0639e-01 +/-  8.68e-01
             elFakes17    1.2367e-01 +/-  8.86e-01
             elFakes18    5.6076e-01 +/-  6.75e-01
          elHLTBARPT16   -5.1511e-02 +/-  9.41e-01
          elHLTBARPT17    1.4955e-01 +/-  9.57e-01
          elHLTBARPT18    6.1153e-02 +/-  9.64e-01
          elHLTENDPT16    1.9288e-01 +/-  8.74e-01
          elHLTENDPT17    5.8154e-02 +/-  1.02e+00
          elHLTENDPT18   -6.9059e-02 +/-  1.00e+00
           elIDBARPT16   -7.8640e-02 +/-  8.29e-01
           elIDBARPT17    4.6040e-01 +/-  6.08e-01
           elIDBARPT18    4.9905e-01 +/-  6.64e-01
           elIDENDPT16    3.3782e-01 +/-  6.47e-01
           elIDENDPT17    5.9579e-01 +/-  4.91e-01
