
Attaching file multidimfitTest.root as _file0...
(TFile *) 0x2e6f530

  RooFitResult: minimized FCN value: -0.000129006, estimated distance to minimum: 7.97792e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    7.4777e-02 +/-  1.49e-01
                    A4    1.6202e+00 +/-  7.82e-02
                 FAC16   -1.7275e-01 +/-  9.92e-01
               FAC1718    3.1312e-01 +/-  9.89e-01
        MCStatBin10y16   -8.2773e-01 +/-  9.61e-01
        MCStatBin10y17    9.5276e-02 +/-  9.73e-01
        MCStatBin10y18    4.9122e-01 +/-  9.61e-01
        MCStatBin11y16   -1.5098e-01 +/-  9.60e-01
        MCStatBin11y17   -3.0124e-01 +/-  9.80e-01
        MCStatBin11y18    5.0622e-02 +/-  9.68e-01
        MCStatBin15y16    8.4558e-02 +/-  9.62e-01
        MCStatBin15y17    1.3640e-01 +/-  9.80e-01
        MCStatBin15y18   -5.9631e-02 +/-  9.67e-01
        MCStatBin16y16    2.8091e-01 +/-  9.58e-01
        MCStatBin16y17   -1.1736e-01 +/-  9.74e-01
        MCStatBin16y18   -2.7970e-01 +/-  9.63e-01
        MCStatBin17y16    1.1208e-01 +/-  9.62e-01
        MCStatBin17y17    3.6115e-02 +/-  9.81e-01
        MCStatBin17y18   -4.4313e-02 +/-  9.72e-01
         MCStatBin1y16    5.6689e-02 +/-  9.90e-01
         MCStatBin1y17    4.4446e-02 +/-  9.95e-01
         MCStatBin1y18    1.5998e-02 +/-  9.96e-01
        MCStatBin21y16    1.7196e-02 +/-  9.98e-01
        MCStatBin21y17    2.1288e-02 +/-  9.98e-01
        MCStatBin21y18    7.0638e-02 +/-  9.99e-01
        MCStatBin22y16   -5.4702e-02 +/-  9.92e-01
        MCStatBin22y17   -8.9925e-03 +/-  9.96e-01
        MCStatBin22y18    4.9173e-03 +/-  9.94e-01
        MCStatBin23y16    2.4188e-01 +/-  9.88e-01
        MCStatBin23y17   -2.0573e-02 +/-  9.96e-01
        MCStatBin23y18    1.2305e-02 +/-  9.93e-01
        MCStatBin24y16   -1.2880e-02 +/-  9.92e-01
        MCStatBin24y17    1.2712e-01 +/-  9.95e-01
        MCStatBin24y18   -3.8202e-03 +/-  9.94e-01
        MCStatBin29y16   -1.7569e-01 +/-  9.94e-01
        MCStatBin29y17    1.7372e-02 +/-  9.96e-01
        MCStatBin29y18    8.5456e-02 +/-  9.95e-01
         MCStatBin2y16    5.7618e-01 +/-  9.58e-01
         MCStatBin2y17    1.4024e-01 +/-  9.79e-01
         MCStatBin2y18   -1.3028e-01 +/-  9.73e-01
        MCStatBin30y16    1.8568e-01 +/-  9.87e-01
        MCStatBin30y17    2.8656e-02 +/-  9.96e-01
        MCStatBin30y18   -6.4329e-02 +/-  9.93e-01
        MCStatBin31y16   -1.3028e-01 +/-  9.93e-01
        MCStatBin31y17    9.6018e-02 +/-  9.95e-01
        MCStatBin31y18    8.1823e-02 +/-  9.93e-01
        MCStatBin35y16    4.2938e-02 +/-  9.89e-01
        MCStatBin35y17    5.5173e-02 +/-  9.95e-01
        MCStatBin35y18    3.3607e-01 +/-  9.89e-01
        MCStatBin36y16   -4.2234e-02 +/-  9.88e-01
        MCStatBin36y17    1.0721e-01 +/-  9.94e-01
        MCStatBin36y18    7.2409e-02 +/-  9.91e-01
        MCStatBin37y16    1.8809e-01 +/-  9.88e-01
        MCStatBin37y17   -1.0724e-01 +/-  9.97e-01
        MCStatBin37y18    5.1571e-02 +/-  9.91e-01
         MCStatBin3y16   -2.2014e-01 +/-  9.58e-01
         MCStatBin3y17    1.9508e-01 +/-  9.73e-01
         MCStatBin3y18    2.7880e-01 +/-  9.66e-01
        MCStatBin41y16    8.2730e-02 +/-  9.96e-01
        MCStatBin41y17   -6.1162e-02 +/-  9.99e-01
        MCStatBin41y18   -6.4737e-02 +/-  9.99e-01
        MCStatBin42y16   -4.5542e-02 +/-  9.96e-01
        MCStatBin42y17    1.5634e-01 +/-  9.97e-01
        MCStatBin42y18   -2.1255e-02 +/-  9.97e-01
        MCStatBin43y16    6.8316e-02 +/-  9.94e-01
        MCStatBin43y17   -9.6617e-02 +/-  9.98e-01
        MCStatBin43y18   -1.1738e-01 +/-  9.98e-01
        MCStatBin44y16    1.8593e-02 +/-  9.95e-01
        MCStatBin44y17   -8.0448e-02 +/-  9.99e-01
        MCStatBin44y18    1.6949e-03 +/-  9.98e-01
        MCStatBin49y16   -9.7526e-02 +/-  9.97e-01
        MCStatBin49y17    4.2462e-02 +/-  9.98e-01
        MCStatBin49y18   -1.6704e-02 +/-  9.97e-01
         MCStatBin4y16    2.0794e-01 +/-  9.58e-01
         MCStatBin4y17   -1.2366e-02 +/-  9.78e-01
         MCStatBin4y18   -1.0114e-01 +/-  9.70e-01
        MCStatBin50y16   -2.4891e-01 +/-  9.99e-01
        MCStatBin50y17   -5.6165e-02 +/-  9.98e-01
        MCStatBin50y18   -1.9082e-02 +/-  9.97e-01
        MCStatBin51y16   -1.7531e-01 +/-  9.98e-01
        MCStatBin51y17   -4.2749e-02 +/-  9.98e-01
        MCStatBin51y18   -5.8965e-02 +/-  9.98e-01
        MCStatBin55y16   -7.1561e-02 +/-  9.93e-01
        MCStatBin55y17   -4.0800e-02 +/-  9.97e-01
        MCStatBin55y18   -9.0646e-02 +/-  9.96e-01
        MCStatBin56y16   -4.8517e-02 +/-  9.95e-01
        MCStatBin56y17   -7.7409e-02 +/-  9.99e-01
        MCStatBin56y18   -5.9960e-02 +/-  9.98e-01
        MCStatBin57y16   -1.0830e-01 +/-  9.97e-01
        MCStatBin57y17   -7.5986e-03 +/-  9.98e-01
        MCStatBin57y18    1.0563e-01 +/-  9.96e-01
         MCStatBin9y16   -1.8989e-01 +/-  9.71e-01
         MCStatBin9y17   -1.7658e-01 +/-  9.85e-01
         MCStatBin9y18   -5.3716e-01 +/-  9.78e-01
                    Pu    2.1293e-01 +/-  1.02e+00
               REFAC16   -3.8544e-02 +/-  8.35e-01
             REFAC1718    2.2996e-01 +/-  7.80e-01
              RENORM16    1.0741e-01 +/-  1.08e+00
            RENORM1718   -1.1209e-01 +/-  9.99e-01
              alphaS16    1.1872e-02 +/-  1.07e+00
            alphaS1718    0.0000e+00 +/-  1.00e+00
               db_xsec   -1.1998e-01 +/-  9.96e-01
               dy_xsec    2.0736e-01 +/-  9.23e-01
             elFakes16    5.9402e-02 +/-  8.61e-01
             elFakes17    2.1565e-01 +/-  8.73e-01
             elFakes18    4.4618e-01 +/-  6.59e-01
          elHLTBARPT16   -1.4392e-01 +/-  1.01e+00
          elHLTBARPT17    2.2104e-01 +/-  9.44e-01
          elHLTBARPT18   -2.7324e-02 +/-  9.98e-01
          elHLTENDPT16    1.8793e-01 +/-  8.60e-01
          elHLTENDPT17    1.1689e-01 +/-  9.90e-01
          elHLTENDPT18   -2.2404e-01 +/-  1.00e+00
             elIDBARPT    1.8279e-01 +/-  5.15e-01
             elIDENDPT    4.9660e-01 +/-  3.91e-01
           elRECOBARPT   -1.0310e-01 +/-  9.87e-01
           elRECOENDPT   -1.7042e-01 +/-  9.81e-01
         elScaleGain16   -4.2355e-01 +/-  7.49e-01
         elScaleGain17   -2.7789e-01 +/-  8.43e-01
         elScaleGain18   -1.1700e-01 +/-  6.31e-01
         elScaleStat16    0.0000e+00 +/-  1.00e+00
         elScaleStat17    0.0000e+00 +/-  1.00e+00
         elScaleStat18    0.0000e+00 +/-  1.00e+00
           elScaleSyst    5.5849e-02 +/-  9.30e-01
               elSmear    1.9167e-02 +/-  9.88e-01
         elfakesrw1b16   -1.5761e-01 +/-  8.66e-01
         elfakesrw1b17    6.4707e-02 +/-  8.77e-01
         elfakesrw1b18    1.9265e-01 +/-  8.87e-01
         elfakesrw2b16   -5.3011e-02 +/-  9.96e-01
         elfakesrw2b17    1.8184e-01 +/-  9.87e-01
         elfakesrw2b18    4.8186e-02 +/-  9.93e-01
         elfakesrw3b16    2.6880e-01 +/-  9.61e-01
         elfakesrw3b17    6.6130e-02 +/-  9.86e-01
         elfakesrw3b18   -6.2593e-03 +/-  9.98e-01
         elfakesrw4b16    1.2372e-01 +/-  9.88e-01
         elfakesrw4b17   -5.7779e-02 +/-  9.83e-01
         elfakesrw4b18    1.2339e-01 +/-  9.79e-01
         emucostrw1b16   -1.5790e-01 +/-  9.16e-01
       emucostrw1b1718   -3.6469e-01 +/-  8.85e-01
         emucostrw2b16    1.1601e-01 +/-  9.88e-01
       emucostrw2b1718   -3.7223e-02 +/-  9.90e-01
         emucostrw3b16   -1.6664e-01 +/-  9.95e-01
       emucostrw3b1718    1.3070e-01 +/-  9.94e-01
         emucostrw4b16    1.9377e-02 +/-  9.98e-01
       emucostrw4b1718   -5.1396e-02 +/-  9.97e-01
              gam_xsec   -5.4864e-03 +/-  9.99e-01
                lumi16   -6.3510e-02 +/-  9.50e-01
                lumi17    5.6275e-01 +/-  9.20e-01
                lumi18   -3.6357e-01 +/-  9.32e-01
                lumiBC    3.6486e-02 +/-  9.99e-01
                lumiDB    1.0191e-01 +/-  9.96e-01
                lumiGS    1.6796e-02 +/-  9.98e-01
                lumiLS    3.6486e-02 +/-  9.99e-01
                lumiXY   -2.5597e-01 +/-  9.33e-01
               nlo_sys    1.1841e-02 +/-  1.00e+00
                  pdf1    3.2790e-02 +/-  9.86e-01
                 pdf10    1.4510e-02 +/-  9.99e-01
                 pdf11   -6.1004e-02 +/-  1.01e+00
                 pdf12   -3.7297e-02 +/-  1.02e+00
                 pdf13    2.1087e-02 +/-  9.95e-01
                 pdf14   -2.1054e-02 +/-  9.93e-01
                 pdf15   -6.9178e-02 +/-  1.05e+00
                 pdf16    2.6604e-02 +/-  1.00e+00
                 pdf17   -8.2311e-02 +/-  1.02e+00
                 pdf18   -4.4547e-02 +/-  1.03e+00
                 pdf19   -8.7038e-02 +/-  1.01e+00
                  pdf2    1.7664e-02 +/-  1.00e+00
                 pdf20   -7.2309e-02 +/-  1.05e+00
                 pdf21    2.4130e-02 +/-  9.96e-01
                 pdf22   -6.1984e-02 +/-  1.04e+00
                 pdf23    3.0817e-02 +/-  1.01e+00
                 pdf24   -1.1206e-03 +/-  1.00e+00
                 pdf25    1.6611e-02 +/-  9.95e-01
                 pdf26    1.4706e-02 +/-  9.92e-01
                 pdf27   -9.6281e-03 +/-  9.94e-01
                 pdf28   -2.2622e-05 +/-  9.99e-01
                 pdf29   -4.0018e-02 +/-  1.02e+00
                  pdf3    4.7033e-02 +/-  9.98e-01
                 pdf30   -4.1899e-03 +/-  1.01e+00
                 pdf31   -7.0121e-02 +/-  1.07e+00
                 pdf32    2.9202e-02 +/-  1.00e+00
                 pdf33   -9.0090e-02 +/-  1.07e+00
                 pdf34    6.0292e-02 +/-  1.00e+00
                 pdf35    6.2024e-02 +/-  9.94e-01
                 pdf36    5.7547e-03 +/-  1.00e+00
                 pdf37    1.4499e-02 +/-  1.00e+00
                 pdf38   -3.9462e-02 +/-  1.01e+00
                 pdf39    9.6329e-03 +/-  1.02e+00
                  pdf4    2.6776e-02 +/-  1.00e+00
                 pdf40    4.5784e-02 +/-  9.95e-01
                 pdf41    3.7739e-02 +/-  9.98e-01
                 pdf42    6.4655e-02 +/-  9.97e-01
