
Attaching file multidimfit.root as _file0...
(TFile *) 0x22a9400

  RooFitResult: minimized FCN value: -0.351416, estimated distance to minimum: 6.53588e-08
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    3.4839e-02 +/-  7.18e-02
                    A4    1.6146e+00 +/-  8.21e-02
                 FAC16   -4.5443e-02 +/-  9.27e-01
               FAC1718    1.4669e-02 +/-  9.26e-01
                    Pu   -1.0096e-02 +/-  9.65e-01
               REFAC16   -3.9653e-02 +/-  7.98e-01
             REFAC1718    5.3587e-03 +/-  8.84e-01
              RENORM16   -1.0861e-02 +/-  9.70e-01
            RENORM1718   -2.4336e-02 +/-  9.93e-01
              alphaS16    1.8473e-02 +/-  9.85e-01
            alphaS1718   -3.3171e-12 +/-  9.94e-01
               db_xsec   -1.5887e-02 +/-  9.91e-01
               dy_xsec   -8.9064e-03 +/-  9.27e-01
             elFakes16    1.7528e-02 +/-  7.65e-01
             elFakes17    1.7755e-02 +/-  7.05e-01
             elFakes18    1.1214e-02 +/-  5.08e-01
      elHLTBARPTHIGH16   -7.7550e-03 +/-  1.01e+00
      elHLTBARPTHIGH17   -5.3135e-03 +/-  9.87e-01
      elHLTBARPTHIGH18    1.3294e-02 +/-  9.75e-01
       elHLTBARPTLOW16   -2.3914e-03 +/-  9.93e-01
       elHLTBARPTLOW17   -2.5409e-03 +/-  9.92e-01
       elHLTBARPTLOW18    6.5733e-03 +/-  9.93e-01
      elHLTENDPTHIGH16    7.5974e-04 +/-  9.82e-01
      elHLTENDPTHIGH17    2.2835e-03 +/-  9.88e-01
      elHLTENDPTHIGH18   -8.5043e-03 +/-  9.90e-01
       elHLTENDPTLOW16    6.6457e-04 +/-  9.90e-01
       elHLTENDPTLOW17    3.8683e-04 +/-  9.93e-01
       elHLTENDPTLOW18   -4.8164e-03 +/-  9.93e-01
         elIDBARPTHIGH    2.3830e-02 +/-  6.28e-01
          elIDBARPTLOW   -1.2682e-03 +/-  9.94e-01
         elIDENDPTHIGH   -1.3327e-02 +/-  3.93e-01
          elIDENDPTLOW   -7.9130e-03 +/-  9.90e-01
       elRECOBARPTHIGH   -3.2497e-03 +/-  9.82e-01
        elRECOBARPTLOW   -4.7412e-04 +/-  9.94e-01
       elRECOENDPTHIGH   -1.5667e-02 +/-  9.73e-01
        elRECOENDPTLOW   -4.2488e-03 +/-  9.93e-01
         elScaleGain16    2.3463e-02 +/-  8.35e-01
         elScaleGain17   -5.0269e-02 +/-  8.38e-01
         elScaleGain18    4.6094e-04 +/-  7.53e-01
         elScaleStat16   -3.3171e-12 +/-  9.94e-01
         elScaleStat17   -3.3171e-12 +/-  9.94e-01
         elScaleStat18   -3.3171e-12 +/-  9.94e-01
           elScaleSyst    2.3434e-02 +/-  9.27e-01
               elSmear   -3.8233e-04 +/-  9.86e-01
         elfakesrw1b16    1.6758e-02 +/-  9.70e-01
         elfakesrw1b17   -9.8121e-03 +/-  9.80e-01
         elfakesrw1b18   -2.3860e-04 +/-  9.79e-01
         elfakesrw2b16    1.7784e-02 +/-  9.89e-01
         elfakesrw2b17   -8.2647e-03 +/-  9.70e-01
         elfakesrw2b18   -1.0662e-02 +/-  9.79e-01
         elfakesrw3b16   -5.0920e-02 +/-  9.76e-01
         elfakesrw3b17    3.2786e-02 +/-  9.76e-01
         elfakesrw3b18   -2.6560e-03 +/-  9.90e-01
         elfakesrw4b16   -2.1499e-02 +/-  9.80e-01
         elfakesrw4b17    2.9411e-02 +/-  9.56e-01
         elfakesrw4b18    3.5467e-02 +/-  9.40e-01
         emucostrw1b16    2.1335e-02 +/-  8.67e-01
       emucostrw1b1718   -6.0312e-02 +/-  8.94e-01
         emucostrw2b16    3.3388e-03 +/-  9.82e-01
       emucostrw2b1718   -1.4718e-02 +/-  9.84e-01
         emucostrw3b16   -2.3492e-02 +/-  9.88e-01
       emucostrw3b1718    1.6244e-02 +/-  9.88e-01
         emucostrw4b16   -2.7111e-03 +/-  9.92e-01
