
Attaching file multidimfit.root as _file0...
(TFile *) 0x3e0d560

  RooFitResult: minimized FCN value: -0.351621, estimated distance to minimum: 6.96899e-09
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    3.4985e-02 +/-  7.20e-02
                    A4    1.6146e+00 +/-  8.17e-02
                 FAC16   -4.5420e-02 +/-  9.27e-01
               FAC1718    1.4888e-02 +/-  9.26e-01
                    Pu   -1.0227e-02 +/-  9.65e-01
               REFAC16   -3.9678e-02 +/-  7.97e-01
             REFAC1718    5.7329e-03 +/-  8.83e-01
              RENORM16   -1.0847e-02 +/-  9.70e-01
            RENORM1718   -2.4463e-02 +/-  9.93e-01
              alphaS16    1.8389e-02 +/-  9.85e-01
            alphaS1718   -2.5554e-13 +/-  9.94e-01
               db_xsec   -1.5856e-02 +/-  9.91e-01
               dy_xsec   -8.5517e-03 +/-  9.26e-01
             elFakes16    1.7470e-02 +/-  7.65e-01
             elFakes17    1.7635e-02 +/-  7.05e-01
             elFakes18    1.0986e-02 +/-  5.08e-01
      elHLTBARPTHIGH16   -7.6907e-03 +/-  1.01e+00
      elHLTBARPTHIGH17   -5.2757e-03 +/-  9.87e-01
      elHLTBARPTHIGH18    1.3306e-02 +/-  9.75e-01
       elHLTBARPTLOW16   -2.3622e-03 +/-  9.93e-01
       elHLTBARPTLOW17   -2.5254e-03 +/-  9.92e-01
       elHLTBARPTLOW18    6.5776e-03 +/-  9.93e-01
      elHLTENDPTHIGH16    7.1105e-04 +/-  9.82e-01
      elHLTENDPTHIGH17    2.2930e-03 +/-  9.88e-01
      elHLTENDPTHIGH18   -8.4826e-03 +/-  9.90e-01
       elHLTENDPTLOW16    6.4594e-04 +/-  9.90e-01
       elHLTENDPTLOW17    3.9588e-04 +/-  9.93e-01
       elHLTENDPTLOW18   -4.7970e-03 +/-  9.93e-01
         elIDBARPTHIGH    2.3263e-02 +/-  6.21e-01
          elIDBARPTLOW   -1.2538e-03 +/-  9.94e-01
         elIDENDPTHIGH   -1.3425e-02 +/-  3.92e-01
          elIDENDPTLOW   -7.8500e-03 +/-  9.90e-01
       elRECOBARPTHIGH   -3.2354e-03 +/-  9.82e-01
        elRECOBARPTLOW   -4.6510e-04 +/-  9.94e-01
       elRECOENDPTHIGH   -1.5585e-02 +/-  9.73e-01
        elRECOENDPTLOW   -4.2208e-03 +/-  9.93e-01
         elScaleGain16    2.2654e-02 +/-  8.35e-01
         elScaleGain17   -5.1150e-02 +/-  8.38e-01
         elScaleGain18   -8.3926e-04 +/-  7.56e-01
         elScaleStat16   -3.7768e-13 +/-  9.94e-01
         elScaleStat17   -3.7768e-13 +/-  9.94e-01
         elScaleStat18   -3.7768e-13 +/-  9.94e-01
           elScaleSyst    2.3510e-02 +/-  9.27e-01
               elSmear   -3.6855e-04 +/-  9.86e-01
         elfakesrw1b16    1.6794e-02 +/-  9.70e-01
         elfakesrw1b17   -9.8756e-03 +/-  9.80e-01
         elfakesrw1b18   -3.0070e-04 +/-  9.79e-01
         elfakesrw2b16    1.7700e-02 +/-  9.89e-01
         elfakesrw2b17   -8.2369e-03 +/-  9.70e-01
         elfakesrw2b18   -1.0478e-02 +/-  9.79e-01
         elfakesrw3b16   -5.1000e-02 +/-  9.76e-01
         elfakesrw3b17    3.2882e-02 +/-  9.76e-01
         elfakesrw3b18   -2.6983e-03 +/-  9.90e-01
         elfakesrw4b16   -2.1504e-02 +/-  9.80e-01
         elfakesrw4b17    2.9418e-02 +/-  9.56e-01
         elfakesrw4b18    3.5465e-02 +/-  9.40e-01
         emucostrw1b16    2.1452e-02 +/-  8.67e-01
       emucostrw1b1718   -5.9977e-02 +/-  8.94e-01
         emucostrw2b16    3.4644e-03 +/-  9.82e-01
       emucostrw2b1718   -1.4502e-02 +/-  9.85e-01
         emucostrw3b16   -2.3424e-02 +/-  9.88e-01
       emucostrw3b1718    1.6322e-02 +/-  9.88e-01
         emucostrw4b16   -2.7100e-03 +/-  9.92e-01
       emucostrw4b1718    8.7274e-03 +/-  9.91e-01
              gam_xsec    2.3127e-03 +/-  9.94e-01
                lumi16   -3.6192e-02 +/-  9.43e-01
                lumi17   -1.2225e-02 +/-  9.20e-01
                lumi18    1.8659e-02 +/-  9.33e-01
                lumiBC    6.5529e-04 +/-  9.94e-01
                lumiDB   -9.1033e-03 +/-  9.91e-01
                lumiGS   -7.2563e-03 +/-  9.93e-01
                lumiLS    6.5529e-04 +/-  9.94e-01
                lumiXY    4.3851e-03 +/-  9.34e-01
               nlo_sys    3.7841e-06 +/-  9.94e-01
                  pdf1    5.2768e-04 +/-  9.93e-01
                 pdf10    1.4470e-03 +/-  9.94e-01
                 pdf11   -8.4647e-04 +/-  9.94e-01
                 pdf12   -3.0668e-03 +/-  9.93e-01
                 pdf13    5.5810e-03 +/-  9.93e-01
                 pdf14    1.6884e-03 +/-  9.92e-01
                 pdf15    1.5002e-03 +/-  9.94e-01
                 pdf16   -2.0764e-05 +/-  9.93e-01
                 pdf17    3.3959e-03 +/-  9.92e-01
                 pdf18   -3.3033e-03 +/-  9.94e-01
                 pdf19    3.0435e-03 +/-  9.93e-01
                  pdf2   -1.9278e-03 +/-  9.94e-01
                 pdf20    1.8843e-03 +/-  9.94e-01
                 pdf21    6.9541e-04 +/-  9.93e-01
                 pdf22    3.8829e-04 +/-  9.94e-01
                 pdf23    2.6370e-03 +/-  9.94e-01
                 pdf24   -8.6378e-04 +/-  9.93e-01
                 pdf25   -3.7948e-04 +/-  9.94e-01
                 pdf26    1.9934e-03 +/-  9.94e-01
                 pdf27   -4.6392e-03 +/-  9.94e-01
                 pdf28   -7.2230e-03 +/-  9.93e-01
                 pdf29    4.0003e-03 +/-  9.94e-01
                  pdf3   -1.0045e-03 +/-  9.94e-01
                 pdf30    3.9325e-03 +/-  9.93e-01
                 pdf31    5.5667e-03 +/-  9.93e-01
                 pdf32   -2.3134e-03 +/-  9.94e-01
                 pdf33   -2.2507e-03 +/-  9.94e-01
                 pdf34   -1.1258e-03 +/-  9.93e-01
                 pdf35   -4.2946e-03 +/-  9.93e-01
                 pdf36    2.4722e-03 +/-  9.93e-01
                 pdf37   -2.1949e-03 +/-  9.94e-01
                 pdf38    1.5870e-03 +/-  9.94e-01
                 pdf39   -5.0138e-04 +/-  9.93e-01
                  pdf4   -3.3424e-03 +/-  9.94e-01
                 pdf40    2.0074e-03 +/-  9.94e-01
                 pdf41   -4.1398e-04 +/-  9.93e-01
                 pdf42   -2.0838e-03 +/-  9.94e-01
                 pdf43   -4.2276e-03 +/-  9.93e-01
                 pdf44    4.1449e-03 +/-  9.93e-01
                 pdf45   -4.0932e-03 +/-  9.94e-01
                 pdf46    4.8821e-03 +/-  9.93e-01
                 pdf47    2.5303e-03 +/-  9.93e-01
                 pdf48    3.9291e-03 +/-  9.92e-01
                 pdf49   -1.7122e-03 +/-  9.94e-01
                  pdf5    3.1841e-03 +/-  9.93e-01
                 pdf50    3.0531e-04 +/-  9.94e-01
                 pdf51   -5.6981e-04 +/-  9.93e-01
                 pdf52    3.0667e-03 +/-  9.93e-01
                 pdf53    8.9144e-04 +/-  9.94e-01
                 pdf54   -9.4576e-04 +/-  9.93e-01
                 pdf55   -2.7426e-03 +/-  9.93e-01
                 pdf56    7.7576e-04 +/-  9.94e-01
                 pdf57   -2.1161e-03 +/-  9.93e-01
                 pdf58    2.5177e-03 +/-  9.94e-01
                 pdf59   -4.5267e-03 +/-  9.93e-01
                  pdf6    1.0067e-03 +/-  9.94e-01
                 pdf60   -3.4756e-04 +/-  9.93e-01
                  pdf7   -6.0661e-05 +/-  9.94e-01
                  pdf8    2.1345e-03 +/-  9.93e-01
                  pdf9    1.6587e-03 +/-  9.93e-01
             prefire16   -1.0782e-02 +/-  9.29e-01
             prefire17    1.0184e-02 +/-  8.04e-01
             prefire18   -1.8491e-13 +/-  9.94e-01
      prop_binY16_bin0   -8.6333e-02 +/-  8.64e-01
      prop_binY16_bin1   -1.1039e-02 +/-  9.30e-01
     prop_binY16_bin10   -5.1542e-02 +/-  9.45e-01
     prop_binY16_bin11    1.7822e-02 +/-  9.47e-01
     prop_binY16_bin12   -7.7999e-02 +/-  9.42e-01
     prop_binY16_bin13   -1.1020e-01 +/-  9.40e-01
     prop_binY16_bin14    3.0137e-02 +/-  9.08e-01
     prop_binY16_bin15   -2.7664e-01 +/-  9.12e-01
     prop_binY16_bin16   -4.0916e-02 +/-  9.43e-01
     prop_binY16_bin17    3.5367e-02 +/-  9.55e-01
     prop_binY16_bin18    1.1830e-01 +/-  9.52e-01
     prop_binY16_bin19   -3.3118e-02 +/-  9.56e-01
      prop_binY16_bin2    1.6032e-02 +/-  9.33e-01
     prop_binY16_bin20    5.7661e-03 +/-  8.85e-01
     prop_binY16_bin21   -1.6587e-02 +/-  9.57e-01
     prop_binY16_bin22   -1.0895e-02 +/-  9.73e-01
     prop_binY16_bin23    1.8715e-02 +/-  9.77e-01
     prop_binY16_bin24   -2.9288e-02 +/-  9.78e-01
     prop_binY16_bin25    7.5797e-03 +/-  9.83e-01
     prop_binY16_bin26    2.7481e-02 +/-  9.74e-01
     prop_binY16_bin27    2.1191e-02 +/-  8.94e-01
     prop_binY16_bin28    1.1288e-01 +/-  9.19e-01
     prop_binY16_bin29   -4.3665e-02 +/-  9.82e-01
      prop_binY16_bin3    8.3203e-02 +/-  9.42e-01
     prop_binY16_bin30   -2.0230e-02 +/-  9.84e-01
     prop_binY16_bin31    6.8134e-03 +/-  9.86e-01
     prop_binY16_bin32    2.1902e-02 +/-  9.86e-01
     prop_binY16_bin33   -3.7352e-02 +/-  9.50e-01
     prop_binY16_bin34    6.9630e-03 +/-  9.65e-01
     prop_binY16_bin35   -3.3979e-02 +/-  9.79e-01
     prop_binY16_bin36   -2.8469e-02 +/-  9.84e-01
     prop_binY16_bin37    5.3891e-03 +/-  9.86e-01
     prop_binY16_bin38    2.1847e-02 +/-  9.78e-01
     prop_binY16_bin39    1.2260e-02 +/-  9.79e-01
      prop_binY16_bin4   -7.2453e-02 +/-  9.48e-01
     prop_binY16_bin40   -1.9902e-03 +/-  9.75e-01
     prop_binY16_bin41    1.2469e-02 +/-  9.73e-01
     prop_binY16_bin42   -4.6576e-04 +/-  9.86e-01
     prop_binY16_bin43    6.9911e-03 +/-  9.90e-01
     prop_binY16_bin44   -2.8467e-04 +/-  9.91e-01
     prop_binY16_bin45    9.0234e-03 +/-  9.89e-01
     prop_binY16_bin46    2.9428e-03 +/-  9.89e-01
     prop_binY16_bin47    2.0181e-02 +/-  9.72e-01
     prop_binY16_bin48    8.1865e-02 +/-  9.18e-01
     prop_binY16_bin49    6.8446e-03 +/-  9.65e-01
      prop_binY16_bin5   -3.6273e-02 +/-  9.38e-01
     prop_binY16_bin50   -2.8125e-03 +/-  9.90e-01
     prop_binY16_bin51    6.4268e-03 +/-  9.91e-01
     prop_binY16_bin52    4.6498e-03 +/-  9.91e-01
     prop_binY16_bin53   -3.1529e-02 +/-  9.49e-01
     prop_binY16_bin54   -1.4448e-02 +/-  9.81e-01
     prop_binY16_bin55    1.7453e-02 +/-  9.84e-01
     prop_binY16_bin56   -5.1024e-03 +/-  9.89e-01
