
Attaching file multidimfit.root as _file0...
(TFile *) 0x3a5f820

  RooFitResult: minimized FCN value: -0.526351, estimated distance to minimum: 2.55445e-08
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    3.8001e-02 +/-  6.77e-02
                    A4    1.6348e+00 +/-  8.36e-02
                 FAC16   -3.9524e-02 +/-  9.58e-01
               FAC1718   -3.4511e-02 +/-  8.81e-01
              METHEM18   -1.4095e-02 +/-  9.90e-01
                    Pu    2.9269e-02 +/-  9.30e-01
               REFAC16    2.5679e-02 +/-  8.14e-01
             REFAC1718   -1.1360e-02 +/-  8.57e-01
              RENORM16    5.8946e-02 +/-  8.90e-01
            RENORM1718    2.0389e-02 +/-  9.82e-01
              alphaS16    2.2360e-02 +/-  9.85e-01
            alphaS1718   -4.2170e-12 +/-  9.94e-01
               db_xsec   -5.9942e-03 +/-  9.92e-01
               dy_xsec   -2.5746e-02 +/-  9.26e-01
             elFakes16    1.0916e-02 +/-  7.30e-01
             elFakes17    1.2666e-02 +/-  6.47e-01
             elFakes18    7.3314e-03 +/-  5.29e-01
      elHLTBARPTHIGH16   -1.2051e-02 +/-  1.01e+00
      elHLTBARPTHIGH17   -1.3753e-03 +/-  9.84e-01
      elHLTBARPTHIGH18    9.7909e-03 +/-  9.79e-01
       elHLTBARPTLOW16   -5.0247e-03 +/-  9.93e-01
       elHLTBARPTLOW17   -9.4910e-04 +/-  9.92e-01
       elHLTBARPTLOW18    4.9442e-03 +/-  9.93e-01
      elHLTENDPTHIGH16    5.1768e-03 +/-  9.80e-01
      elHLTENDPTHIGH17    1.0003e-03 +/-  9.89e-01
      elHLTENDPTHIGH18   -6.9880e-03 +/-  9.92e-01
       elHLTENDPTLOW16    1.7540e-03 +/-  9.91e-01
       elHLTENDPTLOW17   -7.5616e-04 +/-  9.94e-01
       elHLTENDPTLOW18   -3.9884e-03 +/-  9.93e-01
         elIDBARPTHIGH   -1.4719e-02 +/-  6.63e-01
          elIDBARPTLOW   -5.0493e-04 +/-  9.94e-01
         elIDENDPTHIGH   -2.2139e-02 +/-  4.13e-01
          elIDENDPTLOW   -6.5859e-03 +/-  9.91e-01
       elRECOBARPTHIGH   -1.1116e-02 +/-  9.82e-01
        elRECOBARPTLOW   -1.6431e-04 +/-  9.94e-01
       elRECOENDPTHIGH   -1.0648e-02 +/-  9.74e-01
        elRECOENDPTLOW   -3.1828e-03 +/-  9.93e-01
         elScaleGain16    1.2976e-02 +/-  8.16e-01
         elScaleGain17   -4.8188e-02 +/-  7.97e-01
         elScaleGain18    7.2386e-03 +/-  7.22e-01
         elScaleStat16   -4.3799e-12 +/-  9.94e-01
         elScaleStat17   -4.3799e-12 +/-  9.94e-01
         elScaleStat18   -4.3799e-12 +/-  9.94e-01
           elScaleSyst   -2.4717e-03 +/-  1.04e+00
               elSmear    3.3059e-03 +/-  9.96e-01
         elfakesrw1b16    1.3754e-02 +/-  9.66e-01
         elfakesrw1b17   -1.4134e-02 +/-  9.77e-01
         elfakesrw1b18    3.7800e-03 +/-  9.79e-01
         elfakesrw2b16    1.9507e-02 +/-  9.82e-01
         elfakesrw2b17    4.2051e-03 +/-  9.53e-01
         elfakesrw2b18   -3.1387e-02 +/-  9.76e-01
         elfakesrw3b16   -5.1112e-02 +/-  9.75e-01
         elfakesrw3b17    3.9965e-02 +/-  9.76e-01
         elfakesrw3b18   -2.8446e-03 +/-  9.92e-01
         elfakesrw4b16   -2.0488e-02 +/-  9.83e-01
         elfakesrw4b17    2.3336e-02 +/-  9.61e-01
         elfakesrw4b18    1.5586e-02 +/-  9.61e-01
         emucostrw1b16    1.5679e-02 +/-  8.96e-01
       emucostrw1b1718   -5.4905e-02 +/-  9.32e-01
         emucostrw2b16    3.6721e-03 +/-  9.87e-01
       emucostrw2b1718   -7.2527e-03 +/-  9.90e-01
         emucostrw3b16   -8.0727e-03 +/-  9.93e-01
       emucostrw3b1718    9.8268e-03 +/-  9.92e-01
         emucostrw4b16   -8.6282e-04 +/-  9.94e-01
       emucostrw4b1718    3.8260e-03 +/-  9.93e-01
              gam_xsec    2.7413e-03 +/-  9.94e-01
                lumi16   -3.9549e-02 +/-  9.41e-01
                lumi17   -7.5678e-03 +/-  9.15e-01
                lumi18    1.2762e-02 +/-  9.33e-01
                lumiBC    5.6791e-04 +/-  9.94e-01
                lumiDB   -8.7805e-03 +/-  9.91e-01
                lumiGS   -7.6369e-03 +/-  9.93e-01
                lumiLS    5.6791e-04 +/-  9.94e-01
                lumiXY   -2.7320e-03 +/-  9.38e-01
                  pdf1   -3.5832e-03 +/-  9.93e-01
                 pdf10   -2.6232e-03 +/-  9.94e-01
                 pdf11    6.5435e-04 +/-  9.94e-01
                 pdf12   -4.3391e-03 +/-  9.92e-01
                 pdf13    1.7429e-03 +/-  9.94e-01
                 pdf14   -1.5656e-03 +/-  9.91e-01
                 pdf15    4.8295e-03 +/-  9.91e-01
                 pdf16    7.8605e-04 +/-  9.93e-01
                 pdf17    2.8518e-03 +/-  9.92e-01
                 pdf18    9.2283e-04 +/-  9.93e-01
                 pdf19    1.1679e-03 +/-  9.93e-01
                  pdf2   -2.3383e-03 +/-  9.94e-01
                 pdf20    6.3453e-03 +/-  9.92e-01
                 pdf21    2.4666e-03 +/-  9.93e-01
                 pdf22   -1.3704e-03 +/-  9.92e-01
                 pdf23    2.1208e-03 +/-  9.93e-01
                 pdf24   -1.0549e-03 +/-  9.93e-01
                 pdf25    9.8987e-04 +/-  9.94e-01
                 pdf26    3.2172e-04 +/-  9.94e-01
                 pdf27   -2.6419e-03 +/-  9.94e-01
                 pdf28   -1.0664e-02 +/-  9.94e-01
                 pdf29    2.6442e-03 +/-  9.93e-01
                  pdf3    2.2046e-03 +/-  9.94e-01
                 pdf30    3.8457e-03 +/-  9.90e-01
                 pdf31    6.4923e-03 +/-  9.89e-01
                 pdf32   -5.3214e-03 +/-  9.94e-01
                 pdf33    4.4333e-04 +/-  9.91e-01
                 pdf34    1.5115e-03 +/-  9.93e-01
                 pdf35   -3.5852e-03 +/-  9.93e-01
                 pdf36    2.7749e-03 +/-  9.94e-01
                 pdf37   -2.4418e-03 +/-  9.94e-01
                 pdf38    4.9175e-03 +/-  9.94e-01
                 pdf39    3.0942e-03 +/-  9.92e-01
                  pdf4   -5.2507e-03 +/-  9.93e-01
                 pdf40   -1.0683e-03 +/-  9.94e-01
                 pdf41   -3.8391e-03 +/-  9.93e-01
                 pdf42    6.9406e-04 +/-  9.94e-01
                 pdf43   -3.3881e-03 +/-  9.93e-01
                 pdf44    5.0965e-03 +/-  9.93e-01
