
Attaching file multidimfit.root as _file0...
(TFile *) 0x29a0120

  RooFitResult: minimized FCN value: -0.727438, estimated distance to minimum: 4.38179e-09
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    3.6364e-02 +/-  7.30e-02
                    A4    1.6230e+00 +/-  1.10e-01
                 FAC16   -4.2262e-02 +/-  9.28e-01
               FAC1718    2.1896e-02 +/-  9.32e-01
                    Pu    1.1726e-02 +/-  9.56e-01
               REFAC16   -3.4084e-02 +/-  8.02e-01
             REFAC1718    1.5164e-02 +/-  8.89e-01
              RENORM16   -1.0363e-02 +/-  9.74e-01
            RENORM1718   -2.9533e-02 +/-  1.00e+00
              alphaS16    2.0335e-02 +/-  9.86e-01
            alphaS1718    1.2432e-11 +/-  9.94e-01
               db_xsec   -1.6534e-02 +/-  9.91e-01
               dy_xsec   -1.6574e-02 +/-  9.28e-01
             elFakes16    2.1416e-02 +/-  7.73e-01
             elFakes17    2.2940e-02 +/-  6.96e-01
             elFakes18    2.4541e-02 +/-  5.06e-01
      elHLTBARPTHIGH16   -9.4070e-03 +/-  1.01e+00
      elHLTBARPTHIGH17   -2.8284e-03 +/-  9.86e-01
      elHLTBARPTHIGH18    1.1254e-02 +/-  9.77e-01
       elHLTBARPTLOW16   -4.8207e-03 +/-  9.93e-01
       elHLTBARPTLOW17   -1.6946e-03 +/-  9.92e-01
       elHLTBARPTLOW18    5.5792e-03 +/-  9.93e-01
      elHLTENDPTHIGH16    2.6792e-03 +/-  9.81e-01
      elHLTENDPTHIGH17    3.1323e-03 +/-  9.88e-01
      elHLTENDPTHIGH18   -1.0338e-02 +/-  9.91e-01
       elHLTENDPTLOW16    6.5822e-04 +/-  9.91e-01
       elHLTENDPTLOW17    3.6627e-04 +/-  9.94e-01
       elHLTENDPTLOW18   -5.6744e-03 +/-  9.93e-01
         elIDBARPTHIGH   -5.3186e-03 +/-  6.07e-01
          elIDBARPTLOW   -1.4885e-03 +/-  9.94e-01
         elIDENDPTHIGH   -1.6365e-02 +/-  3.84e-01
          elIDENDPTLOW   -7.4470e-03 +/-  9.90e-01
       elRECOBARPTHIGH   -8.2684e-03 +/-  9.82e-01
        elRECOBARPTLOW   -5.5256e-04 +/-  9.94e-01
       elRECOENDPTHIGH   -2.0461e-02 +/-  9.72e-01
        elRECOENDPTLOW   -3.0703e-03 +/-  9.93e-01
         elScaleGain16   -2.7133e-02 +/-  9.14e-01
         elScaleGain17   -4.8102e-02 +/-  8.56e-01
         elScaleGain18   -3.1571e-02 +/-  8.19e-01
         elScaleStat16    1.2432e-11 +/-  9.94e-01
         elScaleStat17    1.2432e-11 +/-  9.94e-01
         elScaleStat18    1.2432e-11 +/-  9.94e-01
           elScaleSyst    3.4720e-03 +/-  9.49e-01
