
Attaching file multidimfit.root as _file0...
(TFile *) 0x2d0ed50

  RooFitResult: minimized FCN value: -0.435393, estimated distance to minimum: 1.08847e-07
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    4.0317e-02 +/-  7.71e-02
                    A4    1.6237e+00 +/-  1.39e-01
                 FAC16   -5.0947e-02 +/-  9.35e-01
               FAC1718    1.6525e-02 +/-  9.34e-01
                    Pu    1.9585e-02 +/-  9.62e-01
               REFAC16   -4.5373e-02 +/-  8.15e-01
             REFAC1718    1.0862e-02 +/-  9.07e-01
              RENORM16   -1.1734e-02 +/-  9.85e-01
            RENORM1718   -1.8902e-02 +/-  1.01e+00
              alphaS16    1.8979e-02 +/-  9.87e-01
            alphaS1718   -1.4068e-12 +/-  9.94e-01
               db_xsec   -1.0137e-02 +/-  9.92e-01
               dy_xsec   -1.3615e-02 +/-  9.43e-01
             elFakes16    1.1168e-03 +/-  7.84e-01
             elFakes17    2.6039e-02 +/-  7.18e-01
             elFakes18    1.1374e-03 +/-  5.33e-01
      elHLTBARPTHIGH16   -1.1215e-02 +/-  1.01e+00
      elHLTBARPTHIGH17   -4.6338e-03 +/-  9.87e-01
      elHLTBARPTHIGH18    1.1822e-02 +/-  9.77e-01
       elHLTBARPTLOW16   -5.6193e-03 +/-  9.93e-01
       elHLTBARPTLOW17   -2.2877e-03 +/-  9.92e-01
       elHLTBARPTLOW18    5.9154e-03 +/-  9.93e-01
      elHLTENDPTHIGH16    5.8711e-03 +/-  9.78e-01
      elHLTENDPTHIGH17    2.7973e-03 +/-  9.88e-01
      elHLTENDPTHIGH18   -8.4407e-03 +/-  9.92e-01
       elHLTENDPTLOW16    2.6210e-03 +/-  9.91e-01
       elHLTENDPTLOW17    1.8540e-04 +/-  9.94e-01
       elHLTENDPTLOW18   -4.2991e-03 +/-  9.93e-01
         elIDBARPTHIGH    4.7640e-03 +/-  6.43e-01
          elIDBARPTLOW   -1.1809e-03 +/-  9.94e-01
         elIDENDPTHIGH   -2.0762e-02 +/-  3.99e-01
          elIDENDPTLOW   -4.3038e-03 +/-  9.90e-01
       elRECOBARPTHIGH   -5.3643e-03 +/-  9.83e-01
        elRECOBARPTLOW   -2.2660e-04 +/-  9.94e-01
       elRECOENDPTHIGH   -1.4666e-02 +/-  9.73e-01
        elRECOENDPTLOW   -1.7191e-03 +/-  9.93e-01
         elScaleGain16   -4.2095e-02 +/-  9.30e-01
         elScaleGain17    4.0724e-03 +/-  9.25e-01
         elScaleGain18   -1.6681e-02 +/-  8.90e-01
         elScaleStat16   -1.4068e-12 +/-  9.94e-01
         elScaleStat17   -1.4068e-12 +/-  9.94e-01
         elScaleStat18   -1.4068e-12 +/-  9.94e-01
           elScaleSyst    1.2359e-02 +/-  9.59e-01
               elSmear    7.0745e-03 +/-  9.99e-01
         elfakesrw1b16    1.4994e-02 +/-  9.71e-01
         elfakesrw1b17   -7.4496e-03 +/-  9.80e-01
         elfakesrw1b18   -1.4215e-03 +/-  9.79e-01
         elfakesrw2b16    6.6344e-03 +/-  9.94e-01
         elfakesrw2b17    9.5974e-03 +/-  9.63e-01
         elfakesrw2b18   -1.2220e-02 +/-  9.71e-01
         elfakesrw3b16   -5.5601e-02 +/-  9.81e-01
         elfakesrw3b17    2.9222e-02 +/-  9.77e-01
         elfakesrw3b18   -4.8317e-03 +/-  9.91e-01
         elfakesrw4b16   -1.0181e-02 +/-  9.83e-01
         elfakesrw4b17    1.7579e-02 +/-  9.59e-01
         elfakesrw4b18    3.2358e-02 +/-  9.51e-01
         emucostrw1b16    1.8843e-02 +/-  8.49e-01
       emucostrw1b1718   -3.4410e-02 +/-  8.87e-01
         emucostrw2b16    1.3972e-02 +/-  9.80e-01
       emucostrw2b1718   -1.2731e-02 +/-  9.83e-01
         emucostrw3b16   -2.2314e-02 +/-  9.89e-01
       emucostrw3b1718    1.3835e-02 +/-  9.88e-01
         emucostrw4b16   -1.9181e-03 +/-  9.92e-01
       emucostrw4b1718    4.6288e-03 +/-  9.91e-01
              gam_xsec    1.6257e-03 +/-  9.94e-01
                lumi16   -3.4001e-02 +/-  9.47e-01
                lumi17   -1.0860e-02 +/-  9.21e-01
                lumi18    1.9054e-02 +/-  9.35e-01
                lumiBC    9.1458e-04 +/-  9.94e-01
                lumiDB   -8.4267e-03 +/-  9.91e-01
                lumiGS   -6.7853e-03 +/-  9.93e-01
                lumiLS    9.1458e-04 +/-  9.94e-01
                lumiXY    6.4302e-03 +/-  9.40e-01
               nlo_sys    2.6825e-05 +/-  9.94e-01
                  pdf1   -1.6451e-03 +/-  9.94e-01
                 pdf10    1.3919e-06 +/-  9.95e-01
