
Attaching file multidimfit.root as _file0...
(TFile *) 0x21b40d0

  RooFitResult: minimized FCN value: -79.1876, estimated distance to minimum: 1.44171e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    2.5565e-01 +/-  7.03e-02
                   Afb    6.2977e-01 +/-  3.62e-02
               BTAGCOR    6.1311e-02 +/-  2.42e+00
           BTAGLIGHT16   -2.2043e-02 +/-  1.03e+00
           BTAGLIGHT17   -1.3911e-03 +/-  1.01e+00
           BTAGLIGHT18   -1.5476e-01 +/-  1.18e+00
           BTAGUNCOR16   -2.1291e-03 +/-  9.80e-01
           BTAGUNCOR17    5.1026e-03 +/-  9.97e-01
           BTAGUNCOR18    8.4624e-03 +/-  3.22e+00
                 FAC16    2.0140e-01 +/-  1.03e+00
               FAC1718   -6.1539e-01 +/-  8.82e-01
              METHEM18    3.4247e-02 +/-  1.03e+00
              METJEC16   -9.0584e-03 +/-  9.94e-01
              METJEC17    5.2699e-03 +/-  9.64e-01
              METJEC18    9.2433e-02 +/-  9.33e-01
                    Pu    3.5547e-02 +/-  9.44e-01
               REFAC16   -4.9249e-01 +/-  8.44e-01
             REFAC1718   -3.2809e-01 +/-  8.71e-01
              RENORM16   -5.6696e-01 +/-  9.04e-01
            RENORM1718    3.8601e-01 +/-  8.92e-01
              alphaS16   -8.7647e-02 +/-  8.88e-01
            alphaS1718    7.9700e-12 +/-  9.94e-01
               db_xsec   -4.0251e-02 +/-  9.91e-01
               dy_xsec    1.7941e+00 +/-  8.80e-01
      elHLTBARPTHIGH16    1.3374e-01 +/-  8.22e-01
      elHLTBARPTHIGH17    8.9720e-02 +/-  9.21e-01
      elHLTBARPTHIGH18    1.4012e-01 +/-  8.89e-01
       elHLTBARPTLOW16    1.0903e-01 +/-  9.92e-01
       elHLTBARPTLOW17    5.3187e-02 +/-  9.91e-01
       elHLTBARPTLOW18    9.2656e-02 +/-  9.93e-01
      elHLTENDPTHIGH16    5.6129e-04 +/-  9.75e-01
      elHLTENDPTHIGH17   -4.4487e-02 +/-  1.02e+00
      elHLTENDPTHIGH18   -3.3381e-02 +/-  1.04e+00
       elHLTENDPTLOW16   -2.0748e-02 +/-  9.95e-01
       elHLTENDPTLOW17   -3.2506e-02 +/-  9.95e-01
       elHLTENDPTLOW18   -3.2980e-02 +/-  9.98e-01
         elIDENDPTHIGH    1.4561e-01 +/-  3.88e-01
          elIDENDPTLOW   -3.1180e-01 +/-  9.90e-01
       elRECOBARPTHIGH    5.5788e-01 +/-  9.73e-01
        elRECOBARPTLOW    8.0944e-04 +/-  9.94e-01
       elRECOENDPTHIGH    9.4389e-02 +/-  9.73e-01
        elRECOENDPTLOW   -1.6532e-01 +/-  9.93e-01
         elScaleGain16   -2.4349e-01 +/-  7.32e-01
         elScaleGain17   -3.4125e-01 +/-  7.99e-01
         elScaleGain18   -3.0572e-01 +/-  7.40e-01
         elScaleStat16    7.9700e-12 +/-  9.94e-01
         elScaleStat17    7.9700e-12 +/-  9.94e-01
