
Attaching file multidimfit.root as _file0...
(TFile *) 0x2c58610

  RooFitResult: minimized FCN value: -82.4474, estimated distance to minimum: 2.67198e-08
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    2.1594e-01 +/-  7.00e-02
                   Afb    6.2467e-01 +/-  3.58e-02
               BTAGCOR    2.0210e-01 +/-  1.22e+00
           BTAGLIGHT16   -2.3964e-02 +/-  1.04e+00
           BTAGLIGHT17   -1.6533e-02 +/-  1.02e+00
           BTAGLIGHT18   -2.8738e-01 +/-  8.18e-01
           BTAGUNCOR16   -2.2678e-03 +/-  9.82e-01
           BTAGUNCOR17    3.3065e-03 +/-  9.99e-01
           BTAGUNCOR18   -2.2609e-01 +/-  1.06e+00
                 FAC16    1.9638e-01 +/-  1.03e+00
               FAC1718   -6.5973e-01 +/-  8.88e-01
              METHEM18    2.8788e-02 +/-  9.95e-01
              METJEC16   -1.0034e-02 +/-  9.90e-01
              METJEC17    3.9400e-03 +/-  9.63e-01
              METJEC18    4.1106e-02 +/-  9.12e-01
                    Pu   -7.2021e-02 +/-  9.49e-01
               REFAC16   -5.2252e-01 +/-  8.49e-01
             REFAC1718   -3.7932e-01 +/-  8.68e-01
              RENORM16   -5.8617e-01 +/-  9.04e-01
            RENORM1718    3.8959e-01 +/-  8.88e-01
              alphaS16   -9.0566e-02 +/-  8.92e-01
            alphaS1718   -4.4961e-12 +/-  9.94e-01
               db_xsec    1.6260e-02 +/-  9.92e-01
               dy_xsec    1.8847e+00 +/-  8.81e-01
             elFakes16   -7.0321e-01 +/-  7.88e-01
             elFakes17   -7.9947e-01 +/-  7.54e-01
             elFakes18   -1.4279e+00 +/-  6.76e-01
      elHLTBARPTHIGH16    1.2728e-01 +/-  8.09e-01
      elHLTBARPTHIGH17    1.0718e-01 +/-  9.08e-01
      elHLTBARPTHIGH18    1.3449e-01 +/-  8.92e-01
       elHLTBARPTLOW16    1.0555e-01 +/-  9.92e-01
       elHLTBARPTLOW17    6.5108e-02 +/-  9.91e-01
       elHLTBARPTLOW18    8.6427e-02 +/-  9.93e-01
      elHLTENDPTHIGH16    1.0694e-02 +/-  9.62e-01
      elHLTENDPTHIGH17   -3.5772e-02 +/-  1.02e+00
      elHLTENDPTHIGH18   -1.3917e-02 +/-  1.03e+00
       elHLTENDPTLOW16   -1.1811e-02 +/-  9.94e-01
       elHLTENDPTLOW17   -2.7413e-02 +/-  9.95e-01
       elHLTENDPTLOW18   -1.6685e-02 +/-  9.96e-01
         elIDENDPTHIGH    1.7514e-01 +/-  3.89e-01
          elIDENDPTLOW   -2.3982e-01 +/-  9.89e-01
       elRECOBARPTHIGH    5.9391e-01 +/-  9.73e-01
        elRECOBARPTLOW    1.8795e-03 +/-  9.94e-01
       elRECOENDPTHIGH    1.3068e-01 +/-  9.74e-01
        elRECOENDPTLOW   -1.3141e-01 +/-  9.93e-01
         elScaleGain16   -2.2592e-01 +/-  6.88e-01
         elScaleGain17   -3.1478e-01 +/-  7.71e-01
         elScaleGain18   -3.6698e-01 +/-  8.32e-01
         elScaleStat16   -4.4989e-12 +/-  9.94e-01
         elScaleStat17   -4.4989e-12 +/-  9.94e-01
         elScaleStat18   -4.4989e-12 +/-  9.94e-01
           elScaleSyst   -3.5436e-02 +/-  6.77e-01
               elSmear   -2.3075e-03 +/-  9.51e-01
         elfakesrw1b16   -2.4622e-01 +/-  9.85e-01
         elfakesrw1b17   -2.4646e-01 +/-  9.91e-01
         elfakesrw1b18   -3.1961e-01 +/-  9.80e-01
         elfakesrw2b16    8.2570e-03 +/-  9.92e-01
         elfakesrw2b17    1.4824e-01 +/-  9.75e-01
         elfakesrw2b18    1.3856e-01 +/-  9.91e-01
         elfakesrw3b16   -2.2843e-02 +/-  9.83e-01
         elfakesrw3b17    7.7982e-02 +/-  9.82e-01
         elfakesrw3b18    8.6693e-03 +/-  9.94e-01
         elfakesrw4b16    1.9791e-03 +/-  9.91e-01
         elfakesrw4b17   -4.3160e-02 +/-  9.80e-01
         elfakesrw4b18   -3.2968e-02 +/-  9.87e-01
         emucostrw1b16   -2.6149e-01 +/-  8.83e-01
       emucostrw1b1718   -9.6022e-01 +/-  8.53e-01
         emucostrw2b16    2.2222e-01 +/-  9.86e-01
       emucostrw2b1718    2.5217e-01 +/-  9.89e-01
         emucostrw3b16    1.6798e-02 +/-  9.93e-01
       emucostrw3b1718    8.8184e-02 +/-  9.92e-01
         emucostrw4b16    2.0365e-02 +/-  9.94e-01
       emucostrw4b1718   -1.1643e-02 +/-  9.93e-01
              gam_xsec    4.3612e-03 +/-  9.93e-01
                lumi16    5.8519e-01 +/-  9.32e-01
                lumi17    2.0352e-01 +/-  9.16e-01
                lumi18    4.0129e-01 +/-  9.51e-01
                lumiBC    8.4638e-02 +/-  9.93e-01
                lumiDB    1.4838e-01 +/-  9.90e-01
                lumiGS    1.1762e-01 +/-  9.92e-01
                lumiLS    8.4638e-02 +/-  9.93e-01
                lumiXY    8.6676e-01 +/-  9.42e-01
                  pdf1   -1.7258e-02 +/-  9.90e-01
                 pdf10   -9.6491e-02 +/-  9.93e-01
                 pdf11    1.4380e-01 +/-  9.92e-01
                 pdf12    1.7204e-01 +/-  9.91e-01
                 pdf13   -1.6993e-01 +/-  9.92e-01
                 pdf14    1.7358e-01 +/-  9.89e-01
                 pdf15    1.6796e-01 +/-  9.92e-01
                 pdf16    1.9375e-02 +/-  9.92e-01
                 pdf17   -9.9289e-02 +/-  9.94e-01
                 pdf18   -2.6001e-01 +/-  9.92e-01
                 pdf19    3.0867e-02 +/-  9.92e-01
                  pdf2   -8.0259e-02 +/-  9.91e-01
                 pdf20    1.1510e-02 +/-  1.00e+00
                 pdf21   -6.0634e-02 +/-  9.91e-01
                 pdf22    1.1815e-01 +/-  9.98e-01
                 pdf23   -1.4696e-01 +/-  9.92e-01
                 pdf24   -2.2316e-02 +/-  9.93e-01
                 pdf25   -1.0348e-01 +/-  9.91e-01
                 pdf26   -1.1574e-01 +/-  9.92e-01
                 pdf27    4.0424e-02 +/-  9.93e-01
                 pdf28   -6.6938e-02 +/-  9.90e-01
                 pdf29    7.4300e-02 +/-  9.94e-01
                  pdf3   -2.4282e-02 +/-  9.87e-01
                 pdf30   -3.5411e-01 +/-  9.88e-01
                 pdf31    2.1899e-01 +/-  1.00e+00
                 pdf32    8.4426e-02 +/-  9.93e-01
                 pdf33    4.1118e-02 +/-  1.01e+00
                 pdf34   -1.6745e-01 +/-  9.90e-01
                 pdf35    1.4528e-01 +/-  9.88e-01
                 pdf36    6.9608e-02 +/-  9.92e-01
                 pdf37    3.2106e-03 +/-  9.93e-01
                 pdf38   -2.0236e-02 +/-  9.95e-01
                 pdf39   -9.5629e-02 +/-  9.93e-01
                  pdf4   -9.7615e-02 +/-  9.94e-01
                 pdf40    1.5323e-01 +/-  9.90e-01
                 pdf41    1.5497e-01 +/-  9.88e-01
                 pdf42   -2.3867e-01 +/-  9.91e-01
                 pdf43   -2.5575e-01 +/-  9.89e-01
                 pdf44   -1.3921e-02 +/-  9.88e-01
                 pdf45   -8.8918e-02 +/-  9.91e-01
                 pdf46   -1.6309e-01 +/-  9.91e-01
                 pdf47    1.6906e-01 +/-  9.89e-01
                 pdf48    1.0124e-01 +/-  9.94e-01
                 pdf49    1.5739e-01 +/-  9.92e-01
                  pdf5    1.9908e-01 +/-  9.89e-01
                 pdf50    2.1751e-01 +/-  9.92e-01
                 pdf51   -4.8046e-02 +/-  9.89e-01
                 pdf52    2.9901e-02 +/-  9.91e-01
                 pdf53    7.8184e-02 +/-  9.87e-01
                 pdf54    1.6104e-02 +/-  9.92e-01
                 pdf55    6.6208e-02 +/-  9.92e-01
                 pdf56    1.7651e-01 +/-  9.91e-01
                 pdf57   -2.4802e-01 +/-  9.90e-01
                 pdf58   -1.1771e-01 +/-  9.83e-01
                 pdf59    1.2594e-02 +/-  9.94e-01
                  pdf6   -1.7489e-01 +/-  9.92e-01
                 pdf60   -1.8190e-01 +/-  9.90e-01
                  pdf7   -1.0076e-01 +/-  9.98e-01
                  pdf8   -1.5843e-01 +/-  9.93e-01
                  pdf9   -1.4827e-02 +/-  9.92e-01
             prefire16   -2.9337e-01 +/-  9.31e-01
             prefire17   -1.7288e-01 +/-  8.19e-01
      prop_binY16_bin0   -3.9296e-01 +/-  9.08e-01
      prop_binY16_bin1    2.7639e-01 +/-  9.36e-01
     prop_binY16_bin10   -1.6379e-02 +/-  9.57e-01
     prop_binY16_bin11    8.1742e-02 +/-  9.50e-01
     prop_binY16_bin12    9.4367e-02 +/-  9.49e-01
     prop_binY16_bin13    1.2330e-01 +/-  9.38e-01
     prop_binY16_bin14    3.3498e-01 +/-  9.35e-01
     prop_binY16_bin15   -1.6947e-01 +/-  9.52e-01
     prop_binY16_bin16   -7.6367e-02 +/-  9.59e-01
     prop_binY16_bin17    1.0346e-01 +/-  9.57e-01
     prop_binY16_bin18    6.6253e-02 +/-  9.52e-01
     prop_binY16_bin19    1.4507e-01 +/-  9.52e-01
      prop_binY16_bin2    4.1538e-02 +/-  9.45e-01
     prop_binY16_bin20   -1.6522e-01 +/-  9.24e-01
     prop_binY16_bin21    2.7390e-02 +/-  9.57e-01
     prop_binY16_bin22    2.1619e-02 +/-  9.76e-01
     prop_binY16_bin23   -1.5052e-02 +/-  9.87e-01
     prop_binY16_bin24   -3.1808e-03 +/-  9.87e-01
     prop_binY16_bin25   -9.7884e-03 +/-  9.85e-01
     prop_binY16_bin26    7.0090e-02 +/-  9.79e-01
     prop_binY16_bin27   -3.9712e-02 +/-  9.21e-01
     prop_binY16_bin28    4.1488e-02 +/-  9.50e-01
     prop_binY16_bin29   -4.6367e-02 +/-  9.87e-01
      prop_binY16_bin3    1.0828e-01 +/-  9.49e-01
     prop_binY16_bin30   -8.4352e-03 +/-  9.87e-01
     prop_binY16_bin31    1.9191e-02 +/-  9.86e-01
     prop_binY16_bin32    1.4820e-02 +/-  9.86e-01
     prop_binY16_bin33    4.6471e-04 +/-  9.62e-01
     prop_binY16_bin34   -1.9453e-02 +/-  9.73e-01
     prop_binY16_bin35   -2.9430e-02 +/-  9.86e-01
     prop_binY16_bin36   -5.9666e-02 +/-  9.87e-01
     prop_binY16_bin37   -2.5547e-02 +/-  9.87e-01
     prop_binY16_bin38    2.3382e-02 +/-  9.76e-01
     prop_binY16_bin39    1.0420e-02 +/-  9.77e-01
      prop_binY16_bin4    1.5079e-01 +/-  9.49e-01
     prop_binY16_bin40    2.4231e-02 +/-  9.80e-01
     prop_binY16_bin41   -1.2132e-02 +/-  9.90e-01
     prop_binY16_bin42   -3.6880e-02 +/-  9.89e-01
     prop_binY16_bin43   -1.8716e-02 +/-  9.91e-01
     prop_binY16_bin44   -2.2015e-02 +/-  9.91e-01
     prop_binY16_bin45   -2.3734e-02 +/-  9.90e-01
     prop_binY16_bin46   -8.6387e-03 +/-  9.90e-01
     prop_binY16_bin47    1.4986e-02 +/-  9.73e-01
     prop_binY16_bin48   -9.5297e-02 +/-  9.50e-01
     prop_binY16_bin49   -8.6008e-03 +/-  9.91e-01
      prop_binY16_bin5    5.2028e-02 +/-  9.41e-01
     prop_binY16_bin50   -1.8123e-02 +/-  9.91e-01
     prop_binY16_bin51   -8.4779e-03 +/-  9.91e-01
     prop_binY16_bin52    9.0805e-04 +/-  9.91e-01
     prop_binY16_bin53   -5.1482e-02 +/-  9.75e-01
     prop_binY16_bin54   -2.2656e-02 +/-  9.89e-01
     prop_binY16_bin55    8.6268e-03 +/-  9.90e-01
     prop_binY16_bin56   -1.4447e-02 +/-  9.91e-01
     prop_binY16_bin57   -3.4112e-03 +/-  9.91e-01
     prop_binY16_bin58    1.8782e-03 +/-  9.90e-01
     prop_binY16_bin59    2.5708e-03 +/-  9.90e-01
      prop_binY16_bin6    2.5976e-01 +/-  9.34e-01
      prop_binY16_bin7   -1.9651e-01 +/-  9.04e-01
      prop_binY16_bin8    2.7603e-01 +/-  9.37e-01
      prop_binY16_bin9    7.0205e-02 +/-  9.50e-01
      prop_binY17_bin0   -4.1632e-01 +/-  8.12e-01
      prop_binY17_bin1    1.9629e-01 +/-  9.62e-01
     prop_binY17_bin10   -4.2400e-02 +/-  9.70e-01
     prop_binY17_bin11   -8.3920e-03 +/-  9.70e-01
     prop_binY17_bin12   -3.3211e-02 +/-  9.65e-01
     prop_binY17_bin13    7.6306e-02 +/-  9.26e-01
     prop_binY17_bin14    7.6854e-02 +/-  9.64e-01
     prop_binY17_bin15    9.7663e-02 +/-  9.63e-01
     prop_binY17_bin16   -4.5678e-02 +/-  9.75e-01
     prop_binY17_bin17   -4.8817e-02 +/-  9.76e-01
     prop_binY17_bin18   -2.9619e-02 +/-  9.72e-01
     prop_binY17_bin19    1.3420e-01 +/-  9.74e-01
      prop_binY17_bin2    1.5614e-01 +/-  9.69e-01
     prop_binY17_bin20   -2.4750e-01 +/-  9.20e-01
     prop_binY17_bin21    8.9422e-03 +/-  9.87e-01
     prop_binY17_bin22    5.8267e-03 +/-  9.86e-01
     prop_binY17_bin23   -2.9368e-02 +/-  9.87e-01
     prop_binY17_bin24   -3.6914e-03 +/-  9.89e-01
     prop_binY17_bin25    6.4029e-03 +/-  9.87e-01
     prop_binY17_bin26    3.3379e-02 +/-  9.85e-01
     prop_binY17_bin27    9.8480e-03 +/-  9.23e-01
     prop_binY17_bin28    2.5805e-02 +/-  9.66e-01
     prop_binY17_bin29   -1.1142e-02 +/-  9.87e-01
      prop_binY17_bin3    1.3385e-01 +/-  9.71e-01
     prop_binY17_bin30   -1.1332e-02 +/-  9.90e-01
     prop_binY17_bin31   -1.6129e-02 +/-  9.88e-01
     prop_binY17_bin32    3.0940e-03 +/-  9.91e-01
     prop_binY17_bin33   -4.7225e-03 +/-  9.76e-01
     prop_binY17_bin34   -4.0152e-02 +/-  9.78e-01
     prop_binY17_bin35   -6.0441e-03 +/-  9.91e-01
     prop_binY17_bin36   -1.6387e-02 +/-  9.90e-01
     prop_binY17_bin37   -1.7095e-02 +/-  9.90e-01
     prop_binY17_bin38    5.4741e-03 +/-  9.90e-01
     prop_binY17_bin39    1.6915e-02 +/-  9.87e-01
      prop_binY17_bin4   -3.0262e-02 +/-  9.73e-01
     prop_binY17_bin40   -1.1582e-01 +/-  9.53e-01
     prop_binY17_bin41    6.4530e-03 +/-  9.92e-01
     prop_binY17_bin42   -2.1057e-02 +/-  9.92e-01
     prop_binY17_bin43   -2.1433e-02 +/-  9.92e-01
     prop_binY17_bin44   -2.2795e-02 +/-  9.92e-01
     prop_binY17_bin45   -3.7657e-03 +/-  9.92e-01
     prop_binY17_bin46   -5.6899e-03 +/-  9.90e-01
     prop_binY17_bin47   -1.1913e-01 +/-  9.62e-01
     prop_binY17_bin48   -8.2085e-02 +/-  9.69e-01
     prop_binY17_bin49   -2.8151e-03 +/-  9.92e-01
      prop_binY17_bin5    1.3753e-01 +/-  9.69e-01
     prop_binY17_bin50   -8.3293e-03 +/-  9.93e-01
     prop_binY17_bin51   -8.6060e-03 +/-  9.93e-01
     prop_binY17_bin52   -2.5600e-03 +/-  9.93e-01
     prop_binY17_bin53   -6.5511e-02 +/-  9.78e-01
     prop_binY17_bin54   -1.8671e-02 +/-  9.91e-01
     prop_binY17_bin55   -6.2136e-03 +/-  9.93e-01
     prop_binY17_bin56   -8.2544e-03 +/-  9.93e-01
     prop_binY17_bin57   -1.0272e-02 +/-  9.93e-01
     prop_binY17_bin58   -5.3288e-03 +/-  9.93e-01
     prop_binY17_bin59   -7.9168e-03 +/-  9.87e-01
      prop_binY17_bin6    1.3576e-01 +/-  9.65e-01
      prop_binY17_bin7   -4.0796e-01 +/-  8.26e-01
      prop_binY17_bin8   -1.8914e-02 +/-  9.00e-01
      prop_binY17_bin9    1.1297e-01 +/-  9.58e-01
      prop_binY18_bin0   -4.9173e-01 +/-  8.90e-01
      prop_binY18_bin1    2.1148e-01 +/-  9.62e-01
     prop_binY18_bin10    5.6856e-02 +/-  9.65e-01
     prop_binY18_bin11    7.3871e-02 +/-  9.65e-01
     prop_binY18_bin12    1.5423e-01 +/-  9.62e-01
     prop_binY18_bin13    2.3710e-01 +/-  9.52e-01
     prop_binY18_bin14    1.5266e-01 +/-  9.61e-01
     prop_binY18_bin15   -2.9815e-02 +/-  9.65e-01
     prop_binY18_bin16   -1.8162e-02 +/-  9.69e-01
     prop_binY18_bin17   -9.7658e-02 +/-  9.69e-01
     prop_binY18_bin18    4.9612e-02 +/-  9.64e-01
