
Attaching file multidimfitTest.root as _file0...
(TFile *) 0x25b3310

  RooFitResult: minimized FCN value: -3.77644e-05, estimated distance to minimum: 4.82861e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    3.9246e-02 +/-  6.60e-02
                    A4    1.6130e+00 +/-  7.80e-02
                 FAC16   -2.7563e-02 +/-  9.34e-01
               FAC1718    1.2170e-02 +/-  9.33e-01
        MCStatBin10y16    1.7962e-02 +/-  9.54e-01
        MCStatBin10y17    1.9361e-02 +/-  9.75e-01
        MCStatBin10y18   -1.0294e-02 +/-  9.65e-01
        MCStatBin11y16   -4.3667e-03 +/-  9.59e-01
        MCStatBin11y17    9.8665e-03 +/-  9.79e-01
        MCStatBin11y18    1.3586e-02 +/-  9.70e-01
        MCStatBin15y16    6.7633e-03 +/-  9.62e-01
        MCStatBin15y17    1.2283e-02 +/-  9.81e-01
        MCStatBin15y18   -2.6817e-02 +/-  9.67e-01
        MCStatBin16y16   -5.9094e-02 +/-  9.60e-01
        MCStatBin16y17    3.9662e-02 +/-  9.73e-01
        MCStatBin16y18   -2.5140e-02 +/-  9.61e-01
        MCStatBin17y16   -3.9171e-03 +/-  9.63e-01
        MCStatBin17y17    8.2840e-03 +/-  9.82e-01
        MCStatBin17y18    1.1819e-02 +/-  9.71e-01
         MCStatBin1y16   -9.1895e-03 +/-  9.90e-01
         MCStatBin1y17   -3.8696e-03 +/-  9.94e-01
         MCStatBin1y18   -3.2775e-03 +/-  9.95e-01
        MCStatBin21y16    2.4649e-06 +/-  9.97e-01
        MCStatBin21y17    6.3755e-04 +/-  9.98e-01
        MCStatBin21y18   -1.0938e-04 +/-  9.98e-01
        MCStatBin22y16    3.8618e-03 +/-  9.91e-01
        MCStatBin22y17   -3.0338e-03 +/-  9.96e-01
        MCStatBin22y18   -2.2845e-03 +/-  9.94e-01
        MCStatBin23y16   -4.6254e-03 +/-  9.90e-01
        MCStatBin23y17   -4.7480e-03 +/-  9.96e-01
        MCStatBin23y18    1.8342e-03 +/-  9.94e-01
        MCStatBin24y16   -9.6775e-03 +/-  9.92e-01
        MCStatBin24y17   -6.2679e-03 +/-  9.97e-01
        MCStatBin24y18   -9.5349e-04 +/-  9.94e-01
        MCStatBin29y16    1.3508e-02 +/-  9.93e-01
        MCStatBin29y17    3.9707e-03 +/-  9.96e-01
        MCStatBin29y18    4.3864e-03 +/-  9.94e-01
         MCStatBin2y16    4.7993e-03 +/-  9.60e-01
         MCStatBin2y17   -5.0030e-03 +/-  9.82e-01
         MCStatBin2y18   -4.2340e-03 +/-  9.73e-01
        MCStatBin30y16   -1.7525e-02 +/-  9.89e-01
        MCStatBin30y17   -6.8785e-04 +/-  9.96e-01
        MCStatBin30y18    4.4181e-04 +/-  9.93e-01
        MCStatBin31y16   -1.1286e-02 +/-  9.91e-01
        MCStatBin31y17   -5.6782e-03 +/-  9.96e-01
        MCStatBin31y18    9.2312e-04 +/-  9.94e-01
        MCStatBin35y16    2.8268e-03 +/-  9.89e-01
        MCStatBin35y17   -3.3221e-03 +/-  9.95e-01
        MCStatBin35y18    1.4761e-02 +/-  9.91e-01
        MCStatBin36y16   -2.0124e-02 +/-  9.88e-01
        MCStatBin36y17   -6.5727e-03 +/-  9.95e-01
        MCStatBin36y18    5.3635e-03 +/-  9.91e-01
        MCStatBin37y16   -1.7211e-02 +/-  9.91e-01
        MCStatBin37y17   -7.1383e-03 +/-  9.96e-01
        MCStatBin37y18   -2.3747e-03 +/-  9.92e-01
         MCStatBin3y16    8.7923e-03 +/-  9.57e-01
         MCStatBin3y17    8.7489e-03 +/-  9.77e-01
         MCStatBin3y18    5.4234e-03 +/-  9.68e-01
        MCStatBin41y16    1.2803e-03 +/-  9.97e-01
        MCStatBin41y17    3.9773e-03 +/-  9.99e-01
        MCStatBin41y18    2.2662e-03 +/-  9.99e-01
        MCStatBin42y16    4.8727e-03 +/-  9.95e-01
        MCStatBin42y17    1.6460e-03 +/-  9.98e-01
        MCStatBin42y18    1.9292e-03 +/-  9.97e-01
        MCStatBin43y16    1.8667e-03 +/-  9.95e-01
        MCStatBin43y17   -1.1817e-03 +/-  9.98e-01
        MCStatBin43y18    9.8146e-04 +/-  9.97e-01
        MCStatBin44y16    2.4452e-03 +/-  9.95e-01
        MCStatBin44y17   -4.8344e-04 +/-  9.98e-01
        MCStatBin44y18   -6.3218e-04 +/-  9.98e-01
        MCStatBin49y16    6.7206e-03 +/-  9.96e-01
        MCStatBin49y17   -1.9449e-03 +/-  9.98e-01
        MCStatBin49y18    4.8618e-03 +/-  9.97e-01
         MCStatBin4y16    8.8088e-03 +/-  9.61e-01
         MCStatBin4y17    2.3559e-02 +/-  9.80e-01
         MCStatBin4y18    1.9207e-02 +/-  9.70e-01
        MCStatBin50y16    1.3707e-03 +/-  9.95e-01
        MCStatBin50y17    9.5077e-04 +/-  9.98e-01
        MCStatBin50y18   -7.6741e-04 +/-  9.97e-01
        MCStatBin51y16    2.2656e-04 +/-  9.95e-01
        MCStatBin51y17   -1.0731e-03 +/-  9.98e-01
        MCStatBin51y18   -1.0308e-03 +/-  9.97e-01
        MCStatBin55y16   -7.4366e-03 +/-  9.92e-01
        MCStatBin55y17    1.9456e-03 +/-  9.96e-01
        MCStatBin55y18    2.7521e-04 +/-  9.95e-01
        MCStatBin56y16    7.1135e-03 +/-  9.93e-01
        MCStatBin56y17   -2.8941e-04 +/-  9.97e-01
        MCStatBin56y18   -3.3727e-03 +/-  9.96e-01
        MCStatBin57y16   -1.2618e-03 +/-  9.95e-01
        MCStatBin57y17   -9.1818e-04 +/-  9.98e-01
        MCStatBin57y18   -2.3063e-03 +/-  9.97e-01
         MCStatBin9y16    1.6861e-02 +/-  9.70e-01
         MCStatBin9y17   -1.7050e-02 +/-  9.86e-01
         MCStatBin9y18   -1.4696e-02 +/-  9.76e-01
                    Pu   -1.2851e-02 +/-  9.70e-01
               REFAC16   -1.6211e-02 +/-  8.14e-01
             REFAC1718   -1.2608e-03 +/-  8.94e-01
              RENORM16    3.1869e-03 +/-  9.59e-01
            RENORM1718   -2.7093e-02 +/-  1.00e+00
              alphaS16    1.0412e-02 +/-  9.91e-01
            alphaS1718    0.0000e+00 +/-  1.00e+00
               db_xsec   -1.4305e-02 +/-  9.97e-01
               dy_xsec    2.1129e-02 +/-  9.30e-01
             elFakes16    3.2798e-02 +/-  8.06e-01
             elFakes17    2.5367e-02 +/-  8.66e-01
             elFakes18    1.2687e-02 +/-  7.15e-01
      elHLTBARPTHIGH16   -2.7155e-03 +/-  1.00e+00
      elHLTBARPTHIGH17    1.4385e-04 +/-  9.88e-01
      elHLTBARPTHIGH18    6.8300e-03 +/-  9.87e-01
       elHLTBARPTLOW16   -5.0742e-04 +/-  9.99e-01
       elHLTBARPTLOW17    6.6858e-05 +/-  9.97e-01
       elHLTBARPTLOW18    3.4091e-03 +/-  9.98e-01
      elHLTENDPTHIGH16   -9.2058e-04 +/-  9.87e-01
      elHLTENDPTHIGH17   -2.7946e-05 +/-  9.95e-01
      elHLTENDPTHIGH18   -2.3626e-03 +/-  9.93e-01
       elHLTENDPTLOW16   -8.4363e-06 +/-  9.96e-01
       elHLTENDPTLOW17   -4.7248e-04 +/-  9.99e-01
       elHLTENDPTLOW18   -2.2058e-03 +/-  9.99e-01
         elIDBARPTHIGH    3.3384e-02 +/-  6.08e-01
          elIDBARPTLOW   -1.1431e-03 +/-  1.00e+00
         elIDENDPTHIGH    3.1307e-03 +/-  3.91e-01
          elIDENDPTLOW   -7.7414e-03 +/-  9.95e-01
       elRECOBARPTHIGH    9.2291e-04 +/-  9.87e-01
        elRECOBARPTLOW   -4.8311e-04 +/-  1.00e+00
       elRECOENDPTHIGH   -8.0220e-03 +/-  9.79e-01
        elRECOENDPTLOW   -4.1686e-03 +/-  9.99e-01
         elScaleGain16   -2.5237e-02 +/-  8.49e-01
         elScaleGain17   -2.8606e-02 +/-  8.46e-01
         elScaleGain18    6.8404e-03 +/-  7.75e-01
         elScaleStat16    0.0000e+00 +/-  1.00e+00
         elScaleStat17    0.0000e+00 +/-  1.00e+00
         elScaleStat18    0.0000e+00 +/-  1.00e+00
           elScaleSyst    2.4703e-02 +/-  9.42e-01
               elSmear    1.4801e-03 +/-  9.93e-01
         elfakesrw1b16    5.5789e-02 +/-  8.60e-01
         elfakesrw1b17   -6.3847e-03 +/-  8.96e-01
         elfakesrw1b18    5.0397e-03 +/-  9.02e-01
         elfakesrw2b16    1.2250e-02 +/-  9.93e-01
         elfakesrw2b17   -1.5514e-03 +/-  9.90e-01
         elfakesrw2b18   -2.7746e-03 +/-  9.96e-01
         elfakesrw3b16   -5.9670e-02 +/-  9.61e-01
         elfakesrw3b17    2.5095e-02 +/-  9.88e-01
         elfakesrw3b18   -2.6183e-03 +/-  9.99e-01
         elfakesrw4b16   -8.9036e-03 +/-  9.88e-01
         elfakesrw4b17    1.6694e-02 +/-  9.82e-01
         elfakesrw4b18    1.5536e-02 +/-  9.87e-01
         emucostrw1b16    5.9294e-05 +/-  9.06e-01
       emucostrw1b1718   -5.2232e-02 +/-  8.73e-01
         emucostrw2b16    8.4535e-03 +/-  9.89e-01
       emucostrw2b1718   -1.3055e-02 +/-  9.90e-01
         emucostrw3b16   -9.9203e-03 +/-  9.94e-01
       emucostrw3b1718    1.1304e-02 +/-  9.94e-01
         emucostrw4b16   -1.2215e-03 +/-  9.98e-01
       emucostrw4b1718    7.3671e-03 +/-  9.96e-01
              gam_xsec    2.6901e-03 +/-  1.00e+00
                lumi16   -1.4326e-02 +/-  9.48e-01
                lumi17   -2.3423e-03 +/-  9.21e-01
                lumi18    9.2948e-03 +/-  9.34e-01
                lumiBC    8.9431e-04 +/-  9.99e-01
                lumiDB   -3.0818e-03 +/-  9.96e-01
                lumiGS   -2.7183e-03 +/-  9.98e-01
                lumiLS    8.9431e-04 +/-  9.99e-01
                lumiXY    5.2125e-03 +/-  9.36e-01
               nlo_sys   -1.8140e-04 +/-  1.00e+00
                  pdf1    2.7151e-03 +/-  9.98e-01
                 pdf10    7.6351e-04 +/-  9.99e-01
                 pdf11   -1.3206e-03 +/-  9.99e-01
                 pdf12   -3.6257e-03 +/-  9.99e-01
                 pdf13    6.3683e-03 +/-  9.98e-01
                 pdf14    1.7995e-03 +/-  9.97e-01
                 pdf15    4.9513e-04 +/-  1.00e+00
                 pdf16   -2.1786e-03 +/-  9.99e-01
                 pdf17    1.9929e-03 +/-  9.98e-01
                 pdf18   -4.3886e-03 +/-  1.00e+00
                 pdf19    4.0027e-04 +/-  9.99e-01
                  pdf2   -6.0340e-04 +/-  9.99e-01
                 pdf20    1.5580e-04 +/-  1.00e+00
                 pdf21    1.8444e-03 +/-  9.98e-01
                 pdf22    5.0123e-05 +/-  1.00e+00
                 pdf23    2.7523e-03 +/-  9.99e-01
                 pdf24   -3.5455e-03 +/-  9.98e-01
                 pdf25    1.3990e-03 +/-  9.99e-01
                 pdf26    2.6807e-03 +/-  9.99e-01
                 pdf27   -4.5955e-03 +/-  9.99e-01
                 pdf28   -5.0743e-03 +/-  9.98e-01
