
Attaching file multidimfitTest.root as _file0...
(TFile *) 0x3cd7770

  RooFitResult: minimized FCN value: -0.0950652, estimated distance to minimum: 1.27983e-08
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    4.3031e-02 +/-  9.16e-02
                    A4    1.6096e+00 +/-  1.07e-01
                 FAC16   -3.7230e-02 +/-  9.37e-01
               FAC1718    7.8623e-03 +/-  9.26e-01
                    Pu    1.2113e-02 +/-  9.80e-01
               REFAC16   -4.9271e-02 +/-  8.28e-01
             REFAC1718    2.4331e-02 +/-  9.02e-01
              RENORM16   -2.7957e-02 +/-  9.92e-01
            RENORM1718   -3.5951e-03 +/-  1.01e+00
              alphaS16    1.4487e-02 +/-  9.97e-01
            alphaS1718   -1.4780e-12 +/-  9.94e-01
               db_xsec   -1.1525e-03 +/-  9.93e-01
               dy_xsec    5.7754e-03 +/-  9.42e-01
             elFakes16    3.4784e-02 +/-  8.64e-01
             elFakes17   -1.3216e-02 +/-  9.21e-01
             elFakes18    1.1730e-02 +/-  7.98e-01
      elHLTBARPTHIGH16   -9.0031e-03 +/-  1.01e+00
      elHLTBARPTHIGH17    2.0269e-03 +/-  9.86e-01
      elHLTBARPTHIGH18    6.2566e-03 +/-  9.85e-01
       elHLTBARPTLOW16   -4.0009e-03 +/-  9.94e-01
       elHLTBARPTLOW17    9.2872e-04 +/-  9.93e-01
       elHLTBARPTLOW18    3.2472e-03 +/-  9.94e-01
      elHLTENDPTHIGH16   -5.4952e-03 +/-  9.99e-01
      elHLTENDPTHIGH17    1.8384e-04 +/-  9.92e-01
      elHLTENDPTHIGH18    5.2351e-03 +/-  9.89e-01
       elHLTENDPTLOW16   -3.0087e-03 +/-  9.94e-01
       elHLTENDPTLOW17   -5.8933e-04 +/-  9.94e-01
       elHLTENDPTLOW18    2.0173e-03 +/-  9.94e-01
         elIDBARPTHIGH   -1.6969e-02 +/-  7.34e-01
          elIDBARPTLOW   -4.7813e-04 +/-  9.94e-01
         elIDENDPTHIGH    5.3831e-02 +/-  7.61e-01
          elIDENDPTLOW   -6.3745e-03 +/-  9.93e-01
       elRECOBARPTHIGH   -1.2081e-02 +/-  9.87e-01
        elRECOBARPTLOW   -4.0516e-04 +/-  9.94e-01
       elRECOENDPTHIGH    5.5862e-03 +/-  9.88e-01
        elRECOENDPTLOW   -3.0094e-03 +/-  9.94e-01
         elScaleGain16    1.2554e-02 +/-  8.97e-01
         elScaleGain17   -8.8221e-02 +/-  8.61e-01
         elScaleGain18   -4.9750e-03 +/-  8.57e-01
         elScaleStat16   -1.2913e-12 +/-  9.94e-01
         elScaleStat17   -1.2913e-12 +/-  9.94e-01
         elScaleStat18   -1.2913e-12 +/-  9.94e-01
           elScaleSyst   -5.0384e-03 +/-  9.82e-01
               elSmear   -9.3729e-04 +/-  9.93e-01
         elfakesrw1b16    4.3666e-02 +/-  8.91e-01
         elfakesrw1b17   -3.5307e-02 +/-  9.47e-01
