
Attaching file multidimfitTest.root as _file0...
(TFile *) 0x2679730

  RooFitResult: minimized FCN value: -0.276572, estimated distance to minimum: 6.2754e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    3.6358e-02 +/-  6.97e-02
                    A4    1.6184e+00 +/-  8.64e-02
                 FAC16   -5.0044e-02 +/-  9.27e-01
               FAC1718    1.6184e-02 +/-  9.26e-01
                    Pu   -1.1136e-02 +/-  9.66e-01
               REFAC16   -4.5227e-02 +/-  7.98e-01
             REFAC1718    8.9978e-03 +/-  8.78e-01
              RENORM16   -1.4916e-02 +/-  9.76e-01
            RENORM1718   -3.2058e-02 +/-  9.98e-01
              alphaS16    1.9405e-02 +/-  9.88e-01
            alphaS1718    0.0000e+00 +/-  9.94e-01
               db_xsec   -1.6698e-02 +/-  9.91e-01
               dy_xsec   -6.8322e-03 +/-  9.23e-01
             elFakes16    2.7293e-02 +/-  7.88e-01
             elFakes17    8.5347e-03 +/-  8.56e-01
             elFakes18    9.5432e-03 +/-  6.95e-01
      elHLTBARPTHIGH16   -1.0242e-02 +/-  1.01e+00
      elHLTBARPTHIGH17   -3.0730e-03 +/-  9.85e-01
      elHLTBARPTHIGH18    1.2766e-02 +/-  9.76e-01
       elHLTBARPTLOW16   -3.2479e-03 +/-  9.93e-01
       elHLTBARPTLOW17   -1.6008e-03 +/-  9.92e-01
       elHLTBARPTLOW18    6.2956e-03 +/-  9.93e-01
      elHLTENDPTHIGH16    4.8106e-04 +/-  9.81e-01
      elHLTENDPTHIGH17    3.5391e-03 +/-  9.87e-01
      elHLTENDPTHIGH18   -9.1912e-03 +/-  9.91e-01
       elHLTENDPTLOW16    1.0869e-04 +/-  9.90e-01
       elHLTENDPTLOW17    1.2482e-03 +/-  9.93e-01
       elHLTENDPTLOW18   -5.2379e-03 +/-  9.93e-01
         elIDBARPTHIGH    1.3634e-02 +/-  5.77e-01
          elIDBARPTLOW   -1.3196e-03 +/-  9.94e-01
         elIDENDPTHIGH   -1.6875e-02 +/-  3.83e-01
          elIDENDPTLOW   -8.0605e-03 +/-  9.89e-01
       elRECOBARPTHIGH   -4.5752e-03 +/-  9.81e-01
        elRECOBARPTLOW   -4.9282e-04 +/-  9.94e-01
       elRECOENDPTHIGH   -1.7158e-02 +/-  9.73e-01
        elRECOENDPTLOW   -4.4912e-03 +/-  9.93e-01
         elScaleGain16    1.8002e-02 +/-  8.34e-01
         elScaleGain17   -6.1534e-02 +/-  8.36e-01
         elScaleGain18   -1.2750e-02 +/-  7.52e-01
         elScaleStat16    0.0000e+00 +/-  9.94e-01
         elScaleStat17    0.0000e+00 +/-  9.94e-01
         elScaleStat18    0.0000e+00 +/-  9.94e-01
           elScaleSyst    2.0248e-02 +/-  9.29e-01
               elSmear   -2.4507e-04 +/-  9.85e-01
         elfakesrw1b16    6.5831e-02 +/-  8.48e-01
         elfakesrw1b17   -2.4742e-02 +/-  8.88e-01
         elfakesrw1b18    4.4032e-03 +/-  8.92e-01
         elfakesrw2b16    1.8553e-02 +/-  9.87e-01
         elfakesrw2b17   -7.5960e-03 +/-  9.85e-01
         elfakesrw2b18   -4.2179e-03 +/-  9.90e-01
         elfakesrw3b16   -9.2825e-02 +/-  9.51e-01
         elfakesrw3b17    3.1065e-02 +/-  9.82e-01
         elfakesrw3b18   -3.1935e-03 +/-  9.93e-01
