
Attaching file multidimfitTest.root as _file0...
(TFile *) 0x2ed8060

  RooFitResult: minimized FCN value: -0.00187933, estimated distance to minimum: 0.000686504
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    4.5072e-02 +/-  8.84e-02
                    A4    1.6072e+00 +/-  1.20e-01
                 FAC16   -2.7812e-02 +/-  9.44e-01
               FAC1718   -6.3847e-03 +/-  9.42e-01
                    Pu    1.4461e-02 +/-  9.77e-01
               REFAC16   -3.3748e-02 +/-  8.52e-01
             REFAC1718    6.9229e-03 +/-  9.22e-01
              RENORM16   -1.4501e-02 +/-  9.92e-01
            RENORM1718   -2.6866e-03 +/-  1.01e+00
              alphaS16    8.4515e-03 +/-  9.99e-01
            alphaS1718    0.0000e+00 +/-  9.94e-01
               db_xsec   -1.0664e-03 +/-  9.93e-01
               dy_xsec    3.2688e-03 +/-  9.56e-01
             elFakes16    4.4467e-02 +/-  8.65e-01
             elFakes17   -3.0417e-03 +/-  9.21e-01
             elFakes18    1.1309e-02 +/-  8.04e-01
      elHLTBARPTHIGH16   -4.0808e-03 +/-  1.01e+00
      elHLTBARPTHIGH17    2.2591e-03 +/-  9.86e-01
      elHLTBARPTHIGH18    1.9430e-03 +/-  9.88e-01
       elHLTBARPTLOW16   -2.1093e-03 +/-  9.94e-01
       elHLTBARPTLOW17    1.0962e-03 +/-  9.93e-01
       elHLTBARPTLOW18    1.0710e-03 +/-  9.94e-01
      elHLTENDPTHIGH16   -9.3054e-04 +/-  9.95e-01
      elHLTENDPTHIGH17    5.0675e-04 +/-  9.93e-01
      elHLTENDPTHIGH18    1.9136e-03 +/-  9.89e-01
       elHLTENDPTLOW16    6.8445e-05 +/-  9.93e-01
       elHLTENDPTLOW17   -4.8203e-04 +/-  9.94e-01
       elHLTENDPTLOW18    4.3747e-04 +/-  9.94e-01
         elIDBARPTHIGH   -9.5358e-03 +/-  8.38e-01
          elIDBARPTLOW   -2.4835e-04 +/-  9.94e-01
         elIDENDPTHIGH    4.0252e-02 +/-  7.94e-01
          elIDENDPTLOW   -5.4823e-03 +/-  9.93e-01
       elRECOBARPTHIGH   -1.0226e-02 +/-  9.89e-01
        elRECOBARPTLOW   -2.0320e-04 +/-  9.94e-01
       elRECOENDPTHIGH    3.4484e-03 +/-  9.88e-01
        elRECOENDPTLOW   -2.0237e-03 +/-  9.94e-01
         elScaleGain16   -3.5213e-02 +/-  9.00e-01
         elScaleGain17   -5.3979e-02 +/-  8.58e-01
         elScaleGain18   -1.0367e-02 +/-  8.73e-01
         elScaleStat16    0.0000e+00 +/-  9.94e-01
         elScaleStat17    0.0000e+00 +/-  9.94e-01
         elScaleStat18    0.0000e+00 +/-  9.94e-01
           elScaleSyst   -3.4567e-03 +/-  9.85e-01
               elSmear   -8.2035e-04 +/-  9.93e-01
         elfakesrw1b16    3.5684e-02 +/-  8.89e-01
         elfakesrw1b17   -2.4540e-02 +/-  9.46e-01
         elfakesrw1b18    4.7422e-03 +/-  9.29e-01
         elfakesrw2b16    6.2355e-03 +/-  9.93e-01
         elfakesrw2b17   -2.7432e-03 +/-  9.93e-01
         elfakesrw2b18   -1.0241e-03 +/-  9.94e-01
         elfakesrw3b16   -9.6315e-03 +/-  9.73e-01
         elfakesrw3b17    1.3775e-02 +/-  9.87e-01
         elfakesrw3b18   -1.0759e-03 +/-  9.94e-01
         elfakesrw4b16   -1.9288e-03 +/-  9.86e-01
         elfakesrw4b17    1.5394e-02 +/-  9.81e-01
         elfakesrw4b18    9.0632e-03 +/-  9.85e-01
         emucostrw1b16    1.2502e-02 +/-  9.34e-01
       emucostrw1b1718   -4.4576e-02 +/-  9.29e-01
         emucostrw2b16    4.2001e-03 +/-  9.92e-01
       emucostrw2b1718   -5.0981e-03 +/-  9.93e-01
         emucostrw3b16   -3.9336e-03 +/-  9.89e-01
       emucostrw3b1718    5.1936e-03 +/-  9.89e-01
         emucostrw4b16   -3.2758e-03 +/-  9.93e-01
       emucostrw4b1718    6.2498e-03 +/-  9.92e-01
              gam_xsec    4.8966e-04 +/-  9.94e-01
                lumi16   -1.9161e-02 +/-  9.50e-01
                lumi17    5.7577e-03 +/-  9.31e-01
                lumi18    6.0039e-03 +/-  9.42e-01
                lumiBC    1.2363e-03 +/-  9.94e-01
                lumiDB   -2.6459e-03 +/-  9.91e-01
                lumiGS   -3.1986e-03 +/-  9.93e-01
                lumiLS    1.2363e-03 +/-  9.94e-01
                lumiXY    3.0943e-03 +/-  9.45e-01
               nlo_sys    1.2951e-05 +/-  9.94e-01
                  pdf1    7.7242e-04 +/-  9.94e-01
                 pdf10   -1.2485e-03 +/-  9.95e-01
                 pdf11   -6.6083e-04 +/-  9.95e-01
                 pdf12   -1.8625e-03 +/-  9.95e-01
                 pdf13    2.5632e-03 +/-  9.94e-01
                 pdf14   -3.9730e-04 +/-  9.94e-01
                 pdf15   -1.5156e-03 +/-  9.95e-01
                 pdf16   -3.5254e-03 +/-  9.94e-01
                 pdf17   -8.5792e-05 +/-  9.95e-01
                 pdf18   -7.2510e-04 +/-  9.95e-01
                 pdf19   -2.7670e-03 +/-  9.94e-01
                  pdf2    1.7717e-03 +/-  9.94e-01
                 pdf20   -7.2833e-04 +/-  9.95e-01
                 pdf21    2.6335e-04 +/-  9.95e-01
                 pdf22    9.9905e-04 +/-  9.95e-01
                 pdf23    4.7404e-04 +/-  9.94e-01
                 pdf24   -8.7446e-04 +/-  9.94e-01
                 pdf25    1.3433e-03 +/-  9.95e-01
                 pdf26    3.9606e-05 +/-  9.94e-01
                 pdf27    6.8737e-04 +/-  9.95e-01
                 pdf28    6.1904e-04 +/-  9.94e-01
                 pdf29    4.0216e-04 +/-  9.95e-01
                  pdf3    1.0691e-03 +/-  9.95e-01
                 pdf30    6.8942e-04 +/-  9.94e-01
                 pdf31   -2.8356e-03 +/-  9.94e-01
                 pdf32   -7.2495e-04 +/-  9.95e-01
