
Attaching file multidimfitTest.root as _file0...
(TFile *) 0x2e4b960

  RooFitResult: minimized FCN value: -1.67331e-07, estimated distance to minimum: 6.10388e-07
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    4.1442e-02 +/-  8.07e-02
                    A4    1.6073e+00 +/-  1.44e-01
                 FAC16   -3.3540e-02 +/-  9.34e-01
               FAC1718    1.1287e-02 +/-  9.43e-01
            MCStatBin1   -5.6095e-02 +/-  4.84e-01
           MCStatBin10    9.9040e-02 +/-  7.77e-01
           MCStatBin11    5.8380e-03 +/-  8.15e-01
           MCStatBin12    4.9022e-02 +/-  9.44e-01
           MCStatBin13   -7.4123e-02 +/-  9.33e-01
           MCStatBin14    3.6202e-04 +/-  7.20e-01
           MCStatBin15    1.5942e-02 +/-  7.34e-01
           MCStatBin16   -1.7507e-01 +/-  7.43e-01
           MCStatBin17   -1.7581e-02 +/-  8.54e-01
           MCStatBin18    2.7607e-02 +/-  9.66e-01
           MCStatBin19    1.2749e-01 +/-  9.42e-01
            MCStatBin2    4.6358e-02 +/-  8.00e-01
           MCStatBin20   -4.6876e-02 +/-  9.06e-01
           MCStatBin21   -8.3082e-02 +/-  5.43e-01
           MCStatBin22   -6.3173e-02 +/-  8.58e-01
           MCStatBin23   -1.4367e-02 +/-  8.96e-01
           MCStatBin24   -2.1867e-02 +/-  9.19e-01
           MCStatBin25   -2.8650e-02 +/-  9.72e-01
           MCStatBin26   -6.1417e-03 +/-  9.70e-01
           MCStatBin27    8.3190e-02 +/-  9.40e-01
           MCStatBin28    1.0071e-01 +/-  5.88e-01
           MCStatBin29    1.3774e-01 +/-  6.82e-01
            MCStatBin3    5.5160e-02 +/-  7.91e-01
           MCStatBin30   -1.4380e-02 +/-  9.11e-01
           MCStatBin31   -2.0182e-02 +/-  9.42e-01
           MCStatBin32   -1.3883e-02 +/-  9.81e-01
           MCStatBin33   -7.4522e-04 +/-  9.84e-01
           MCStatBin34   -8.2583e-02 +/-  7.98e-01
           MCStatBin35    3.7289e-02 +/-  8.12e-01
           MCStatBin36   -2.9817e-02 +/-  9.46e-01
           MCStatBin37   -4.5745e-02 +/-  9.39e-01
           MCStatBin38   -7.8587e-03 +/-  9.90e-01
           MCStatBin39    1.0282e-02 +/-  9.79e-01
            MCStatBin4    2.1195e-01 +/-  8.25e-01
           MCStatBin40   -7.0757e-03 +/-  9.25e-01
           MCStatBin41    1.0862e-01 +/-  7.10e-01
           MCStatBin42    2.7861e-02 +/-  9.38e-01
           MCStatBin43   -5.2114e-03 +/-  9.66e-01
           MCStatBin44    4.8044e-03 +/-  9.63e-01
           MCStatBin45   -4.8330e-03 +/-  9.91e-01
           MCStatBin46    5.6704e-03 +/-  9.93e-01
           MCStatBin47   -6.7576e-03 +/-  9.91e-01
           MCStatBin48   -7.5659e-02 +/-  7.58e-01
           MCStatBin49    9.4987e-02 +/-  7.57e-01
            MCStatBin5   -1.8825e-01 +/-  9.52e-01
           MCStatBin50    1.2505e-02 +/-  9.34e-01
           MCStatBin51   -1.3236e-03 +/-  9.88e-01
           MCStatBin52    2.1245e-05 +/-  9.98e-01
           MCStatBin53   -1.3126e-03 +/-  9.98e-01
           MCStatBin54   -6.0260e-02 +/-  8.53e-01
           MCStatBin55   -1.4039e-03 +/-  9.59e-01
           MCStatBin56    6.1603e-03 +/-  9.68e-01
           MCStatBin57   -5.9054e-03 +/-  9.83e-01
           MCStatBin58   -4.0993e-05 +/-  9.97e-01
           MCStatBin59   -5.3306e-04 +/-  9.98e-01
            MCStatBin6   -1.1570e-02 +/-  9.30e-01
           MCStatBin60    9.9975e-04 +/-  9.80e-01
            MCStatBin7   -4.0274e-02 +/-  9.17e-01
            MCStatBin8    2.7569e-02 +/-  5.22e-01
            MCStatBin9   -2.9517e-02 +/-  5.92e-01
                    Pu   -8.0345e-03 +/-  9.68e-01
               REFAC16   -3.0599e-02 +/-  8.13e-01
             REFAC1718   -3.3579e-03 +/-  8.97e-01
              RENORM16   -6.7823e-03 +/-  9.66e-01
            RENORM1718   -3.1048e-02 +/-  1.00e+00
              alphaS16    1.2365e-02 +/-  9.90e-01
            alphaS1718    3.4883e-12 +/-  1.00e+00
               db_xsec   -1.4193e-02 +/-  9.97e-01
               dy_xsec    2.1882e-03 +/-  9.37e-01
             elFakes16    2.8408e-02 +/-  8.13e-01
             elFakes17    1.5709e-02 +/-  8.66e-01
             elFakes18    7.5374e-03 +/-  7.02e-01
      elHLTBARPTHIGH16   -2.0767e-03 +/-  1.01e+00
      elHLTBARPTHIGH17   -3.9106e-04 +/-  9.88e-01
      elHLTBARPTHIGH18    4.2595e-03 +/-  9.89e-01
       elHLTBARPTLOW16   -1.9054e-04 +/-  9.99e-01
       elHLTBARPTLOW17   -2.7526e-04 +/-  9.97e-01
       elHLTBARPTLOW18    2.0195e-03 +/-  9.98e-01
      elHLTENDPTHIGH16   -7.8186e-05 +/-  9.87e-01
      elHLTENDPTHIGH17    1.7112e-03 +/-  9.95e-01
