
Attaching file multidimfitTest.root as _file0...
(TFile *) 0x20995d0

  RooFitResult: minimized FCN value: -0.305351, estimated distance to minimum: 5.6723e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    4.1038e-02 +/-  7.06e-02
                    A4    1.6119e+00 +/-  1.05e-01
                 FAC16   -3.2779e-02 +/-  9.34e-01
               FAC1718    9.9884e-03 +/-  9.36e-01
                    Pu   -1.3106e-02 +/-  9.68e-01
               REFAC16   -2.7198e-02 +/-  8.11e-01
             REFAC1718   -1.5032e-03 +/-  8.89e-01
              RENORM16   -2.3955e-03 +/-  9.65e-01
            RENORM1718   -3.3450e-02 +/-  1.00e+00
              alphaS16    1.0508e-02 +/-  9.92e-01
            alphaS1718    0.0000e+00 +/-  1.00e+00
               db_xsec   -1.7321e-02 +/-  9.96e-01
               dy_xsec    1.3814e-02 +/-  9.28e-01
             elFakes16    2.9058e-02 +/-  7.98e-01
             elFakes17    1.5181e-02 +/-  8.61e-01
             elFakes18    4.7682e-03 +/-  7.06e-01
      elHLTBARPTHIGH16   -3.1104e-03 +/-  1.00e+00
      elHLTBARPTHIGH17    1.4287e-03 +/-  9.87e-01
      elHLTBARPTHIGH18    5.6564e-03 +/-  9.87e-01
       elHLTBARPTLOW16   -3.8088e-04 +/-  9.99e-01
       elHLTBARPTLOW17    6.4897e-04 +/-  9.97e-01
       elHLTBARPTLOW18    2.7880e-03 +/-  9.98e-01
      elHLTENDPTHIGH16    3.5324e-04 +/-  9.85e-01
      elHLTENDPTHIGH17    8.6663e-04 +/-  9.94e-01
      elHLTENDPTHIGH18   -3.2006e-03 +/-  9.93e-01
       elHLTENDPTLOW16    6.5431e-04 +/-  9.96e-01
       elHLTENDPTLOW17    1.1604e-04 +/-  9.99e-01
       elHLTENDPTLOW18   -2.5970e-03 +/-  9.99e-01
         elIDBARPTHIGH    7.2972e-03 +/-  5.58e-01
          elIDBARPTLOW   -7.6135e-04 +/-  1.00e+00
         elIDENDPTHIGH    4.0698e-03 +/-  3.87e-01
          elIDENDPTLOW   -6.9051e-03 +/-  9.94e-01
       elRECOBARPTHIGH   -2.2264e-03 +/-  9.86e-01
        elRECOBARPTLOW   -2.4373e-04 +/-  1.00e+00
       elRECOENDPTHIGH   -6.9397e-03 +/-  9.78e-01
        elRECOENDPTLOW   -3.7628e-03 +/-  9.98e-01
         elScaleGain16   -4.5554e-02 +/-  8.44e-01
         elScaleGain17   -4.7676e-02 +/-  8.41e-01
         elScaleGain18   -2.0152e-02 +/-  7.65e-01
         elScaleStat16    0.0000e+00 +/-  1.00e+00
         elScaleStat17    0.0000e+00 +/-  1.00e+00
         elScaleStat18    0.0000e+00 +/-  1.00e+00
           elScaleSyst    2.3847e-02 +/-  9.41e-01
               elSmear    1.9442e-03 +/-  9.93e-01
         elfakesrw1b16    5.7040e-02 +/-  8.54e-01
         elfakesrw1b17   -1.7135e-02 +/-  8.93e-01
         elfakesrw1b18    1.7374e-03 +/-  8.98e-01
         elfakesrw2b16    1.7064e-02 +/-  9.92e-01
         elfakesrw2b17   -3.8218e-03 +/-  9.90e-01
         elfakesrw2b18   -2.6117e-03 +/-  9.96e-01
         elfakesrw3b16   -7.4829e-02 +/-  9.56e-01
         elfakesrw3b17    2.9279e-02 +/-  9.87e-01
         elfakesrw3b18   -3.1561e-03 +/-  9.98e-01
         elfakesrw4b16   -7.0517e-03 +/-  9.87e-01
         elfakesrw4b17    1.6361e-02 +/-  9.82e-01
         elfakesrw4b18    1.6991e-02 +/-  9.87e-01
         emucostrw1b16    3.8987e-03 +/-  8.98e-01
       emucostrw1b1718   -5.5881e-02 +/-  8.68e-01
         emucostrw2b16    1.1856e-02 +/-  9.87e-01
       emucostrw2b1718   -1.1774e-02 +/-  9.89e-01
         emucostrw3b16   -1.2166e-02 +/-  9.94e-01
       emucostrw3b1718    1.3564e-02 +/-  9.93e-01
         emucostrw4b16   -1.3869e-04 +/-  9.98e-01
       emucostrw4b1718    7.8627e-03 +/-  9.96e-01
              gam_xsec    1.9819e-03 +/-  9.99e-01
                lumi16   -1.4003e-02 +/-  9.48e-01
                lumi17    3.0267e-03 +/-  9.19e-01
                lumi18    5.5978e-03 +/-  9.32e-01
                lumiBC    1.2647e-03 +/-  9.99e-01
                lumiDB   -1.7820e-03 +/-  9.96e-01
                lumiGS   -2.3379e-03 +/-  9.98e-01
                lumiLS    1.2647e-03 +/-  9.99e-01
                lumiXY    3.0207e-03 +/-  9.34e-01
               nlo_sys    3.6684e-06 +/-  1.00e+00
                  pdf1    3.6548e-03 +/-  9.98e-01
                 pdf10    2.4259e-04 +/-  9.99e-01
                 pdf11   -2.4278e-03 +/-  9.99e-01
                 pdf12   -4.4835e-03 +/-  9.98e-01
                 pdf13    6.9222e-03 +/-  9.98e-01
                 pdf14    2.8282e-03 +/-  9.96e-01
                 pdf15   -8.2272e-04 +/-  1.00e+00
                 pdf16   -3.0272e-03 +/-  9.98e-01
                 pdf17    7.0650e-04 +/-  9.98e-01
                 pdf18   -4.8882e-03 +/-  1.00e+00
                 pdf19   -2.2126e-03 +/-  9.99e-01
                  pdf2   -1.8478e-05 +/-  9.99e-01
                 pdf20   -9.9785e-04 +/-  1.00e+00
                 pdf21    1.0718e-03 +/-  9.98e-01
                 pdf22    1.8969e-04 +/-  1.00e+00
                 pdf23    2.5790e-03 +/-  9.99e-01
                 pdf24   -3.9965e-03 +/-  9.98e-01
                 pdf25    1.7243e-03 +/-  9.99e-01
                 pdf26    2.2422e-03 +/-  9.99e-01
                 pdf27   -5.1575e-03 +/-  9.99e-01
                 pdf28   -4.5847e-03 +/-  9.98e-01
                 pdf29    3.0685e-03 +/-  9.99e-01
                  pdf3    4.5708e-04 +/-  9.99e-01
                 pdf30    2.4780e-03 +/-  9.98e-01
                 pdf31   -6.3567e-04 +/-  9.99e-01
                 pdf32   -1.8344e-04 +/-  9.99e-01
                 pdf33   -6.4161e-03 +/-  1.00e+00
                 pdf34    1.7301e-03 +/-  9.97e-01
                 pdf35    2.6000e-03 +/-  9.98e-01
                 pdf36    2.2781e-03 +/-  9.98e-01
                 pdf37    4.9169e-05 +/-  9.99e-01
                 pdf38   -1.8799e-05 +/-  9.99e-01
                 pdf39   -1.5851e-03 +/-  9.98e-01
                  pdf4   -7.3711e-04 +/-  9.99e-01
                 pdf40    4.5561e-03 +/-  9.99e-01
                 pdf41    3.1685e-03 +/-  9.98e-01
                 pdf42   -3.1431e-04 +/-  9.99e-01
                 pdf43    2.1465e-03 +/-  9.99e-01
                 pdf44    1.4361e-03 +/-  9.98e-01
                 pdf45   -3.1318e-03 +/-  9.99e-01
                 pdf46    2.6573e-03 +/-  9.98e-01
                 pdf47    4.9240e-03 +/-  9.98e-01
                 pdf48    6.4597e-03 +/-  9.98e-01
                 pdf49   -1.1585e-03 +/-  9.99e-01
                  pdf5    3.4007e-03 +/-  9.99e-01
                 pdf50   -6.6712e-04 +/-  1.00e+00
