
Attaching file multidimfit.root as _file0...
(TFile *) 0x31ecbc0

  RooFitResult: minimized FCN value: -81.5443, estimated distance to minimum: 4.35309e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    2.1195e-01 +/-  7.19e-02
                   Afb    6.1921e-01 +/-  2.83e-02
               BTAGCOR    8.9396e-02 +/-  1.68e+00
           BTAGLIGHT16   -1.7204e-02 +/-  1.02e+00
           BTAGLIGHT17    5.0769e-02 +/-  9.82e-01
           BTAGLIGHT18   -1.3094e-01 +/-  1.26e+00
           BTAGUNCOR16   -1.4261e-03 +/-  9.80e-01
           BTAGUNCOR17    9.7247e-03 +/-  9.97e-01
           BTAGUNCOR18    1.1238e-02 +/-  2.21e+00
                 FAC16    1.9543e-01 +/-  1.02e+00
               FAC1718   -2.1033e-01 +/-  8.84e-01
              METHEM18    4.0044e-02 +/-  9.13e-01
              METJEC16   -3.7713e-04 +/-  1.01e+00
              METJEC17    2.2664e-02 +/-  9.73e-01
              METJEC18    5.5818e-02 +/-  9.23e-01
                    Pu    1.1750e-01 +/-  9.06e-01
               REFAC16   -3.5982e-01 +/-  8.27e-01
             REFAC1718    1.4509e-01 +/-  9.03e-01
              RENORM16   -4.4094e-01 +/-  9.00e-01
            RENORM1718    3.6353e-01 +/-  9.24e-01
              alphaS16   -7.2875e-02 +/-  9.08e-01
            alphaS1718    0.0000e+00 +/-  9.94e-01
               db_xsec   -9.2865e-02 +/-  9.90e-01
               dy_xsec    1.1597e+00 +/-  9.22e-01
      elHLTBARPTHIGH16    1.2283e-01 +/-  8.53e-01
      elHLTBARPTHIGH17   -3.0201e-02 +/-  1.02e+00
      elHLTBARPTHIGH18    1.1536e-01 +/-  9.08e-01
       elHLTBARPTLOW16    9.2347e-02 +/-  9.92e-01
       elHLTBARPTLOW17   -9.9876e-03 +/-  9.92e-01
       elHLTBARPTLOW18    7.4902e-02 +/-  9.93e-01
      elHLTENDPTHIGH16    2.4100e-02 +/-  9.62e-01
      elHLTENDPTHIGH17   -7.4854e-02 +/-  1.04e+00
      elHLTENDPTHIGH18    1.5743e-02 +/-  1.02e+00
       elHLTENDPTLOW16   -8.0123e-03 +/-  9.95e-01
       elHLTENDPTLOW17   -4.6686e-02 +/-  9.96e-01
       elHLTENDPTLOW18   -1.2201e-02 +/-  9.98e-01
         elIDBARPTHIGH    1.3024e+00 +/-  5.79e-01
          elIDBARPTLOW    1.0279e-02 +/-  9.94e-01
         elIDENDPTHIGH    3.4644e-01 +/-  4.03e-01
          elIDENDPTLOW   -3.2154e-01 +/-  9.90e-01
       elRECOBARPTHIGH    2.5941e-01 +/-  9.80e-01
        elRECOBARPTLOW    2.2343e-03 +/-  9.94e-01
       elRECOENDPTHIGH    1.6421e-01 +/-  9.73e-01
        elRECOENDPTLOW   -1.6912e-01 +/-  9.93e-01
         elScaleGain16   -2.5966e-01 +/-  7.48e-01
         elScaleGain17   -5.3442e-01 +/-  8.41e-01
         elScaleGain18   -2.5187e-01 +/-  6.69e-01
         elScaleStat16    0.0000e+00 +/-  9.94e-01
         elScaleStat17    0.0000e+00 +/-  9.94e-01
         elScaleStat18    0.0000e+00 +/-  9.94e-01
           elScaleSyst   -6.0298e-02 +/-  7.21e-01
               elSmear    2.4124e-04 +/-  9.42e-01
         elfakesrw1b16   -3.9427e-01 +/-  9.30e-01
         elfakesrw1b17   -4.0618e-01 +/-  9.48e-01
         elfakesrw1b18   -7.7727e-01 +/-  9.42e-01
         elfakesrw2b16    6.4788e-03 +/-  9.91e-01
         elfakesrw2b17    1.2982e-01 +/-  9.64e-01
         elfakesrw2b18    2.6199e-01 +/-  9.81e-01
         elfakesrw3b16   -6.8198e-02 +/-  9.74e-01
         elfakesrw3b17    1.9304e-02 +/-  9.75e-01
         elfakesrw3b18    4.7369e-02 +/-  9.92e-01
         elfakesrw4b16    2.6979e-03 +/-  9.89e-01
         elfakesrw4b17   -1.2826e-01 +/-  9.67e-01
         elfakesrw4b18   -4.0293e-02 +/-  9.69e-01
         emucostrw1b16   -3.6354e-01 +/-  8.62e-01
       emucostrw1b1718   -1.4640e+00 +/-  8.52e-01
         emucostrw2b16    2.2191e-01 +/-  9.86e-01
       emucostrw2b1718    2.0662e-01 +/-  9.89e-01
         emucostrw3b16    6.4143e-03 +/-  9.93e-01
       emucostrw3b1718    7.1724e-02 +/-  9.92e-01
         emucostrw4b16    1.6509e-02 +/-  9.94e-01
       emucostrw4b1718   -2.0320e-02 +/-  9.93e-01
              gam_xsec   -9.0922e-02 +/-  9.91e-01
                lumi16    4.4589e-01 +/-  9.31e-01
                lumi17   -2.3465e-01 +/-  9.24e-01
                lumi18    2.9729e-01 +/-  9.47e-01
                lumiBC    4.6163e-03 +/-  9.94e-01
                lumiDB    3.4918e-02 +/-  9.91e-01
                lumiGS    7.0352e-02 +/-  9.93e-01
                lumiLS    4.6163e-03 +/-  9.94e-01
                lumiXY    4.7511e-01 +/-  9.46e-01
                  pdf1   -2.8503e-02 +/-  9.90e-01
                 pdf10   -7.4125e-02 +/-  9.93e-01
                 pdf11    8.3822e-02 +/-  9.92e-01
                 pdf12    1.1830e-01 +/-  9.91e-01
                 pdf13   -1.3261e-01 +/-  9.92e-01
                 pdf14    1.3278e-01 +/-  9.89e-01
                 pdf15    1.2125e-01 +/-  9.89e-01
                 pdf16   -2.4153e-02 +/-  9.91e-01
                 pdf17   -8.4078e-02 +/-  9.93e-01
                 pdf18   -1.5377e-01 +/-  9.88e-01
                 pdf19    5.4191e-03 +/-  9.92e-01
                  pdf2   -2.7253e-02 +/-  9.91e-01
                 pdf20    1.2806e-03 +/-  9.97e-01
                 pdf21   -7.4403e-02 +/-  9.90e-01
                 pdf22    7.2373e-02 +/-  9.95e-01
                 pdf23   -6.3532e-02 +/-  9.92e-01
                 pdf24   -9.2115e-03 +/-  9.92e-01
                 pdf25   -7.0484e-02 +/-  9.91e-01
                 pdf26   -7.3946e-02 +/-  9.92e-01
                 pdf27    5.3849e-03 +/-  9.93e-01
                 pdf28    2.5367e-02 +/-  9.90e-01
                 pdf29    2.0441e-02 +/-  9.93e-01
                  pdf3   -2.3187e-02 +/-  9.88e-01
                 pdf30   -2.7906e-01 +/-  9.88e-01
                 pdf31    8.4186e-02 +/-  9.95e-01
                 pdf32    4.4278e-02 +/-  9.93e-01
                 pdf33    1.0340e-02 +/-  1.00e+00
