
Attaching file multidimfit.root as _file0...
(TFile *) 0x2e03260

  RooFitResult: minimized FCN value: -79.0484, estimated distance to minimum: 6.41089e-06
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    2.5771e-01 +/-  6.94e-02
                   Afb    6.2022e-01 +/-  3.43e-02
               BTAGCOR    4.5158e-02 +/-  3.09e+00
           BTAGLIGHT16   -2.4347e-02 +/-  1.04e+00
           BTAGLIGHT17   -4.1342e-03 +/-  1.01e+00
           BTAGLIGHT18   -1.6330e-01 +/-  1.14e+00
           BTAGUNCOR16   -2.3918e-03 +/-  9.82e-01
           BTAGUNCOR17    4.4621e-03 +/-  9.97e-01
           BTAGUNCOR18    1.0375e-02 +/-  3.71e+00
                 FAC16    1.7940e-01 +/-  1.05e+00
               FAC1718   -6.8788e-01 +/-  8.78e-01
              METHEM18    3.1923e-02 +/-  1.03e+00
              METJEC16   -1.1198e-02 +/-  9.88e-01
              METJEC17    5.3421e-03 +/-  9.67e-01
              METJEC18    9.7525e-02 +/-  9.36e-01
                    Pu    2.8496e-02 +/-  9.46e-01
               REFAC16   -5.5209e-01 +/-  8.39e-01
             REFAC1718   -4.1944e-01 +/-  8.46e-01
              RENORM16   -5.9917e-01 +/-  9.01e-01
            RENORM1718    3.6947e-01 +/-  8.94e-01
              alphaS16   -9.0846e-02 +/-  8.81e-01
            alphaS1718   -3.8619e-12 +/-  9.94e-01
               db_xsec   -3.5154e-02 +/-  9.91e-01
               dy_xsec    1.8733e+00 +/-  8.68e-01
      elHLTBARPTHIGH16    1.3744e-01 +/-  8.16e-01
      elHLTBARPTHIGH17    9.5960e-02 +/-  9.17e-01
      elHLTBARPTHIGH18    1.4300e-01 +/-  8.87e-01
       elHLTBARPTLOW16    1.1400e-01 +/-  9.92e-01
       elHLTBARPTLOW17    5.7338e-02 +/-  9.91e-01
       elHLTBARPTLOW18    9.4748e-02 +/-  9.93e-01
      elHLTENDPTHIGH16   -2.6003e-03 +/-  9.77e-01
      elHLTENDPTHIGH17   -4.2586e-02 +/-  1.02e+00
      elHLTENDPTHIGH18   -3.8264e-02 +/-  1.04e+00
       elHLTENDPTLOW16   -2.2372e-02 +/-  9.94e-01
       elHLTENDPTLOW17   -3.1590e-02 +/-  9.95e-01
       elHLTENDPTLOW18   -3.4959e-02 +/-  9.98e-01
         elIDENDPTHIGH    1.2622e-01 +/-  3.86e-01
          elIDENDPTLOW   -3.1228e-01 +/-  9.90e-01
       elRECOBARPTHIGH    5.9667e-01 +/-  9.70e-01
        elRECOBARPTLOW    6.5225e-04 +/-  9.94e-01
       elRECOENDPTHIGH    9.0944e-02 +/-  9.73e-01
        elRECOENDPTLOW   -1.6563e-01 +/-  9.93e-01
         elScaleGain16   -2.0625e-01 +/-  6.82e-01
         elScaleGain17   -3.0879e-01 +/-  7.82e-01
         elScaleGain18   -2.8248e-01 +/-  7.13e-01
         elScaleStat16   -3.8619e-12 +/-  9.94e-01
         elScaleStat17   -3.8619e-12 +/-  9.94e-01
         elScaleStat18   -3.8619e-12 +/-  9.94e-01
           elScaleSyst   -3.8262e-02 +/-  6.74e-01
               elSmear   -1.0194e-03 +/-  9.47e-01
         elfakesrw1b16   -3.8695e-01 +/-  9.32e-01
         elfakesrw1b17   -3.6647e-01 +/-  9.54e-01
         elfakesrw1b18   -7.7740e-01 +/-  9.42e-01
         elfakesrw2b16    2.3964e-02 +/-  9.90e-01
         elfakesrw2b17    2.3819e-01 +/-  9.57e-01
         elfakesrw2b18    2.8653e-01 +/-  9.80e-01
         elfakesrw3b16   -4.2075e-02 +/-  9.73e-01
         elfakesrw3b17    8.4836e-02 +/-  9.72e-01
