
Attaching file multidimfit.root as _file0...
(TFile *) 0x221c2f0

  RooFitResult: minimized FCN value: -0.471779, estimated distance to minimum: 3.42588e-09
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    3.7973e-02 +/-  5.63e-02
                    A4    1.6094e+00 +/-  7.18e-02
                 FAC16    7.6257e-02 +/-  9.19e-01
               FAC1718   -2.7491e-02 +/-  9.25e-01
                    Pu    4.7888e-02 +/-  9.27e-01
               REFAC16    8.5274e-02 +/-  7.81e-01
             REFAC1718   -3.6136e-02 +/-  8.45e-01
              RENORM16    1.6401e-02 +/-  8.54e-01
            RENORM1718   -1.7479e-02 +/-  9.61e-01
              alphaS16    1.4090e-03 +/-  1.01e+00
            alphaS1718    2.1948e-12 +/-  9.94e-01
               db_xsec    2.8849e-05 +/-  9.90e-01
               dy_xsec    1.8023e-02 +/-  8.39e-01
         emucostrw1b16   -2.5785e-02 +/-  7.75e-01
       emucostrw1b1718   -2.7651e-02 +/-  6.82e-01
         emucostrw2b16   -1.1613e-02 +/-  9.67e-01
       emucostrw2b1718   -5.1924e-03 +/-  9.76e-01
         emucostrw3b16   -8.3153e-03 +/-  9.85e-01
       emucostrw3b1718    1.0688e-02 +/-  9.85e-01
         emucostrw4b16   -9.9039e-03 +/-  9.89e-01
       emucostrw4b1718    1.5682e-02 +/-  9.90e-01
              gam_xsec    4.4948e-03 +/-  9.94e-01
                lumi16    1.5717e-02 +/-  9.29e-01
                lumi17   -2.8308e-02 +/-  8.50e-01
                lumi18    1.1649e-02 +/-  9.09e-01
                lumiBC   -2.7184e-03 +/-  9.93e-01
                lumiDB   -2.8233e-03 +/-  9.87e-01
                lumiGS    1.4547e-03 +/-  9.92e-01
                lumiLS   -2.7184e-03 +/-  9.93e-01
                lumiXY    9.1567e-03 +/-  9.05e-01
             muFakes16   -2.3505e-02 +/-  9.75e-01
             muFakes17    3.0843e-03 +/-  8.68e-01
             muFakes18    4.2815e-02 +/-  9.64e-01
            muHLTBAR16    4.0670e-03 +/-  9.94e-01
            muHLTBAR17   -6.8683e-04 +/-  9.94e-01
            muHLTBAR18    4.7757e-03 +/-  9.93e-01
            muHLTEND16    3.3651e-02 +/-  9.84e-01
            muHLTEND17   -7.0356e-04 +/-  9.92e-01
            muHLTEND18    6.1775e-04 +/-  9.92e-01
             muIDBAR16   -1.3225e-02 +/-  9.38e-01
             muIDBAR17   -6.0836e-03 +/-  9.36e-01
             muIDBAR18    6.0585e-03 +/-  9.83e-01
             muIDEND16    7.9673e-02 +/-  9.18e-01
             muIDEND17   -1.1422e-02 +/-  9.74e-01
             muIDEND18   -5.4772e-03 +/-  9.91e-01
               muIDSYS    6.2834e-02 +/-  9.09e-01
            muISOBAR16   -3.6331e-03 +/-  9.91e-01
            muISOBAR17   -1.4931e-03 +/-  9.93e-01
            muISOBAR18    2.9393e-03 +/-  9.93e-01
            muISOEND16    1.5603e-02 +/-  9.91e-01
            muISOEND17   -4.9958e-04 +/-  9.94e-01
            muISOEND18   -3.2389e-03 +/-  9.94e-01
              muISOSYS    1.1866e-02 +/-  9.90e-01
              muPref16   -8.1296e-03 +/-  9.92e-01
            muPref1718    1.6493e-03 +/-  9.94e-01
                muRC16   -1.4262e-02 +/-  7.60e-01
                muRC17    1.1834e-02 +/-  8.60e-01
                muRC18    6.0443e-02 +/-  8.94e-01
         mufakesrw1b16   -5.1171e-02 +/-  9.16e-01
         mufakesrw1b17    5.4351e-03 +/-  9.68e-01
         mufakesrw1b18    8.0032e-03 +/-  9.48e-01
         mufakesrw2b16   -3.2441e-04 +/-  9.94e-01
         mufakesrw2b17   -1.9021e-03 +/-  9.91e-01
         mufakesrw2b18    1.6177e-02 +/-  9.82e-01
         mufakesrw3b16   -2.5452e-03 +/-  9.93e-01
         mufakesrw3b17   -1.1214e-02 +/-  9.89e-01
         mufakesrw3b18    1.7902e-02 +/-  9.75e-01
         mufakesrw4b16    2.1420e-12 +/-  9.94e-01
         mufakesrw4b17   -2.4807e-04 +/-  9.92e-01
         mufakesrw4b18    1.7526e-02 +/-  9.77e-01
               nlo_sys    5.0088e-05 +/-  9.95e-01
                  pdf1    1.2040e-02 +/-  9.92e-01
                 pdf10    8.4837e-03 +/-  9.94e-01
                 pdf11   -1.1856e-02 +/-  9.94e-01
                 pdf12   -3.6494e-03 +/-  9.96e-01
                 pdf13    2.8917e-03 +/-  9.94e-01
                 pdf14    1.5516e-02 +/-  9.94e-01
                 pdf15    3.0712e-03 +/-  1.00e+00
                 pdf16    3.9114e-03 +/-  9.94e-01
                 pdf17   -7.9297e-03 +/-  9.97e-01
                 pdf18   -8.7853e-04 +/-  9.95e-01
                 pdf19   -1.6086e-03 +/-  9.94e-01
                  pdf2   -3.9272e-03 +/-  9.92e-01
                 pdf20   -1.1813e-02 +/-  1.00e+00
                 pdf21   -1.1487e-03 +/-  9.93e-01
                 pdf22   -1.3566e-02 +/-  1.00e+00
                 pdf23    8.3252e-03 +/-  9.95e-01
                 pdf24   -5.2601e-03 +/-  9.93e-01
                 pdf25    1.7123e-03 +/-  9.93e-01
                 pdf26    1.1443e-02 +/-  9.93e-01
                 pdf27   -1.5517e-02 +/-  9.94e-01
                 pdf28    4.2263e-03 +/-  9.91e-01
                 pdf29    7.4966e-05 +/-  9.96e-01
                  pdf3   -3.4975e-04 +/-  9.93e-01
                 pdf30    3.6737e-03 +/-  9.97e-01
                 pdf31   -2.1574e-04 +/-  1.00e+00
                 pdf32    3.1792e-03 +/-  9.94e-01
                 pdf33   -3.8213e-03 +/-  1.01e+00
                 pdf34   -5.1556e-03 +/-  9.94e-01
                 pdf35   -1.9087e-02 +/-  9.92e-01
                 pdf36   -6.4000e-03 +/-  9.94e-01
                 pdf37   -1.5750e-03 +/-  9.94e-01
                 pdf38   -1.8577e-02 +/-  9.94e-01
                 pdf39   -2.5244e-03 +/-  9.97e-01
                  pdf4   -1.2991e-02 +/-  9.96e-01
                 pdf40    2.0732e-03 +/-  9.92e-01
                 pdf41   -4.3127e-03 +/-  9.92e-01
                 pdf42    6.9834e-03 +/-  9.95e-01
                 pdf43   -5.2028e-03 +/-  9.92e-01
                 pdf44   -6.2197e-03 +/-  9.91e-01
                 pdf45    1.9815e-03 +/-  9.93e-01
                 pdf46   -5.3209e-03 +/-  9.93e-01
                 pdf47    4.3733e-03 +/-  9.95e-01
                 pdf48    6.3767e-03 +/-  9.95e-01
                 pdf49   -5.5957e-03 +/-  9.93e-01
                  pdf5    1.5740e-03 +/-  9.95e-01
                 pdf50    7.3735e-03 +/-  9.94e-01
                 pdf51    8.7128e-03 +/-  9.96e-01
                 pdf52    1.8035e-03 +/-  9.95e-01
                 pdf53    1.5230e-04 +/-  9.99e-01
                 pdf54   -6.2483e-03 +/-  9.94e-01
                 pdf55    9.0166e-03 +/-  9.94e-01
                 pdf56   -2.4434e-03 +/-  9.94e-01
                 pdf57   -2.8590e-03 +/-  9.92e-01
                 pdf58   -1.6787e-03 +/-  9.91e-01
                 pdf59   -7.2590e-03 +/-  9.94e-01
                  pdf6   -5.0403e-03 +/-  9.96e-01
                 pdf60    1.9488e-03 +/-  9.92e-01
                  pdf7   -7.7033e-03 +/-  1.00e+00
                  pdf8   -9.1692e-04 +/-  9.94e-01
                  pdf9    1.2913e-03 +/-  9.97e-01
      prop_binY16_bin0    2.4785e-01 +/-  9.23e-01
      prop_binY16_bin1    7.1403e-02 +/-  9.29e-01
     prop_binY16_bin10    3.4320e-02 +/-  9.33e-01
     prop_binY16_bin11   -4.5761e-02 +/-  9.40e-01
     prop_binY16_bin12    2.1956e-02 +/-  9.44e-01
     prop_binY16_bin13    5.1031e-02 +/-  9.37e-01
     prop_binY16_bin14   -1.3775e-01 +/-  9.09e-01
     prop_binY16_bin15   -8.9017e-02 +/-  9.22e-01
     prop_binY16_bin16   -1.7062e-01 +/-  9.48e-01
     prop_binY16_bin17    1.5746e-01 +/-  9.54e-01
     prop_binY16_bin18    2.8022e-02 +/-  9.57e-01
     prop_binY16_bin19    9.5615e-02 +/-  9.50e-01
      prop_binY16_bin2    7.9586e-02 +/-  9.32e-01
     prop_binY16_bin20    9.7554e-02 +/-  9.30e-01
     prop_binY16_bin21    2.7341e-03 +/-  9.61e-01
     prop_binY16_bin22    2.5022e-02 +/-  9.72e-01
     prop_binY16_bin23    1.3781e-02 +/-  9.77e-01
     prop_binY16_bin24   -2.7295e-02 +/-  9.79e-01
     prop_binY16_bin25   -2.7453e-02 +/-  9.77e-01
     prop_binY16_bin26    1.4598e-02 +/-  9.59e-01
     prop_binY16_bin27   -5.5816e-02 +/-  9.40e-01
     prop_binY16_bin28   -2.5911e-02 +/-  9.50e-01
     prop_binY16_bin29   -5.4961e-03 +/-  9.79e-01
      prop_binY16_bin3   -1.2080e-01 +/-  9.41e-01
     prop_binY16_bin30    3.9668e-02 +/-  9.81e-01
     prop_binY16_bin31   -5.1720e-02 +/-  9.77e-01
     prop_binY16_bin32   -1.6754e-04 +/-  9.78e-01
     prop_binY16_bin33    3.4481e-02 +/-  9.70e-01
     prop_binY16_bin34   -7.6044e-02 +/-  9.35e-01
     prop_binY16_bin35   -7.1461e-02 +/-  9.67e-01
     prop_binY16_bin36   -5.7140e-03 +/-  9.81e-01
     prop_binY16_bin37   -6.0197e-03 +/-  9.84e-01
     prop_binY16_bin38    3.5074e-02 +/-  9.81e-01
     prop_binY16_bin39    5.0834e-02 +/-  9.75e-01
      prop_binY16_bin4    7.7355e-02 +/-  9.43e-01
     prop_binY16_bin40    1.4840e-01 +/-  9.49e-01
     prop_binY16_bin41   -9.1611e-03 +/-  9.80e-01
     prop_binY16_bin42    6.1069e-03 +/-  9.88e-01
     prop_binY16_bin43   -5.5792e-04 +/-  9.88e-01
     prop_binY16_bin44    1.0841e-02 +/-  9.90e-01
     prop_binY16_bin45    1.0523e-03 +/-  9.90e-01
     prop_binY16_bin46    1.3568e-02 +/-  9.89e-01
     prop_binY16_bin47   -9.1921e-02 +/-  9.69e-01
     prop_binY16_bin48    2.0991e-02 +/-  9.69e-01
     prop_binY16_bin49    8.1344e-03 +/-  9.87e-01
      prop_binY16_bin5   -7.9646e-02 +/-  9.39e-01
     prop_binY16_bin50   -5.3989e-03 +/-  9.89e-01
     prop_binY16_bin51    3.5648e-02 +/-  9.31e-01
     prop_binY16_bin52    8.6417e-03 +/-  9.72e-01
     prop_binY16_bin53    1.3514e-02 +/-  9.63e-01
     prop_binY16_bin54   -9.9111e-02 +/-  9.71e-01
     prop_binY16_bin55   -2.8586e-03 +/-  9.84e-01
     prop_binY16_bin56    6.5344e-03 +/-  9.89e-01
     prop_binY16_bin57    3.0977e-04 +/-  9.90e-01
     prop_binY16_bin58    8.9653e-03 +/-  9.89e-01
     prop_binY16_bin59    8.0640e-02 +/-  9.66e-01
      prop_binY16_bin6   -9.4214e-02 +/-  9.39e-01
      prop_binY16_bin7   -2.6564e-01 +/-  9.37e-01
      prop_binY16_bin8   -1.3316e-01 +/-  9.14e-01
      prop_binY16_bin9   -3.6273e-02 +/-  9.25e-01
      prop_binY17_bin0   -4.2666e-03 +/-  9.02e-01
      prop_binY17_bin1    2.8829e-02 +/-  9.54e-01
     prop_binY17_bin10    4.4282e-02 +/-  9.62e-01
     prop_binY17_bin11   -4.3653e-03 +/-  9.68e-01
     prop_binY17_bin12   -2.2153e-02 +/-  9.68e-01
     prop_binY17_bin13   -6.3508e-02 +/-  9.39e-01
     prop_binY17_bin14    2.1224e-02 +/-  9.33e-01
     prop_binY17_bin15    1.8742e-03 +/-  9.51e-01
     prop_binY17_bin16   -2.3665e-02 +/-  9.65e-01
     prop_binY17_bin17    3.8833e-02 +/-  9.71e-01
     prop_binY17_bin18    1.0242e-02 +/-  9.73e-01
     prop_binY17_bin19   -2.9827e-02 +/-  9.66e-01
      prop_binY17_bin2    7.4445e-02 +/-  9.59e-01
     prop_binY17_bin20    9.4591e-03 +/-  9.45e-01
     prop_binY17_bin21    2.3767e-02 +/-  9.76e-01
     prop_binY17_bin22   -8.3288e-03 +/-  9.80e-01
     prop_binY17_bin23   -2.5055e-03 +/-  9.84e-01
     prop_binY17_bin24   -1.7898e-02 +/-  9.85e-01
     prop_binY17_bin25   -5.7255e-03 +/-  9.84e-01
     prop_binY17_bin26   -1.9438e-02 +/-  9.81e-01
     prop_binY17_bin27    1.0786e-02 +/-  9.53e-01
     prop_binY17_bin28   -2.6494e-02 +/-  9.52e-01
     prop_binY17_bin29    6.1883e-03 +/-  9.82e-01
      prop_binY17_bin3    3.3347e-02 +/-  9.65e-01
     prop_binY17_bin30   -2.1960e-02 +/-  9.85e-01
     prop_binY17_bin31    6.4076e-03 +/-  9.89e-01
     prop_binY17_bin32   -1.1038e-02 +/-  9.86e-01
     prop_binY17_bin33    1.7706e-02 +/-  9.66e-01
     prop_binY17_bin34    1.1320e-01 +/-  9.65e-01
     prop_binY17_bin35   -4.4798e-02 +/-  9.78e-01
     prop_binY17_bin36   -1.7486e-02 +/-  9.87e-01
     prop_binY17_bin37    3.1609e-03 +/-  9.89e-01
     prop_binY17_bin38    1.3849e-02 +/-  9.87e-01
     prop_binY17_bin39   -5.1618e-02 +/-  9.81e-01
      prop_binY17_bin4   -6.0240e-03 +/-  9.68e-01
     prop_binY17_bin40    1.5486e-02 +/-  9.60e-01
     prop_binY17_bin41   -5.3755e-03 +/-  9.86e-01
     prop_binY17_bin42    7.7616e-04 +/-  9.91e-01
     prop_binY17_bin43   -1.8648e-03 +/-  9.92e-01
     prop_binY17_bin44   -2.9224e-03 +/-  9.92e-01
     prop_binY17_bin45   -6.0143e-03 +/-  9.92e-01
     prop_binY17_bin46    1.5783e-04 +/-  9.89e-01
     prop_binY17_bin47   -1.1006e-02 +/-  9.67e-01
     prop_binY17_bin48   -1.7238e-02 +/-  9.82e-01
     prop_binY17_bin49   -5.8881e-03 +/-  9.90e-01
      prop_binY17_bin5   -5.7903e-02 +/-  9.66e-01
     prop_binY17_bin50   -1.5592e-03 +/-  9.92e-01
     prop_binY17_bin51   -6.8359e-04 +/-  9.92e-01
