
Attaching file multidimfit.root as _file0...
(TFile *) 0x3d7cce0

  RooFitResult: minimized FCN value: -0.306182, estimated distance to minimum: 1.93732e-10
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    3.5063e-02 +/-  6.80e-02
                   Afb    6.1105e-01 +/-  2.87e-02
               BTAGCOR   -1.2197e-03 +/-  1.03e+00
           BTAGLIGHT16    4.2242e-04 +/-  9.94e-01
           BTAGLIGHT17    8.5520e-05 +/-  9.93e-01
           BTAGLIGHT18   -5.4920e-03 +/-  1.01e+00
           BTAGUNCOR16    2.0385e-05 +/-  9.97e-01
           BTAGUNCOR17   -9.1095e-04 +/-  9.96e-01
           BTAGUNCOR18   -2.5625e-04 +/-  1.03e+00
                 FAC16   -2.9877e-02 +/-  9.61e-01
               FAC1718   -2.4033e-02 +/-  8.80e-01
              METHEM18   -6.5372e-03 +/-  9.91e-01
              METJEC16   -2.0571e-02 +/-  9.70e-01
              METJEC17   -1.2238e-03 +/-  9.89e-01
              METJEC18    1.4019e-02 +/-  9.72e-01
                    Pu    4.3218e-02 +/-  9.52e-01
               REFAC16    2.7388e-02 +/-  7.96e-01
             REFAC1718   -2.3735e-02 +/-  8.44e-01
              RENORM16    5.4058e-02 +/-  8.85e-01
            RENORM1718   -6.6407e-03 +/-  9.75e-01
              alphaS16    1.6121e-02 +/-  9.83e-01
            alphaS1718    4.3081e-14 +/-  9.94e-01
               db_xsec   -1.9330e-03 +/-  9.92e-01
               dy_xsec   -1.1686e-02 +/-  9.19e-01
             elFakes16   -8.5881e-03 +/-  7.59e-01
             elFakes17    1.9105e-02 +/-  6.78e-01
             elFakes18   -2.3995e-03 +/-  5.46e-01
      elHLTBARPTHIGH16   -5.3573e-03 +/-  1.01e+00
      elHLTBARPTHIGH17   -5.8990e-03 +/-  9.89e-01
      elHLTBARPTHIGH18    1.2480e-02 +/-  9.76e-01
       elHLTBARPTLOW16   -1.0868e-03 +/-  9.93e-01
       elHLTBARPTLOW17   -2.9105e-03 +/-  9.92e-01
       elHLTBARPTLOW18    6.1116e-03 +/-  9.93e-01
      elHLTENDPTHIGH16    1.6675e-03 +/-  9.83e-01
      elHLTENDPTHIGH17    6.9114e-04 +/-  9.90e-01
      elHLTENDPTHIGH18   -6.5355e-03 +/-  9.89e-01
       elHLTENDPTLOW16   -3.9478e-04 +/-  9.91e-01
       elHLTENDPTLOW17    2.0198e-04 +/-  9.94e-01
       elHLTENDPTLOW18   -3.5434e-03 +/-  9.93e-01
         elIDBARPTHIGH    3.1113e-02 +/-  5.72e-01
          elIDBARPTLOW   -5.6821e-04 +/-  9.94e-01
         elIDENDPTHIGH   -2.5281e-02 +/-  3.99e-01
          elIDENDPTLOW   -5.9539e-03 +/-  9.92e-01
