
Attaching file multidimfit.root as _file0...
(TFile *) 0x31703b0

  RooFitResult: minimized FCN value: -6.23044, estimated distance to minimum: 0.000243716
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    4.1385e-02 +/-  5.97e-02
                   Afb    6.5957e-01 +/-  2.77e-02
                  Pu16    5.2928e-02 +/-  9.60e-01
                  Pu17   -2.5611e-02 +/-  8.78e-01
                  Pu18   -6.1175e-03 +/-  9.29e-01
               bk_xsec    1.5581e-01 +/-  9.13e-01
               dy_xsec   -1.9757e-01 +/-  7.01e-01
              gam_xsec   -1.1284e-01 +/-  8.42e-01
                lumi16    2.3134e-02 +/-  7.87e-01
                lumi17    3.7141e-02 +/-  7.77e-01
                lumi18   -1.6539e-01 +/-  7.48e-01
      prop_binY16_bin0   -4.1445e-01 +/-  9.05e-01
      prop_binY16_bin1    7.3677e-02 +/-  9.13e-01
     prop_binY16_bin10    2.7729e-02 +/-  9.39e-01
     prop_binY16_bin11   -1.1602e-01 +/-  9.31e-01
     prop_binY16_bin12    1.0714e-01 +/-  9.29e-01
     prop_binY16_bin13   -3.9421e-02 +/-  9.42e-01
     prop_binY16_bin14   -1.4904e-01 +/-  9.06e-01
     prop_binY16_bin15   -2.1513e-02 +/-  9.12e-01
     prop_binY16_bin16    6.2698e-02 +/-  8.97e-01
     prop_binY16_bin17    1.1896e-01 +/-  9.18e-01
     prop_binY16_bin18   -1.3054e-01 +/-  9.39e-01
     prop_binY16_bin19   -1.5405e-01 +/-  9.38e-01
      prop_binY16_bin2   -2.2606e-02 +/-  9.34e-01
     prop_binY16_bin20    1.8755e-01 +/-  9.31e-01
     prop_binY16_bin21    7.1135e-02 +/-  9.37e-01
     prop_binY16_bin22   -3.0607e-02 +/-  9.36e-01
     prop_binY16_bin23   -4.4810e-02 +/-  9.28e-01
  prop_binY16_bin24_LQint    3.0000e+00 +/-  1.71e+00
  prop_binY16_bin24_LQpure    2.0000e+00 +/-  1.40e+00
  prop_binY16_bin24_alpha    3.0010e+00 +/-  1.71e+00
  prop_binY16_bin24_bk    2.0733e+00 +/-  1.41e+00
  prop_binY16_bin24_dy_gg    6.0425e-03 +/-  9.94e-01
  prop_binY16_bin24_fmn    3.9390e+00 +/-  1.93e+00
  prop_binY16_bin24_fpl    4.1058e+00 +/-  1.98e+00
  prop_binY16_bin24_gam    3.0302e+00 +/-  1.73e+00
  prop_binY16_bin25_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin25_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin25_alpha    9.9697e-04 +/-  9.94e-01
  prop_binY16_bin25_bk    4.1115e+00 +/-  1.94e+00
  prop_binY16_bin25_dy_gg    7.4732e-03 +/-  9.94e-01
  prop_binY16_bin25_fmn   -2.5998e-02 +/-  9.85e-01
  prop_binY16_bin25_fpl    4.2891e-02 +/-  9.68e-01
  prop_binY16_bin25_gam    2.1028e+01 +/-  4.54e+00
     prop_binY16_bin26   -5.8624e-03 +/-  9.45e-01
     prop_binY16_bin27    6.5055e-03 +/-  9.51e-01
     prop_binY16_bin28    6.3008e-03 +/-  9.51e-01
     prop_binY16_bin29   -2.5009e-03 +/-  9.48e-01
      prop_binY16_bin3    1.2587e-02 +/-  9.44e-01
     prop_binY16_bin30   -5.3369e-02 +/-  9.45e-01
  prop_binY16_bin31_LQint    3.0000e+00 +/-  1.71e+00
  prop_binY16_bin31_LQpure    2.0000e+00 +/-  1.40e+00
  prop_binY16_bin31_alpha    2.9994e+00 +/-  1.71e+00
  prop_binY16_bin31_bk    1.9609e+00 +/-  1.36e+00
  prop_binY16_bin31_dy_gg   -3.4155e-03 +/-  9.94e-01
  prop_binY16_bin31_fmn    4.0166e+00 +/-  1.99e+00
  prop_binY16_bin31_fpl    3.8807e+00 +/-  1.86e+00
  prop_binY16_bin31_gam    2.9832e+00 +/-  1.70e+00
     prop_binY16_bin32   -1.2992e-01 +/-  9.24e-01
     prop_binY16_bin33   -1.4527e-01 +/-  9.51e-01
     prop_binY16_bin34    1.7937e-02 +/-  9.82e-01
     prop_binY16_bin35   -6.8215e-03 +/-  9.84e-01
     prop_binY16_bin36    9.6201e-03 +/-  9.84e-01
     prop_binY16_bin37   -3.2013e-02 +/-  9.83e-01
     prop_binY16_bin38    1.1825e-01 +/-  9.53e-01
     prop_binY16_bin39    1.3465e-01 +/-  9.30e-01
      prop_binY16_bin4    1.5989e-02 +/-  9.44e-01
     prop_binY16_bin40    1.4574e-01 +/-  8.99e-01
     prop_binY16_bin41    3.5195e-02 +/-  9.81e-01
     prop_binY16_bin42   -2.8291e-02 +/-  9.85e-01
     prop_binY16_bin43   -1.0207e-03 +/-  9.82e-01
     prop_binY16_bin44    1.7575e-03 +/-  9.83e-01
     prop_binY16_bin45    1.2730e-02 +/-  9.84e-01
     prop_binY16_bin46   -1.1515e-02 +/-  9.84e-01
     prop_binY16_bin47   -6.8074e-02 +/-  9.39e-01
  prop_binY16_bin48_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin48_LQpure    0.0000e+00 +/-  9.94e-01
