
Attaching file multidimfit.root as _file0...
(TFile *) 0x22a1d20

  RooFitResult: minimized FCN value: -3.52726, estimated distance to minimum: 1.363e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    3.7052e-02 +/-  6.62e-02
                 A0Den    4.6620e-02 +/-  9.84e-01
                   Afb    6.6619e-01 +/-  2.79e-02
                BTAG16   -6.3471e-03 +/-  1.01e+00
                BTAG17    1.0443e-02 +/-  9.92e-01
                BTAG18   -1.5921e-03 +/-  9.69e-01
                   FAC    6.0211e-03 +/-  8.69e-01
              METHEM18   -6.1495e-02 +/-  9.09e-01
              METJEC16   -2.3654e-02 +/-  1.02e+00
              METJEC17    2.7571e-02 +/-  9.83e-01
              METJEC18    1.7140e-01 +/-  8.10e-01
              METJER16   -2.5897e-02 +/-  1.03e+00
              METJER17    1.4300e-01 +/-  1.05e+00
              METJER18   -1.4120e-01 +/-  8.78e-01
                  Pu16    7.7240e-02 +/-  9.34e-01
                  Pu17   -7.8722e-03 +/-  8.30e-01
                  Pu18   -3.6992e-02 +/-  8.66e-01
                 REFAC   -2.0447e-02 +/-  7.76e-01
                RENORM   -1.9262e-02 +/-  8.57e-01
                alphaS    8.5181e-03 +/-  9.75e-01
               bk_xsec    9.1776e-02 +/-  8.92e-01
               dy_xsec   -5.6550e-02 +/-  8.81e-01
            elHLTBAR16    5.3204e-03 +/-  9.84e-01
            elHLTBAR17    3.7021e-03 +/-  9.85e-01
            elHLTBAR18   -1.6203e-02 +/-  1.01e+00
            elHLTEND16   -1.3007e-02 +/-  9.92e-01
            elHLTEND17    2.0853e-03 +/-  9.87e-01
            elHLTEND18    7.1524e-03 +/-  9.90e-01
             elIDBAR16    6.4662e-02 +/-  7.25e-01
             elIDBAR17   -5.3408e-02 +/-  5.26e-01
             elIDBAR18   -1.4840e-01 +/-  5.90e-01
             elIDEND16   -4.2925e-03 +/-  5.55e-01
             elIDEND17   -2.4172e-02 +/-  4.05e-01
             elIDEND18    3.4088e-03 +/-  5.38e-01
           elRECOBAR16    1.3702e-02 +/-  9.80e-01
           elRECOBAR17   -8.2014e-03 +/-  9.90e-01
           elRECOBAR18   -1.7548e-02 +/-  9.88e-01
           elRECOEND16    3.1446e-04 +/-  9.78e-01
           elRECOEND17    6.3096e-03 +/-  9.90e-01
           elRECOEND18    1.6036e-02 +/-  9.79e-01
         elScaleGain16    1.6282e-01 +/-  7.46e-01
         elScaleGain17   -8.9509e-04 +/-  7.95e-01
         elScaleGain18    1.1563e-03 +/-  6.48e-01
         elScaleStat16    9.6341e-15 +/-  9.94e-01
         elScaleStat17    9.6341e-15 +/-  9.94e-01
         elScaleStat18    9.6341e-15 +/-  9.94e-01
         elScaleSyst16    2.8397e-02 +/-  9.37e-01
         elScaleSyst17   -2.1357e-02 +/-  9.82e-01
         elScaleSyst18    2.6513e-02 +/-  9.04e-01
             elSmear16   -1.4450e-02 +/-  9.91e-01
             elSmear17   -2.9465e-02 +/-  9.38e-01
             elSmear18    1.7530e-02 +/-  9.09e-01
              gam_xsec    6.1747e-03 +/-  8.75e-01
                lumi16    5.0789e-03 +/-  9.25e-01
                lumi17    2.5660e-02 +/-  9.42e-01
