
Attaching file multidimfit.root as _file0...
(TFile *) 0x3401ce0

  RooFitResult: minimized FCN value: -6.28939, estimated distance to minimum: 2.90058e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    4.8539e-02 +/-  4.87e-02
                 A0Den    3.0714e-02 +/-  1.68e-01
                   Afb    6.6000e-01 +/-  2.16e-02
                BTAG16   -1.5389e-03 +/-  1.68e-01
                BTAG17    8.4415e-04 +/-  1.68e-01
                BTAG18   -1.1662e-02 +/-  1.68e-01
                   FAC    7.4760e-02 +/-  1.63e-01
              METHEM18   -5.1539e-02 +/-  1.68e-01
              METJEC16   -1.7705e-02 +/-  1.68e-01
              METJEC17    1.6206e-02 +/-  1.68e-01
              METJEC18    3.5663e-03 +/-  1.69e-01
              METJER16   -1.2946e-02 +/-  1.68e-01
              METJER17    6.1451e-02 +/-  1.68e-01
              METJER18    1.6641e-03 +/-  1.69e-01
                  Pu16    5.9711e-02 +/-  1.68e-01
                  Pu17   -2.2874e-02 +/-  1.67e-01
                  Pu18   -6.5764e-03 +/-  1.68e-01
                 REFAC    9.0491e-02 +/-  1.60e-01
                RENORM    2.0611e-02 +/-  1.65e-01
                alphaS    1.3502e-02 +/-  1.68e-01
               bk_xsec    1.6889e-01 +/-  1.67e-01
               dy_xsec   -9.8509e-02 +/-  1.63e-01
            elHLTBAR16    2.3185e-03 +/-  1.68e-01
            elHLTBAR17    4.5184e-03 +/-  1.68e-01
            elHLTBAR18   -1.3743e-02 +/-  1.68e-01
            elHLTEND16   -1.9058e-03 +/-  1.68e-01
            elHLTEND17    4.8149e-03 +/-  1.68e-01
            elHLTEND18    5.6428e-03 +/-  1.68e-01
             elIDBAR16    4.9663e-03 +/-  1.62e-01
             elIDBAR17   -7.5120e-03 +/-  1.53e-01
             elIDBAR18   -9.3950e-02 +/-  1.54e-01
             elIDEND16    3.6496e-02 +/-  1.59e-01
             elIDEND17    1.8008e-02 +/-  1.49e-01
             elIDEND18    2.1766e-02 +/-  1.58e-01
           elRECOBAR16   -1.2505e-03 +/-  1.68e-01
           elRECOBAR17   -4.8953e-03 +/-  1.68e-01
           elRECOBAR18   -1.2173e-02 +/-  1.68e-01
           elRECOEND16    2.1275e-03 +/-  1.68e-01
           elRECOEND17    1.0914e-02 +/-  1.68e-01
           elRECOEND18    1.3992e-02 +/-  1.68e-01
         elScaleGain16    0.0000e+00 +/-  1.68e-01
         elScaleGain17    0.0000e+00 +/-  1.68e-01
         elScaleGain18    0.0000e+00 +/-  1.68e-01
         elScaleStat16    0.0000e+00 +/-  1.68e-01
         elScaleStat17    0.0000e+00 +/-  1.68e-01
         elScaleStat18    0.0000e+00 +/-  1.68e-01
         elScaleSyst16    0.0000e+00 +/-  1.68e-01
         elScaleSyst17    0.0000e+00 +/-  1.68e-01
         elScaleSyst18    0.0000e+00 +/-  1.68e-01
             elSmear16    0.0000e+00 +/-  1.68e-01
             elSmear17    0.0000e+00 +/-  1.68e-01
             elSmear18    0.0000e+00 +/-  1.68e-01
              gam_xsec   -5.8570e-02 +/-  1.66e-01
                lumi16   -2.9055e-03 +/-  1.66e-01
                lumi17    3.4524e-02 +/-  1.66e-01
                lumi18   -3.6831e-02 +/-  1.65e-01
                  pdf1    2.9070e-03 +/-  1.68e-01
                 pdf10   -1.0607e-03 +/-  1.68e-01
                 pdf11    4.8041e-03 +/-  1.68e-01
                 pdf12   -2.9987e-03 +/-  1.68e-01
                 pdf13    4.1022e-03 +/-  1.68e-01
                 pdf14    5.1369e-03 +/-  1.68e-01
                 pdf15   -2.1618e-03 +/-  1.68e-01
                 pdf16   -9.0934e-04 +/-  1.68e-01
                 pdf17    3.8271e-03 +/-  1.68e-01
                 pdf18   -1.1517e-03 +/-  1.68e-01
                 pdf19    9.9509e-04 +/-  1.68e-01
                  pdf2   -1.8772e-03 +/-  1.68e-01
                 pdf20    2.7099e-03 +/-  1.68e-01
                 pdf21   -1.2785e-03 +/-  1.68e-01
                 pdf22   -3.1186e-04 +/-  1.68e-01
                 pdf23   -2.3687e-03 +/-  1.68e-01
                 pdf24    1.0931e-03 +/-  1.68e-01
                 pdf25   -8.9962e-04 +/-  1.68e-01
                 pdf26   -1.1390e-03 +/-  1.68e-01
                 pdf27   -2.2634e-03 +/-  1.68e-01
                 pdf28   -6.0568e-03 +/-  1.68e-01
                 pdf29    5.6377e-03 +/-  1.68e-01
                  pdf3   -2.3528e-03 +/-  1.68e-01
                 pdf30    4.6859e-03 +/-  1.68e-01
                 pdf31    1.3105e-04 +/-  1.68e-01
                 pdf32   -1.6662e-03 +/-  1.68e-01
                 pdf33    8.0392e-04 +/-  1.68e-01
                 pdf34   -2.3978e-03 +/-  1.68e-01
                 pdf35    1.0291e-03 +/-  1.68e-01
                 pdf36    6.5686e-03 +/-  1.68e-01
                 pdf37    3.7151e-04 +/-  1.68e-01
                 pdf38    2.4414e-03 +/-  1.68e-01
                 pdf39   -1.9996e-03 +/-  1.68e-01
                  pdf4   -2.9424e-03 +/-  1.68e-01
                 pdf40    3.7510e-03 +/-  1.68e-01
                 pdf41    3.6564e-03 +/-  1.68e-01
                 pdf42   -6.4692e-03 +/-  1.68e-01
                 pdf43    9.8790e-04 +/-  1.68e-01
                 pdf44    4.6062e-03 +/-  1.68e-01
                 pdf45   -2.7434e-03 +/-  1.68e-01
                 pdf46    1.6527e-03 +/-  1.68e-01
                 pdf47    3.2620e-03 +/-  1.68e-01
                 pdf48    2.5671e-03 +/-  1.68e-01
                 pdf49    5.1491e-04 +/-  1.68e-01
                  pdf5    6.6157e-03 +/-  1.68e-01
                 pdf50   -2.2631e-03 +/-  1.68e-01
                 pdf51   -1.0279e-03 +/-  1.68e-01
                 pdf52    3.6316e-03 +/-  1.68e-01
                 pdf53   -4.9572e-03 +/-  1.68e-01
                 pdf54   -2.3467e-03 +/-  1.68e-01
                 pdf55   -5.3184e-03 +/-  1.68e-01
                 pdf56    5.4974e-03 +/-  1.68e-01
                 pdf57    1.1764e-03 +/-  1.68e-01
                 pdf58   -3.1984e-04 +/-  1.68e-01
                 pdf59    1.6117e-03 +/-  1.68e-01
                  pdf6   -6.7925e-04 +/-  1.68e-01
                 pdf60   -2.2652e-03 +/-  1.68e-01
                  pdf7    2.6687e-03 +/-  1.68e-01
                  pdf8    1.3224e-03 +/-  1.68e-01
                  pdf9    2.7359e-03 +/-  1.68e-01
             prefire16    1.7130e-02 +/-  1.67e-01
             prefire17   -3.2581e-02 +/-  1.65e-01
      prop_binY16_bin0   -4.1161e-01 +/-  1.68e-01
      prop_binY16_bin1    7.5153e-02 +/-  1.68e-01
     prop_binY16_bin10    2.7356e-02 +/-  1.68e-01
     prop_binY16_bin11   -1.1713e-01 +/-  1.68e-01
     prop_binY16_bin12    1.0730e-01 +/-  1.68e-01
     prop_binY16_bin13   -3.9594e-02 +/-  1.68e-01
     prop_binY16_bin14   -1.5051e-01 +/-  1.68e-01
     prop_binY16_bin15   -2.1787e-02 +/-  1.68e-01
     prop_binY16_bin16    6.8908e-02 +/-  1.68e-01
     prop_binY16_bin17    1.1377e-01 +/-  1.68e-01
     prop_binY16_bin18   -1.4076e-01 +/-  1.68e-01
     prop_binY16_bin19   -1.5661e-01 +/-  1.68e-01
      prop_binY16_bin2   -2.8789e-02 +/-  1.68e-01
     prop_binY16_bin20    1.8369e-01 +/-  1.68e-01
     prop_binY16_bin21    5.8982e-02 +/-  1.68e-01
     prop_binY16_bin22   -4.1437e-02 +/-  1.68e-01
     prop_binY16_bin23   -4.4029e-02 +/-  1.68e-01
  prop_binY16_bin24_LQint    3.0000e+00 +/-  1.21e+00
  prop_binY16_bin24_LQpure    2.0000e+00 +/-  9.76e-01
  prop_binY16_bin24_alpha    3.0012e+00 +/-  1.21e+00
  prop_binY16_bin24_bk    2.0733e+00 +/-  9.89e-01
  prop_binY16_bin24_dy_gg    5.9635e-03 +/-  1.68e-01
  prop_binY16_bin24_fmn    3.9394e+00 +/-  1.39e+00
  prop_binY16_bin24_fpl    4.1045e+00 +/-  1.42e+00
  prop_binY16_bin24_gam    3.0308e+00 +/-  1.22e+00
  prop_binY16_bin25_LQint    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin25_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin25_alpha    1.1486e-03 +/-  1.68e-01
  prop_binY16_bin25_bk    4.1103e+00 +/-  1.40e+00
  prop_binY16_bin25_dy_gg    7.3226e-03 +/-  1.68e-01
  prop_binY16_bin25_fmn   -2.5874e-02 +/-  1.68e-01
  prop_binY16_bin25_fpl    4.2360e-02 +/-  1.68e-01
  prop_binY16_bin25_gam    2.1028e+01 +/-  3.43e+00
     prop_binY16_bin26   -5.6617e-03 +/-  1.68e-01
     prop_binY16_bin27    2.1817e-03 +/-  1.68e-01
     prop_binY16_bin28    1.9846e-03 +/-  1.68e-01
     prop_binY16_bin29   -3.4563e-03 +/-  1.68e-01
      prop_binY16_bin3    6.4628e-03 +/-  1.68e-01
     prop_binY16_bin30   -5.2884e-02 +/-  1.68e-01
  prop_binY16_bin31_LQint    3.0000e+00 +/-  1.21e+00
  prop_binY16_bin31_LQpure    2.0000e+00 +/-  9.76e-01
  prop_binY16_bin31_alpha    2.9993e+00 +/-  1.21e+00
  prop_binY16_bin31_bk    1.9611e+00 +/-  9.59e-01
  prop_binY16_bin31_dy_gg   -3.3502e-03 +/-  1.68e-01
  prop_binY16_bin31_fmn    4.0165e+00 +/-  1.42e+00
  prop_binY16_bin31_fpl    3.8828e+00 +/-  1.36e+00
  prop_binY16_bin31_gam    2.9830e+00 +/-  1.21e+00
     prop_binY16_bin32   -1.2746e-01 +/-  1.68e-01
     prop_binY16_bin33   -1.4257e-01 +/-  1.68e-01
     prop_binY16_bin34    1.8610e-02 +/-  1.68e-01
     prop_binY16_bin35   -6.9236e-03 +/-  1.68e-01
     prop_binY16_bin36    9.4691e-03 +/-  1.68e-01
     prop_binY16_bin37   -3.0427e-02 +/-  1.68e-01
     prop_binY16_bin38    1.1970e-01 +/-  1.68e-01
     prop_binY16_bin39    1.3473e-01 +/-  1.68e-01
      prop_binY16_bin4    8.3154e-03 +/-  1.68e-01
     prop_binY16_bin40    1.4561e-01 +/-  1.68e-01
     prop_binY16_bin41    3.4266e-02 +/-  1.68e-01
     prop_binY16_bin42   -2.8443e-02 +/-  1.68e-01
     prop_binY16_bin43   -1.2732e-03 +/-  1.68e-01
     prop_binY16_bin44    1.6901e-03 +/-  1.68e-01
     prop_binY16_bin45    1.2932e-02 +/-  1.68e-01
     prop_binY16_bin46   -1.1979e-02 +/-  1.68e-01
     prop_binY16_bin47   -6.8804e-02 +/-  1.68e-01
  prop_binY16_bin48_LQint    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin48_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin48_alpha   -2.4238e-04 +/-  1.68e-01
  prop_binY16_bin48_bk    5.8668e+00 +/-  1.70e+00
  prop_binY16_bin48_dy_gg    1.0989e+01 +/-  2.44e+00
  prop_binY16_bin48_fmn    1.2367e-02 +/-  1.68e-01
  prop_binY16_bin48_fpl   -2.0350e-02 +/-  1.68e-01
  prop_binY16_bin48_gam    6.9836e+00 +/-  1.91e+00
     prop_binY16_bin49    3.6814e-02 +/-  1.68e-01
      prop_binY16_bin5    1.2634e-02 +/-  1.68e-01
     prop_binY16_bin50   -2.2560e-02 +/-  1.68e-01
     prop_binY16_bin51   -2.1537e-02 +/-  1.68e-01
     prop_binY16_bin52    1.6305e-02 +/-  1.68e-01
     prop_binY16_bin53    4.1204e-04 +/-  1.68e-01
     prop_binY16_bin54   -8.1065e-03 +/-  1.68e-01
     prop_binY16_bin55    3.2594e-02 +/-  1.68e-01
  prop_binY16_bin56_LQint    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin56_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin56_alpha    2.9998e+00 +/-  1.21e+00
  prop_binY16_bin56_dy_gg   -6.3087e-03 +/-  1.68e-01
  prop_binY16_bin56_fmn    5.9322e-03 +/-  1.68e-01
  prop_binY16_bin56_fpl   -2.4916e-02 +/-  1.68e-01
     prop_binY16_bin57    1.5631e-02 +/-  1.68e-01
     prop_binY16_bin58   -7.4701e-03 +/-  1.68e-01
     prop_binY16_bin59   -2.0479e-03 +/-  1.68e-01
      prop_binY16_bin6   -5.3900e-02 +/-  1.68e-01
     prop_binY16_bin60   -5.7300e-03 +/-  1.68e-01
     prop_binY16_bin61   -1.3355e-03 +/-  1.68e-01
     prop_binY16_bin62   -2.0952e-03 +/-  1.68e-01
  prop_binY16_bin63_LQint    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin63_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin63_alpha    2.9995e+00 +/-  1.21e+00
  prop_binY16_bin63_dy_gg   -1.4924e-02 +/-  1.68e-01
  prop_binY16_bin63_fmn    1.6888e-02 +/-  1.68e-01
  prop_binY16_bin63_fpl   -4.8949e-02 +/-  1.68e-01
     prop_binY16_bin64    2.2288e-02 +/-  1.68e-01
     prop_binY16_bin65   -4.6551e-03 +/-  1.68e-01
     prop_binY16_bin66   -4.9729e-03 +/-  1.68e-01
     prop_binY16_bin67    1.0889e-02 +/-  1.68e-01
     prop_binY16_bin68   -9.8821e-03 +/-  1.68e-01
     prop_binY16_bin69   -2.3403e-03 +/-  1.68e-01
      prop_binY16_bin7    3.0415e-01 +/-  1.68e-01
     prop_binY16_bin70    8.5327e-03 +/-  1.68e-01
     prop_binY16_bin71   -2.5037e-03 +/-  1.68e-01
  prop_binY16_bin72_LQint    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin72_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin72_alpha   -2.2559e-04 +/-  1.68e-01
  prop_binY16_bin72_bk    2.8411e+00 +/-  1.15e+00
  prop_binY16_bin72_dy_gg    9.9920e-01 +/-  6.78e-01
  prop_binY16_bin72_fmn    1.2684e-02 +/-  1.68e-01
  prop_binY16_bin72_fpl   -2.2667e-02 +/-  1.68e-01
  prop_binY16_bin72_gam    2.3894e+01 +/-  3.66e+00
     prop_binY16_bin73    3.4262e-03 +/-  1.68e-01
     prop_binY16_bin74    7.6827e-03 +/-  1.68e-01
     prop_binY16_bin75   -2.6699e-03 +/-  1.68e-01
     prop_binY16_bin76    4.8337e-04 +/-  1.68e-01
