
Attaching file multidimfit.root as _file0...
(TFile *) 0x38e3280

  RooFitResult: minimized FCN value: -6.28218, estimated distance to minimum: 5.82502e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    4.7682e-02 +/-  5.08e-02
                 A0Den    3.0424e-02 +/-  2.31e-01
                   Afb    6.5989e-01 +/-  2.34e-02
                BTAG16    2.2238e-04 +/-  2.31e-01
                BTAG17    1.0429e-03 +/-  2.32e-01
                BTAG18   -8.3716e-03 +/-  2.30e-01
                   FAC    1.0212e-01 +/-  2.20e-01
              METHEM18   -5.0956e-02 +/-  2.30e-01
              METJEC16   -1.7569e-02 +/-  2.32e-01
              METJEC17    1.6897e-02 +/-  2.31e-01
              METJEC18    3.7042e-03 +/-  2.32e-01
              METJER16   -1.2920e-02 +/-  2.32e-01
              METJER17    6.1450e-02 +/-  2.31e-01
              METJER18    1.7522e-03 +/-  2.33e-01
                  Pu16    6.0318e-02 +/-  2.31e-01
                  Pu17   -2.4110e-02 +/-  2.29e-01
                  Pu18   -6.7427e-03 +/-  2.30e-01
                RENORM    4.3117e-02 +/-  2.24e-01
                alphaS    1.6063e-02 +/-  2.31e-01
               bk_xsec    1.6803e-01 +/-  2.29e-01
               dy_xsec   -1.1717e-01 +/-  2.20e-01
            elHLTBAR16    7.0243e-04 +/-  2.31e-01
            elHLTBAR17    3.6721e-03 +/-  2.31e-01
            elHLTBAR18   -1.5319e-02 +/-  2.32e-01
            elHLTEND16   -4.2589e-03 +/-  2.31e-01
            elHLTEND17    4.6993e-03 +/-  2.31e-01
            elHLTEND18    5.0541e-03 +/-  2.31e-01
             elIDBAR16   -9.0666e-03 +/-  2.18e-01
             elIDBAR17   -1.6128e-02 +/-  1.97e-01
             elIDBAR18   -1.0779e-01 +/-  2.00e-01
             elIDEND16    2.6828e-02 +/-  2.11e-01
             elIDEND17    1.2522e-02 +/-  1.90e-01
             elIDEND18    1.2081e-02 +/-  2.07e-01
           elRECOBAR16   -5.2064e-03 +/-  2.31e-01
           elRECOBAR17   -5.6003e-03 +/-  2.31e-01
           elRECOBAR18   -1.4536e-02 +/-  2.31e-01
           elRECOEND16   -4.7738e-04 +/-  2.31e-01
           elRECOEND17    1.0633e-02 +/-  2.31e-01
           elRECOEND18    1.2360e-02 +/-  2.31e-01
         elScaleGain16    0.0000e+00 +/-  2.32e-01
         elScaleGain17    0.0000e+00 +/-  2.32e-01
         elScaleGain18    0.0000e+00 +/-  2.32e-01
         elScaleStat16    0.0000e+00 +/-  2.32e-01
         elScaleStat17    0.0000e+00 +/-  2.32e-01
         elScaleStat18    0.0000e+00 +/-  2.32e-01
         elScaleSyst16    0.0000e+00 +/-  2.32e-01
         elScaleSyst17    0.0000e+00 +/-  2.32e-01
         elScaleSyst18    0.0000e+00 +/-  2.32e-01
             elSmear16    0.0000e+00 +/-  2.32e-01
             elSmear17    0.0000e+00 +/-  2.32e-01
             elSmear18    0.0000e+00 +/-  2.32e-01
              gam_xsec   -6.9277e-02 +/-  2.26e-01
                lumi16   -1.1909e-02 +/-  2.27e-01
                lumi17    3.1815e-02 +/-  2.28e-01
                lumi18   -4.2721e-02 +/-  2.25e-01
                  pdf1    2.8613e-03 +/-  2.32e-01
                 pdf10   -1.1341e-03 +/-  2.32e-01
                 pdf11    4.6855e-03 +/-  2.32e-01
                 pdf12   -3.1336e-03 +/-  2.32e-01
                 pdf13    4.0490e-03 +/-  2.32e-01
                 pdf14    4.4623e-03 +/-  2.32e-01
                 pdf15   -2.6353e-03 +/-  2.32e-01
                 pdf16   -9.8934e-04 +/-  2.32e-01
                 pdf17    4.1194e-03 +/-  2.32e-01
                 pdf18   -4.7882e-04 +/-  2.32e-01
                 pdf19    1.0506e-03 +/-  2.32e-01
                  pdf2   -1.3972e-03 +/-  2.32e-01
                 pdf20    2.7641e-03 +/-  2.32e-01
                 pdf21   -1.3010e-03 +/-  2.32e-01
                 pdf22   -9.4613e-04 +/-  2.32e-01
                 pdf23   -1.8569e-03 +/-  2.32e-01
                 pdf24    1.0461e-03 +/-  2.32e-01
                 pdf25   -4.6970e-04 +/-  2.32e-01
                 pdf26   -7.6370e-04 +/-  2.32e-01
                 pdf27   -2.8756e-03 +/-  2.32e-01
                 pdf28   -5.8090e-03 +/-  2.32e-01
                 pdf29    4.8297e-03 +/-  2.32e-01
                  pdf3   -2.3578e-03 +/-  2.32e-01
                 pdf30    5.1130e-03 +/-  2.31e-01
                 pdf31   -1.0396e-03 +/-  2.32e-01
                 pdf32   -1.7894e-03 +/-  2.32e-01
                 pdf33    1.1422e-03 +/-  2.32e-01
                 pdf34   -2.1625e-03 +/-  2.32e-01
                 pdf35    9.2366e-04 +/-  2.32e-01
                 pdf36    5.8557e-03 +/-  2.32e-01
                 pdf37    2.0065e-04 +/-  2.32e-01
                 pdf38    2.2303e-03 +/-  2.32e-01
                 pdf39   -1.4263e-03 +/-  2.32e-01
                  pdf4   -2.4545e-03 +/-  2.32e-01
                 pdf40    3.1298e-03 +/-  2.32e-01
                 pdf41    3.2520e-03 +/-  2.32e-01
                 pdf42   -5.4841e-03 +/-  2.32e-01
                 pdf43    1.6361e-03 +/-  2.32e-01
                 pdf44    4.2270e-03 +/-  2.32e-01
                 pdf45   -2.0453e-03 +/-  2.32e-01
                 pdf46    2.2605e-03 +/-  2.32e-01
                 pdf47    2.3638e-03 +/-  2.32e-01
                 pdf48    1.6176e-03 +/-  2.32e-01
                 pdf49   -2.0362e-04 +/-  2.32e-01
                  pdf5    5.7687e-03 +/-  2.32e-01
                 pdf50   -3.1732e-03 +/-  2.32e-01
                 pdf51   -1.1885e-03 +/-  2.32e-01
                 pdf52    3.4261e-03 +/-  2.32e-01
                 pdf53   -5.2549e-03 +/-  2.32e-01
                 pdf54   -2.5381e-03 +/-  2.32e-01
                 pdf55   -5.2914e-03 +/-  2.32e-01
                 pdf56    4.2473e-03 +/-  2.32e-01
                 pdf57    1.9956e-03 +/-  2.32e-01
                 pdf58   -8.4525e-05 +/-  2.32e-01
                 pdf59    1.6858e-03 +/-  2.32e-01
                  pdf6    2.0678e-04 +/-  2.32e-01
                 pdf60   -1.8063e-03 +/-  2.32e-01
                  pdf7    2.9204e-03 +/-  2.32e-01
                  pdf8    1.4899e-03 +/-  2.32e-01
                  pdf9    2.9864e-03 +/-  2.32e-01
             prefire16    2.2668e-02 +/-  2.29e-01
             prefire17   -2.9949e-02 +/-  2.23e-01
      prop_binY16_bin0   -4.1336e-01 +/-  2.30e-01
      prop_binY16_bin1    7.4012e-02 +/-  2.30e-01
     prop_binY16_bin10    2.6455e-02 +/-  2.31e-01
     prop_binY16_bin11   -1.1847e-01 +/-  2.31e-01
     prop_binY16_bin12    1.0528e-01 +/-  2.31e-01
     prop_binY16_bin13   -4.0451e-02 +/-  2.31e-01
