
Attaching file multidimfit.root as _file0...
(TFile *) 0x268f8b0

  RooFitResult: minimized FCN value: -6.28886, estimated distance to minimum: 2.7522e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    4.7772e-02 +/-  4.84e-02
                   Afb    6.6000e-01 +/-  2.13e-02
                BTAG16   -1.5714e-03 +/-  1.61e-01
                BTAG17    8.0315e-04 +/-  1.61e-01
                BTAG18   -1.1671e-02 +/-  1.60e-01
                   FAC    7.4851e-02 +/-  1.56e-01
              METHEM18   -5.1445e-02 +/-  1.60e-01
              METJEC16   -1.7947e-02 +/-  1.61e-01
              METJEC17    1.7017e-02 +/-  1.61e-01
              METJEC18    3.5429e-03 +/-  1.61e-01
              METJER16   -1.3134e-02 +/-  1.61e-01
              METJER17    6.1744e-02 +/-  1.61e-01
              METJER18    1.6427e-03 +/-  1.61e-01
                  Pu16    5.9529e-02 +/-  1.61e-01
                  Pu17   -2.3048e-02 +/-  1.60e-01
                  Pu18   -6.5304e-03 +/-  1.60e-01
                 REFAC    9.0515e-02 +/-  1.53e-01
                RENORM    2.0864e-02 +/-  1.58e-01
                alphaS    1.3693e-02 +/-  1.61e-01
               bk_xsec    1.7050e-01 +/-  1.60e-01
               dy_xsec   -9.8583e-02 +/-  1.56e-01
            elHLTBAR16    2.4807e-03 +/-  1.61e-01
            elHLTBAR17    4.1320e-03 +/-  1.61e-01
            elHLTBAR18   -1.4744e-02 +/-  1.61e-01
            elHLTEND16   -1.6122e-03 +/-  1.61e-01
            elHLTEND17    5.0576e-03 +/-  1.61e-01
            elHLTEND18    6.1734e-03 +/-  1.61e-01
             elIDBAR16    3.9881e-03 +/-  1.56e-01
             elIDBAR17   -7.6859e-03 +/-  1.47e-01
             elIDBAR18   -9.4157e-02 +/-  1.48e-01
             elIDEND16    3.6586e-02 +/-  1.53e-01
             elIDEND17    1.8076e-02 +/-  1.44e-01
             elIDEND18    2.2055e-02 +/-  1.52e-01
           elRECOBAR16   -1.5295e-03 +/-  1.61e-01
           elRECOBAR17   -5.0609e-03 +/-  1.61e-01
           elRECOBAR18   -1.2369e-02 +/-  1.61e-01
           elRECOEND16    2.8555e-03 +/-  1.61e-01
           elRECOEND17    1.1246e-02 +/-  1.61e-01
           elRECOEND18    1.4666e-02 +/-  1.61e-01
         elScaleGain16    0.0000e+00 +/-  1.61e-01
         elScaleGain17    0.0000e+00 +/-  1.61e-01
         elScaleGain18    0.0000e+00 +/-  1.61e-01
         elScaleStat16    0.0000e+00 +/-  1.61e-01
         elScaleStat17    0.0000e+00 +/-  1.61e-01
         elScaleStat18    0.0000e+00 +/-  1.61e-01
         elScaleSyst16    0.0000e+00 +/-  1.61e-01
         elScaleSyst17    0.0000e+00 +/-  1.61e-01
         elScaleSyst18    0.0000e+00 +/-  1.61e-01
             elSmear16    0.0000e+00 +/-  1.61e-01
             elSmear17    0.0000e+00 +/-  1.61e-01
             elSmear18    0.0000e+00 +/-  1.61e-01
              gam_xsec   -5.7953e-02 +/-  1.59e-01
                lumi16   -2.8259e-03 +/-  1.59e-01
                lumi17    3.4486e-02 +/-  1.59e-01
                lumi18   -3.6701e-02 +/-  1.58e-01
                  pdf1    2.9226e-03 +/-  1.61e-01
                 pdf10   -1.0529e-03 +/-  1.61e-01
                 pdf11    4.7804e-03 +/-  1.61e-01
                 pdf12   -3.0408e-03 +/-  1.61e-01
                 pdf13    4.1184e-03 +/-  1.61e-01
                 pdf14    5.0901e-03 +/-  1.61e-01
                 pdf15   -2.1835e-03 +/-  1.61e-01
                 pdf16   -9.0178e-04 +/-  1.61e-01
                 pdf17    3.8445e-03 +/-  1.61e-01
                 pdf18   -1.0972e-03 +/-  1.61e-01
                 pdf19    9.3776e-04 +/-  1.61e-01
                  pdf2   -1.8533e-03 +/-  1.61e-01
                 pdf20    2.7139e-03 +/-  1.61e-01
                 pdf21   -1.2668e-03 +/-  1.61e-01
                 pdf22   -3.3796e-04 +/-  1.61e-01
                 pdf23   -2.3708e-03 +/-  1.61e-01
                 pdf24    1.0543e-03 +/-  1.61e-01
                 pdf25   -8.5267e-04 +/-  1.61e-01
                 pdf26   -1.1122e-03 +/-  1.61e-01
                 pdf27   -2.2839e-03 +/-  1.61e-01
                 pdf28   -6.0800e-03 +/-  1.61e-01
                 pdf29    5.6240e-03 +/-  1.61e-01
                  pdf3   -2.3409e-03 +/-  1.61e-01
                 pdf30    4.7571e-03 +/-  1.61e-01
                 pdf31    6.4613e-05 +/-  1.61e-01
                 pdf32   -1.6432e-03 +/-  1.61e-01
                 pdf33    8.3505e-04 +/-  1.61e-01
                 pdf34   -2.3594e-03 +/-  1.61e-01
                 pdf35    1.0367e-03 +/-  1.61e-01
                 pdf36    6.5583e-03 +/-  1.61e-01
                 pdf37    3.6559e-04 +/-  1.61e-01
                 pdf38    2.4519e-03 +/-  1.61e-01
                 pdf39   -1.9900e-03 +/-  1.61e-01
                  pdf4   -2.9137e-03 +/-  1.61e-01
                 pdf40    3.7205e-03 +/-  1.61e-01
                 pdf41    3.6262e-03 +/-  1.61e-01
                 pdf42   -6.4172e-03 +/-  1.61e-01
                 pdf43    1.0574e-03 +/-  1.61e-01
                 pdf44    4.6066e-03 +/-  1.61e-01
                 pdf45   -2.7023e-03 +/-  1.61e-01
                 pdf46    1.6626e-03 +/-  1.61e-01
                 pdf47    3.2377e-03 +/-  1.61e-01
                 pdf48    2.5488e-03 +/-  1.61e-01
                 pdf49    4.8675e-04 +/-  1.61e-01
                  pdf5    6.5750e-03 +/-  1.61e-01
                 pdf50   -2.3252e-03 +/-  1.61e-01
                 pdf51   -1.0505e-03 +/-  1.61e-01
                 pdf52    3.6528e-03 +/-  1.61e-01
                 pdf53   -4.9717e-03 +/-  1.61e-01
                 pdf54   -2.3587e-03 +/-  1.61e-01
                 pdf55   -5.3175e-03 +/-  1.61e-01
                 pdf56    5.4609e-03 +/-  1.61e-01
                 pdf57    1.2491e-03 +/-  1.61e-01
                 pdf58   -2.9997e-04 +/-  1.61e-01
                 pdf59    1.6250e-03 +/-  1.61e-01
                  pdf6   -6.4356e-04 +/-  1.61e-01
                 pdf60   -2.2303e-03 +/-  1.61e-01
                  pdf7    2.7172e-03 +/-  1.61e-01
                  pdf8    1.3756e-03 +/-  1.61e-01
                  pdf9    2.7498e-03 +/-  1.61e-01
             prefire16    1.6113e-02 +/-  1.60e-01
             prefire17   -3.2972e-02 +/-  1.58e-01
      prop_binY16_bin0   -4.1112e-01 +/-  1.60e-01
      prop_binY16_bin1    7.5303e-02 +/-  1.61e-01
     prop_binY16_bin10    2.7278e-02 +/-  1.61e-01
     prop_binY16_bin11   -1.1744e-01 +/-  1.61e-01
     prop_binY16_bin12    1.0685e-01 +/-  1.61e-01
