
Attaching file multidimfit.root as _file0...
(TFile *) 0x2d39f60

  RooFitResult: minimized FCN value: -6.2893, estimated distance to minimum: 2.96002e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    4.8533e-02 +/-  4.88e-02
                 A0Den    3.0775e-02 +/-  1.69e-01
                   Afb    6.6000e-01 +/-  2.16e-02
                BTAG16   -1.4965e-03 +/-  1.69e-01
                BTAG17    8.3271e-04 +/-  1.69e-01
                BTAG18   -1.1681e-02 +/-  1.69e-01
                   FAC    7.4572e-02 +/-  1.64e-01
              METHEM18   -5.1425e-02 +/-  1.68e-01
              METJEC16   -1.7699e-02 +/-  1.69e-01
              METJEC17    1.6215e-02 +/-  1.69e-01
              METJEC18    3.5700e-03 +/-  1.69e-01
              METJER16   -1.2948e-02 +/-  1.69e-01
              METJER17    6.1374e-02 +/-  1.69e-01
              METJER18    1.6666e-03 +/-  1.69e-01
                  Pu16    5.9744e-02 +/-  1.69e-01
                  Pu17   -2.2903e-02 +/-  1.68e-01
                  Pu18   -6.5881e-03 +/-  1.68e-01
                 REFAC    9.0700e-02 +/-  1.60e-01
                RENORM    2.0890e-02 +/-  1.66e-01
               bk_xsec    1.6876e-01 +/-  1.68e-01
               dy_xsec   -9.8785e-02 +/-  1.64e-01
            elHLTBAR16    2.2734e-03 +/-  1.69e-01
            elHLTBAR17    4.5841e-03 +/-  1.69e-01
            elHLTBAR18   -1.3682e-02 +/-  1.69e-01
            elHLTEND16   -1.8954e-03 +/-  1.69e-01
            elHLTEND17    4.8450e-03 +/-  1.69e-01
            elHLTEND18    5.6272e-03 +/-  1.69e-01
             elIDBAR16    4.3307e-03 +/-  1.63e-01
             elIDBAR17   -7.3785e-03 +/-  1.53e-01
             elIDBAR18   -9.3819e-02 +/-  1.55e-01
             elIDEND16    3.6380e-02 +/-  1.60e-01
             elIDEND17    1.8084e-02 +/-  1.50e-01
             elIDEND18    2.1839e-02 +/-  1.59e-01
           elRECOBAR16   -1.4009e-03 +/-  1.69e-01
           elRECOBAR17   -4.8423e-03 +/-  1.69e-01
           elRECOBAR18   -1.2188e-02 +/-  1.69e-01
           elRECOEND16    2.1152e-03 +/-  1.69e-01
           elRECOEND17    1.0947e-02 +/-  1.69e-01
           elRECOEND18    1.3977e-02 +/-  1.69e-01
         elScaleGain16    0.0000e+00 +/-  1.69e-01
         elScaleGain17    0.0000e+00 +/-  1.69e-01
         elScaleGain18    0.0000e+00 +/-  1.69e-01
         elScaleStat16    0.0000e+00 +/-  1.69e-01
         elScaleStat17    0.0000e+00 +/-  1.69e-01
         elScaleStat18    0.0000e+00 +/-  1.69e-01
         elScaleSyst16    0.0000e+00 +/-  1.69e-01
         elScaleSyst17    0.0000e+00 +/-  1.69e-01
         elScaleSyst18    0.0000e+00 +/-  1.69e-01
             elSmear16    0.0000e+00 +/-  1.69e-01
             elSmear17    0.0000e+00 +/-  1.69e-01
             elSmear18    0.0000e+00 +/-  1.69e-01
              gam_xsec   -5.8713e-02 +/-  1.66e-01
                lumi16   -3.2510e-03 +/-  1.67e-01
                lumi17    3.4619e-02 +/-  1.67e-01
                lumi18   -3.6789e-02 +/-  1.66e-01
                  pdf1    2.9117e-03 +/-  1.69e-01
                 pdf10   -1.0777e-03 +/-  1.69e-01
                 pdf11    4.8100e-03 +/-  1.69e-01
                 pdf12   -2.9965e-03 +/-  1.69e-01
                 pdf13    4.0933e-03 +/-  1.69e-01
                 pdf14    5.1217e-03 +/-  1.69e-01
                 pdf15   -2.1579e-03 +/-  1.69e-01
                 pdf16   -9.0967e-04 +/-  1.69e-01
                 pdf17    3.8428e-03 +/-  1.69e-01
                 pdf18   -1.1353e-03 +/-  1.69e-01
                 pdf19    1.0237e-03 +/-  1.69e-01
                  pdf2   -1.8642e-03 +/-  1.69e-01
                 pdf20    2.7211e-03 +/-  1.69e-01
                 pdf21   -1.2744e-03 +/-  1.69e-01
                 pdf22   -3.2954e-04 +/-  1.69e-01
                 pdf23   -2.3445e-03 +/-  1.69e-01
                 pdf24    1.0954e-03 +/-  1.69e-01
                 pdf25   -8.7917e-04 +/-  1.69e-01
                 pdf26   -1.1340e-03 +/-  1.69e-01
                 pdf27   -2.2858e-03 +/-  1.69e-01
                 pdf28   -6.0350e-03 +/-  1.69e-01
                 pdf29    5.6227e-03 +/-  1.69e-01
                  pdf3   -2.3526e-03 +/-  1.69e-01
                 pdf30    4.6927e-03 +/-  1.69e-01
                 pdf31    1.2111e-04 +/-  1.69e-01
