
Attaching file multidimfit.root as _file0...
(TFile *) 0x2dd7370

  RooFitResult: minimized FCN value: -6.2747, estimated distance to minimum: 4.3433e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    4.6934e-02 +/-  4.90e-02
                 A0Den    3.0153e-02 +/-  1.84e-01
                   Afb    6.6005e-01 +/-  2.21e-02
                BTAG16   -4.7793e-03 +/-  1.84e-01
                BTAG17   -6.6763e-04 +/-  1.84e-01
                BTAG18    6.7357e-03 +/-  1.83e-01
                   FAC    1.1562e-01 +/-  1.77e-01
              METHEM18   -5.5349e-02 +/-  1.83e-01
              METJEC16   -1.7840e-02 +/-  1.84e-01
              METJEC17    1.6281e-02 +/-  1.84e-01
              METJEC18    4.0596e-03 +/-  1.85e-01
              METJER16   -1.3271e-02 +/-  1.84e-01
              METJER17    5.7358e-02 +/-  1.83e-01
              METJER18    1.3782e-03 +/-  1.85e-01
                  Pu16    5.8281e-02 +/-  1.84e-01
                  Pu17   -2.6752e-02 +/-  1.83e-01
                  Pu18   -5.5214e-03 +/-  1.83e-01
                 REFAC    1.1056e-01 +/-  1.73e-01
                RENORM    4.4934e-03 +/-  1.80e-01
                alphaS    9.0401e-03 +/-  1.84e-01
               bk_xsec    1.6343e-01 +/-  1.83e-01
               dy_xsec   -1.1683e-01 +/-  1.77e-01
            elHLTEND16    4.9115e-04 +/-  1.84e-01
            elHLTEND17    5.6521e-03 +/-  1.84e-01
            elHLTEND18    7.8372e-03 +/-  1.84e-01
             elIDEND16    4.3248e-02 +/-  1.73e-01
             elIDEND17    2.8876e-02 +/-  1.60e-01
             elIDEND18    4.0588e-02 +/-  1.71e-01
           elRECOEND16    4.0872e-03 +/-  1.84e-01
           elRECOEND17    1.1749e-02 +/-  1.84e-01
           elRECOEND18    1.7359e-02 +/-  1.84e-01
         elScaleGain16    0.0000e+00 +/-  1.84e-01
         elScaleGain17    0.0000e+00 +/-  1.84e-01
         elScaleGain18    0.0000e+00 +/-  1.84e-01
         elScaleStat16    0.0000e+00 +/-  1.84e-01
         elScaleStat17    0.0000e+00 +/-  1.84e-01
         elScaleStat18    0.0000e+00 +/-  1.84e-01
         elScaleSyst16    0.0000e+00 +/-  1.84e-01
         elScaleSyst17    0.0000e+00 +/-  1.84e-01
         elScaleSyst18    0.0000e+00 +/-  1.84e-01
             elSmear16    0.0000e+00 +/-  1.84e-01
             elSmear17    0.0000e+00 +/-  1.84e-01
             elSmear18    0.0000e+00 +/-  1.84e-01
              gam_xsec   -6.8866e-02 +/-  1.81e-01
                lumi16    1.4711e-02 +/-  1.81e-01
                lumi17    6.1424e-02 +/-  1.81e-01
                lumi18   -1.0179e-01 +/-  1.80e-01
                  pdf1    3.4529e-03 +/-  1.84e-01
                 pdf10   -6.9262e-04 +/-  1.84e-01
                 pdf11    4.7701e-03 +/-  1.84e-01
