
Attaching file multidimfit.root as _file0...
(TFile *) 0x384fe20

  RooFitResult: minimized FCN value: -6.24133, estimated distance to minimum: 0.00211633
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    4.2426e-02 +/-  6.39e-02
                 A0Den    2.8753e-02 +/-  9.84e-01
                   Afb    6.5965e-01 +/-  2.78e-02
                BTAG16   -4.9082e-03 +/-  9.97e-01
                BTAG17    1.6864e-03 +/-  9.92e-01
                BTAG18    2.1912e-02 +/-  8.12e-01
              METHEM18   -5.6308e-02 +/-  9.65e-01
              METJEC16   -1.7285e-02 +/-  9.99e-01
              METJEC17    1.9631e-02 +/-  9.71e-01
              METJEC18    4.9320e-03 +/-  1.10e+00
              METJER16   -1.1772e-02 +/-  1.02e+00
              METJER17    6.0949e-02 +/-  9.46e-01
              METJER18    1.8241e-03 +/-  1.13e+00
                  Pu16    5.4907e-02 +/-  9.62e-01
                  Pu17   -2.4262e-02 +/-  8.79e-01
                  Pu18   -6.3749e-03 +/-  9.42e-01
                RENORM    2.5668e-02 +/-  7.59e-01
                alphaS    6.7033e-03 +/-  9.83e-01
               bk_xsec    1.5571e-01 +/-  9.14e-01
               dy_xsec   -2.1104e-01 +/-  7.53e-01
            elHLTEND16   -2.7867e-03 +/-  9.81e-01
            elHLTEND17    4.1433e-03 +/-  9.90e-01
            elHLTEND18    5.4505e-03 +/-  9.92e-01
             elIDEND16    3.7642e-02 +/-  5.54e-01
             elIDEND17    1.2789e-02 +/-  3.93e-01
             elIDEND18    1.1848e-02 +/-  5.11e-01
           elRECOEND16    1.1144e-03 +/-  9.79e-01
           elRECOEND17    9.4895e-03 +/-  9.91e-01
           elRECOEND18    1.2415e-02 +/-  9.81e-01
         elScaleGain16    0.0000e+00 +/-  9.94e-01
         elScaleGain17    0.0000e+00 +/-  9.94e-01
         elScaleGain18    0.0000e+00 +/-  9.94e-01
         elScaleStat16    0.0000e+00 +/-  9.94e-01
         elScaleStat17    0.0000e+00 +/-  9.94e-01
         elScaleStat18    0.0000e+00 +/-  9.94e-01
         elScaleSyst16    0.0000e+00 +/-  9.94e-01
         elScaleSyst17    0.0000e+00 +/-  9.94e-01
         elScaleSyst18    0.0000e+00 +/-  9.94e-01
             elSmear16    0.0000e+00 +/-  9.94e-01
             elSmear17    0.0000e+00 +/-  9.94e-01
             elSmear18    0.0000e+00 +/-  9.94e-01
              gam_xsec   -1.1412e-01 +/-  8.48e-01
                lumi16    2.0665e-02 +/-  8.74e-01
                lumi17    2.5821e-02 +/-  8.36e-01
                lumi18   -1.6122e-01 +/-  8.04e-01
                  pdf1    3.2543e-03 +/-  9.94e-01
                 pdf10   -5.8193e-04 +/-  9.94e-01
                 pdf11    4.8947e-03 +/-  9.94e-01
                 pdf12   -2.4310e-03 +/-  9.93e-01
                 pdf13    4.4014e-03 +/-  9.94e-01
                 pdf14    8.1572e-03 +/-  9.93e-01
                 pdf15   -1.2963e-03 +/-  9.93e-01
                 pdf16   -2.3300e-03 +/-  9.94e-01
                 pdf17    2.1572e-03 +/-  9.94e-01
                 pdf18   -3.1450e-03 +/-  9.93e-01
                 pdf19    7.1156e-04 +/-  9.93e-01
                  pdf2   -2.3443e-03 +/-  9.94e-01
                 pdf20    2.4297e-03 +/-  9.94e-01
                 pdf21   -2.1460e-03 +/-  9.94e-01
                 pdf22    1.2714e-03 +/-  9.93e-01
                 pdf23   -3.7558e-03 +/-  9.93e-01
                 pdf24    1.4674e-03 +/-  9.94e-01
                 pdf25   -3.4024e-03 +/-  9.93e-01
                 pdf26   -2.4521e-03 +/-  9.94e-01
                 pdf27   -1.0039e-03 +/-  9.94e-01
                 pdf28   -6.9804e-03 +/-  9.93e-01
                 pdf29    6.5261e-03 +/-  9.93e-01
                  pdf3   -2.6136e-03 +/-  9.94e-01
                 pdf30    1.7393e-03 +/-  9.92e-01
                 pdf31    1.0637e-03 +/-  9.92e-01
                 pdf32   -1.4362e-03 +/-  9.94e-01
                 pdf33   -9.9329e-04 +/-  9.93e-01
                 pdf34   -3.6820e-03 +/-  9.93e-01
                 pdf35    1.8595e-03 +/-  9.93e-01
                 pdf36    8.0391e-03 +/-  9.93e-01
                 pdf37    1.5732e-03 +/-  9.94e-01
                 pdf38    2.4128e-03 +/-  9.94e-01
                 pdf39   -2.6362e-03 +/-  9.93e-01
                  pdf4   -4.3946e-03 +/-  9.93e-01
                 pdf40    6.1186e-03 +/-  9.94e-01
                 pdf41    5.6622e-03 +/-  9.94e-01
                 pdf42   -8.9588e-03 +/-  9.93e-01
                 pdf43   -6.9128e-04 +/-  9.93e-01
                 pdf44    3.8207e-03 +/-  9.94e-01
                 pdf45   -3.4763e-03 +/-  9.93e-01
                 pdf46    1.7252e-04 +/-  9.94e-01
                 pdf47    5.0945e-03 +/-  9.93e-01
                 pdf48    4.3642e-03 +/-  9.93e-01
                 pdf49    2.9535e-03 +/-  9.93e-01
                  pdf5    9.4250e-03 +/-  9.93e-01
                 pdf50   -4.5037e-04 +/-  9.93e-01
                 pdf51    1.1449e-04 +/-  9.93e-01
                 pdf52    3.2778e-03 +/-  9.93e-01
                 pdf53   -4.9553e-03 +/-  9.93e-01
                 pdf54   -1.2896e-03 +/-  9.94e-01
                 pdf55   -5.5268e-03 +/-  9.94e-01
                 pdf56    7.6174e-03 +/-  9.92e-01
                 pdf57   -9.7816e-04 +/-  9.93e-01
                 pdf58   -5.7935e-04 +/-  9.94e-01
                 pdf59    2.2613e-03 +/-  9.94e-01
                  pdf6   -2.8540e-03 +/-  9.93e-01
                 pdf60   -3.8578e-03 +/-  9.94e-01
                  pdf7    1.8325e-03 +/-  9.93e-01
                  pdf8    6.2951e-04 +/-  9.93e-01
                  pdf9    2.4369e-03 +/-  9.93e-01
             prefire16    2.4120e-02 +/-  8.92e-01
             prefire17   -2.2834e-02 +/-  7.25e-01
      prop_binY16_bin0   -4.1334e-01 +/-  9.06e-01
      prop_binY16_bin1    7.6302e-02 +/-  9.14e-01
     prop_binY16_bin10    2.9428e-02 +/-  9.40e-01
     prop_binY16_bin11   -1.1398e-01 +/-  9.32e-01
     prop_binY16_bin12    1.0978e-01 +/-  9.30e-01
     prop_binY16_bin13   -3.7424e-02 +/-  9.42e-01
     prop_binY16_bin14   -1.5083e-01 +/-  9.07e-01
     prop_binY16_bin15   -2.2027e-02 +/-  9.12e-01
     prop_binY16_bin16    6.4219e-02 +/-  8.98e-01
     prop_binY16_bin17    1.1609e-01 +/-  9.20e-01
     prop_binY16_bin18   -1.3267e-01 +/-  9.40e-01
     prop_binY16_bin19   -1.5364e-01 +/-  9.38e-01
      prop_binY16_bin2   -2.0834e-02 +/-  9.35e-01
     prop_binY16_bin20    1.8821e-01 +/-  9.32e-01
     prop_binY16_bin21    6.6924e-02 +/-  9.40e-01
     prop_binY16_bin22   -3.4906e-02 +/-  9.38e-01
     prop_binY16_bin23   -4.3844e-02 +/-  9.30e-01
  prop_binY16_bin24_LQint    3.0000e+00 +/-  1.71e+00
  prop_binY16_bin24_LQpure    2.0000e+00 +/-  1.40e+00
  prop_binY16_bin24_alpha    3.0010e+00 +/-  1.71e+00
  prop_binY16_bin24_bk    2.0732e+00 +/-  1.41e+00
  prop_binY16_bin24_dy_gg    6.0336e-03 +/-  9.94e-01
  prop_binY16_bin24_fmn    3.9391e+00 +/-  1.93e+00
  prop_binY16_bin24_fpl    4.1056e+00 +/-  1.98e+00
  prop_binY16_bin24_gam    3.0302e+00 +/-  1.73e+00
