
Attaching file multidimfit.root as _file0...
(TFile *) 0x4032720

  RooFitResult: minimized FCN value: -6.28527, estimated distance to minimum: 2.55402e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    4.8366e-02 +/-  4.83e-02
                 A0Den    3.1496e-02 +/-  1.58e-01
                   Afb    6.5998e-01 +/-  2.11e-02
                BTAG16   -3.7338e-03 +/-  1.58e-01
                BTAG17   -2.8512e-04 +/-  1.58e-01
                BTAG18   -1.3515e-02 +/-  1.58e-01
                   FAC    6.5955e-02 +/-  1.53e-01
              METHEM18   -4.9548e-02 +/-  1.57e-01
              METJEC16   -1.9087e-02 +/-  1.58e-01
              METJEC17    1.6486e-02 +/-  1.58e-01
              METJEC18    3.4313e-03 +/-  1.58e-01
              METJER16   -1.4086e-02 +/-  1.58e-01
              METJER17    6.0833e-02 +/-  1.58e-01
              METJER18    1.6163e-03 +/-  1.58e-01
                  Pu16    5.6728e-02 +/-  1.58e-01
                  Pu17   -2.3672e-02 +/-  1.57e-01
                  Pu18   -7.5112e-03 +/-  1.58e-01
                 REFAC    7.5537e-02 +/-  1.50e-01
                RENORM    1.3955e-02 +/-  1.55e-01
                alphaS    1.3028e-02 +/-  1.58e-01
               bk_xsec    1.7209e-01 +/-  1.57e-01
               dy_xsec   -8.3367e-02 +/-  1.54e-01
            elHLTBAR16    5.2439e-03 +/-  1.58e-01
            elHLTBAR17    3.0071e-03 +/-  1.58e-01
            elHLTBAR18   -1.4966e-02 +/-  1.58e-01
             elIDBAR16   -5.9629e-03 +/-  1.53e-01
             elIDBAR17   -1.5621e-02 +/-  1.44e-01
             elIDBAR18   -1.0628e-01 +/-  1.46e-01
           elRECOBAR16   -4.0478e-03 +/-  1.58e-01
           elRECOBAR17   -5.6731e-03 +/-  1.58e-01
           elRECOBAR18   -1.4196e-02 +/-  1.58e-01
         elScaleGain16    0.0000e+00 +/-  1.58e-01
         elScaleGain17    0.0000e+00 +/-  1.58e-01
         elScaleGain18    0.0000e+00 +/-  1.58e-01
         elScaleStat16    0.0000e+00 +/-  1.58e-01
         elScaleStat17    0.0000e+00 +/-  1.58e-01
         elScaleStat18    0.0000e+00 +/-  1.58e-01
         elScaleSyst16    0.0000e+00 +/-  1.58e-01
         elScaleSyst17    0.0000e+00 +/-  1.58e-01
         elScaleSyst18    0.0000e+00 +/-  1.58e-01
             elSmear16    0.0000e+00 +/-  1.58e-01
             elSmear17    0.0000e+00 +/-  1.58e-01
             elSmear18    0.0000e+00 +/-  1.58e-01
              gam_xsec   -5.4555e-02 +/-  1.56e-01
                lumi16    3.5853e-03 +/-  1.56e-01
                lumi17    3.9061e-02 +/-  1.56e-01
                lumi18   -3.2591e-02 +/-  1.56e-01
                  pdf1    3.2236e-03 +/-  1.58e-01
                 pdf10   -1.6316e-03 +/-  1.58e-01
                 pdf11    4.6295e-03 +/-  1.58e-01
                 pdf12   -3.0643e-03 +/-  1.58e-01
                 pdf13    3.6987e-03 +/-  1.58e-01
                 pdf14    6.6915e-03 +/-  1.58e-01
                 pdf15   -1.1449e-03 +/-  1.58e-01
                 pdf16   -2.1311e-03 +/-  1.58e-01
                 pdf17    2.6215e-03 +/-  1.58e-01
                 pdf18   -1.5231e-03 +/-  1.58e-01
                 pdf19    3.9043e-04 +/-  1.58e-01
                  pdf2   -1.5124e-03 +/-  1.58e-01
                 pdf20    2.3743e-03 +/-  1.58e-01
                 pdf21   -1.9621e-03 +/-  1.58e-01
                 pdf22    8.3141e-05 +/-  1.58e-01
                 pdf23   -2.2722e-03 +/-  1.58e-01
                 pdf24    7.3513e-04 +/-  1.58e-01
                 pdf25   -1.3792e-03 +/-  1.58e-01
                 pdf26   -1.6413e-03 +/-  1.58e-01
                 pdf27   -2.2314e-03 +/-  1.58e-01
                 pdf28   -5.0973e-03 +/-  1.58e-01
                 pdf29    6.1432e-03 +/-  1.58e-01
                  pdf3   -2.2533e-03 +/-  1.58e-01
