
Attaching file multidimfit.root as _file0...
(TFile *) 0x266fc90

  RooFitResult: minimized FCN value: -6.27488, estimated distance to minimum: 0.000546827
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    4.6914e-02 +/-  6.22e-02
                 A0Den    2.9869e-02 +/-  6.59e-01
                   Afb    6.5980e-01 +/-  2.67e-02
                BTAG16    7.1065e-05 +/-  6.60e-01
                BTAG17    1.4292e-03 +/-  6.61e-01
                BTAG18   -3.3487e-03 +/-  6.40e-01
              METHEM18   -4.9614e-02 +/-  6.34e-01
              METJEC16   -1.7381e-02 +/-  6.63e-01
              METJEC17    1.7813e-02 +/-  6.54e-01
              METJEC18    3.9347e-03 +/-  6.86e-01
              METJER16   -1.2130e-02 +/-  6.71e-01
              METJER17    6.2914e-02 +/-  6.47e-01
              METJER18    1.9602e-03 +/-  6.91e-01
                  Pu16    5.8447e-02 +/-  6.52e-01
                  Pu17   -2.4157e-02 +/-  6.24e-01
                  Pu18   -7.0801e-03 +/-  6.40e-01
                RENORM    4.5058e-02 +/-  5.84e-01
                alphaS    1.5013e-02 +/-  6.61e-01
               bk_xsec    1.6925e-01 +/-  6.30e-01
               dy_xsec   -1.3756e-01 +/-  5.86e-01
            elHLTBAR16    1.9390e-03 +/-  6.60e-01
            elHLTBAR17    1.5486e-03 +/-  6.60e-01
            elHLTBAR18   -1.7398e-02 +/-  6.66e-01
            elHLTEND16   -4.8590e-03 +/-  6.58e-01
            elHLTEND17    4.2465e-03 +/-  6.61e-01
            elHLTEND18    3.4751e-03 +/-  6.61e-01
             elIDBAR16   -3.9899e-03 +/-  5.24e-01
             elIDBAR17   -3.4488e-02 +/-  3.86e-01
             elIDBAR18   -1.3243e-01 +/-  4.15e-01
             elIDEND16    2.7326e-02 +/-  4.45e-01
             elIDEND17    3.8199e-03 +/-  3.36e-01
             elIDEND18   -5.0266e-03 +/-  4.19e-01
           elRECOBAR16   -3.9816e-03 +/-  6.55e-01
           elRECOBAR17   -7.0153e-03 +/-  6.60e-01
           elRECOBAR18   -1.8663e-02 +/-  6.58e-01
           elRECOEND16   -5.7343e-04 +/-  6.55e-01
           elRECOEND17    1.0006e-02 +/-  6.60e-01
           elRECOEND18    9.2008e-03 +/-  6.55e-01
         elScaleGain16    0.0000e+00 +/-  6.62e-01
         elScaleGain17    0.0000e+00 +/-  6.62e-01
         elScaleGain18    0.0000e+00 +/-  6.62e-01
         elScaleStat16    0.0000e+00 +/-  6.62e-01
         elScaleStat17    0.0000e+00 +/-  6.62e-01
         elScaleStat18    0.0000e+00 +/-  6.62e-01
         elScaleSyst16    0.0000e+00 +/-  6.62e-01
         elScaleSyst17    0.0000e+00 +/-  6.62e-01
         elScaleSyst18    0.0000e+00 +/-  6.62e-01
             elSmear16    0.0000e+00 +/-  6.62e-01
             elSmear17    0.0000e+00 +/-  6.62e-01
             elSmear18    0.0000e+00 +/-  6.62e-01
              gam_xsec   -7.7243e-02 +/-  6.09e-01
                lumi16   -8.4650e-03 +/-  6.27e-01
                lumi17    2.4762e-02 +/-  6.35e-01
                lumi18   -5.5337e-02 +/-  6.21e-01
                  pdf1    2.6798e-03 +/-  6.62e-01
                 pdf10   -1.2041e-03 +/-  6.62e-01
                 pdf11    4.8124e-03 +/-  6.62e-01
                 pdf12   -2.7518e-03 +/-  6.62e-01
                 pdf13    3.9062e-03 +/-  6.62e-01
                 pdf14    5.0713e-03 +/-  6.62e-01
                 pdf15   -2.4354e-03 +/-  6.62e-01
                 pdf16   -1.2487e-03 +/-  6.62e-01
                 pdf17    3.7919e-03 +/-  6.62e-01
                 pdf18   -7.8902e-04 +/-  6.62e-01
                 pdf19    1.1448e-03 +/-  6.62e-01
                  pdf2   -1.3975e-03 +/-  6.62e-01
                 pdf20    2.6828e-03 +/-  6.62e-01
                 pdf21   -1.6833e-03 +/-  6.62e-01
                 pdf22   -7.4847e-04 +/-  6.62e-01
                 pdf23   -1.8908e-03 +/-  6.62e-01
                 pdf24    1.2661e-03 +/-  6.62e-01
                 pdf25   -8.7552e-04 +/-  6.62e-01
                 pdf26   -9.0602e-04 +/-  6.62e-01
                 pdf27   -2.8760e-03 +/-  6.62e-01
                 pdf28   -5.5233e-03 +/-  6.62e-01
                 pdf29    4.6569e-03 +/-  6.62e-01
                  pdf3   -2.5127e-03 +/-  6.62e-01
                 pdf30    4.1003e-03 +/-  6.61e-01
                 pdf31   -1.2253e-03 +/-  6.61e-01
                 pdf32   -1.9038e-03 +/-  6.62e-01
                 pdf33    8.8437e-04 +/-  6.62e-01
                 pdf34   -2.4687e-03 +/-  6.62e-01
                 pdf35    1.0485e-03 +/-  6.62e-01
                 pdf36    5.7779e-03 +/-  6.62e-01
                 pdf37    4.6002e-04 +/-  6.62e-01
                 pdf38    2.0094e-03 +/-  6.62e-01
                 pdf39   -1.4783e-03 +/-  6.62e-01
                  pdf4   -2.5985e-03 +/-  6.62e-01
                 pdf40    3.4987e-03 +/-  6.62e-01
                 pdf41    3.6734e-03 +/-  6.62e-01
                 pdf42   -5.7015e-03 +/-  6.62e-01
                 pdf43    1.3455e-03 +/-  6.62e-01
                 pdf44    3.7990e-03 +/-  6.62e-01
                 pdf45   -1.9088e-03 +/-  6.62e-01
                 pdf46    2.1394e-03 +/-  6.62e-01
                 pdf47    2.4003e-03 +/-  6.62e-01
                 pdf48    1.6427e-03 +/-  6.62e-01
                 pdf49    1.1782e-04 +/-  6.62e-01
                  pdf5    6.0277e-03 +/-  6.62e-01
                 pdf50   -2.9314e-03 +/-  6.62e-01
                 pdf51   -1.0572e-03 +/-  6.62e-01
                 pdf52    2.9921e-03 +/-  6.62e-01
                 pdf53   -5.4793e-03 +/-  6.62e-01
                 pdf54   -2.3780e-03 +/-  6.62e-01
                 pdf55   -5.3907e-03 +/-  6.62e-01
                 pdf56    4.2860e-03 +/-  6.62e-01
                 pdf57    1.5707e-03 +/-  6.62e-01
                 pdf58   -2.5172e-04 +/-  6.62e-01
                 pdf59    1.8356e-03 +/-  6.62e-01
                  pdf6   -1.3186e-05 +/-  6.62e-01
                 pdf60   -2.0399e-03 +/-  6.62e-01
                  pdf7    2.6344e-03 +/-  6.62e-01
                  pdf8    1.1294e-03 +/-  6.62e-01
                  pdf9    3.0137e-03 +/-  6.62e-01
             prefire16    2.3948e-02 +/-  6.24e-01
             prefire17   -2.4855e-02 +/-  5.52e-01
      prop_binY16_bin0   -4.1353e-01 +/-  6.33e-01
      prop_binY16_bin1    7.4693e-02 +/-  6.37e-01
     prop_binY16_bin10    2.6778e-02 +/-  6.45e-01
     prop_binY16_bin11   -1.1760e-01 +/-  6.43e-01
     prop_binY16_bin12    1.0614e-01 +/-  6.42e-01
     prop_binY16_bin13   -3.9660e-02 +/-  6.46e-01
     prop_binY16_bin14   -1.5057e-01 +/-  6.34e-01
     prop_binY16_bin15   -2.1986e-02 +/-  6.36e-01
     prop_binY16_bin16    6.5764e-02 +/-  6.31e-01
     prop_binY16_bin17    1.1559e-01 +/-  6.38e-01
     prop_binY16_bin18   -1.3489e-01 +/-  6.45e-01
     prop_binY16_bin19   -1.5679e-01 +/-  6.45e-01
      prop_binY16_bin2   -2.4920e-02 +/-  6.44e-01
     prop_binY16_bin20    1.8476e-01 +/-  6.43e-01
     prop_binY16_bin21    6.5154e-02 +/-  6.45e-01
     prop_binY16_bin22   -3.4983e-02 +/-  6.45e-01
     prop_binY16_bin23   -4.3070e-02 +/-  6.42e-01
  prop_binY16_bin24_LQint    3.0000e+00 +/-  1.68e+00
  prop_binY16_bin24_LQpure    2.0000e+00 +/-  1.37e+00
  prop_binY16_bin24_alpha    3.0011e+00 +/-  1.68e+00
  prop_binY16_bin24_bk    2.0729e+00 +/-  1.39e+00
  prop_binY16_bin24_dy_gg    6.0030e-03 +/-  6.62e-01
  prop_binY16_bin24_fmn    3.9391e+00 +/-  1.90e+00
  prop_binY16_bin24_fpl    4.1051e+00 +/-  1.94e+00
  prop_binY16_bin24_gam    3.0305e+00 +/-  1.69e+00
  prop_binY16_bin25_LQint    0.0000e+00 +/-  6.62e-01
  prop_binY16_bin25_LQpure    0.0000e+00 +/-  6.62e-01
  prop_binY16_bin25_alpha    1.1316e-03 +/-  6.62e-01
  prop_binY16_bin25_bk    4.1123e+00 +/-  1.91e+00
  prop_binY16_bin25_dy_gg    7.5369e-03 +/-  6.62e-01
  prop_binY16_bin25_fmn   -2.6325e-02 +/-  6.59e-01
  prop_binY16_bin25_fpl    4.3186e-02 +/-  6.54e-01
  prop_binY16_bin25_gam    2.1028e+01 +/-  4.48e+00
     prop_binY16_bin26   -8.5856e-03 +/-  6.47e-01
     prop_binY16_bin27    8.6683e-04 +/-  6.50e-01
     prop_binY16_bin28    6.7076e-04 +/-  6.50e-01
     prop_binY16_bin29   -5.3591e-03 +/-  6.48e-01
      prop_binY16_bin3    8.5970e-03 +/-  6.47e-01
     prop_binY16_bin30   -5.2700e-02 +/-  6.47e-01
  prop_binY16_bin31_LQint    3.0000e+00 +/-  1.68e+00
  prop_binY16_bin31_LQpure    2.0000e+00 +/-  1.37e+00
  prop_binY16_bin31_alpha    2.9993e+00 +/-  1.68e+00
  prop_binY16_bin31_bk    1.9607e+00 +/-  1.34e+00
  prop_binY16_bin31_dy_gg   -3.4289e-03 +/-  6.62e-01
  prop_binY16_bin31_fmn    4.0168e+00 +/-  1.95e+00
  prop_binY16_bin31_fpl    3.8802e+00 +/-  1.83e+00
  prop_binY16_bin31_gam    2.9829e+00 +/-  1.67e+00
     prop_binY16_bin32   -1.3009e-01 +/-  6.40e-01
     prop_binY16_bin33   -1.4467e-01 +/-  6.49e-01
     prop_binY16_bin34    1.7495e-02 +/-  6.58e-01
     prop_binY16_bin35   -7.6274e-03 +/-  6.59e-01
     prop_binY16_bin36    8.8894e-03 +/-  6.59e-01
     prop_binY16_bin37   -3.2125e-02 +/-  6.59e-01
     prop_binY16_bin38    1.1835e-01 +/-  6.50e-01
     prop_binY16_bin39    1.3410e-01 +/-  6.42e-01
      prop_binY16_bin4    1.1592e-02 +/-  6.47e-01
     prop_binY16_bin40    1.4499e-01 +/-  6.32e-01
     prop_binY16_bin41    3.4706e-02 +/-  6.58e-01
     prop_binY16_bin42   -2.8874e-02 +/-  6.59e-01
     prop_binY16_bin43   -1.8079e-03 +/-  6.58e-01
     prop_binY16_bin44    1.0948e-03 +/-  6.59e-01
     prop_binY16_bin45    1.2192e-02 +/-  6.59e-01
     prop_binY16_bin46   -1.2170e-02 +/-  6.59e-01
     prop_binY16_bin47   -6.9579e-02 +/-  6.45e-01
  prop_binY16_bin48_LQint    0.0000e+00 +/-  6.62e-01
  prop_binY16_bin48_LQpure    0.0000e+00 +/-  6.62e-01
  prop_binY16_bin48_alpha   -2.3788e-04 +/-  6.62e-01
  prop_binY16_bin48_bk    5.8649e+00 +/-  2.27e+00
  prop_binY16_bin48_dy_gg    1.0989e+01 +/-  3.23e+00
