
Attaching file multidimfit.root as _file0...
(TFile *) 0x34d3490

  RooFitResult: minimized FCN value: -6.27474, estimated distance to minimum: 0.000519742
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    4.6906e-02 +/-  6.17e-02
                 A0Den    2.9948e-02 +/-  6.44e-01
                   Afb    6.5979e-01 +/-  2.67e-02
                BTAG16    5.0207e-05 +/-  6.45e-01
                BTAG17    1.4349e-03 +/-  6.46e-01
                BTAG18   -3.2681e-03 +/-  6.26e-01
              METHEM18   -4.9693e-02 +/-  6.21e-01
              METJEC16   -1.7384e-02 +/-  6.48e-01
              METJEC17    1.7792e-02 +/-  6.40e-01
              METJEC18    3.9551e-03 +/-  6.69e-01
              METJER16   -1.2123e-02 +/-  6.55e-01
              METJER17    6.2951e-02 +/-  6.33e-01
              METJER18    1.9693e-03 +/-  6.74e-01
                  Pu16    5.8421e-02 +/-  6.37e-01
                  Pu17   -2.4187e-02 +/-  6.11e-01
                  Pu18   -7.1018e-03 +/-  6.26e-01
                RENORM    4.4934e-02 +/-  5.73e-01
                alphaS    1.4973e-02 +/-  6.46e-01
               bk_xsec    1.6928e-01 +/-  6.17e-01
               dy_xsec   -1.3783e-01 +/-  5.73e-01
            elHLTEND16   -4.9455e-03 +/-  6.43e-01
            elHLTEND17    4.2098e-03 +/-  6.46e-01
            elHLTEND18    3.5343e-03 +/-  6.46e-01
             elIDBAR16   -3.8220e-03 +/-  5.14e-01
             elIDBAR17   -3.4314e-02 +/-  3.78e-01
             elIDBAR18   -1.3335e-01 +/-  4.07e-01
             elIDEND16    2.7388e-02 +/-  4.39e-01
             elIDEND17    3.8422e-03 +/-  3.33e-01
             elIDEND18   -4.9452e-03 +/-  4.13e-01
           elRECOBAR16   -3.9083e-03 +/-  6.40e-01
           elRECOBAR17   -6.9774e-03 +/-  6.45e-01
           elRECOBAR18   -1.8864e-02 +/-  6.43e-01
           elRECOEND16   -5.8488e-04 +/-  6.40e-01
           elRECOEND17    9.9694e-03 +/-  6.45e-01
           elRECOEND18    9.2453e-03 +/-  6.40e-01
         elScaleGain16    0.0000e+00 +/-  6.47e-01
         elScaleGain17    0.0000e+00 +/-  6.47e-01
         elScaleGain18    0.0000e+00 +/-  6.47e-01
         elScaleStat16    0.0000e+00 +/-  6.47e-01
         elScaleStat17    0.0000e+00 +/-  6.47e-01
         elScaleStat18    0.0000e+00 +/-  6.47e-01
         elScaleSyst16    0.0000e+00 +/-  6.47e-01
         elScaleSyst17    0.0000e+00 +/-  6.47e-01
         elScaleSyst18    0.0000e+00 +/-  6.47e-01
             elSmear16    0.0000e+00 +/-  6.47e-01
             elSmear17    0.0000e+00 +/-  6.47e-01
             elSmear18    0.0000e+00 +/-  6.47e-01
              gam_xsec   -7.7321e-02 +/-  5.96e-01
