
Attaching file multidimfit.root as _file0...
(TFile *) 0x32a3ce0

  RooFitResult: minimized FCN value: -6.27272, estimated distance to minimum: 0.00143585
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    4.5916e-02 +/-  6.53e-02
                   Afb    6.5985e-01 +/-  2.79e-02
                BTAG16    1.2426e-03 +/-  9.87e-01
                BTAG17    1.3353e-03 +/-  9.92e-01
                BTAG18   -3.3775e-03 +/-  9.29e-01
              METHEM18   -4.9245e-02 +/-  9.24e-01
              METJEC16   -1.7464e-02 +/-  9.99e-01
              METJEC17    1.9030e-02 +/-  9.72e-01
              METJEC18    3.7482e-03 +/-  1.09e+00
              METJER16   -1.2641e-02 +/-  1.03e+00
              METJER17    6.2109e-02 +/-  9.50e-01
              METJER18    1.7894e-03 +/-  1.11e+00
                  Pu16    5.9516e-02 +/-  9.64e-01
                  Pu17   -2.4772e-02 +/-  8.84e-01
                  Pu18   -6.6745e-03 +/-  9.45e-01
               bk_xsec    1.6879e-01 +/-  9.18e-01
               dy_xsec   -1.4040e-01 +/-  8.53e-01
            elHLTBAR16    3.8150e-04 +/-  9.95e-01
            elHLTBAR17    1.5717e-03 +/-  9.88e-01
            elHLTBAR18   -1.8665e-02 +/-  1.01e+00
            elHLTEND16   -5.7671e-03 +/-  9.86e-01
            elHLTEND17    4.6239e-03 +/-  9.92e-01
            elHLTEND18    4.0725e-03 +/-  9.94e-01
             elIDBAR16   -1.6090e-02 +/-  6.91e-01
             elIDBAR17   -3.2450e-02 +/-  4.89e-01
             elIDBAR18   -1.3081e-01 +/-  5.43e-01
             elIDEND16    2.1022e-02 +/-  5.48e-01
             elIDEND17    3.8392e-03 +/-  3.96e-01
             elIDEND18   -4.1689e-03 +/-  5.20e-01
           elRECOBAR16   -7.2751e-03 +/-  9.79e-01
           elRECOBAR17   -7.1557e-03 +/-  9.90e-01
           elRECOBAR18   -1.8916e-02 +/-  9.87e-01
           elRECOEND16   -1.7111e-03 +/-  9.79e-01
           elRECOEND17    1.0288e-02 +/-  9.91e-01
           elRECOEND18    9.8068e-03 +/-  9.81e-01
         elScaleGain16    0.0000e+00 +/-  9.94e-01
         elScaleGain17    0.0000e+00 +/-  9.94e-01
         elScaleGain18    0.0000e+00 +/-  9.94e-01
         elScaleStat16    0.0000e+00 +/-  9.94e-01
         elScaleStat17    0.0000e+00 +/-  9.94e-01
         elScaleStat18    0.0000e+00 +/-  9.94e-01
         elScaleSyst16    0.0000e+00 +/-  9.94e-01
         elScaleSyst17    0.0000e+00 +/-  9.94e-01
         elScaleSyst18    0.0000e+00 +/-  9.94e-01
             elSmear16    0.0000e+00 +/-  9.94e-01
             elSmear17    0.0000e+00 +/-  9.94e-01
             elSmear18    0.0000e+00 +/-  9.94e-01
              gam_xsec   -8.1323e-02 +/-  8.74e-01
                lumi16   -1.6230e-02 +/-  9.19e-01
                lumi17    2.5607e-02 +/-  9.44e-01
                lumi18   -5.3873e-02 +/-  9.20e-01
                  pdf1    2.8036e-03 +/-  9.94e-01
                 pdf10   -1.1483e-03 +/-  9.94e-01
                 pdf11    4.5390e-03 +/-  9.94e-01
                 pdf12   -3.1918e-03 +/-  9.93e-01
                 pdf13    4.0267e-03 +/-  9.94e-01
                 pdf14    4.3203e-03 +/-  9.93e-01
                 pdf15   -2.8664e-03 +/-  9.93e-01
                 pdf16   -1.1816e-03 +/-  9.94e-01
                 pdf17    4.0899e-03 +/-  9.94e-01
                 pdf18   -1.3924e-04 +/-  9.94e-01
