
Attaching file multidimfit.root as _file0...
(TFile *) 0x2286fe0

  RooFitResult: minimized FCN value: -6.28908, estimated distance to minimum: 3.02039e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    4.8562e-02 +/-  4.87e-02
                 A0Den    3.0619e-02 +/-  1.68e-01
                   Afb    6.5998e-01 +/-  2.16e-02
                BTAG16   -1.6286e-03 +/-  1.68e-01
                BTAG17    8.4360e-04 +/-  1.68e-01
                BTAG18   -1.1636e-02 +/-  1.68e-01
                   FAC    7.4852e-02 +/-  1.63e-01
              METHEM18   -5.1699e-02 +/-  1.68e-01
              METJEC16   -1.7769e-02 +/-  1.68e-01
              METJEC17    1.6166e-02 +/-  1.68e-01
              METJEC18    3.5763e-03 +/-  1.69e-01
              METJER16   -1.3012e-02 +/-  1.69e-01
              METJER17    6.1260e-02 +/-  1.68e-01
              METJER18    1.6690e-03 +/-  1.69e-01
                  Pu16    5.9653e-02 +/-  1.68e-01
                  Pu17   -2.2844e-02 +/-  1.68e-01
                  Pu18   -6.5817e-03 +/-  1.68e-01
                 REFAC    9.0231e-02 +/-  1.60e-01
                RENORM    2.0274e-02 +/-  1.65e-01
                alphaS    1.3389e-02 +/-  1.68e-01
               bk_xsec    1.6883e-01 +/-  1.67e-01
               dy_xsec   -9.8335e-02 +/-  1.63e-01
            elHLTBAR16    2.4716e-03 +/-  1.68e-01
            elHLTBAR17    4.5413e-03 +/-  1.68e-01
            elHLTBAR18   -1.3878e-02 +/-  1.68e-01
            elHLTEND16   -1.8194e-03 +/-  1.68e-01
            elHLTEND17    4.8285e-03 +/-  1.68e-01
            elHLTEND18    5.6144e-03 +/-  1.68e-01
             elIDBAR16    5.8516e-03 +/-  1.63e-01
             elIDBAR17   -7.6237e-03 +/-  1.53e-01
             elIDBAR18   -9.4162e-02 +/-  1.54e-01
             elIDEND16    3.6657e-02 +/-  1.60e-01
             elIDEND17    1.8003e-02 +/-  1.49e-01
             elIDEND18    2.1680e-02 +/-  1.58e-01
           elRECOBAR16   -1.0615e-03 +/-  1.68e-01
           elRECOBAR17   -4.8760e-03 +/-  1.68e-01
           elRECOBAR18   -1.2235e-02 +/-  1.68e-01
           elRECOEND16    2.2404e-03 +/-  1.68e-01
           elRECOEND17    1.0917e-02 +/-  1.68e-01
           elRECOEND18    1.3917e-02 +/-  1.68e-01
         elScaleGain16    0.0000e+00 +/-  1.68e-01
         elScaleGain17    0.0000e+00 +/-  1.68e-01
         elScaleGain18    0.0000e+00 +/-  1.68e-01
         elScaleStat16    0.0000e+00 +/-  1.68e-01
