
Attaching file multidimfit.root as _file0...
(TFile *) 0x36905a0

  RooFitResult: minimized FCN value: -2.96616, estimated distance to minimum: 1.34706e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    4.7132e-02 +/-  4.75e-02
                 A0Den    3.3699e-02 +/-  1.50e-01
                   Afb    6.6028e-01 +/-  2.07e-02
                BTAG16    1.0816e-03 +/-  1.51e-01
                BTAG17    6.2972e-03 +/-  1.51e-01
                BTAG18   -1.7304e-02 +/-  1.50e-01
                   FAC    5.4000e-02 +/-  1.46e-01
              METHEM18   -5.8342e-02 +/-  1.50e-01
              METJEC16   -1.9846e-02 +/-  1.51e-01
              METJEC17    3.0448e-02 +/-  1.51e-01
              METJEC18    8.0811e-02 +/-  1.50e-01
              METJER16   -1.3591e-02 +/-  1.51e-01
              METJER17    1.4287e-01 +/-  1.50e-01
              METJER18    1.7564e-02 +/-  1.51e-01
                  Pu16    6.9173e-02 +/-  1.50e-01
                  Pu17   -2.5402e-02 +/-  1.50e-01
                  Pu18    3.1509e-02 +/-  1.50e-01
                 REFAC    8.5085e-02 +/-  1.44e-01
                RENORM    2.7016e-02 +/-  1.48e-01
                alphaS    1.6217e-02 +/-  1.50e-01
               bk_xsec    1.1694e-01 +/-  1.50e-01
               dy_xsec   -7.0504e-02 +/-  1.47e-01
            elHLTBAR16   -4.2046e-04 +/-  1.50e-01
            elHLTBAR17    2.9643e-03 +/-  1.50e-01
            elHLTBAR18   -1.6378e-02 +/-  1.51e-01
            elHLTEND16   -3.3016e-03 +/-  1.50e-01
            elHLTEND17    4.7800e-03 +/-  1.51e-01
            elHLTEND18    5.9410e-03 +/-  1.51e-01
             elIDBAR16   -3.8592e-03 +/-  1.46e-01
             elIDBAR17   -1.9771e-02 +/-  1.39e-01
             elIDBAR18   -1.1832e-01 +/-  1.40e-01
             elIDEND16    3.5984e-02 +/-  1.44e-01
             elIDEND17    1.6690e-02 +/-  1.36e-01
             elIDEND18    1.2372e-02 +/-  1.43e-01
