
Attaching file multidimfit.root as _file0...
(TFile *) 0x2d98b00

  RooFitResult: minimized FCN value: -6.28915, estimated distance to minimum: 3.01576e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    4.8507e-02 +/-  4.88e-02
                 A0Den    3.0784e-02 +/-  1.71e-01
                   Afb    6.5999e-01 +/-  2.17e-02
                BTAG16   -1.2042e-03 +/-  1.71e-01
                BTAG17    8.1777e-04 +/-  1.71e-01
                BTAG18   -1.1924e-02 +/-  1.70e-01
                   FAC    7.3878e-02 +/-  1.65e-01
              METHEM18   -5.1952e-02 +/-  1.70e-01
              METJEC16   -1.7702e-02 +/-  1.71e-01
              METJEC17    1.6294e-02 +/-  1.71e-01
              METJEC18    3.5862e-03 +/-  1.71e-01
              METJER16   -1.3086e-02 +/-  1.71e-01
              METJER17    6.1012e-02 +/-  1.70e-01
              METJER18    1.6745e-03 +/-  1.71e-01
                  Pu16    6.0066e-02 +/-  1.70e-01
                  Pu17   -2.3234e-02 +/-  1.70e-01
                  Pu18   -6.6310e-03 +/-  1.70e-01
                 REFAC    9.4724e-02 +/-  1.62e-01
                alphaS    1.4124e-02 +/-  1.71e-01
               bk_xsec    1.6861e-01 +/-  1.70e-01
               dy_xsec   -9.9311e-02 +/-  1.65e-01
            elHLTBAR16    1.9498e-03 +/-  1.71e-01
            elHLTBAR17    4.7316e-03 +/-  1.71e-01
            elHLTBAR18   -1.3605e-02 +/-  1.71e-01
            elHLTEND16   -2.4407e-03 +/-  1.71e-01
            elHLTEND17    4.8588e-03 +/-  1.71e-01
            elHLTEND18    5.7191e-03 +/-  1.71e-01
             elIDBAR16    9.4563e-04 +/-  1.64e-01
             elIDBAR17   -6.2063e-03 +/-  1.54e-01
             elIDBAR18   -9.2832e-02 +/-  1.56e-01
             elIDEND16    3.4204e-02 +/-  1.61e-01
             elIDEND17    1.8247e-02 +/-  1.51e-01
             elIDEND18    2.2461e-02 +/-  1.60e-01
           elRECOBAR16   -2.1019e-03 +/-  1.70e-01
           elRECOBAR17   -4.7767e-03 +/-  1.71e-01
           elRECOBAR18   -1.1970e-02 +/-  1.70e-01
           elRECOEND16    1.6015e-03 +/-  1.70e-01
           elRECOEND17    1.0974e-02 +/-  1.71e-01
           elRECOEND18    1.4105e-02 +/-  1.70e-01
         elScaleGain16    0.0000e+00 +/-  1.71e-01
         elScaleGain17    0.0000e+00 +/-  1.71e-01
         elScaleGain18    0.0000e+00 +/-  1.71e-01
         elScaleStat16    0.0000e+00 +/-  1.71e-01
         elScaleStat17    0.0000e+00 +/-  1.71e-01
         elScaleStat18    0.0000e+00 +/-  1.71e-01
         elScaleSyst16    0.0000e+00 +/-  1.71e-01
         elScaleSyst17    0.0000e+00 +/-  1.71e-01
         elScaleSyst18    0.0000e+00 +/-  1.71e-01
             elSmear16    0.0000e+00 +/-  1.71e-01
             elSmear17    0.0000e+00 +/-  1.71e-01
             elSmear18    0.0000e+00 +/-  1.71e-01
              gam_xsec   -5.9158e-02 +/-  1.68e-01
                lumi16   -5.2184e-03 +/-  1.69e-01
                lumi17    3.5355e-02 +/-  1.69e-01
                lumi18   -3.5798e-02 +/-  1.68e-01
                  pdf1    2.9306e-03 +/-  1.71e-01
                 pdf10   -1.0710e-03 +/-  1.71e-01
                 pdf11    4.7732e-03 +/-  1.71e-01
                 pdf12   -3.0775e-03 +/-  1.71e-01
                 pdf13    4.1133e-03 +/-  1.71e-01
                 pdf14    4.9375e-03 +/-  1.71e-01
                 pdf15   -2.2580e-03 +/-  1.71e-01
                 pdf16   -8.8816e-04 +/-  1.71e-01
                 pdf17    3.9398e-03 +/-  1.71e-01
                 pdf18   -1.0009e-03 +/-  1.71e-01
                 pdf19    1.0320e-03 +/-  1.71e-01
                  pdf2   -1.7988e-03 +/-  1.71e-01
                 pdf20    2.7576e-03 +/-  1.71e-01
                 pdf21   -1.2210e-03 +/-  1.71e-01
                 pdf22   -4.3788e-04 +/-  1.71e-01
                 pdf23   -2.2814e-03 +/-  1.71e-01
                 pdf24    1.0520e-03 +/-  1.71e-01
                 pdf25   -7.7288e-04 +/-  1.71e-01
                 pdf26   -1.0696e-03 +/-  1.71e-01
                 pdf27   -2.3663e-03 +/-  1.71e-01
                 pdf28   -6.0618e-03 +/-  1.71e-01
                 pdf29    5.5323e-03 +/-  1.71e-01
                  pdf3   -2.3413e-03 +/-  1.71e-01
                 pdf30    4.9083e-03 +/-  1.71e-01
                 pdf31   -1.8271e-06 +/-  1.71e-01
                 pdf32   -1.6788e-03 +/-  1.71e-01
                 pdf33    9.0944e-04 +/-  1.71e-01
                 pdf34   -2.3317e-03 +/-  1.71e-01
                 pdf35    9.8099e-04 +/-  1.71e-01
                 pdf36    6.4475e-03 +/-  1.71e-01
                 pdf37    2.8811e-04 +/-  1.71e-01
                 pdf38    2.4344e-03 +/-  1.71e-01
                 pdf39   -1.8939e-03 +/-  1.71e-01
                  pdf4   -2.8545e-03 +/-  1.71e-01
                 pdf40    3.5939e-03 +/-  1.71e-01
                 pdf41    3.5309e-03 +/-  1.71e-01
                 pdf42   -6.2804e-03 +/-  1.71e-01
                 pdf43    1.1217e-03 +/-  1.71e-01
                 pdf44    4.6070e-03 +/-  1.71e-01
                 pdf45   -2.6582e-03 +/-  1.71e-01
                 pdf46    1.7809e-03 +/-  1.71e-01
                 pdf47    3.0939e-03 +/-  1.71e-01
                 pdf48    2.3946e-03 +/-  1.71e-01
                 pdf49    3.3550e-04 +/-  1.71e-01
                  pdf5    6.4416e-03 +/-  1.71e-01
                 pdf50   -2.4418e-03 +/-  1.71e-01
                 pdf51   -1.0731e-03 +/-  1.71e-01
                 pdf52    3.6500e-03 +/-  1.71e-01
                 pdf53   -4.9451e-03 +/-  1.71e-01
                 pdf54   -2.4247e-03 +/-  1.71e-01
                 pdf55   -5.2933e-03 +/-  1.71e-01
                 pdf56    5.2755e-03 +/-  1.71e-01
                 pdf57    1.3673e-03 +/-  1.71e-01
                 pdf58   -2.6671e-04 +/-  1.71e-01
                 pdf59    1.5974e-03 +/-  1.71e-01
                  pdf6   -5.0032e-04 +/-  1.71e-01
                 pdf60   -2.1642e-03 +/-  1.71e-01
                  pdf7    2.7431e-03 +/-  1.71e-01
                  pdf8    1.3783e-03 +/-  1.71e-01
                  pdf9    2.7713e-03 +/-  1.71e-01
             prefire16    1.7925e-02 +/-  1.70e-01
             prefire17   -3.2981e-02 +/-  1.67e-01
      prop_binY16_bin0   -4.1202e-01 +/-  1.70e-01
      prop_binY16_bin1    7.4787e-02 +/-  1.70e-01
     prop_binY16_bin10    2.7058e-02 +/-  1.70e-01
     prop_binY16_bin11   -1.1763e-01 +/-  1.70e-01
     prop_binY16_bin12    1.0665e-01 +/-  1.70e-01
     prop_binY16_bin13   -3.9960e-02 +/-  1.70e-01
     prop_binY16_bin14   -1.5077e-01 +/-  1.70e-01
     prop_binY16_bin15   -2.1889e-02 +/-  1.70e-01
     prop_binY16_bin16    6.8378e-02 +/-  1.70e-01
     prop_binY16_bin17    1.1398e-01 +/-  1.70e-01
     prop_binY16_bin18   -1.4071e-01 +/-  1.70e-01
     prop_binY16_bin19   -1.5676e-01 +/-  1.70e-01
      prop_binY16_bin2   -2.8772e-02 +/-  1.70e-01
     prop_binY16_bin20    1.8345e-01 +/-  1.70e-01
     prop_binY16_bin21    5.9397e-02 +/-  1.70e-01
     prop_binY16_bin22   -4.1240e-02 +/-  1.70e-01
     prop_binY16_bin23   -4.4411e-02 +/-  1.70e-01
  prop_binY16_bin24_LQint    3.0000e+00 +/-  1.22e+00
  prop_binY16_bin24_LQpure    2.0000e+00 +/-  9.83e-01
  prop_binY16_bin24_alpha    3.0012e+00 +/-  1.22e+00
  prop_binY16_bin24_bk    2.0734e+00 +/-  9.96e-01
  prop_binY16_bin24_dy_gg    5.9790e-03 +/-  1.71e-01
  prop_binY16_bin24_fmn    3.9393e+00 +/-  1.40e+00
  prop_binY16_bin24_fpl    4.1045e+00 +/-  1.43e+00
  prop_binY16_bin24_gam    3.0309e+00 +/-  1.23e+00
  prop_binY16_bin25_LQint    0.0000e+00 +/-  1.71e-01
  prop_binY16_bin25_LQpure    0.0000e+00 +/-  1.71e-01
  prop_binY16_bin25_alpha    1.1494e-03 +/-  1.71e-01
  prop_binY16_bin25_bk    4.1105e+00 +/-  1.41e+00
  prop_binY16_bin25_dy_gg    7.3378e-03 +/-  1.71e-01
  prop_binY16_bin25_fmn   -2.5910e-02 +/-  1.71e-01
  prop_binY16_bin25_fpl    4.2421e-02 +/-  1.71e-01
  prop_binY16_bin25_gam    2.1028e+01 +/-  3.45e+00
     prop_binY16_bin26   -5.8054e-03 +/-  1.70e-01
     prop_binY16_bin27    1.8021e-03 +/-  1.70e-01
     prop_binY16_bin28    1.5889e-03 +/-  1.70e-01
     prop_binY16_bin29   -3.4601e-03 +/-  1.70e-01
      prop_binY16_bin3    6.5015e-03 +/-  1.70e-01
     prop_binY16_bin30   -5.2941e-02 +/-  1.70e-01
  prop_binY16_bin31_LQint    3.0000e+00 +/-  1.22e+00
  prop_binY16_bin31_LQpure    2.0000e+00 +/-  9.83e-01
  prop_binY16_bin31_alpha    2.9993e+00 +/-  1.22e+00
  prop_binY16_bin31_bk    1.9612e+00 +/-  9.66e-01
  prop_binY16_bin31_dy_gg   -3.3457e-03 +/-  1.71e-01
  prop_binY16_bin31_fmn    4.0164e+00 +/-  1.43e+00
  prop_binY16_bin31_fpl    3.8832e+00 +/-  1.37e+00
  prop_binY16_bin31_gam    2.9830e+00 +/-  1.21e+00
     prop_binY16_bin32   -1.2750e-01 +/-  1.70e-01
     prop_binY16_bin33   -1.4261e-01 +/-  1.70e-01
     prop_binY16_bin34    1.8482e-02 +/-  1.71e-01
     prop_binY16_bin35   -7.0089e-03 +/-  1.71e-01
     prop_binY16_bin36    9.3621e-03 +/-  1.71e-01
     prop_binY16_bin37   -3.0597e-02 +/-  1.71e-01
     prop_binY16_bin38    1.1974e-01 +/-  1.70e-01
     prop_binY16_bin39    1.3457e-01 +/-  1.70e-01
      prop_binY16_bin4    8.5600e-03 +/-  1.70e-01
     prop_binY16_bin40    1.4577e-01 +/-  1.70e-01
     prop_binY16_bin41    3.4298e-02 +/-  1.71e-01
     prop_binY16_bin42   -2.8467e-02 +/-  1.71e-01
     prop_binY16_bin43   -1.3433e-03 +/-  1.71e-01
     prop_binY16_bin44    1.6436e-03 +/-  1.71e-01
     prop_binY16_bin45    1.2971e-02 +/-  1.71e-01
     prop_binY16_bin46   -1.1985e-02 +/-  1.71e-01
     prop_binY16_bin47   -6.8640e-02 +/-  1.70e-01
  prop_binY16_bin48_LQint    0.0000e+00 +/-  1.71e-01
  prop_binY16_bin48_LQpure    0.0000e+00 +/-  1.71e-01
  prop_binY16_bin48_alpha   -2.4152e-04 +/-  1.71e-01
  prop_binY16_bin48_bk    5.8673e+00 +/-  1.71e+00
  prop_binY16_bin48_dy_gg    1.0989e+01 +/-  2.45e+00
  prop_binY16_bin48_fmn    1.2330e-02 +/-  1.71e-01
  prop_binY16_bin48_fpl   -2.0289e-02 +/-  1.71e-01
  prop_binY16_bin48_gam    6.9837e+00 +/-  1.92e+00
     prop_binY16_bin49    3.6795e-02 +/-  1.71e-01
      prop_binY16_bin5    1.2289e-02 +/-  1.70e-01
     prop_binY16_bin50   -2.2472e-02 +/-  1.71e-01
     prop_binY16_bin51   -2.1599e-02 +/-  1.71e-01
     prop_binY16_bin52    1.6226e-02 +/-  1.71e-01
