
Attaching file multidimfit.root as _file0...
(TFile *) 0x3f605a0

  RooFitResult: minimized FCN value: -6.22881, estimated distance to minimum: 6.41269e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    4.1265e-02 +/-  5.97e-02
                   Afb    6.5962e-01 +/-  2.78e-02
               bk_xsec    1.5647e-01 +/-  9.10e-01
               dy_xsec   -1.9809e-01 +/-  7.03e-01
              gam_xsec   -1.1456e-01 +/-  8.42e-01
                lumi16    1.7324e-02 +/-  7.99e-01
                lumi17    4.0737e-02 +/-  7.73e-01
                lumi18   -1.6460e-01 +/-  7.44e-01
                  pdf1    3.6504e-03 +/-  9.94e-01
                 pdf10   -1.0986e-03 +/-  9.94e-01
                 pdf11    4.6828e-03 +/-  9.94e-01
                 pdf12   -2.6839e-03 +/-  9.93e-01
                 pdf13    4.0734e-03 +/-  9.94e-01
                 pdf14    9.1456e-03 +/-  9.92e-01
                 pdf15   -4.7301e-04 +/-  9.93e-01
                 pdf16   -3.5091e-03 +/-  9.93e-01
                 pdf17    1.3178e-03 +/-  9.93e-01
                 pdf18   -3.1731e-03 +/-  9.93e-01
                 pdf19    2.9916e-04 +/-  9.93e-01
                  pdf2   -1.8038e-03 +/-  9.94e-01
                 pdf20    2.2306e-03 +/-  9.94e-01
                 pdf21   -2.7031e-03 +/-  9.94e-01
                 pdf22    1.3712e-03 +/-  9.93e-01
                 pdf23   -3.4396e-03 +/-  9.93e-01
                 pdf24    1.1191e-03 +/-  9.94e-01
                 pdf25   -3.6609e-03 +/-  9.93e-01
                 pdf26   -2.7663e-03 +/-  9.94e-01
                 pdf27   -1.2342e-03 +/-  9.93e-01
                 pdf28   -6.2163e-03 +/-  9.93e-01
                 pdf29    6.8012e-03 +/-  9.93e-01
                  pdf3   -2.4911e-03 +/-  9.94e-01
                 pdf30    6.1977e-04 +/-  9.91e-01
                 pdf31    5.0986e-04 +/-  9.91e-01
                 pdf32   -1.5072e-03 +/-  9.94e-01
                 pdf33   -1.6295e-03 +/-  9.93e-01
                 pdf34   -3.7291e-03 +/-  9.93e-01
                 pdf35    2.4681e-03 +/-  9.93e-01
                 pdf36    7.4298e-03 +/-  9.93e-01
                 pdf37    2.3421e-03 +/-  9.93e-01
                 pdf38    1.9733e-03 +/-  9.94e-01
                 pdf39   -3.9278e-03 +/-  9.93e-01
                  pdf4   -5.0001e-03 +/-  9.93e-01
                 pdf40    6.3314e-03 +/-  9.93e-01
                 pdf41    6.6372e-03 +/-  9.93e-01
                 pdf42   -9.1030e-03 +/-  9.92e-01
                 pdf43    2.3114e-04 +/-  9.93e-01
                 pdf44    2.5480e-03 +/-  9.93e-01
                 pdf45   -2.7632e-03 +/-  9.93e-01
                 pdf46   -2.8975e-04 +/-  9.93e-01
                 pdf47    4.9972e-03 +/-  9.93e-01
                 pdf48    4.7875e-03 +/-  9.92e-01
                 pdf49    3.3283e-03 +/-  9.93e-01
                  pdf5    1.0077e-02 +/-  9.92e-01
