
Attaching file multidimfit.ee_u_bonly_-1.root as _file0...
(TFile *) 0x32cb520

  RooFitResult: minimized FCN value: -2.84018e-07, estimated distance to minimum: 2.39827e-07
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    7.5784e-02 +/-  6.98e-02
                    A4    1.6278e+00 +/-  7.65e-02
                 FAC16   -1.7787e-01 +/-  9.94e-01
               FAC1718    3.1003e-01 +/-  9.87e-01
        MCStatBin10y16   -8.2796e-01 +/-  9.60e-01
        MCStatBin10y17    9.7663e-02 +/-  9.73e-01
        MCStatBin10y18    4.9414e-01 +/-  9.61e-01
        MCStatBin11y16   -1.4979e-01 +/-  9.60e-01
        MCStatBin11y17   -3.0026e-01 +/-  9.80e-01
        MCStatBin11y18    5.3501e-02 +/-  9.69e-01
        MCStatBin15y16    8.6731e-02 +/-  9.62e-01
        MCStatBin15y17    1.3757e-01 +/-  9.80e-01
        MCStatBin15y18   -5.8703e-02 +/-  9.67e-01
        MCStatBin16y16    2.8343e-01 +/-  9.57e-01
        MCStatBin16y17   -1.1593e-01 +/-  9.74e-01
        MCStatBin16y18   -2.7887e-01 +/-  9.63e-01
        MCStatBin17y16    1.1286e-01 +/-  9.62e-01
        MCStatBin17y17    3.7109e-02 +/-  9.81e-01
        MCStatBin17y18   -4.2897e-02 +/-  9.73e-01
         MCStatBin1y16    5.7517e-02 +/-  9.90e-01
         MCStatBin1y17    4.5440e-02 +/-  9.95e-01
         MCStatBin1y18    1.6548e-02 +/-  9.97e-01
        MCStatBin21y16    1.7228e-02 +/-  9.97e-01
        MCStatBin21y17    2.1393e-02 +/-  9.98e-01
        MCStatBin21y18    7.1289e-02 +/-  9.99e-01
        MCStatBin22y16   -5.5501e-02 +/-  9.92e-01
        MCStatBin22y17   -9.2393e-03 +/-  9.99e-01
        MCStatBin22y18    4.3045e-03 +/-  9.94e-01
        MCStatBin23y16    2.4223e-01 +/-  9.88e-01
        MCStatBin23y17   -2.1227e-02 +/-  9.96e-01
        MCStatBin23y18    1.1479e-02 +/-  9.94e-01
        MCStatBin24y16   -1.3571e-02 +/-  9.91e-01
        MCStatBin24y17    1.2698e-01 +/-  9.95e-01
        MCStatBin24y18   -4.9510e-03 +/-  9.94e-01
        MCStatBin29y16   -1.7716e-01 +/-  9.94e-01
        MCStatBin29y17    1.6800e-02 +/-  9.96e-01
        MCStatBin29y18    8.5304e-02 +/-  9.95e-01
         MCStatBin2y16    5.7924e-01 +/-  9.58e-01
         MCStatBin2y17    1.4299e-01 +/-  9.79e-01
         MCStatBin2y18   -1.2855e-01 +/-  9.73e-01
        MCStatBin30y16    1.8589e-01 +/-  9.86e-01
        MCStatBin30y17    2.8988e-02 +/-  9.96e-01
        MCStatBin30y18   -6.4825e-02 +/-  9.93e-01
        MCStatBin31y16   -1.3117e-01 +/-  9.93e-01
        MCStatBin31y17    9.6310e-02 +/-  9.95e-01
        MCStatBin31y18    8.1870e-02 +/-  9.93e-01
        MCStatBin35y16    4.2628e-02 +/-  9.89e-01
        MCStatBin35y17    5.4933e-02 +/-  9.95e-01
        MCStatBin35y18    3.3714e-01 +/-  9.89e-01
        MCStatBin36y16   -4.2634e-02 +/-  9.88e-01
        MCStatBin36y17    1.0765e-01 +/-  9.94e-01
        MCStatBin36y18    7.2606e-02 +/-  9.91e-01
        MCStatBin37y16    1.8848e-01 +/-  9.88e-01
        MCStatBin37y17   -1.0759e-01 +/-  9.97e-01
        MCStatBin37y18    5.2146e-02 +/-  1.01e+00
         MCStatBin3y16   -2.1823e-01 +/-  9.58e-01
         MCStatBin3y17    1.9662e-01 +/-  9.73e-01
         MCStatBin3y18    2.8017e-01 +/-  9.66e-01
        MCStatBin41y16    8.2656e-02 +/-  9.96e-01
        MCStatBin41y17   -6.2437e-02 +/-  9.99e-01
        MCStatBin41y18   -6.6168e-02 +/-  9.99e-01
        MCStatBin42y16   -4.7238e-02 +/-  9.96e-01
        MCStatBin42y17    1.5722e-01 +/-  9.98e-01
        MCStatBin42y18   -2.2910e-02 +/-  1.01e+00
        MCStatBin43y16    6.7925e-02 +/-  9.94e-01
        MCStatBin43y17   -9.8563e-02 +/-  9.99e-01
        MCStatBin43y18   -1.1991e-01 +/-  1.01e+00
        MCStatBin44y16    1.7352e-02 +/-  9.95e-01
        MCStatBin44y17   -8.1980e-02 +/-  9.99e-01
        MCStatBin44y18    4.7280e-04 +/-  9.98e-01
        MCStatBin49y16   -9.9596e-02 +/-  9.97e-01
        MCStatBin49y17    4.1944e-02 +/-  9.98e-01
        MCStatBin49y18   -1.8442e-02 +/-  9.97e-01
         MCStatBin4y16    2.1002e-01 +/-  9.58e-01
         MCStatBin4y17   -1.2307e-02 +/-  9.78e-01
         MCStatBin4y18   -9.9889e-02 +/-  9.71e-01
        MCStatBin50y16   -2.5223e-01 +/-  9.99e-01
        MCStatBin50y17   -5.7144e-02 +/-  9.98e-01
        MCStatBin50y18   -1.9880e-02 +/-  1.00e+00
        MCStatBin51y16   -1.7732e-01 +/-  9.96e-01
        MCStatBin51y17   -4.3578e-02 +/-  9.98e-01
        MCStatBin51y18   -5.9905e-02 +/-  9.98e-01
        MCStatBin55y16   -7.3718e-02 +/-  9.93e-01
        MCStatBin55y17   -4.1665e-02 +/-  9.97e-01
        MCStatBin55y18   -9.3029e-02 +/-  9.97e-01
        MCStatBin56y16   -4.9136e-02 +/-  9.95e-01
        MCStatBin56y17   -7.8366e-02 +/-  9.99e-01
        MCStatBin56y18   -6.0519e-02 +/-  9.98e-01
        MCStatBin57y16   -1.0919e-01 +/-  9.97e-01
        MCStatBin57y17   -7.6737e-03 +/-  9.98e-01
        MCStatBin57y18    1.0649e-01 +/-  9.96e-01
         MCStatBin9y16   -1.8982e-01 +/-  9.71e-01
         MCStatBin9y17   -1.7618e-01 +/-  9.86e-01
         MCStatBin9y18   -5.3799e-01 +/-  9.79e-01
                    Pu    2.1594e-01 +/-  1.02e+00
               REFAC16   -5.1894e-02 +/-  8.34e-01
             REFAC1718    2.2235e-01 +/-  7.76e-01
              RENORM16    1.0278e-01 +/-  1.08e+00
            RENORM1718   -1.1853e-01 +/-  9.98e-01
              alphaS16    1.1180e-02 +/-  1.07e+00
            alphaS1718    1.4847e-11 +/-  1.00e+00
               db_xsec   -1.2127e-01 +/-  9.96e-01
               dy_xsec    1.9823e-01 +/-  9.23e-01
             elFakes16    5.6395e-02 +/-  8.61e-01
             elFakes17    2.1364e-01 +/-  8.74e-01
             elFakes18    4.4192e-01 +/-  6.61e-01
          elHLTBARPT16   -1.4465e-01 +/-  1.01e+00
          elHLTBARPT17    2.2028e-01 +/-  9.44e-01
          elHLTBARPT18   -3.0884e-02 +/-  1.00e+00
          elHLTENDPT16    1.8756e-01 +/-  8.60e-01
          elHLTENDPT17    1.1616e-01 +/-  9.90e-01
          elHLTENDPT18   -2.2450e-01 +/-  1.00e+00
             elIDBARPT    1.6100e-01 +/-  5.11e-01
             elIDENDPT    4.9713e-01 +/-  3.92e-01
           elRECOBARPT   -1.0865e-01 +/-  9.86e-01
           elRECOENDPT   -1.7084e-01 +/-  9.83e-01
         elScaleGain16   -4.3460e-01 +/-  7.53e-01
         elScaleGain17   -2.9348e-01 +/-  8.44e-01
         elScaleGain18   -1.3273e-01 +/-  6.32e-01
         elScaleStat16    1.4847e-11 +/-  1.00e+00
         elScaleStat17    1.4847e-11 +/-  1.00e+00
         elScaleStat18    1.4847e-11 +/-  1.00e+00
           elScaleSyst    5.3997e-02 +/-  9.32e-01
