
Attaching file multidimfit.ee_u_-1.root as _file0...
(TFile *) 0xfa5170

  RooFitResult: minimized FCN value: -2.83333e-08, estimated distance to minimum: 3.46905e-08
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    8.0390e-02 +/-  6.67e-02
                    A4    1.6185e+00 +/-  7.98e-02
                 FAC16   -1.3762e-01 +/-  9.88e-01
               FAC1718    4.3502e-01 +/-  1.14e+00
        MCStatBin10y16   -8.4486e-01 +/-  9.61e-01
        MCStatBin10y17    8.3837e-02 +/-  9.72e-01
        MCStatBin10y18    4.7829e-01 +/-  9.61e-01
        MCStatBin11y16   -1.7132e-01 +/-  9.60e-01
        MCStatBin11y17   -3.1644e-01 +/-  9.80e-01
        MCStatBin11y18    2.7420e-02 +/-  9.68e-01
        MCStatBin15y16    1.1738e-01 +/-  9.61e-01
        MCStatBin15y17    1.4942e-01 +/-  9.80e-01
        MCStatBin15y18   -1.5379e-02 +/-  9.66e-01
        MCStatBin16y16    3.2310e-01 +/-  9.57e-01
        MCStatBin16y17   -4.8592e-02 +/-  9.72e-01
        MCStatBin16y18   -2.2944e-01 +/-  9.62e-01
        MCStatBin17y16    1.6931e-01 +/-  9.59e-01
        MCStatBin17y17    1.1443e-01 +/-  9.78e-01
        MCStatBin17y18    7.4195e-03 +/-  9.69e-01
         MCStatBin1y16    4.1267e-02 +/-  9.90e-01
         MCStatBin1y17    3.7106e-02 +/-  9.95e-01
         MCStatBin1y18    9.6559e-03 +/-  9.97e-01
        MCStatBin21y16    1.3716e-02 +/-  9.98e-01
        MCStatBin21y17    2.0631e-02 +/-  9.98e-01
        MCStatBin21y18    6.6498e-02 +/-  9.99e-01
        MCStatBin22y16   -6.3195e-02 +/-  9.92e-01
        MCStatBin22y17   -1.6887e-02 +/-  9.96e-01
        MCStatBin22y18   -3.8663e-05 +/-  9.94e-01
        MCStatBin23y16    2.3190e-01 +/-  9.88e-01
        MCStatBin23y17   -2.8548e-02 +/-  9.96e-01
        MCStatBin23y18    1.8828e-03 +/-  1.00e+00
        MCStatBin24y16   -2.1920e-02 +/-  9.92e-01
        MCStatBin24y17    1.1320e-01 +/-  9.96e-01
        MCStatBin24y18   -1.4783e-02 +/-  1.01e+00
        MCStatBin29y16   -1.6873e-01 +/-  9.94e-01
        MCStatBin29y17    2.5026e-02 +/-  9.96e-01
        MCStatBin29y18    8.8733e-02 +/-  9.94e-01
         MCStatBin2y16    5.5990e-01 +/-  9.57e-01
         MCStatBin2y17    1.3269e-01 +/-  9.78e-01
         MCStatBin2y18   -1.4548e-01 +/-  9.73e-01
        MCStatBin30y16    1.7591e-01 +/-  9.87e-01
        MCStatBin30y17    2.0593e-02 +/-  9.96e-01
        MCStatBin30y18   -7.0056e-02 +/-  1.01e+00
        MCStatBin31y16   -1.3693e-01 +/-  9.93e-01
        MCStatBin31y17    8.9921e-02 +/-  9.95e-01
        MCStatBin31y18    7.4405e-02 +/-  9.90e-01
        MCStatBin35y16    5.5182e-02 +/-  9.89e-01
        MCStatBin35y17    5.8258e-02 +/-  9.95e-01
        MCStatBin35y18    3.5644e-01 +/-  1.00e+00
        MCStatBin36y16   -3.0565e-02 +/-  9.87e-01
        MCStatBin36y17    1.2046e-01 +/-  9.94e-01
        MCStatBin36y18    8.2530e-02 +/-  1.00e+00
        MCStatBin37y16    1.9800e-01 +/-  9.88e-01
        MCStatBin37y17   -9.7661e-02 +/-  9.96e-01
        MCStatBin37y18    5.5766e-02 +/-  9.91e-01
         MCStatBin3y16   -2.4356e-01 +/-  9.58e-01
         MCStatBin3y17    1.7843e-01 +/-  9.73e-01
         MCStatBin3y18    2.5706e-01 +/-  9.66e-01
        MCStatBin41y16    8.6862e-02 +/-  9.98e-01
        MCStatBin41y17   -5.8814e-02 +/-  9.99e-01
        MCStatBin41y18   -6.4451e-02 +/-  9.99e-01
        MCStatBin42y16   -4.9378e-02 +/-  9.96e-01
        MCStatBin42y17    1.5124e-01 +/-  9.98e-01
        MCStatBin42y18   -2.3468e-02 +/-  1.01e+00
        MCStatBin43y16    6.3602e-02 +/-  9.94e-01
        MCStatBin43y17   -1.0013e-01 +/-  1.00e+00
        MCStatBin43y18   -1.2044e-01 +/-  1.01e+00
        MCStatBin44y16    1.4492e-02 +/-  9.95e-01
        MCStatBin44y17   -8.4205e-02 +/-  1.00e+00
