
Attaching file multidimfit.ee_u_vec_-1.root as _file0...
(TFile *) 0x114cd90

  RooFitResult: minimized FCN value: -6.63627e-08, estimated distance to minimum: 1.10392e-07
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    4.9527e-02 +/-  6.85e-02
                    A4    1.6611e+00 +/-  7.62e-02
                 FAC16   -8.9542e-02 +/-  9.65e-01
               FAC1718    3.2979e-01 +/-  9.98e-01
        MCStatBin10y16   -8.5023e-01 +/-  9.61e-01
        MCStatBin10y17    6.6501e-02 +/-  9.73e-01
        MCStatBin10y18    4.5312e-01 +/-  9.62e-01
        MCStatBin11y16   -1.5765e-01 +/-  9.60e-01
        MCStatBin11y17   -3.2302e-01 +/-  9.80e-01
        MCStatBin11y18    2.1253e-02 +/-  9.70e-01
        MCStatBin15y16    5.5213e-02 +/-  9.61e-01
        MCStatBin15y17    1.2368e-01 +/-  9.79e-01
        MCStatBin15y18   -7.4681e-02 +/-  9.67e-01
        MCStatBin16y16    2.5965e-01 +/-  9.57e-01
        MCStatBin16y17   -1.4752e-01 +/-  9.74e-01
        MCStatBin16y18   -2.9307e-01 +/-  9.63e-01
        MCStatBin17y16    1.0268e-01 +/-  9.63e-01
        MCStatBin17y17    3.2696e-03 +/-  9.82e-01
        MCStatBin17y18   -5.9262e-02 +/-  9.73e-01
         MCStatBin1y16    4.9288e-02 +/-  9.90e-01
         MCStatBin1y17    3.9911e-02 +/-  9.94e-01
         MCStatBin1y18    9.0135e-03 +/-  9.96e-01
        MCStatBin21y16    1.7203e-02 +/-  9.98e-01
        MCStatBin21y17    2.2897e-02 +/-  9.98e-01
        MCStatBin21y18    6.5719e-02 +/-  1.02e+00
        MCStatBin22y16   -5.8883e-02 +/-  9.95e-01
        MCStatBin22y17   -1.3318e-02 +/-  9.96e-01
        MCStatBin22y18    2.0895e-03 +/-  9.95e-01
        MCStatBin23y16    2.4196e-01 +/-  9.89e-01
        MCStatBin23y17   -1.4084e-02 +/-  9.96e-01
        MCStatBin23y18    1.6243e-02 +/-  1.01e+00
        MCStatBin24y16   -7.0578e-03 +/-  9.92e-01
        MCStatBin24y17    1.3322e-01 +/-  9.95e-01
        MCStatBin24y18    6.8458e-03 +/-  9.97e-01
        MCStatBin29y16   -1.7818e-01 +/-  9.94e-01
        MCStatBin29y17    2.1929e-02 +/-  9.96e-01
        MCStatBin29y18    8.9108e-02 +/-  9.95e-01
         MCStatBin2y16    5.2639e-01 +/-  9.58e-01
         MCStatBin2y17    9.1968e-02 +/-  9.79e-01
         MCStatBin2y18   -1.8639e-01 +/-  9.74e-01
        MCStatBin30y16    1.8951e-01 +/-  9.87e-01
        MCStatBin30y17    2.9162e-02 +/-  9.96e-01
        MCStatBin30y18   -6.2543e-02 +/-  9.94e-01
        MCStatBin31y16   -1.2241e-01 +/-  9.93e-01
        MCStatBin31y17    9.9115e-02 +/-  9.95e-01
        MCStatBin31y18    8.4320e-02 +/-  1.01e+00
        MCStatBin35y16    5.1246e-02 +/-  9.88e-01
        MCStatBin35y17    6.2889e-02 +/-  9.94e-01
        MCStatBin35y18    3.5046e-01 +/-  9.89e-01
        MCStatBin36y16   -3.5605e-02 +/-  9.88e-01
        MCStatBin36y17    1.1060e-01 +/-  9.93e-01
        MCStatBin36y18    8.5825e-02 +/-  9.91e-01
        MCStatBin37y16    1.9548e-01 +/-  9.89e-01
        MCStatBin37y17   -1.0496e-01 +/-  9.97e-01
        MCStatBin37y18    5.4763e-02 +/-  9.92e-01
         MCStatBin3y16   -2.5099e-01 +/-  9.59e-01
         MCStatBin3y17    1.7215e-01 +/-  9.74e-01
         MCStatBin3y18    2.5316e-01 +/-  9.67e-01
        MCStatBin41y16    9.2624e-02 +/-  9.97e-01
        MCStatBin41y17   -4.7772e-02 +/-  9.99e-01
        MCStatBin41y18   -5.2586e-02 +/-  1.00e+00
        MCStatBin42y16   -2.0072e-02 +/-  9.96e-01
        MCStatBin42y17    1.6476e-01 +/-  9.93e-01
        MCStatBin42y18   -1.0002e-03 +/-  1.01e+00
        MCStatBin43y16    8.6892e-02 +/-  9.95e-01
        MCStatBin43y17   -7.7858e-02 +/-  9.94e-01
        MCStatBin43y18   -9.2792e-02 +/-  1.01e+00
        MCStatBin44y16    3.7489e-02 +/-  9.95e-01
        MCStatBin44y17   -6.3855e-02 +/-  9.99e-01
        MCStatBin44y18    2.0281e-02 +/-  1.00e+00
        MCStatBin49y16   -8.3471e-02 +/-  9.97e-01
        MCStatBin49y17    5.6261e-02 +/-  9.98e-01
        MCStatBin49y18    7.7648e-04 +/-  9.98e-01
         MCStatBin4y16    1.8745e-01 +/-  9.59e-01
         MCStatBin4y17   -1.3243e-02 +/-  9.78e-01
         MCStatBin4y18   -1.0088e-01 +/-  9.71e-01
        MCStatBin50y16   -2.3505e-01 +/-  1.00e+00
        MCStatBin50y17   -4.6515e-02 +/-  9.98e-01
        MCStatBin50y18   -4.6365e-03 +/-  9.97e-01
        MCStatBin51y16   -1.5656e-01 +/-  9.98e-01
        MCStatBin51y17   -3.2514e-02 +/-  9.98e-01
        MCStatBin51y18   -4.2766e-02 +/-  1.01e+00
        MCStatBin55y16   -5.6506e-02 +/-  9.93e-01
        MCStatBin55y17   -1.9746e-02 +/-  9.98e-01
        MCStatBin55y18   -7.2800e-02 +/-  9.97e-01
        MCStatBin56y16   -3.3758e-02 +/-  9.95e-01
        MCStatBin56y17   -6.7810e-02 +/-  9.98e-01
        MCStatBin56y18   -4.7099e-02 +/-  1.01e+00
        MCStatBin57y16   -9.3863e-02 +/-  9.97e-01
        MCStatBin57y17   -2.0341e-03 +/-  9.98e-01
        MCStatBin57y18    1.1268e-01 +/-  1.01e+00
         MCStatBin9y16   -2.0952e-01 +/-  9.70e-01
         MCStatBin9y17   -2.0153e-01 +/-  9.85e-01
         MCStatBin9y18   -5.5893e-01 +/-  9.78e-01
                    Pu    2.5493e-01 +/-  9.89e-01
               REFAC16    1.1924e-01 +/-  8.25e-01
             REFAC1718    2.8748e-01 +/-  9.05e-01
              RENORM16    1.6846e-01 +/-  9.79e-01
            RENORM1718   -1.7273e-02 +/-  1.00e+00
              alphaS16    1.8653e-02 +/-  1.04e+00
            alphaS1718    6.1232e-12 +/-  1.00e+00
               db_xsec   -1.1861e-01 +/-  9.96e-01
               dy_xsec    2.6086e-01 +/-  9.28e-01
             elFakes16    6.3371e-02 +/-  8.60e-01
             elFakes17    1.8892e-01 +/-  8.72e-01
             elFakes18    4.6361e-01 +/-  6.63e-01
          elHLTBARPT16   -1.3561e-01 +/-  1.01e+00
          elHLTBARPT17    2.0513e-01 +/-  9.38e-01
          elHLTBARPT18   -3.7520e-03 +/-  9.88e-01
          elHLTENDPT16    1.8608e-01 +/-  8.60e-01
