
Attaching file multidimfit.ee_d_vec_2016.root as _file0...
(TFile *) 0x2921ec0

  RooFitResult: minimized FCN value: -1.13931e-05, estimated distance to minimum: 2.92686e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    7.6519e-02 +/-  1.24e-01
                    A4    1.7098e+00 +/-  1.63e-01
                 FAC16    6.6727e-02 +/-  1.02e+00
        MCStatBin10y16   -7.9490e-01 +/-  9.63e-01
        MCStatBin11y16   -1.3635e-01 +/-  9.65e-01
        MCStatBin15y16    9.7595e-02 +/-  9.67e-01
        MCStatBin16y16    2.7335e-01 +/-  9.63e-01
        MCStatBin17y16    1.2135e-01 +/-  9.72e-01
         MCStatBin1y16    3.1504e-02 +/-  9.92e-01
        MCStatBin21y16    9.9300e-03 +/-  9.98e-01
        MCStatBin22y16   -3.8780e-02 +/-  9.94e-01
        MCStatBin23y16    2.4338e-01 +/-  9.90e-01
        MCStatBin24y16   -2.9582e-03 +/-  9.93e-01
        MCStatBin29y16   -1.6019e-01 +/-  9.95e-01
         MCStatBin2y16    5.5859e-01 +/-  9.65e-01
        MCStatBin30y16    1.8762e-01 +/-  9.88e-01
        MCStatBin31y16   -1.1874e-01 +/-  9.94e-01
        MCStatBin35y16    6.2485e-02 +/-  9.90e-01
        MCStatBin36y16   -3.4794e-02 +/-  9.88e-01
        MCStatBin37y16    1.8177e-01 +/-  9.89e-01
         MCStatBin3y16   -2.1078e-01 +/-  9.62e-01
        MCStatBin41y16    8.2654e-02 +/-  9.97e-01
        MCStatBin42y16   -1.9572e-02 +/-  9.97e-01
        MCStatBin43y16    7.5930e-02 +/-  9.95e-01
        MCStatBin44y16    3.8894e-02 +/-  9.96e-01
        MCStatBin49y16   -7.9573e-02 +/-  9.98e-01
         MCStatBin4y16    2.0280e-01 +/-  9.65e-01
        MCStatBin50y16   -2.2389e-01 +/-  1.00e+00
        MCStatBin51y16   -1.5351e-01 +/-  9.99e-01
        MCStatBin55y16   -5.4615e-02 +/-  9.94e-01
        MCStatBin56y16   -4.6304e-02 +/-  9.96e-01
        MCStatBin57y16   -9.9826e-02 +/-  9.98e-01
         MCStatBin9y16   -1.7522e-01 +/-  9.75e-01
                    Pu    3.6715e-01 +/-  9.93e-01
               REFAC16    3.3413e-01 +/-  9.74e-01
              RENORM16    2.1856e-01 +/-  9.07e-01
              alphaS16   -3.9153e-02 +/-  9.84e-01
               db_xsec   -6.1897e-02 +/-  9.98e-01
               dy_xsec    1.8011e-01 +/-  9.70e-01
             elFakes16    1.8689e-01 +/-  8.88e-01
          elHLTBARPT16   -5.1528e-02 +/-  9.24e-01
          elHLTENDPT16    1.8864e-01 +/-  8.63e-01
             elIDBARPT   -4.9650e-02 +/-  9.13e-01
             elIDENDPT    3.2335e-01 +/-  6.51e-01
           elRECOBARPT    1.3475e-03 +/-  9.94e-01
           elRECOENDPT    3.0341e-02 +/-  9.91e-01
         elScaleGain16   -1.4643e-01 +/-  7.34e-01
         elScaleStat16    0.0000e+00 +/-  1.00e+00
           elScaleSyst    1.6050e-01 +/-  1.15e+00
               elSmear    1.0310e-02 +/-  1.05e+00
         elfakesrw1b16   -1.0098e-01 +/-  8.74e-01
         elfakesrw2b16   -2.1001e-02 +/-  9.96e-01
         elfakesrw3b16    3.1649e-01 +/-  9.64e-01
         elfakesrw4b16    1.4695e-01 +/-  9.92e-01
         emucostrw1b16   -1.8650e-01 +/-  9.26e-01
         emucostrw2b16    1.3970e-01 +/-  9.91e-01
         emucostrw3b16   -1.5533e-01 +/-  9.96e-01
         emucostrw4b16    2.6580e-02 +/-  9.99e-01
              gam_xsec    6.8574e-03 +/-  1.00e+00
                lumi16    1.0331e-01 +/-  9.70e-01
                lumiDB    1.8870e-02 +/-  9.99e-01
                lumiGS    1.8870e-02 +/-  9.99e-01
                lumiXY    4.2347e-02 +/-  9.95e-01
               nlo_sys    6.6807e-03 +/-  9.98e-01
                  pdf1    1.4031e-02 +/-  9.94e-01
                 pdf10    1.5889e-02 +/-  9.98e-01
                 pdf11   -1.3276e-02 +/-  9.98e-01
                 pdf12   -1.8973e-03 +/-  9.99e-01
                 pdf13    1.0349e-02 +/-  9.97e-01
                 pdf14   -3.9109e-02 +/-  9.97e-01
                 pdf15   -1.1751e-02 +/-  1.01e+00
                 pdf16    1.3643e-02 +/-  9.93e-01
                 pdf17   -1.4578e-02 +/-  1.01e+00
                 pdf18   -1.9230e-02 +/-  1.00e+00
                 pdf19    6.0174e-03 +/-  9.99e-01
                  pdf2   -4.3603e-04 +/-  9.98e-01
                 pdf20   -1.7150e-02 +/-  1.01e+00
                 pdf21    5.3020e-02 +/-  9.96e-01
                 pdf22   -3.2596e-02 +/-  1.00e+00
                 pdf23    2.6759e-02 +/-  1.00e+00
                 pdf24   -2.1760e-02 +/-  1.00e+00
                 pdf25    1.1499e-02 +/-  9.95e-01
                 pdf26    3.2579e-02 +/-  9.94e-01
                 pdf27    8.9544e-03 +/-  9.95e-01
                 pdf28   -2.8362e-03 +/-  9.96e-01
