
Attaching file multidimfit.ee_u_vec_bonly_2016.root as _file0...
(TFile *) 0x353f2c0

  RooFitResult: minimized FCN value: -2.57154e-05, estimated distance to minimum: 9.53861e-06
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    8.8429e-02 +/-  1.27e-01
                    A4    1.6955e+00 +/-  1.67e-01
                 FAC16   -4.9223e-02 +/-  1.03e+00
        MCStatBin10y16   -8.0560e-01 +/-  9.61e-01
        MCStatBin11y16   -1.2855e-01 +/-  9.63e-01
        MCStatBin15y16    1.1596e-01 +/-  9.66e-01
        MCStatBin16y16    2.9841e-01 +/-  9.61e-01
        MCStatBin17y16    1.3572e-01 +/-  9.71e-01
         MCStatBin1y16    4.3304e-02 +/-  9.91e-01
        MCStatBin21y16    1.1304e-02 +/-  9.98e-01
        MCStatBin22y16   -5.2177e-02 +/-  9.92e-01
        MCStatBin23y16    2.4727e-01 +/-  9.88e-01
        MCStatBin24y16   -1.3069e-02 +/-  9.92e-01
        MCStatBin29y16   -1.7105e-01 +/-  9.94e-01
         MCStatBin2y16    6.0128e-01 +/-  9.61e-01
        MCStatBin30y16    1.8638e-01 +/-  9.87e-01
        MCStatBin31y16   -1.3082e-01 +/-  9.93e-01
        MCStatBin35y16    5.9564e-02 +/-  9.89e-01
        MCStatBin36y16   -3.7345e-02 +/-  9.88e-01
        MCStatBin37y16    1.8736e-01 +/-  9.89e-01
         MCStatBin3y16   -1.9233e-01 +/-  9.60e-01
        MCStatBin41y16    8.2414e-02 +/-  9.96e-01
        MCStatBin42y16   -4.6543e-02 +/-  9.96e-01
        MCStatBin43y16    6.7761e-02 +/-  9.94e-01
        MCStatBin44y16    1.9742e-02 +/-  9.95e-01
        MCStatBin49y16   -9.6514e-02 +/-  9.97e-01
         MCStatBin4y16    2.2604e-01 +/-  9.63e-01
        MCStatBin50y16   -2.5196e-01 +/-  9.99e-01
        MCStatBin51y16   -1.7709e-01 +/-  9.98e-01
        MCStatBin55y16   -6.3622e-02 +/-  9.93e-01
        MCStatBin56y16   -4.9309e-02 +/-  9.95e-01
        MCStatBin57y16   -1.0972e-01 +/-  9.97e-01
         MCStatBin9y16   -1.7481e-01 +/-  9.73e-01
                    Pu    3.8638e-01 +/-  9.89e-01
               REFAC16    1.3916e-01 +/-  9.09e-01
              RENORM16    1.5357e-01 +/-  9.49e-01
              alphaS16   -2.7884e-02 +/-  1.02e+00
               db_xsec   -6.4532e-02 +/-  9.98e-01
               dy_xsec    9.3140e-02 +/-  9.61e-01
             elFakes16    1.4477e-01 +/-  8.90e-01
          elHLTBARPT16   -8.6622e-02 +/-  9.65e-01
          elHLTENDPT16    1.9552e-01 +/-  8.62e-01
             elIDBARPT   -3.2931e-01 +/-  8.29e-01
             elIDENDPT    3.0388e-01 +/-  6.52e-01
           elRECOBARPT   -5.7715e-02 +/-  9.91e-01
           elRECOENDPT    3.2516e-02 +/-  9.91e-01
         elScaleGain16   -3.3216e-01 +/-  7.41e-01
         elScaleStat16    0.0000e+00 +/-  1.00e+00
           elScaleSyst    1.4831e-01 +/-  1.17e+00
               elSmear    1.2190e-02 +/-  1.05e+00
         elfakesrw1b16   -1.4140e-01 +/-  8.77e-01
         elfakesrw2b16   -2.7414e-02 +/-  9.97e-01
         elfakesrw3b16    3.0969e-01 +/-  9.65e-01
         elfakesrw4b16    1.5076e-01 +/-  9.92e-01
         emucostrw1b16   -1.8058e-01 +/-  9.27e-01
         emucostrw2b16    1.4127e-01 +/-  9.91e-01
         emucostrw3b16   -1.4959e-01 +/-  9.96e-01
         emucostrw4b16    2.7918e-02 +/-  9.99e-01
              gam_xsec    3.9910e-04 +/-  1.00e+00
                lumi16    4.0363e-02 +/-  9.65e-01
                lumiDB    7.5197e-03 +/-  9.99e-01
                lumiGS    7.5197e-03 +/-  9.99e-01
                lumiXY    1.6800e-02 +/-  9.94e-01
               nlo_sys    0.0000e+00 +/-  1.00e+00
                  pdf1    1.3653e-02 +/-  9.94e-01
                 pdf10    1.2069e-02 +/-  9.99e-01
                 pdf11   -1.2357e-02 +/-  1.00e+00
                 pdf12    5.0981e-03 +/-  1.00e+00
                 pdf13    9.0405e-03 +/-  9.98e-01
                 pdf14   -4.6269e-02 +/-  9.98e-01
                 pdf15   -2.2225e-02 +/-  1.01e+00
                 pdf16    1.5666e-02 +/-  9.95e-01
                 pdf17   -2.6574e-02 +/-  1.01e+00
                 pdf18   -2.9493e-02 +/-  1.00e+00
                 pdf19   -4.4640e-03 +/-  1.00e+00
                  pdf2    6.4738e-04 +/-  9.98e-01
                 pdf20   -3.3316e-02 +/-  1.01e+00
                 pdf21    5.5239e-02 +/-  9.96e-01
                 pdf22   -3.7600e-02 +/-  1.01e+00
                 pdf23    2.6001e-02 +/-  1.00e+00
                 pdf24   -1.3315e-02 +/-  1.00e+00
                 pdf25    1.4558e-02 +/-  9.95e-01
                 pdf26    3.1124e-02 +/-  9.94e-01
                 pdf27    1.2923e-02 +/-  9.95e-01
                 pdf28    6.0970e-03 +/-  9.98e-01
                 pdf29   -3.1542e-03 +/-  1.01e+00
                  pdf3    2.2751e-02 +/-  9.97e-01
                 pdf30    6.0632e-03 +/-  1.01e+00
                 pdf31   -1.7683e-03 +/-  1.02e+00
                 pdf32    1.3721e-02 +/-  9.99e-01
