
Attaching file multidimfit.ee_u_vec_2016.root as _file0...
(TFile *) 0x3798720

  RooFitResult: minimized FCN value: -7.51349e-05, estimated distance to minimum: 2.05868e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    7.8064e-02 +/-  1.23e-01
                    A4    1.7457e+00 +/-  1.64e-01
                 FAC16    1.4507e-01 +/-  1.00e+00
        MCStatBin10y16   -8.3146e-01 +/-  9.61e-01
        MCStatBin11y16   -1.4407e-01 +/-  9.63e-01
        MCStatBin15y16    8.6385e-02 +/-  9.66e-01
        MCStatBin16y16    2.6316e-01 +/-  9.62e-01
        MCStatBin17y16    1.1006e-01 +/-  9.71e-01
         MCStatBin1y16    2.6781e-02 +/-  9.91e-01
        MCStatBin21y16    8.9271e-03 +/-  9.98e-01
        MCStatBin22y16   -4.6518e-02 +/-  9.93e-01
        MCStatBin23y16    2.5016e-01 +/-  9.89e-01
        MCStatBin24y16   -5.5631e-03 +/-  9.92e-01
        MCStatBin29y16   -1.6756e-01 +/-  9.95e-01
         MCStatBin2y16    5.4895e-01 +/-  9.63e-01
        MCStatBin30y16    1.9346e-01 +/-  9.87e-01
        MCStatBin31y16   -1.2019e-01 +/-  9.93e-01
        MCStatBin35y16    7.6498e-02 +/-  9.89e-01
        MCStatBin36y16   -2.7466e-02 +/-  9.88e-01
        MCStatBin37y16    1.9532e-01 +/-  9.89e-01
         MCStatBin3y16   -2.3180e-01 +/-  9.61e-01
        MCStatBin41y16    9.5393e-02 +/-  9.97e-01
        MCStatBin42y16   -7.8386e-03 +/-  9.97e-01
        MCStatBin43y16    9.5599e-02 +/-  9.95e-01
        MCStatBin44y16    4.7747e-02 +/-  9.98e-01
        MCStatBin49y16   -7.3066e-02 +/-  9.98e-01
         MCStatBin4y16    1.8824e-01 +/-  9.64e-01
        MCStatBin50y16   -2.2848e-01 +/-  1.00e+00
        MCStatBin51y16   -1.4991e-01 +/-  9.98e-01
        MCStatBin55y16   -3.4348e-02 +/-  9.93e-01
        MCStatBin56y16   -2.6684e-02 +/-  9.95e-01
        MCStatBin57y16   -8.8973e-02 +/-  9.97e-01
         MCStatBin9y16   -1.8988e-01 +/-  9.73e-01
                    Pu    3.8501e-01 +/-  9.91e-01
               REFAC16    4.2575e-01 +/-  9.53e-01
              RENORM16    2.4018e-01 +/-  8.98e-01
              alphaS16   -3.3818e-02 +/-  9.83e-01
               db_xsec   -6.8200e-02 +/-  9.98e-01
               dy_xsec    1.9472e-01 +/-  9.64e-01
             elFakes16    1.9417e-01 +/-  8.91e-01
          elHLTBARPT16   -4.2106e-02 +/-  9.28e-01
          elHLTENDPT16    1.9368e-01 +/-  8.66e-01
             elIDBARPT    8.4481e-03 +/-  8.68e-01
             elIDENDPT    4.5693e-01 +/-  6.63e-01
           elRECOBARPT    9.0534e-03 +/-  9.92e-01
           elRECOENDPT    4.2419e-02 +/-  9.91e-01
         elScaleGain16   -1.3726e-02 +/-  7.16e-01
         elScaleStat16    0.0000e+00 +/-  1.00e+00
           elScaleSyst    1.5331e-01 +/-  1.14e+00
               elSmear    7.4449e-03 +/-  1.04e+00
         elfakesrw1b16   -1.0339e-01 +/-  8.74e-01
         elfakesrw2b16   -7.8117e-03 +/-  9.96e-01
         elfakesrw3b16    3.1630e-01 +/-  9.64e-01
         elfakesrw4b16    1.4093e-01 +/-  9.92e-01
         emucostrw1b16   -2.1485e-01 +/-  9.24e-01
         emucostrw2b16    1.2069e-01 +/-  9.91e-01
         emucostrw3b16   -1.6373e-01 +/-  9.96e-01
         emucostrw4b16    2.1814e-02 +/-  9.99e-01
              gam_xsec    6.7394e-03 +/-  1.00e+00
                lumi16    9.8414e-02 +/-  9.66e-01
                lumiDB    1.7897e-02 +/-  9.99e-01
                lumiGS    1.7897e-02 +/-  9.99e-01
                lumiXY    4.0251e-02 +/-  9.94e-01
               nlo_sys    5.7050e-03 +/-  9.99e-01
                  pdf1    8.1543e-03 +/-  9.96e-01
                 pdf10    9.0950e-03 +/-  1.00e+00
                 pdf11   -6.2762e-03 +/-  1.00e+00
