
Attaching file multidimfit.ee_d_vec_2017.root as _file0...
(TFile *) 0x2552b50

  RooFitResult: minimized FCN value: -3.18042e-05, estimated distance to minimum: 3.93169e-06
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0   -8.9335e-03 +/-  1.14e-01
                    A4    1.6783e+00 +/-  1.33e-01
               FAC1718    2.0128e-01 +/-  8.69e-01
        MCStatBin10y17    9.8448e-02 +/-  9.73e-01
        MCStatBin11y17   -2.7207e-01 +/-  9.82e-01
        MCStatBin15y17    1.1965e-01 +/-  9.81e-01
        MCStatBin16y17   -9.9344e-02 +/-  9.76e-01
        MCStatBin17y17    7.2524e-02 +/-  9.85e-01
         MCStatBin1y17    2.4593e-02 +/-  9.93e-01
        MCStatBin21y17    1.9859e-02 +/-  9.97e-01
        MCStatBin22y17   -2.3213e-02 +/-  9.96e-01
        MCStatBin23y17   -1.7625e-02 +/-  9.96e-01
        MCStatBin24y17    1.4152e-01 +/-  9.96e-01
        MCStatBin29y17    5.5679e-03 +/-  9.96e-01
         MCStatBin2y17    5.8117e-02 +/-  9.82e-01
        MCStatBin30y17    3.1087e-02 +/-  9.95e-01
        MCStatBin31y17    1.0452e-01 +/-  9.95e-01
        MCStatBin35y17    6.5703e-02 +/-  9.94e-01
        MCStatBin36y17    1.1640e-01 +/-  9.93e-01
        MCStatBin37y17   -9.7816e-02 +/-  9.97e-01
         MCStatBin3y17    1.9200e-01 +/-  9.74e-01
        MCStatBin41y17   -6.8386e-02 +/-  9.99e-01
        MCStatBin42y17    1.5583e-01 +/-  1.00e+00
        MCStatBin43y17   -9.9090e-02 +/-  9.98e-01
        MCStatBin44y17   -7.8322e-02 +/-  9.99e-01
        MCStatBin49y17    4.2580e-02 +/-  9.98e-01
         MCStatBin4y17    2.2557e-02 +/-  9.81e-01
        MCStatBin50y17   -5.7541e-02 +/-  9.98e-01
        MCStatBin51y17   -3.9552e-02 +/-  9.98e-01
        MCStatBin55y17   -4.5381e-02 +/-  9.97e-01
        MCStatBin56y17   -7.9353e-02 +/-  9.98e-01
        MCStatBin57y17   -5.6876e-03 +/-  9.98e-01
         MCStatBin9y17   -2.2733e-01 +/-  9.85e-01
                    Pu   -1.8494e-01 +/-  1.04e+00
             REFAC1718    3.3165e-01 +/-  9.06e-01
            RENORM1718    1.7588e-01 +/-  9.37e-01
            alphaS1718    0.0000e+00 +/-  1.00e+00
               db_xsec    9.8130e-03 +/-  9.99e-01
               dy_xsec    3.9719e-01 +/-  9.66e-01
             elFakes17   -8.6967e-02 +/-  9.25e-01
          elHLTBARPT17    1.4365e-01 +/-  9.36e-01
          elHLTENDPT17    3.9734e-02 +/-  9.90e-01
             elIDBARPT    3.7717e-01 +/-  6.90e-01
             elIDENDPT    6.0401e-01 +/-  4.93e-01
           elRECOBARPT    3.5833e-02 +/-  9.95e-01
           elRECOENDPT    3.6496e-02 +/-  9.97e-01
         elScaleGain17   -2.7928e-01 +/-  9.70e-01
         elScaleStat17    0.0000e+00 +/-  1.00e+00
           elScaleSyst    2.3379e-02 +/-  1.02e+00
               elSmear   -8.7437e-03 +/-  9.57e-01
         elfakesrw1b17   -1.9600e-01 +/-  9.37e-01
         elfakesrw2b17    7.9328e-02 +/-  9.95e-01
         elfakesrw3b17    5.8476e-02 +/-  9.91e-01
         elfakesrw4b17    7.2640e-03 +/-  9.93e-01
       emucostrw1b1718   -1.0438e-01 +/-  9.17e-01
       emucostrw2b1718    3.8512e-02 +/-  9.94e-01
       emucostrw3b1718    3.2946e-02 +/-  9.96e-01
       emucostrw4b1718   -1.2803e-02 +/-  9.99e-01
              gam_xsec    8.4375e-03 +/-  1.00e+00
                lumi17    2.7410e-01 +/-  9.72e-01
                lumiBC    4.1278e-02 +/-  9.99e-01
                lumiDB    5.5006e-02 +/-  9.99e-01
                lumiGS    1.3776e-02 +/-  1.00e+00
                lumiLS    4.1278e-02 +/-  9.99e-01
                lumiXY    1.2357e-01 +/-  9.94e-01
               nlo_sys   -2.5581e-04 +/-  1.00e+00
                  pdf1    5.0170e-03 +/-  9.93e-01
                 pdf10    1.7332e-02 +/-  9.98e-01
                 pdf11   -1.5157e-02 +/-  1.00e+00
                 pdf12   -2.3037e-02 +/-  1.01e+00
                 pdf13    1.3885e-02 +/-  9.97e-01
                 pdf14   -1.6777e-02 +/-  9.97e-01
                 pdf15   -9.2459e-03 +/-  1.02e+00
                 pdf16    5.2428e-03 +/-  1.00e+00
                 pdf17   -7.4005e-03 +/-  1.01e+00
                 pdf18   -1.4693e-03 +/-  1.01e+00
                 pdf19   -1.6736e-02 +/-  1.00e+00
                  pdf2   -3.1178e-04 +/-  9.98e-01
                 pdf20   -7.8388e-03 +/-  1.02e+00
                 pdf21    3.9450e-03 +/-  9.96e-01
                 pdf22   -1.0405e-02 +/-  1.01e+00
                 pdf23    1.1984e-02 +/-  1.00e+00
                 pdf24    4.0381e-03 +/-  9.99e-01
                 pdf25    2.9854e-03 +/-  9.97e-01
                 pdf26    1.6882e-02 +/-  9.96e-01
                 pdf27   -2.4647e-03 +/-  9.98e-01
                 pdf28   -1.3684e-02 +/-  9.98e-01
                 pdf29    1.1951e-02 +/-  1.00e+00
                  pdf3    2.9315e-03 +/-  9.96e-01
                 pdf30    2.1430e-03 +/-  1.00e+00
                 pdf31    5.0675e-03 +/-  1.02e+00
                 pdf32    1.0920e-02 +/-  9.98e-01
                 pdf33   -1.1482e-02 +/-  1.02e+00
                 pdf34    5.9177e-03 +/-  1.00e+00
                 pdf35   -8.5865e-03 +/-  9.93e-01
                 pdf36    7.2371e-03 +/-  9.99e-01
                 pdf37   -4.9092e-03 +/-  9.99e-01
                 pdf38   -1.0056e-03 +/-  1.00e+00
                 pdf39   -1.0573e-04 +/-  1.01e+00
                  pdf4   -4.7881e-03 +/-  1.00e+00
                 pdf40    9.2989e-03 +/-  9.96e-01
                 pdf41   -4.6325e-03 +/-  9.96e-01
                 pdf42    1.8704e-02 +/-  9.98e-01
                 pdf43    7.2419e-03 +/-  9.98e-01
                 pdf44    1.7772e-02 +/-  9.97e-01
                 pdf45   -1.3642e-02 +/-  9.98e-01
                 pdf46    1.9134e-02 +/-  9.98e-01
                 pdf47    1.8099e-02 +/-  9.99e-01
                 pdf48    1.5637e-02 +/-  1.00e+00
                 pdf49   -1.9805e-02 +/-  9.97e-01
                  pdf5    2.0527e-03 +/-  1.00e+00
                 pdf50   -1.3562e-03 +/-  9.99e-01
                 pdf51    7.8954e-03 +/-  1.00e+00
                 pdf52    1.0355e-02 +/-  1.00e+00
                 pdf53    7.1632e-03 +/-  1.01e+00
                 pdf54    8.4792e-04 +/-  9.96e-01
                 pdf55   -2.8974e-03 +/-  9.97e-01
                 pdf56   -1.6211e-02 +/-  9.98e-01
                 pdf57   -1.0430e-02 +/-  9.99e-01
                 pdf58    8.2046e-03 +/-  9.96e-01
                 pdf59   -2.1479e-02 +/-  1.01e+00
                  pdf6    7.4385e-03 +/-  1.00e+00
                 pdf60    9.2290e-03 +/-  1.00e+00
                  pdf7    6.6184e-03 +/-  1.01e+00
                  pdf8    2.2907e-02 +/-  9.99e-01
                  pdf9   -1.6559e-04 +/-  1.00e+00
             prefire17   -5.6251e-01 +/-  8.63e-01
      prop_binY17_bin0   -2.4751e-01 +/-  8.52e-01
      prop_binY17_bin1    1.8970e-01 +/-  9.59e-01
     prop_binY17_bin10   -3.1486e-01 +/-  9.72e-01
     prop_binY17_bin11   -1.1772e-01 +/-  9.74e-01
     prop_binY17_bin12   -1.2586e-01 +/-  9.73e-01
     prop_binY17_bin13   -4.5501e-01 +/-  9.41e-01
     prop_binY17_bin14    1.5211e-01 +/-  9.59e-01
     prop_binY17_bin15   -2.0550e-01 +/-  9.56e-01
     prop_binY17_bin16    1.6354e-03 +/-  9.73e-01
     prop_binY17_bin17    1.0596e-01 +/-  9.79e-01
     prop_binY17_bin18    4.6968e-02 +/-  9.78e-01
     prop_binY17_bin19    5.4259e-02 +/-  9.81e-01
      prop_binY17_bin2    3.4776e-01 +/-  9.59e-01
     prop_binY17_bin20    1.4066e-01 +/-  9.16e-01
     prop_binY17_bin21    4.1034e-02 +/-  9.85e-01
     prop_binY17_bin22   -2.2151e-02 +/-  9.88e-01
     prop_binY17_bin23    2.1933e-01 +/-  9.86e-01
     prop_binY17_bin24    9.8372e-02 +/-  9.91e-01
     prop_binY17_bin25   -6.8801e-03 +/-  9.90e-01
     prop_binY17_bin26   -9.6609e-02 +/-  9.88e-01
     prop_binY17_bin27    4.5409e-02 +/-  9.31e-01
     prop_binY17_bin28   -1.3491e-02 +/-  9.72e-01
     prop_binY17_bin29   -1.2006e-01 +/-  9.86e-01
      prop_binY17_bin3    1.0105e-01 +/-  9.71e-01
     prop_binY17_bin30    2.1294e-01 +/-  9.88e-01
     prop_binY17_bin31   -4.7562e-03 +/-  9.91e-01
     prop_binY17_bin32    1.4751e-01 +/-  9.93e-01
     prop_binY17_bin33    5.6488e-02 +/-  9.80e-01
     prop_binY17_bin34    1.3202e-01 +/-  9.77e-01
     prop_binY17_bin35    6.7755e-02 +/-  9.90e-01
     prop_binY17_bin36   -1.4174e-01 +/-  9.92e-01
     prop_binY17_bin37   -3.9310e-02 +/-  9.95e-01
     prop_binY17_bin38    1.2483e-01 +/-  9.94e-01
     prop_binY17_bin39    3.0095e-02 +/-  9.92e-01
      prop_binY17_bin4   -7.0146e-02 +/-  9.73e-01
     prop_binY17_bin40   -2.5980e-01 +/-  9.71e-01
     prop_binY17_bin41    1.4506e-01 +/-  9.92e-01
     prop_binY17_bin42   -2.7387e-02 +/-  9.97e-01
     prop_binY17_bin43   -1.3330e-01 +/-  9.93e-01
     prop_binY17_bin44   -6.9262e-02 +/-  9.97e-01
     prop_binY17_bin45   -1.3609e-01 +/-  9.99e-01
     prop_binY17_bin46    1.9850e-01 +/-  9.93e-01
     prop_binY17_bin47   -2.0975e-01 +/-  9.75e-01
     prop_binY17_bin48    9.5196e-02 +/-  9.81e-01
     prop_binY17_bin49   -6.7820e-02 +/-  9.90e-01
      prop_binY17_bin5   -4.6842e-02 +/-  9.70e-01
     prop_binY17_bin50    6.2808e-02 +/-  9.97e-01
     prop_binY17_bin51   -1.3803e-01 +/-  1.00e+00
     prop_binY17_bin52   -5.0384e-02 +/-  9.99e-01
     prop_binY17_bin53    6.0253e-02 +/-  9.88e-01
     prop_binY17_bin54   -1.0294e-01 +/-  9.95e-01
     prop_binY17_bin55   -8.8091e-02 +/-  9.98e-01
     prop_binY17_bin56    7.4794e-02 +/-  9.96e-01
     prop_binY17_bin57   -8.7712e-02 +/-  9.99e-01
     prop_binY17_bin58   -2.2077e-02 +/-  9.99e-01
     prop_binY17_bin59    8.1150e-02 +/-  9.90e-01
      prop_binY17_bin6   -8.9229e-02 +/-  9.70e-01
      prop_binY17_bin7    3.6948e-01 +/-  8.52e-01
      prop_binY17_bin8   -2.3826e-01 +/-  9.07e-01
      prop_binY17_bin9    2.7876e-01 +/-  9.54e-01
              top_xsec   -2.8809e-03 +/-  9.83e-01
                  yLQ2    1.4177e-02 +/-  1.46e-01

