
Attaching file multidimfit.ee_u_vec_2017.root as _file0...
(TFile *) 0x212d970

  RooFitResult: minimized FCN value: -6.72376e-05, estimated distance to minimum: 8.1221e-06
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0   -1.1306e-02 +/-  1.14e-01
                    A4    1.6826e+00 +/-  1.35e-01
               FAC1718    2.0150e-01 +/-  8.68e-01
        MCStatBin10y17    9.7212e-02 +/-  9.73e-01
        MCStatBin11y17   -2.7145e-01 +/-  9.82e-01
        MCStatBin15y17    1.1781e-01 +/-  9.81e-01
        MCStatBin16y17   -1.0072e-01 +/-  9.76e-01
        MCStatBin17y17    7.0473e-02 +/-  9.85e-01
         MCStatBin1y17    2.4039e-02 +/-  9.93e-01
        MCStatBin21y17    1.9279e-02 +/-  9.98e-01
        MCStatBin22y17   -2.3990e-02 +/-  9.96e-01
        MCStatBin23y17   -1.7310e-02 +/-  9.96e-01
        MCStatBin24y17    1.3940e-01 +/-  9.95e-01
        MCStatBin29y17    5.3777e-03 +/-  9.96e-01
         MCStatBin2y17    5.4102e-02 +/-  9.82e-01
        MCStatBin30y17    3.0653e-02 +/-  9.96e-01
        MCStatBin31y17    1.0367e-01 +/-  9.95e-01
        MCStatBin35y17    6.5859e-02 +/-  9.96e-01
        MCStatBin36y17    1.1623e-01 +/-  9.93e-01
        MCStatBin37y17   -9.6177e-02 +/-  9.97e-01
         MCStatBin3y17    1.8906e-01 +/-  9.75e-01
        MCStatBin41y17   -6.4856e-02 +/-  9.99e-01
        MCStatBin42y17    1.5017e-01 +/-  9.97e-01
        MCStatBin43y17   -9.4362e-02 +/-  9.99e-01
        MCStatBin44y17   -7.4726e-02 +/-  9.99e-01
        MCStatBin49y17    4.2884e-02 +/-  9.98e-01
         MCStatBin4y17    2.2930e-02 +/-  9.81e-01
        MCStatBin50y17   -5.5084e-02 +/-  9.98e-01
        MCStatBin51y17   -3.7353e-02 +/-  9.98e-01
        MCStatBin55y17   -4.1597e-02 +/-  9.97e-01
        MCStatBin56y17   -7.6979e-02 +/-  9.99e-01
        MCStatBin57y17   -4.5158e-03 +/-  9.98e-01
         MCStatBin9y17   -2.2854e-01 +/-  9.85e-01
                    Pu   -1.8118e-01 +/-  1.04e+00
             REFAC1718    3.3876e-01 +/-  9.21e-01
            RENORM1718    1.8167e-01 +/-  9.40e-01
            alphaS1718    0.0000e+00 +/-  1.00e+00
               db_xsec    1.0252e-02 +/-  9.99e-01
               dy_xsec    3.9976e-01 +/-  9.65e-01
             elFakes17   -9.1016e-02 +/-  9.26e-01
