
Attaching file multidimfit.ee_d_2018.root as _file0...
(TFile *) 0x3229430

  RooFitResult: minimized FCN value: -2.69032e-05, estimated distance to minimum: 3.61815e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    1.5134e-01 +/-  9.54e-02
                    A4    1.5676e+00 +/-  1.12e-01
               FAC1718    1.2210e-01 +/-  9.67e-01
        MCStatBin10y18    4.6437e-01 +/-  9.63e-01
        MCStatBin11y18    4.1419e-03 +/-  9.71e-01
        MCStatBin15y18    4.2801e-02 +/-  9.73e-01
        MCStatBin16y18   -2.8058e-01 +/-  9.68e-01
        MCStatBin17y18   -6.4312e-02 +/-  9.78e-01
         MCStatBin1y18    6.6308e-03 +/-  9.98e-01
        MCStatBin21y18    5.5332e-02 +/-  9.99e-01
        MCStatBin22y18    1.5359e-02 +/-  9.95e-01
        MCStatBin23y18    4.9338e-03 +/-  9.94e-01
        MCStatBin24y18   -2.1450e-02 +/-  9.95e-01
        MCStatBin29y18    9.2051e-02 +/-  9.95e-01
         MCStatBin2y18   -6.7312e-02 +/-  9.77e-01
        MCStatBin30y18   -7.3987e-02 +/-  9.94e-01
        MCStatBin31y18    6.5519e-02 +/-  9.94e-01
        MCStatBin35y18    3.4609e-01 +/-  9.91e-01
        MCStatBin36y18    6.2368e-02 +/-  9.92e-01
        MCStatBin37y18    3.8583e-02 +/-  9.92e-01
         MCStatBin3y18    2.6489e-01 +/-  9.68e-01
        MCStatBin41y18   -6.1574e-02 +/-  9.99e-01
        MCStatBin42y18   -1.5741e-02 +/-  9.98e-01
        MCStatBin43y18   -1.1921e-01 +/-  9.99e-01
        MCStatBin44y18   -6.3892e-03 +/-  9.98e-01
        MCStatBin49y18   -1.1908e-02 +/-  9.98e-01
         MCStatBin4y18   -1.5521e-01 +/-  9.74e-01
        MCStatBin50y18   -2.2826e-02 +/-  9.98e-01
        MCStatBin51y18   -6.5002e-02 +/-  9.98e-01
        MCStatBin55y18   -8.5793e-02 +/-  9.97e-01
        MCStatBin56y18   -5.7352e-02 +/-  9.98e-01
        MCStatBin57y18    9.9467e-02 +/-  9.97e-01
         MCStatBin9y18   -4.7273e-01 +/-  9.82e-01
                    Pu   -1.7643e-02 +/-  9.73e-01
             REFAC1718   -8.1410e-02 +/-  9.14e-01
            RENORM1718   -2.8049e-01 +/-  1.05e+00
            alphaS1718    0.0000e+00 +/-  1.00e+00
               db_xsec   -5.2512e-02 +/-  9.98e-01
               dy_xsec   -1.2653e-02 +/-  9.47e-01
             elFakes18    6.2453e-01 +/-  6.77e-01
          elHLTBARPT18    2.6278e-02 +/-  9.91e-01
          elHLTENDPT18   -6.3464e-02 +/-  1.03e+00
