
Attaching file multidimfit.mumu_d_bonly_-1.root as _file0...
(TFile *) 0x22d5340

  RooFitResult: minimized FCN value: -2.88376e-06, estimated distance to minimum: 1.77929e-06
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    2.0718e-02 +/-  5.59e-02
                    A4    1.6089e+00 +/-  6.57e-02
                 FAC16   -5.6739e-01 +/-  9.44e-01
               FAC1718    2.9299e-01 +/-  1.00e+00
        MCStatBin10y16    4.4591e-01 +/-  9.55e-01
        MCStatBin10y17   -1.4909e-01 +/-  9.73e-01
        MCStatBin10y18   -2.8037e-01 +/-  9.64e-01
        MCStatBin11y16   -7.2144e-03 +/-  9.62e-01
        MCStatBin11y17   -3.3600e-01 +/-  9.79e-01
        MCStatBin11y18    4.8376e-02 +/-  9.67e-01
        MCStatBin15y16    7.0806e-02 +/-  9.57e-01
        MCStatBin15y17   -1.6099e-01 +/-  9.71e-01
        MCStatBin15y18   -1.9304e-01 +/-  9.60e-01
        MCStatBin16y16   -7.0848e-01 +/-  9.57e-01
        MCStatBin16y17    4.3329e-01 +/-  9.67e-01
        MCStatBin16y18   -7.5814e-02 +/-  9.59e-01
        MCStatBin17y16    3.4901e-01 +/-  9.60e-01
        MCStatBin17y17    2.7860e-01 +/-  9.74e-01
        MCStatBin17y18    4.0674e-01 +/-  9.66e-01
         MCStatBin1y16    3.2476e-01 +/-  9.89e-01
         MCStatBin1y17    1.2326e-01 +/-  9.91e-01
         MCStatBin1y18    1.3063e-01 +/-  9.87e-01
        MCStatBin21y16   -4.2216e-02 +/-  9.96e-01
        MCStatBin21y17   -4.9249e-02 +/-  9.98e-01
        MCStatBin21y18    9.7831e-03 +/-  9.95e-01
        MCStatBin22y16   -1.2746e-01 +/-  9.92e-01
        MCStatBin22y17    2.7050e-02 +/-  9.95e-01
        MCStatBin22y18   -1.3934e-01 +/-  9.93e-01
        MCStatBin23y16    2.5044e-02 +/-  9.90e-01
        MCStatBin23y17    2.4405e-02 +/-  9.95e-01
        MCStatBin23y18    1.7851e-01 +/-  9.92e-01
        MCStatBin24y16    2.6686e-01 +/-  9.88e-01
        MCStatBin24y17    1.3345e-01 +/-  9.95e-01
        MCStatBin24y18   -1.0961e-01 +/-  9.93e-01
        MCStatBin29y16    1.6823e-01 +/-  9.89e-01
        MCStatBin29y17    6.6178e-02 +/-  9.95e-01
        MCStatBin29y18    1.7485e-01 +/-  9.91e-01
         MCStatBin2y16    2.5111e-01 +/-  9.65e-01
         MCStatBin2y17    5.3603e-01 +/-  9.77e-01
         MCStatBin2y18    1.7722e-01 +/-  9.68e-01
        MCStatBin30y16   -2.1935e-01 +/-  9.91e-01
        MCStatBin30y17   -2.5198e-02 +/-  9.95e-01
        MCStatBin30y18    1.5732e-01 +/-  9.90e-01
        MCStatBin31y16    9.4512e-02 +/-  9.88e-01
        MCStatBin31y17   -8.9002e-02 +/-  9.96e-01
        MCStatBin31y18   -9.8885e-02 +/-  9.94e-01
        MCStatBin35y16   -5.3750e-03 +/-  9.84e-01
        MCStatBin35y17   -6.0460e-02 +/-  9.91e-01
        MCStatBin35y18   -1.3259e-01 +/-  9.89e-01
        MCStatBin36y16    1.0618e-01 +/-  9.83e-01
        MCStatBin36y17    8.5113e-02 +/-  9.91e-01
        MCStatBin36y18   -3.8393e-01 +/-  9.92e-01
        MCStatBin37y16   -1.5191e-01 +/-  9.89e-01
        MCStatBin37y17    6.9669e-02 +/-  9.94e-01
        MCStatBin37y18    1.9632e-01 +/-  9.89e-01
         MCStatBin3y16   -1.3260e-01 +/-  9.66e-01
         MCStatBin3y17    7.8958e-02 +/-  9.74e-01
         MCStatBin3y18    7.0671e-02 +/-  9.60e-01
        MCStatBin41y16    6.0882e-03 +/-  9.97e-01
        MCStatBin41y17    3.9759e-02 +/-  9.99e-01
        MCStatBin41y18   -2.0990e-02 +/-  9.97e-01
        MCStatBin42y16   -1.2131e-01 +/-  9.96e-01
        MCStatBin42y17    3.3596e-02 +/-  9.98e-01
        MCStatBin42y18    2.2426e-02 +/-  9.97e-01
        MCStatBin43y16    2.1229e-02 +/-  9.95e-01
        MCStatBin43y17   -4.8080e-02 +/-  9.98e-01
        MCStatBin43y18   -1.1674e-01 +/-  9.98e-01
        MCStatBin44y16   -9.2503e-02 +/-  9.97e-01
        MCStatBin44y17   -5.1697e-02 +/-  9.99e-01
        MCStatBin44y18   -9.2414e-02 +/-  9.98e-01
        MCStatBin49y16    8.6473e-02 +/-  9.93e-01
        MCStatBin49y17   -1.5539e-01 +/-  9.99e-01
        MCStatBin49y18   -2.9141e-03 +/-  9.96e-01
         MCStatBin4y16   -2.6250e-01 +/-  9.66e-01
         MCStatBin4y17    1.0194e-01 +/-  9.76e-01
         MCStatBin4y18   -7.3517e-02 +/-  9.70e-01
        MCStatBin50y16   -1.7613e-02 +/-  9.94e-01
        MCStatBin50y17   -1.1422e-01 +/-  9.99e-01
        MCStatBin50y18   -3.3922e-02 +/-  9.97e-01
        MCStatBin51y16   -1.4138e-01 +/-  9.98e-01
        MCStatBin51y17    7.8545e-02 +/-  9.97e-01
        MCStatBin51y18    3.6121e-02 +/-  9.97e-01
        MCStatBin55y16    2.8922e-02 +/-  9.92e-01
        MCStatBin55y17    1.6343e-02 +/-  9.96e-01
        MCStatBin55y18   -1.4554e-01 +/-  9.97e-01
        MCStatBin56y16   -1.5266e-01 +/-  9.96e-01
        MCStatBin56y17   -1.3062e-01 +/-  9.98e-01
        MCStatBin56y18   -1.4046e-01 +/-  9.97e-01
        MCStatBin57y16    2.2361e-02 +/-  9.95e-01
        MCStatBin57y17    2.2628e-02 +/-  9.97e-01
        MCStatBin57y18   -8.3590e-02 +/-  9.97e-01
         MCStatBin9y16   -9.5749e-02 +/-  9.72e-01
         MCStatBin9y17   -2.0146e-01 +/-  9.82e-01
         MCStatBin9y18    9.2496e-03 +/-  9.71e-01
                    Pu   -8.2312e-01 +/-  8.68e-01
               REFAC16   -8.2837e-01 +/-  7.34e-01
             REFAC1718    6.2465e-01 +/-  8.93e-01
              RENORM16   -4.4619e-01 +/-  8.11e-01
            RENORM1718    2.3211e-01 +/-  1.08e+00
              alphaS16    3.8230e-02 +/-  1.03e+00
            alphaS1718    8.2839e-12 +/-  1.00e+00
               db_xsec    1.6161e-01 +/-  1.00e+00
               dy_xsec    4.5259e-01 +/-  8.10e-01
         emucostrw1b16    1.6944e+00 +/-  6.74e-01
       emucostrw1b1718    9.4938e-01 +/-  6.46e-01
         emucostrw2b16    1.2900e-01 +/-  9.63e-01
       emucostrw2b1718    3.1027e-01 +/-  9.79e-01
         emucostrw3b16   -1.0000e-01 +/-  9.88e-01
       emucostrw3b1718    1.9714e-02 +/-  9.89e-01
         emucostrw4b16   -6.5889e-02 +/-  9.93e-01
       emucostrw4b1718    9.4826e-02 +/-  9.95e-01
              gam_xsec    9.3412e-02 +/-  1.00e+00
                lumi16    1.2279e-01 +/-  9.33e-01
                lumi17    7.0275e-01 +/-  8.32e-01
                lumi18    1.8644e-01 +/-  8.97e-01
                lumiBC    1.3128e-01 +/-  9.97e-01
                lumiDB    1.6414e-01 +/-  9.93e-01
                lumiGS    5.7972e-02 +/-  9.98e-01
                lumiLS    1.3128e-01 +/-  9.97e-01
                lumiXY    6.1654e-01 +/-  8.86e-01
             muFakes16    5.2036e-02 +/-  1.01e+00
             muFakes17   -9.6154e-02 +/-  9.63e-01
             muFakes18   -1.4455e-02 +/-  9.95e-01
            muHLTBAR16   -4.4683e-02 +/-  1.00e+00
            muHLTBAR17    4.0151e-02 +/-  9.95e-01
            muHLTBAR18   -2.5597e-02 +/-  9.96e-01
            muHLTEND16   -1.0030e-01 +/-  9.89e-01
            muHLTEND17    5.3349e-02 +/-  9.82e-01
            muHLTEND18   -2.0344e-03 +/-  9.87e-01
             muIDBAR16    4.8184e-03 +/-  9.47e-01
             muIDBAR17    5.1974e-01 +/-  9.39e-01
             muIDBAR18    1.1116e-01 +/-  9.88e-01
             muIDEND16    3.6862e-02 +/-  9.24e-01
             muIDEND17    1.5706e-02 +/-  9.78e-01
             muIDEND18    2.3151e-02 +/-  9.96e-01
               muIDSYS    7.5854e-02 +/-  9.14e-01
            muISOBAR16   -2.0277e-03 +/-  9.97e-01
            muISOBAR17    7.0032e-02 +/-  9.99e-01
            muISOBAR18    1.7387e-02 +/-  9.99e-01
            muISOEND16    1.3788e-02 +/-  9.96e-01
            muISOEND17   -5.0681e-03 +/-  1.00e+00
            muISOEND18    2.3958e-02 +/-  9.98e-01
              muISOSYS    3.2668e-02 +/-  9.95e-01
              muPref16   -2.0531e-02 +/-  9.98e-01
            muPref1718   -5.0390e-02 +/-  9.99e-01
                muRC16   -2.6402e-01 +/-  6.52e-01
                muRC17    1.3882e-01 +/-  8.32e-01
                muRC18   -2.3938e-01 +/-  6.80e-01
         mufakesrw1b16    5.5931e-02 +/-  9.80e-01
         mufakesrw1b17   -9.7197e-02 +/-  1.01e+00
         mufakesrw1b18    3.7961e-02 +/-  9.93e-01
         mufakesrw2b16    7.8781e-04 +/-  1.00e+00
         mufakesrw2b17   -7.1256e-03 +/-  1.00e+00
         mufakesrw2b18   -5.2437e-02 +/-  1.00e+00
         mufakesrw3b16   -2.6206e-02 +/-  1.00e+00
         mufakesrw3b17    3.3132e-02 +/-  1.00e+00
         mufakesrw3b18   -4.0341e-02 +/-  1.00e+00
         mufakesrw4b16    8.2981e-12 +/-  1.00e+00
         mufakesrw4b17    3.2408e-02 +/-  1.00e+00
         mufakesrw4b18    1.9390e-02 +/-  9.89e-01
               nlo_sys    8.2981e-12 +/-  1.00e+00
                  pdf1    6.6290e-02 +/-  1.00e+00
                 pdf10    1.9442e-02 +/-  1.00e+00
                 pdf11   -8.5473e-02 +/-  1.01e+00
                 pdf12   -1.0424e-01 +/-  1.01e+00
                 pdf13    8.1138e-02 +/-  9.96e-01
                 pdf14   -8.4410e-02 +/-  9.98e-01
                 pdf15   -1.5080e-01 +/-  1.04e+00
                 pdf16   -5.0753e-02 +/-  1.02e+00
                 pdf17   -5.9430e-02 +/-  1.02e+00
                 pdf18   -7.7281e-02 +/-  1.02e+00
                 pdf19   -1.1508e-01 +/-  9.97e-01
                  pdf2   -4.4813e-03 +/-  9.99e-01
                 pdf20   -8.6934e-02 +/-  1.04e+00
                 pdf21    3.2211e-02 +/-  1.02e+00
                 pdf22   -4.5130e-02 +/-  1.04e+00
                 pdf23    1.4649e-02 +/-  9.99e-01
                 pdf24   -3.1898e-02 +/-  1.00e+00
                 pdf25    6.7906e-02 +/-  1.00e+00
                 pdf26    1.2842e-02 +/-  9.98e-01
                 pdf27   -5.1481e-02 +/-  1.01e+00
                 pdf28   -7.8099e-02 +/-  1.00e+00
                 pdf29   -2.3095e-03 +/-  1.01e+00
                  pdf3    4.7499e-02 +/-  9.98e-01
                 pdf30    8.2432e-02 +/-  1.01e+00
                 pdf31   -8.2730e-02 +/-  1.04e+00
                 pdf32    7.3635e-02 +/-  1.01e+00
                 pdf33   -1.8464e-01 +/-  1.04e+00
                 pdf34    5.0921e-02 +/-  1.02e+00
                 pdf35    1.3130e-01 +/-  1.01e+00
                 pdf36    3.6010e-02 +/-  9.98e-01
                 pdf37    2.0701e-02 +/-  9.97e-01
                 pdf38    3.4389e-03 +/-  1.00e+00
                 pdf39    2.5951e-02 +/-  1.01e+00
                  pdf4    2.2105e-02 +/-  1.02e+00
                 pdf40    8.3678e-02 +/-  1.00e+00
                 pdf41    3.4047e-02 +/-  9.94e-01
                 pdf42    6.9866e-02 +/-  1.00e+00
                 pdf43    1.3602e-01 +/-  9.95e-01
                 pdf44    2.0664e-02 +/-  1.00e+00
                 pdf45   -9.9071e-03 +/-  9.99e-01
                 pdf46   -1.0378e-02 +/-  1.00e+00
                 pdf47    1.6633e-01 +/-  1.01e+00
                 pdf48    1.2347e-01 +/-  1.01e+00
                 pdf49   -2.3638e-02 +/-  1.00e+00
                  pdf5    2.5479e-02 +/-  1.00e+00
