
Attaching file multidimfit.root as _file0...
(TFile *) 0x2d00a50

  RooFitResult: minimized FCN value: -0.464141, estimated distance to minimum: 8.83962e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    3.7412e-02 +/-  5.67e-02
                    A4    1.6040e+00 +/-  7.02e-02
                 FAC16    9.2464e-02 +/-  9.24e-01
               FAC1718   -3.8808e-02 +/-  9.38e-01
                    Pu    6.0832e-02 +/-  9.18e-01
               REFAC16    6.2980e-02 +/-  7.92e-01
             REFAC1718   -3.4746e-02 +/-  8.53e-01
              RENORM16   -8.6752e-03 +/-  8.67e-01
            RENORM1718   -1.3084e-02 +/-  9.65e-01
              alphaS16   -8.6086e-04 +/-  1.00e+00
            alphaS1718    0.0000e+00 +/-  9.94e-01
               db_xsec   -1.2655e-02 +/-  9.91e-01
               dy_xsec    1.6057e-03 +/-  8.50e-01
         emucostrw1b16   -1.0161e-02 +/-  7.67e-01
       emucostrw1b1718   -2.1820e-02 +/-  6.75e-01
         emucostrw2b16   -2.8712e-02 +/-  9.63e-01
       emucostrw2b1718   -1.5617e-02 +/-  9.74e-01
         emucostrw3b16   -6.4535e-03 +/-  9.85e-01
       emucostrw3b1718    1.0076e-02 +/-  9.86e-01
         emucostrw4b16   -1.0147e-02 +/-  9.90e-01
       emucostrw4b1718    1.8133e-02 +/-  9.90e-01
              gam_xsec    7.0871e-03 +/-  9.94e-01
                lumi16    1.1332e-02 +/-  9.31e-01
                lumi17   -3.6690e-02 +/-  8.51e-01
                lumi18    1.1392e-02 +/-  9.09e-01
                lumiBC   -3.9015e-03 +/-  9.93e-01
                lumiDB   -5.1083e-03 +/-  9.88e-01
                lumiGS    2.2142e-04 +/-  9.92e-01
                lumiLS   -3.9015e-03 +/-  9.93e-01
                lumiXY    2.6051e-03 +/-  9.10e-01
             muFakes16   -1.9216e-02 +/-  9.72e-01
             muFakes17    2.9253e-02 +/-  8.32e-01
             muFakes18    4.8840e-02 +/-  9.56e-01
            muHLTBAR16    2.4116e-03 +/-  9.94e-01
            muHLTBAR17    4.5637e-04 +/-  9.94e-01
            muHLTBAR18    1.9241e-03 +/-  9.94e-01
            muHLTEND16    3.2529e-02 +/-  9.84e-01
            muHLTEND17    7.2859e-04 +/-  9.92e-01
            muHLTEND18    1.1352e-03 +/-  9.93e-01
             muIDBAR16   -2.9835e-02 +/-  9.43e-01
             muIDBAR17   -3.1641e-03 +/-  9.40e-01
             muIDBAR18    4.6098e-03 +/-  9.84e-01
             muIDEND16    9.3354e-02 +/-  9.20e-01
             muIDEND17   -1.4713e-02 +/-  9.76e-01
             muIDEND18   -1.6690e-03 +/-  9.92e-01
               muIDSYS    7.6292e-02 +/-  9.14e-01
            muISOBAR16   -7.5677e-03 +/-  9.91e-01
            muISOBAR17   -1.3065e-03 +/-  9.93e-01
            muISOBAR18    1.8959e-03 +/-  9.94e-01
            muISOEND16    1.8775e-02 +/-  9.91e-01
            muISOEND17   -1.2786e-03 +/-  9.94e-01
            muISOEND18   -1.1610e-03 +/-  9.94e-01
              muISOSYS    1.6306e-02 +/-  9.91e-01
              muPref16   -7.5419e-03 +/-  9.92e-01
            muPref1718    2.0734e-03 +/-  9.94e-01
                muRC16   -1.2003e-02 +/-  1.03e+00
                muRC17    1.8811e-02 +/-  9.20e-01
                muRC18    4.3661e-02 +/-  9.05e-01
         mufakesrw1b16   -4.0958e-02 +/-  8.93e-01
         mufakesrw1b17    1.4746e-02 +/-  9.56e-01
         mufakesrw1b18    3.9847e-02 +/-  9.24e-01
         mufakesrw2b16   -2.4917e-04 +/-  9.94e-01
         mufakesrw2b17    3.2998e-04 +/-  9.90e-01
         mufakesrw2b18   -1.9497e-02 +/-  9.87e-01
         mufakesrw3b16   -3.1298e-03 +/-  9.94e-01
         mufakesrw3b17   -6.2269e-03 +/-  9.90e-01
         mufakesrw3b18    1.6591e-02 +/-  9.80e-01
         mufakesrw4b16    0.0000e+00 +/-  9.94e-01
         mufakesrw4b17    6.6688e-04 +/-  9.91e-01
         mufakesrw4b18    2.0154e-02 +/-  9.78e-01
               nlo_sys    9.9981e-05 +/-  9.95e-01
                  pdf1    3.9915e-03 +/-  9.94e-01
                 pdf10    4.9785e-03 +/-  9.94e-01
                 pdf11   -1.3929e-02 +/-  9.94e-01
                 pdf12   -4.3062e-03 +/-  9.94e-01
                 pdf13    8.3012e-04 +/-  9.94e-01
                 pdf14    1.2923e-02 +/-  9.93e-01
                 pdf15    8.7443e-03 +/-  9.96e-01
                 pdf16   -4.8297e-03 +/-  9.94e-01
                 pdf17   -9.3619e-03 +/-  9.93e-01
                 pdf18    2.9433e-03 +/-  9.94e-01
                 pdf19   -9.1384e-03 +/-  9.94e-01
                  pdf2   -7.3662e-04 +/-  9.94e-01
                 pdf20   -4.9209e-03 +/-  9.97e-01
                 pdf21    3.6621e-03 +/-  9.94e-01
                 pdf22   -7.9251e-03 +/-  9.95e-01
                 pdf23    9.4564e-03 +/-  9.94e-01
                 pdf24   -1.5610e-02 +/-  9.93e-01
                 pdf25    6.4343e-04 +/-  9.94e-01
                 pdf26    1.1662e-02 +/-  9.94e-01
                 pdf27   -1.0070e-02 +/-  9.94e-01
                 pdf28    7.9270e-03 +/-  9.92e-01
                 pdf29    1.1109e-03 +/-  9.94e-01
                  pdf3   -1.4762e-05 +/-  9.94e-01
                 pdf30    2.6650e-03 +/-  9.94e-01
                 pdf31   -4.1883e-03 +/-  9.95e-01
                 pdf32    1.1178e-03 +/-  9.94e-01
                 pdf33   -9.4968e-04 +/-  9.96e-01
                 pdf34   -2.5501e-03 +/-  9.94e-01
