
Attaching file multidimfit.root as _file0...
(TFile *) 0x2242310

  RooFitResult: minimized FCN value: -0.482232, estimated distance to minimum: 1.54406e-09
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    3.7913e-02 +/-  5.63e-02
                    A4    1.6084e+00 +/-  6.84e-02
                 FAC16    6.9370e-02 +/-  9.21e-01
               FAC1718   -3.8230e-02 +/-  9.30e-01
                    Pu    5.1675e-02 +/-  9.28e-01
               REFAC16    7.6037e-02 +/-  7.84e-01
             REFAC1718   -4.7029e-02 +/-  8.47e-01
              RENORM16    1.2574e-02 +/-  8.60e-01
            RENORM1718   -2.1323e-02 +/-  9.60e-01
              alphaS16    2.9838e-03 +/-  1.01e+00
            alphaS1718   -2.1764e-12 +/-  9.94e-01
               db_xsec   -3.2021e-03 +/-  9.90e-01
               dy_xsec    7.6298e-03 +/-  8.44e-01
         emucostrw1b16   -3.1257e-02 +/-  7.75e-01
       emucostrw1b1718   -3.1760e-02 +/-  6.83e-01
         emucostrw2b16   -1.4125e-02 +/-  9.67e-01
       emucostrw2b1718   -7.2146e-03 +/-  9.76e-01
         emucostrw3b16   -8.3398e-03 +/-  9.85e-01
       emucostrw3b1718    9.3161e-03 +/-  9.85e-01
         emucostrw4b16   -1.0853e-02 +/-  9.89e-01
       emucostrw4b1718    1.5389e-02 +/-  9.90e-01
              gam_xsec    2.4458e-03 +/-  9.94e-01
                lumi16    8.4337e-03 +/-  9.30e-01
                lumi17   -3.3211e-02 +/-  8.52e-01
                lumi18    1.0722e-02 +/-  9.09e-01
                lumiBC   -3.5852e-03 +/-  9.93e-01
                lumiDB   -5.1479e-03 +/-  9.88e-01
                lumiGS   -1.2920e-04 +/-  9.92e-01
                lumiLS   -3.5852e-03 +/-  9.93e-01
                lumiXY    2.7062e-03 +/-  9.06e-01
             muFakes16   -2.4286e-02 +/-  9.75e-01
             muFakes17    5.4019e-03 +/-  8.68e-01
             muFakes18    4.5433e-02 +/-  9.64e-01
            muHLTBAR16    3.7676e-03 +/-  9.94e-01
            muHLTBAR17   -1.0339e-03 +/-  9.94e-01
            muHLTBAR18    4.0200e-03 +/-  9.93e-01
            muHLTEND16    3.5539e-02 +/-  9.84e-01
            muHLTEND17    1.1641e-03 +/-  9.92e-01
            muHLTEND18    2.4923e-03 +/-  9.92e-01
             muIDBAR16   -2.3261e-02 +/-  9.40e-01
             muIDBAR17   -1.3372e-02 +/-  9.38e-01
             muIDBAR18    5.3455e-03 +/-  9.83e-01
             muIDEND16    8.4180e-02 +/-  9.18e-01
             muIDEND17   -6.8752e-03 +/-  9.75e-01
             muIDEND18   -3.6809e-03 +/-  9.91e-01
               muIDSYS    7.3666e-02 +/-  9.12e-01
