
Attaching file multidimfit.root as _file0...
(TFile *) 0x1b10bb0

  RooFitResult: minimized FCN value: -0.540276, estimated distance to minimum: 3.39515e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    3.4221e-02 +/-  5.14e-02
                    A4    1.6094e+00 +/-  6.72e-02
                 FAC16    1.7096e-02 +/-  9.69e-01
               FAC1718    1.0205e-02 +/-  8.40e-01
              METHEM18   -1.2362e-02 +/-  9.59e-01
                    Pu    4.2530e-03 +/-  8.76e-01
               REFAC16   -6.5397e-02 +/-  7.77e-01
             REFAC1718    6.0996e-03 +/-  8.17e-01
              RENORM16   -7.6854e-02 +/-  8.74e-01
            RENORM1718   -7.4783e-03 +/-  9.46e-01
              alphaS16   -1.6142e-04 +/-  1.00e+00
            alphaS1718    0.0000e+00 +/-  9.94e-01
               db_xsec   -2.0320e-02 +/-  9.90e-01
               dy_xsec    9.3818e-03 +/-  8.39e-01
         emucostrw1b16   -2.0402e-03 +/-  7.86e-01
       emucostrw1b1718   -3.2891e-02 +/-  7.39e-01
         emucostrw2b16   -1.8058e-02 +/-  9.82e-01
       emucostrw2b1718   -5.1734e-03 +/-  9.85e-01
         emucostrw3b16   -3.2243e-03 +/-  9.91e-01
       emucostrw3b1718    7.7522e-03 +/-  9.91e-01
         emucostrw4b16   -3.6937e-03 +/-  9.93e-01
       emucostrw4b1718    1.2353e-02 +/-  9.93e-01
              gam_xsec    1.2027e-02 +/-  9.94e-01
                lumi16    7.8496e-03 +/-  9.29e-01
                lumi17   -2.1488e-02 +/-  8.39e-01
                lumi18    7.3260e-03 +/-  9.04e-01
                lumiBC   -1.8238e-03 +/-  9.93e-01
                lumiDB   -2.3409e-03 +/-  9.87e-01
                lumiGS    6.5411e-04 +/-  9.92e-01
                lumiLS   -1.8238e-03 +/-  9.93e-01
                lumiXY    2.7491e-03 +/-  9.06e-01
             muFakes16   -5.4225e-03 +/-  9.85e-01
             muFakes17   -1.1186e-02 +/-  9.60e-01
             muFakes18    1.9041e-02 +/-  9.85e-01
            muHLTBAR16    4.1948e-03 +/-  9.94e-01
            muHLTBAR17    1.1794e-03 +/-  9.94e-01
            muHLTBAR18    3.2602e-03 +/-  9.93e-01
            muHLTEND16    2.6119e-02 +/-  9.85e-01
            muHLTEND17    1.8242e-03 +/-  9.92e-01
            muHLTEND18    1.3470e-04 +/-  9.93e-01
             muIDBAR16   -1.4053e-02 +/-  9.36e-01
             muIDBAR17    2.0917e-03 +/-  9.39e-01
             muIDBAR18    5.8277e-03 +/-  9.84e-01
             muIDEND16    6.0718e-02 +/-  9.31e-01
             muIDEND17   -1.1691e-02 +/-  9.75e-01
             muIDEND18   -5.1590e-03 +/-  9.92e-01
               muIDSYS    4.3991e-02 +/-  9.25e-01
            muISOBAR16   -3.7969e-03 +/-  9.91e-01
            muISOBAR17   -6.1813e-05 +/-  9.93e-01
            muISOBAR18    2.6168e-03 +/-  9.94e-01
            muISOEND16    1.1717e-02 +/-  9.91e-01
            muISOEND17   -1.0603e-03 +/-  9.94e-01
            muISOEND18   -2.9588e-03 +/-  9.94e-01
              muISOSYS    7.6996e-03 +/-  9.91e-01
         mufakesrw1b16   -3.7614e-03 +/-  9.59e-01
         mufakesrw1b17   -6.7147e-03 +/-  9.88e-01
         mufakesrw1b18    7.4703e-03 +/-  9.84e-01
         mufakesrw2b16   -3.5946e-04 +/-  9.94e-01
         mufakesrw2b17    4.1153e-03 +/-  9.92e-01
         mufakesrw2b18    7.6898e-04 +/-  9.88e-01
         mufakesrw3b16   -4.2151e-03 +/-  9.94e-01
         mufakesrw3b17   -3.8718e-03 +/-  9.92e-01
         mufakesrw3b18    8.8062e-03 +/-  9.78e-01
         mufakesrw4b16    0.0000e+00 +/-  9.94e-01
         mufakesrw4b17    2.7740e-03 +/-  9.92e-01
         mufakesrw4b18    8.8361e-03 +/-  9.86e-01
                  pdf1    5.1218e-03 +/-  9.94e-01
                 pdf10    1.0223e-02 +/-  9.94e-01
                 pdf11   -1.2738e-02 +/-  9.94e-01
                 pdf12   -7.3366e-03 +/-  9.93e-01
                 pdf13    4.2342e-03 +/-  9.94e-01
                 pdf14    8.4353e-03 +/-  9.92e-01
                 pdf15    6.5714e-03 +/-  9.94e-01
                 pdf16   -1.4929e-03 +/-  9.93e-01
                 pdf17   -4.7899e-03 +/-  9.92e-01
                 pdf18    4.2583e-04 +/-  9.92e-01
                 pdf19   -6.7905e-03 +/-  9.94e-01
                  pdf2   -2.3741e-03 +/-  9.92e-01
                 pdf20   -4.3506e-03 +/-  9.96e-01
                 pdf21    4.9855e-03 +/-  9.93e-01
                 pdf22   -7.4854e-03 +/-  9.93e-01
                 pdf23    7.9274e-03 +/-  9.94e-01
                 pdf24   -1.2176e-02 +/-  9.92e-01
                 pdf25    3.5074e-03 +/-  9.93e-01
                 pdf26    1.1854e-02 +/-  9.93e-01
                 pdf27   -8.6879e-03 +/-  9.93e-01
                 pdf28   -2.1586e-04 +/-  9.92e-01
                 pdf29    6.8854e-03 +/-  9.93e-01
                  pdf3   -5.6516e-04 +/-  9.93e-01
                 pdf30    1.4247e-02 +/-  9.92e-01
                 pdf31    7.1644e-03 +/-  9.93e-01
                 pdf32    6.5562e-03 +/-  9.93e-01
                 pdf33   -1.0571e-03 +/-  9.95e-01
                 pdf34   -2.9073e-03 +/-  9.95e-01
