
Attaching file multidimfitTest.root as _file0...
(TFile *) 0x3dfa0c0

  RooFitResult: minimized FCN value: -0.00090909, estimated distance to minimum: 0.000200709
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    3.9231e-02 +/-  5.38e-02
                    A4    1.5984e+00 +/-  8.19e-02
                 FAC16    1.2881e-02 +/-  9.34e-01
               FAC1718   -2.8516e-03 +/-  9.04e-01
                    Pu    4.2223e-02 +/-  9.21e-01
               REFAC16   -1.1089e-02 +/-  8.04e-01
             REFAC1718   -3.0093e-03 +/-  8.33e-01
              RENORM16   -3.2751e-02 +/-  9.33e-01
            RENORM1718   -1.7428e-02 +/-  9.64e-01
              alphaS16    6.8452e-03 +/-  1.02e+00
            alphaS1718    0.0000e+00 +/-  9.94e-01
               db_xsec    1.2771e-03 +/-  9.89e-01
               dy_xsec   -2.4966e-03 +/-  8.35e-01
         emucostrw1b16    3.2858e-02 +/-  6.87e-01
       emucostrw1b1718   -2.9702e-02 +/-  6.47e-01
         emucostrw2b16   -3.1477e-03 +/-  9.65e-01
       emucostrw2b1718   -4.8191e-03 +/-  9.75e-01
         emucostrw3b16   -4.0588e-03 +/-  9.85e-01
       emucostrw3b1718    1.4957e-02 +/-  9.85e-01
         emucostrw4b16   -3.5098e-03 +/-  9.89e-01
       emucostrw4b1718    1.9160e-02 +/-  9.89e-01
              gam_xsec    6.8732e-03 +/-  9.94e-01
                lumi16   -5.2534e-03 +/-  9.28e-01
                lumi17    6.3827e-03 +/-  8.38e-01
                lumi18    9.0630e-03 +/-  8.99e-01
                lumiBC    1.8849e-03 +/-  9.93e-01
                lumiDB    1.8693e-04 +/-  9.87e-01
                lumiGS   -3.9525e-04 +/-  9.92e-01
                lumiLS    1.8849e-03 +/-  9.93e-01
                lumiXY    1.1035e-02 +/-  8.95e-01
             muFakes16   -1.8981e-03 +/-  9.93e-01
             muFakes17    6.1346e-03 +/-  9.56e-01
             muFakes18    9.6964e-03 +/-  9.90e-01
            muHLTBAR16   -9.0057e-04 +/-  9.94e-01
            muHLTBAR17    9.7281e-04 +/-  9.94e-01
            muHLTBAR18    2.2573e-03 +/-  9.93e-01
            muHLTEND16    6.2691e-03 +/-  9.89e-01
            muHLTEND17    2.7524e-04 +/-  9.92e-01
            muHLTEND18   -2.0517e-03 +/-  9.92e-01
             muIDBAR16   -4.7291e-04 +/-  9.39e-01
             muIDBAR17    1.0926e-02 +/-  9.35e-01
             muIDBAR18    6.9752e-03 +/-  9.83e-01
             muIDEND16    1.4532e-02 +/-  9.14e-01
             muIDEND17   -6.8120e-03 +/-  9.72e-01
             muIDEND18   -5.7056e-03 +/-  9.91e-01
               muIDSYS    1.9102e-03 +/-  9.04e-01
            muISOBAR16   -6.3591e-04 +/-  9.91e-01
            muISOBAR17    1.4678e-03 +/-  9.93e-01
            muISOBAR18    2.8398e-03 +/-  9.93e-01
            muISOEND16    2.4859e-03 +/-  9.91e-01
            muISOEND17   -1.0279e-03 +/-  9.94e-01
            muISOEND18   -2.9621e-03 +/-  9.94e-01
              muISOSYS   -1.4860e-03 +/-  9.90e-01
              muPref16   -2.2718e-03 +/-  9.92e-01
            muPref1718    2.3213e-05 +/-  9.94e-01
                muRC16   -8.4189e-03 +/-  7.03e-01
                muRC17    2.9115e-02 +/-  8.55e-01
                muRC18    4.3969e-02 +/-  8.59e-01
         mufakesrw1b16   -4.9351e-04 +/-  9.95e-01
         mufakesrw1b17    5.6960e-03 +/-  9.77e-01
         mufakesrw1b18    1.2171e-03 +/-  9.92e-01
         mufakesrw2b16   -1.4392e-04 +/-  9.94e-01
         mufakesrw2b17    1.1663e-03 +/-  9.93e-01
         mufakesrw2b18    2.7865e-03 +/-  9.93e-01
         mufakesrw3b16   -1.9970e-03 +/-  9.94e-01
         mufakesrw3b17   -4.2765e-03 +/-  9.94e-01
         mufakesrw3b18    2.6031e-03 +/-  9.94e-01
         mufakesrw4b16    0.0000e+00 +/-  9.94e-01
         mufakesrw4b17   -4.3725e-04 +/-  9.94e-01
         mufakesrw4b18    2.4521e-03 +/-  9.94e-01
               nlo_sys    1.3519e-04 +/-  9.94e-01
                  pdf1    8.8926e-03 +/-  9.92e-01
                 pdf10    1.2422e-02 +/-  9.94e-01
                 pdf11   -1.3759e-02 +/-  9.95e-01
                 pdf12   -5.5375e-03 +/-  9.96e-01
                 pdf13    9.8818e-03 +/-  9.94e-01
                 pdf14    7.3055e-03 +/-  9.94e-01
                 pdf15   -2.7231e-03 +/-  1.01e+00
                 pdf16    3.0599e-03 +/-  9.95e-01
                 pdf17   -4.7380e-03 +/-  9.98e-01
                 pdf18   -2.6915e-03 +/-  9.96e-01
                 pdf19   -5.5207e-03 +/-  9.94e-01
                  pdf2   -5.7727e-03 +/-  9.92e-01
                 pdf20   -1.1045e-02 +/-  1.01e+00
                 pdf21    6.6816e-03 +/-  9.93e-01
                 pdf22   -1.6834e-02 +/-  1.00e+00
                 pdf23    8.7775e-03 +/-  9.95e-01
                 pdf24   -9.3797e-03 +/-  9.93e-01
                 pdf25    3.9777e-03 +/-  9.93e-01
                 pdf26    1.5574e-02 +/-  9.93e-01
                 pdf27   -1.5699e-02 +/-  9.95e-01
                 pdf28   -6.9801e-03 +/-  9.91e-01
                 pdf29    9.5603e-04 +/-  9.97e-01
                  pdf3    3.7596e-03 +/-  9.92e-01
                 pdf30    1.0384e-02 +/-  9.98e-01
                 pdf31   -6.6907e-04 +/-  1.01e+00
                 pdf32    5.6339e-03 +/-  9.94e-01
                 pdf33   -6.2412e-03 +/-  1.01e+00
                 pdf34   -3.5085e-03 +/-  9.95e-01
                 pdf35   -1.6977e-02 +/-  9.91e-01
                 pdf36   -5.9032e-05 +/-  9.94e-01
