
Attaching file multidimfitTest.root as _file0...
(TFile *) 0x3f9f9b0

  RooFitResult: minimized FCN value: -0.310037, estimated distance to minimum: 9.68685e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    3.8676e-02 +/-  5.44e-02
                    A4    1.6126e+00 +/-  7.89e-02
                 FAC16    7.5374e-02 +/-  9.21e-01
               FAC1718   -2.8298e-02 +/-  9.27e-01
                    Pu    5.2522e-02 +/-  9.22e-01
               REFAC16    7.7061e-02 +/-  7.83e-01
             REFAC1718   -3.2609e-02 +/-  8.45e-01
              RENORM16    1.4934e-02 +/-  8.61e-01
            RENORM1718   -1.8273e-02 +/-  9.59e-01
              alphaS16   -1.5390e-05 +/-  1.01e+00
            alphaS1718    0.0000e+00 +/-  9.94e-01
               db_xsec   -5.7130e-04 +/-  9.90e-01
               dy_xsec    1.1203e-02 +/-  8.44e-01
         emucostrw1b16   -4.5548e-02 +/-  6.88e-01
       emucostrw1b1718   -1.4883e-02 +/-  6.49e-01
         emucostrw2b16   -1.0845e-02 +/-  9.66e-01
       emucostrw2b1718   -3.0838e-03 +/-  9.76e-01
         emucostrw3b16   -8.1362e-03 +/-  9.85e-01
       emucostrw3b1718    1.0121e-02 +/-  9.85e-01
         emucostrw4b16   -9.3547e-03 +/-  9.89e-01
       emucostrw4b1718    1.5470e-02 +/-  9.90e-01
              gam_xsec    4.2929e-03 +/-  9.94e-01
                lumi16    1.0166e-02 +/-  9.27e-01
                lumi17   -3.0720e-02 +/-  8.39e-01
                lumi18    1.5690e-02 +/-  9.03e-01
                lumiBC   -2.9286e-03 +/-  9.93e-01
                lumiDB   -4.3304e-03 +/-  9.87e-01
                lumiGS    5.2725e-04 +/-  9.93e-01
                lumiLS   -2.9286e-03 +/-  9.93e-01
                lumiXY    1.0815e-02 +/-  8.99e-01
             muFakes16   -4.6691e-03 +/-  9.93e-01
             muFakes17    7.8420e-04 +/-  9.56e-01
             muFakes18    1.5672e-02 +/-  9.92e-01
            muHLTBAR16    4.2943e-03 +/-  9.94e-01
            muHLTBAR17   -9.1778e-04 +/-  9.94e-01
            muHLTBAR18    4.3918e-03 +/-  9.93e-01
            muHLTEND16    3.4225e-02 +/-  9.85e-01
            muHLTEND17   -1.1931e-03 +/-  9.92e-01
            muHLTEND18   -4.4388e-04 +/-  9.92e-01
             muIDBAR16   -1.3261e-02 +/-  9.38e-01
             muIDBAR17   -7.0746e-03 +/-  9.35e-01
             muIDBAR18    7.1940e-03 +/-  9.83e-01
             muIDEND16    7.3477e-02 +/-  9.15e-01
             muIDEND17   -1.3183e-02 +/-  9.73e-01
             muIDEND18   -5.8227e-03 +/-  9.91e-01
               muIDSYS    5.4353e-02 +/-  9.06e-01
            muISOBAR16   -3.7181e-03 +/-  9.91e-01
            muISOBAR17   -1.7402e-03 +/-  9.93e-01
            muISOBAR18    3.3759e-03 +/-  9.94e-01
            muISOEND16    1.4776e-02 +/-  9.91e-01
            muISOEND17   -7.0167e-04 +/-  9.94e-01
            muISOEND18   -3.3979e-03 +/-  9.93e-01
              muISOSYS    1.0699e-02 +/-  9.91e-01
              muPref16   -7.2655e-03 +/-  9.92e-01
            muPref1718    1.6987e-03 +/-  9.94e-01
                muRC16   -1.6891e-02 +/-  7.41e-01
                muRC17    4.4882e-03 +/-  8.55e-01
                muRC18    6.3673e-02 +/-  8.90e-01
         mufakesrw1b16   -3.5022e-03 +/-  9.96e-01
         mufakesrw1b17    3.0412e-03 +/-  9.78e-01
         mufakesrw1b18    3.2782e-03 +/-  9.92e-01
         mufakesrw2b16   -1.1215e-04 +/-  9.95e-01
         mufakesrw2b17    2.8374e-05 +/-  9.93e-01
         mufakesrw2b18    5.4699e-03 +/-  9.93e-01
         mufakesrw3b16   -9.7423e-04 +/-  9.95e-01
         mufakesrw3b17   -4.3852e-03 +/-  9.94e-01
         mufakesrw3b18    2.9518e-03 +/-  9.94e-01
         mufakesrw4b16    0.0000e+00 +/-  9.94e-01
