
Attaching file multidimfitTest.root as _file0...
(TFile *) 0x2b11be0

  RooFitResult: minimized FCN value: -6.9963e-05, estimated distance to minimum: 6.515e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    3.8450e-02 +/-  5.27e-02
                    A4    1.6006e+00 +/-  6.43e-02
                 FAC16    1.2828e-02 +/-  9.41e-01
               FAC1718   -1.9802e-03 +/-  9.15e-01
        MCStatBin10y16   -1.9515e-03 +/-  9.56e-01
        MCStatBin10y17    2.1156e-02 +/-  9.73e-01
        MCStatBin10y18    3.6795e-03 +/-  9.64e-01
        MCStatBin11y16    8.8322e-03 +/-  9.59e-01
        MCStatBin11y17    2.4677e-02 +/-  9.76e-01
        MCStatBin11y18    1.6479e-02 +/-  9.69e-01
        MCStatBin15y16   -6.0911e-02 +/-  9.53e-01
        MCStatBin15y17   -2.1953e-03 +/-  9.71e-01
        MCStatBin15y18    1.4274e-02 +/-  9.61e-01
        MCStatBin16y16   -2.6019e-02 +/-  9.50e-01
        MCStatBin16y17    5.3464e-03 +/-  9.70e-01
        MCStatBin16y18    2.3020e-02 +/-  9.60e-01
        MCStatBin17y16   -3.1216e-02 +/-  9.60e-01
        MCStatBin17y17    1.1287e-02 +/-  9.77e-01
        MCStatBin17y18    1.7582e-02 +/-  9.69e-01
         MCStatBin1y16    1.8639e-03 +/-  9.84e-01
         MCStatBin1y17   -6.6106e-03 +/-  9.90e-01
         MCStatBin1y18   -3.0476e-03 +/-  9.87e-01
        MCStatBin21y16    1.0299e-02 +/-  9.94e-01
        MCStatBin21y17    4.6375e-03 +/-  9.97e-01
        MCStatBin21y18    5.6885e-03 +/-  9.95e-01
        MCStatBin22y16    3.5221e-03 +/-  9.90e-01
        MCStatBin22y17    3.9943e-03 +/-  9.95e-01
        MCStatBin22y18    1.8143e-03 +/-  9.93e-01
        MCStatBin23y16   -2.7485e-03 +/-  9.89e-01
        MCStatBin23y17   -4.4954e-03 +/-  9.95e-01
        MCStatBin23y18    4.7151e-04 +/-  9.93e-01
        MCStatBin24y16   -1.2262e-02 +/-  9.90e-01
        MCStatBin24y17   -7.0724e-03 +/-  9.95e-01
        MCStatBin24y18   -6.4182e-04 +/-  9.93e-01
        MCStatBin29y16   -3.0916e-04 +/-  9.89e-01
        MCStatBin29y17   -1.0340e-03 +/-  9.95e-01
        MCStatBin29y18    3.0411e-03 +/-  9.93e-01
         MCStatBin2y16    1.2197e-02 +/-  9.63e-01
         MCStatBin2y17   -9.2239e-04 +/-  9.79e-01
         MCStatBin2y18   -7.5773e-03 +/-  9.70e-01
        MCStatBin30y16   -6.5411e-03 +/-  9.87e-01
        MCStatBin30y17   -9.1924e-04 +/-  9.95e-01
        MCStatBin30y18    4.2216e-03 +/-  9.92e-01
        MCStatBin31y16   -4.5978e-03 +/-  9.89e-01
        MCStatBin31y17   -6.1837e-03 +/-  9.95e-01
        MCStatBin31y18   -5.0649e-05 +/-  9.93e-01
        MCStatBin35y16   -2.2987e-02 +/-  9.83e-01
        MCStatBin35y17    3.6053e-02 +/-  9.91e-01
        MCStatBin35y18    1.6497e-02 +/-  9.87e-01
        MCStatBin36y16   -3.4774e-02 +/-  9.85e-01
        MCStatBin36y17   -1.8545e-02 +/-  9.92e-01
        MCStatBin36y18    4.3340e-03 +/-  9.89e-01
        MCStatBin37y16   -1.9804e-02 +/-  9.87e-01
        MCStatBin37y17   -1.2152e-02 +/-  9.94e-01
        MCStatBin37y18   -1.0016e-02 +/-  9.91e-01
         MCStatBin3y16    1.3335e-02 +/-  9.61e-01
         MCStatBin3y17    1.7422e-02 +/-  9.76e-01
         MCStatBin3y18    2.0055e-02 +/-  9.62e-01
        MCStatBin41y16    1.0136e-02 +/-  9.96e-01
        MCStatBin41y17    2.7333e-03 +/-  9.98e-01
        MCStatBin41y18    4.9472e-03 +/-  9.98e-01
        MCStatBin42y16    7.2061e-06 +/-  9.95e-01
        MCStatBin42y17    4.6691e-04 +/-  9.98e-01
        MCStatBin42y18    1.5962e-03 +/-  9.97e-01
        MCStatBin43y16    1.2311e-03 +/-  9.95e-01
        MCStatBin43y17   -1.4044e-03 +/-  9.98e-01
        MCStatBin43y18   -2.9530e-03 +/-  9.97e-01
        MCStatBin44y16   -2.1416e-04 +/-  9.96e-01
        MCStatBin44y17   -1.5318e-03 +/-  9.98e-01
        MCStatBin44y18   -1.1091e-03 +/-  9.98e-01
        MCStatBin49y16    5.2787e-03 +/-  9.94e-01
        MCStatBin49y17   -2.5573e-03 +/-  9.97e-01
        MCStatBin49y18    4.9289e-04 +/-  9.97e-01
         MCStatBin4y16    8.5738e-03 +/-  9.62e-01
         MCStatBin4y17    2.2003e-02 +/-  9.77e-01
         MCStatBin4y18    2.3536e-02 +/-  9.70e-01
        MCStatBin50y16    1.8060e-03 +/-  9.94e-01
        MCStatBin50y17   -2.2075e-03 +/-  9.98e-01
        MCStatBin50y18   -2.8889e-03 +/-  9.97e-01
        MCStatBin51y16   -3.3051e-03 +/-  9.96e-01
        MCStatBin51y17   -1.6792e-03 +/-  9.98e-01
        MCStatBin51y18   -7.9768e-04 +/-  9.97e-01
        MCStatBin55y16   -3.7624e-02 +/-  9.93e-01
        MCStatBin55y17   -9.7878e-03 +/-  9.96e-01
        MCStatBin55y18    3.9478e-03 +/-  9.95e-01
        MCStatBin56y16   -3.1803e-03 +/-  9.93e-01
        MCStatBin56y17   -8.0936e-03 +/-  9.97e-01
        MCStatBin56y18   -1.2283e-03 +/-  9.96e-01
        MCStatBin57y16   -7.3635e-04 +/-  9.94e-01
        MCStatBin57y17   -4.8904e-04 +/-  9.97e-01
        MCStatBin57y18   -5.2424e-04 +/-  9.97e-01
         MCStatBin9y16   -2.4229e-02 +/-  9.67e-01
         MCStatBin9y17    1.3949e-03 +/-  9.82e-01
         MCStatBin9y18   -2.4506e-02 +/-  9.73e-01
                    Pu    3.7512e-02 +/-  9.31e-01
               REFAC16   -1.1463e-02 +/-  8.07e-01
             REFAC1718   -2.3825e-03 +/-  8.43e-01
              RENORM16   -3.1500e-02 +/-  9.25e-01
            RENORM1718   -1.6912e-02 +/-  9.71e-01
              alphaS16    6.6943e-03 +/-  1.02e+00
            alphaS1718    0.0000e+00 +/-  1.00e+00
               db_xsec    5.4599e-04 +/-  9.95e-01
               dy_xsec    1.5478e-04 +/-  8.46e-01
         emucostrw1b16    2.8967e-02 +/-  7.04e-01
       emucostrw1b1718   -3.2106e-02 +/-  6.59e-01
         emucostrw2b16   -3.6591e-03 +/-  9.74e-01
       emucostrw2b1718   -3.6800e-03 +/-  9.82e-01
         emucostrw3b16   -3.7336e-03 +/-  9.91e-01
       emucostrw3b1718    1.5345e-02 +/-  9.91e-01
         emucostrw4b16   -2.9543e-03 +/-  9.95e-01
       emucostrw4b1718    1.9140e-02 +/-  9.95e-01
              gam_xsec    6.1786e-03 +/-  9.99e-01
                lumi16   -3.6269e-03 +/-  9.34e-01
                lumi17    7.6271e-03 +/-  8.45e-01
                lumi18    8.1685e-03 +/-  9.06e-01
                lumiBC    2.1885e-03 +/-  9.98e-01
                lumiDB    9.8276e-04 +/-  9.93e-01
                lumiGS   -2.4867e-04 +/-  9.98e-01
                lumiLS    2.1885e-03 +/-  9.98e-01
                lumiXY    1.1430e-02 +/-  9.02e-01
             muFakes16   -2.3114e-03 +/-  9.99e-01
             muFakes17    7.2836e-03 +/-  9.64e-01
             muFakes18    9.5238e-03 +/-  9.96e-01
            muHLTBAR16   -6.4389e-04 +/-  1.00e+00
            muHLTBAR17    1.1649e-03 +/-  9.99e-01
            muHLTBAR18    2.3652e-03 +/-  9.99e-01
            muHLTEND16    8.4088e-03 +/-  9.94e-01
            muHLTEND17    3.1850e-04 +/-  9.97e-01
            muHLTEND18   -2.0431e-03 +/-  9.98e-01
             muIDBAR16   -2.3325e-03 +/-  9.47e-01
             muIDBAR17    1.2857e-02 +/-  9.42e-01
             muIDBAR18    6.3179e-03 +/-  9.89e-01
             muIDEND16    2.0648e-02 +/-  9.23e-01
             muIDEND17   -6.5787e-03 +/-  9.78e-01
             muIDEND18   -6.2091e-03 +/-  9.97e-01
               muIDSYS    7.8215e-03 +/-  9.14e-01
            muISOBAR16   -1.0016e-03 +/-  9.97e-01
            muISOBAR17    1.8404e-03 +/-  9.99e-01
            muISOBAR18    2.6586e-03 +/-  9.99e-01
            muISOEND16    3.1788e-03 +/-  9.96e-01
            muISOEND17   -1.0375e-03 +/-  9.99e-01
            muISOEND18   -3.1912e-03 +/-  9.99e-01
              muISOSYS   -1.0465e-03 +/-  9.96e-01
              muPref16   -2.4348e-03 +/-  9.98e-01
            muPref1718    4.5004e-06 +/-  1.00e+00
                muRC16   -1.0971e-02 +/-  7.18e-01
                muRC17    2.6233e-02 +/-  8.61e-01
                muRC18    4.4250e-02 +/-  8.69e-01
         mufakesrw1b16   -9.2614e-04 +/-  1.00e+00
