
Attaching file multidimfit.root as _file0...
(TFile *) 0x2365380

  RooFitResult: minimized FCN value: -0.38783, estimated distance to minimum: 7.08924e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    3.3807e-02 +/-  5.18e-02
                   Afb    6.0453e-01 +/-  2.37e-02
               BTAGCOR    2.2751e-03 +/-  9.84e-01
           BTAGLIGHT16   -2.2956e-03 +/-  1.00e+00
           BTAGLIGHT17   -2.5959e-04 +/-  9.90e-01
           BTAGLIGHT18   -1.9855e-03 +/-  9.66e-01
           BTAGUNCOR16    1.3472e-03 +/-  9.98e-01
           BTAGUNCOR17   -2.2334e-04 +/-  9.96e-01
           BTAGUNCOR18   -8.6138e-04 +/-  9.81e-01
                 FAC16   -3.9270e-02 +/-  9.75e-01
               FAC1718   -7.1974e-03 +/-  8.36e-01
              METHEM18    9.4383e-05 +/-  9.72e-01
              METJEC16    3.5893e-02 +/-  9.65e-01
              METJEC17    1.8551e-04 +/-  1.01e+00
              METJEC18   -1.4263e-02 +/-  9.67e-01
                    Pu    2.6547e-02 +/-  9.35e-01
               REFAC16   -1.1161e-01 +/-  7.56e-01
             REFAC1718   -2.7207e-02 +/-  7.91e-01
              RENORM16   -7.4417e-02 +/-  8.71e-01
            RENORM1718   -3.7137e-02 +/-  9.47e-01
              alphaS16    4.1284e-04 +/-  1.01e+00
            alphaS1718    0.0000e+00 +/-  9.94e-01
               db_xsec   -1.7087e-02 +/-  9.90e-01
               dy_xsec    1.1314e-02 +/-  8.41e-01
         emucostrw1b16   -3.2011e-02 +/-  8.15e-01
       emucostrw1b1718   -3.4314e-02 +/-  7.75e-01
         emucostrw2b16   -1.5865e-02 +/-  9.85e-01
       emucostrw2b1718   -4.7155e-03 +/-  9.88e-01
         emucostrw3b16   -7.2757e-03 +/-  9.92e-01
       emucostrw3b1718    5.1186e-03 +/-  9.92e-01
         emucostrw4b16   -2.6155e-03 +/-  9.93e-01
       emucostrw4b1718    9.5340e-03 +/-  9.93e-01
              gam_xsec    7.5009e-03 +/-  9.93e-01
                lumi16    8.2886e-03 +/-  9.30e-01
                lumi17   -1.7548e-02 +/-  8.61e-01
                lumi18    1.3636e-03 +/-  9.13e-01
                lumiBC   -2.7290e-03 +/-  9.93e-01
                lumiDB   -2.0941e-03 +/-  9.88e-01
                lumiGS    6.1993e-04 +/-  9.92e-01
                lumiLS   -2.7290e-03 +/-  9.93e-01
                lumiXY   -8.5991e-04 +/-  9.10e-01
             muFakes16   -7.4103e-03 +/-  9.87e-01
             muFakes17    4.6192e-03 +/-  9.67e-01
             muFakes18    1.2492e-02 +/-  9.89e-01
            muHLTBAR16    4.6402e-03 +/-  9.94e-01
            muHLTBAR17    1.0616e-04 +/-  9.94e-01
            muHLTBAR18    5.1915e-03 +/-  9.93e-01
            muHLTEND16    2.1527e-02 +/-  9.88e-01
            muHLTEND17   -6.8318e-04 +/-  9.92e-01
            muHLTEND18   -2.1502e-03 +/-  9.93e-01
             muIDBAR16   -2.3158e-03 +/-  9.31e-01
             muIDBAR17   -2.3067e-04 +/-  9.43e-01
             muIDBAR18    4.8768e-03 +/-  9.84e-01
             muIDEND16    3.6652e-02 +/-  9.33e-01
             muIDEND17   -1.1013e-02 +/-  9.76e-01
             muIDEND18   -9.7520e-03 +/-  9.92e-01
               muIDSYS    1.5497e-02 +/-  9.24e-01
            muISOBAR16   -6.2842e-04 +/-  9.91e-01
            muISOBAR17   -2.9600e-04 +/-  9.93e-01
            muISOBAR18    2.7486e-03 +/-  9.94e-01
            muISOEND16    6.8754e-03 +/-  9.91e-01
            muISOEND17   -1.0021e-03 +/-  9.94e-01
            muISOEND18   -5.0827e-03 +/-  9.94e-01
              muISOSYS    8.1045e-04 +/-  9.91e-01
                muRC16    1.1389e-02 +/-  9.04e-01
                muRC17    8.5051e-03 +/-  8.25e-01
                muRC18    4.6647e-02 +/-  8.90e-01
         mufakesrw1b16   -1.0276e-02 +/-  9.75e-01
         mufakesrw1b17    1.7023e-03 +/-  9.88e-01
         mufakesrw1b18   -2.7973e-03 +/-  9.87e-01
         mufakesrw2b16   -3.4610e-04 +/-  9.95e-01
         mufakesrw2b17    3.7756e-03 +/-  9.92e-01
         mufakesrw2b18    5.2873e-03 +/-  9.88e-01
         mufakesrw3b16   -2.9773e-03 +/-  9.94e-01
         mufakesrw3b17   -2.9745e-03 +/-  9.92e-01
         mufakesrw3b18    3.6187e-03 +/-  9.87e-01
         mufakesrw4b16    0.0000e+00 +/-  9.94e-01
         mufakesrw4b17   -1.0140e-03 +/-  9.92e-01
         mufakesrw4b18    1.5003e-02 +/-  9.86e-01
                  pdf1    1.0659e-02 +/-  9.94e-01
                 pdf10    1.1139e-02 +/-  9.94e-01
                 pdf11   -1.0402e-02 +/-  9.95e-01
                 pdf12   -7.5865e-03 +/-  9.95e-01
                 pdf13    6.9095e-03 +/-  9.94e-01
                 pdf14    8.3207e-03 +/-  9.92e-01
                 pdf15    1.9873e-03 +/-  9.99e-01
                 pdf16    6.5847e-03 +/-  9.95e-01
                 pdf17   -2.8474e-03 +/-  9.95e-01
                 pdf18   -3.7298e-03 +/-  9.94e-01
                 pdf19   -3.6125e-03 +/-  9.94e-01
                  pdf2   -7.9667e-03 +/-  9.93e-01
                 pdf20   -2.9512e-03 +/-  1.00e+00
                 pdf21    1.3441e-02 +/-  9.93e-01
                 pdf22   -8.0017e-03 +/-  9.98e-01
                 pdf23    1.2835e-03 +/-  9.94e-01
                 pdf24   -1.4615e-02 +/-  9.93e-01
                 pdf25    3.4169e-03 +/-  9.94e-01
                 pdf26    1.0078e-02 +/-  9.93e-01
                 pdf27   -4.3733e-03 +/-  9.94e-01
                 pdf28   -8.9655e-03 +/-  9.90e-01
                 pdf29    9.0538e-03 +/-  9.95e-01
                  pdf3    2.6627e-03 +/-  9.95e-01
                 pdf30    2.0121e-02 +/-  9.91e-01
                 pdf31    1.3510e-02 +/-  9.95e-01
                 pdf32    5.3374e-03 +/-  9.94e-01
                 pdf33   -8.3691e-04 +/-  9.99e-01
                 pdf34    1.2039e-03 +/-  9.94e-01
                 pdf35   -1.5835e-02 +/-  9.92e-01
                 pdf36    4.4944e-03 +/-  9.93e-01
                 pdf37   -6.5148e-03 +/-  9.94e-01
                 pdf38   -7.9190e-03 +/-  9.94e-01
                 pdf39   -3.0057e-04 +/-  9.95e-01
                  pdf4   -1.3091e-02 +/-  9.95e-01
                 pdf40    3.6792e-03 +/-  9.93e-01
                 pdf41   -7.6676e-03 +/-  9.93e-01
                 pdf42    1.5148e-03 +/-  9.93e-01
                 pdf43   -7.0492e-03 +/-  9.91e-01
                 pdf44    8.6303e-03 +/-  9.91e-01
                 pdf45   -8.0132e-03 +/-  9.93e-01
                 pdf46   -7.1855e-03 +/-  9.93e-01
                 pdf47    1.1078e-02 +/-  9.95e-01
                 pdf48    1.0980e-02 +/-  9.94e-01
                 pdf49   -1.4935e-03 +/-  9.93e-01
                  pdf5    1.1928e-03 +/-  9.94e-01
                 pdf50    9.5516e-03 +/-  9.93e-01
                 pdf51    7.2007e-03 +/-  9.95e-01
                 pdf52    1.2330e-02 +/-  9.94e-01
                 pdf53    8.0278e-03 +/-  9.97e-01
                 pdf54   -4.0909e-03 +/-  9.94e-01
                 pdf55    1.0504e-02 +/-  9.95e-01
                 pdf56    6.2364e-03 +/-  9.93e-01
                 pdf57   -1.6525e-03 +/-  9.91e-01
                 pdf58    2.7252e-03 +/-  9.92e-01
                 pdf59   -8.9833e-03 +/-  9.94e-01
                  pdf6   -5.5727e-03 +/-  9.94e-01
                 pdf60    3.1030e-03 +/-  9.92e-01
                  pdf7   -2.9922e-03 +/-  9.98e-01
                  pdf8    6.2647e-03 +/-  9.94e-01
                  pdf9   -1.5275e-03 +/-  9.97e-01
             prefire16    0.0000e+00 +/-  9.94e-01
             prefire17    0.0000e+00 +/-  9.94e-01
      prop_binY16_bin0    1.7287e-01 +/-  9.34e-01
      prop_binY16_bin1    5.6854e-02 +/-  9.46e-01
     prop_binY16_bin10    4.3535e-02 +/-  9.44e-01
     prop_binY16_bin11   -1.7541e-02 +/-  9.42e-01
     prop_binY16_bin12    8.5810e-02 +/-  9.42e-01
     prop_binY16_bin13    2.6957e-02 +/-  9.40e-01
     prop_binY16_bin14   -8.9915e-02 +/-  9.40e-01
     prop_binY16_bin15   -8.0886e-02 +/-  9.51e-01
     prop_binY16_bin16   -1.7477e-01 +/-  9.55e-01
     prop_binY16_bin17    1.6413e-01 +/-  9.51e-01
     prop_binY16_bin18    3.9423e-02 +/-  9.49e-01
     prop_binY16_bin19    7.2189e-02 +/-  9.42e-01
      prop_binY16_bin2    3.1917e-02 +/-  9.46e-01
     prop_binY16_bin20    7.4629e-02 +/-  9.41e-01
     prop_binY16_bin21    2.1567e-02 +/-  9.69e-01
     prop_binY16_bin22    1.0519e-04 +/-  9.83e-01
     prop_binY16_bin23   -3.2488e-03 +/-  9.84e-01
     prop_binY16_bin24   -3.4013e-03 +/-  9.84e-01
     prop_binY16_bin25    2.3394e-03 +/-  9.83e-01
     prop_binY16_bin26   -3.5024e-03 +/-  9.66e-01
     prop_binY16_bin27   -3.4499e-02 +/-  9.51e-01
     prop_binY16_bin28   -3.9919e-02 +/-  9.73e-01
     prop_binY16_bin29   -1.0321e-03 +/-  9.84e-01
      prop_binY16_bin3   -1.1873e-01 +/-  9.48e-01
     prop_binY16_bin30    3.0683e-02 +/-  9.84e-01
