
Attaching file multidimfit.root as _file0...
(TFile *) 0x32fd030

  RooFitResult: minimized FCN value: -151.895, estimated distance to minimum: 0.0279816
                covariance matrix quality: Full matrix, but forced positive-definite
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    1.2559e-01 +/-  6.86e-02
                   Afb    6.0203e-01 +/-  2.52e-02
               BTAGCOR   -3.6109e-01 +/-  8.96e-01
           BTAGLIGHT16   -4.3309e-02 +/-  9.85e-01
           BTAGLIGHT17   -1.2131e-01 +/-  1.00e+00
           BTAGLIGHT18   -3.4552e-01 +/-  1.30e+00
           BTAGUNCOR16   -2.8266e-03 +/-  9.12e-01
           BTAGUNCOR17   -1.1211e-02 +/-  9.30e-01
           BTAGUNCOR18   -3.0794e-01 +/-  1.12e+00
                 FAC16    3.1715e-01 +/-  8.51e-01
               FAC1718   -7.7537e-01 +/-  9.53e-01
              METHEM18    2.7469e-01 +/-  2.29e+01
              METJEC16   -1.2992e-02 +/-  8.69e-01
              METJEC17   -1.1233e-01 +/-  8.65e-01
              METJEC18   -7.9977e-02 +/-  8.50e-01
                    Pu   -1.2091e-01 +/-  8.89e-01
               REFAC16   -6.9062e-01 +/-  7.01e-01
             REFAC1718   -4.0226e-01 +/-  1.07e+00
              RENORM16   -8.5212e-01 +/-  7.77e-01
            RENORM1718    4.4315e-01 +/-  8.96e-01
              alphaS16   -1.3363e-01 +/-  8.41e-01
            alphaS1718    0.0000e+00 +/-  9.22e-01
               db_xsec    1.5855e-01 +/-  9.17e-01
               dy_xsec    2.6292e+00 +/-  6.38e-01
         emucostrw1b16   -1.1860e-01 +/-  7.07e-01
       emucostrw1b1718   -7.3197e-02 +/-  6.39e-01
         emucostrw2b16    2.1520e-01 +/-  9.04e-01
       emucostrw2b1718    3.0091e-01 +/-  9.14e-01
         emucostrw3b16    6.3100e-02 +/-  9.18e-01
       emucostrw3b1718    7.0520e-02 +/-  9.19e-01
         emucostrw4b16    2.4510e-02 +/-  9.20e-01
       emucostrw4b1718    3.7498e-02 +/-  9.20e-01
              gam_xsec    1.3758e-01 +/-  9.21e-01
                lumi16    8.7933e-01 +/-  8.06e-01
                lumi17    7.2378e-01 +/-  1.35e+00
                lumi18    4.2825e-01 +/-  1.34e+00
                lumiBC    1.6697e-01 +/-  9.18e-01
                lumiDB    3.0756e-01 +/-  9.55e-01
                lumiGS    1.9823e-01 +/-  9.21e-01
                lumiLS    1.6697e-01 +/-  9.18e-01
                lumiXY    1.2609e+00 +/-  1.05e+00
             muFakes16   -1.7205e-02 +/-  9.13e-01
             muFakes17   -1.5264e-02 +/-  8.88e-01
             muFakes18    8.9996e-02 +/-  9.30e-01
            muHLTBAR16    6.0228e-02 +/-  9.14e-01
            muHLTBAR17    4.4681e-02 +/-  9.21e-01
            muHLTBAR18    8.2328e-03 +/-  9.22e-01
            muHLTEND16    1.0459e-01 +/-  9.01e-01
            muHLTEND17    5.5298e-03 +/-  9.24e-01
            muHLTEND18   -6.0389e-02 +/-  1.05e+00
             muIDBAR16    7.1823e-01 +/-  8.34e-01
             muIDBAR17    4.7424e-01 +/-  1.09e+00
             muIDBAR18    1.2692e-01 +/-  9.14e-01
             muIDEND16    3.5487e-01 +/-  8.30e-01
             muIDEND17    6.0935e-02 +/-  9.31e-01
             muIDEND18    9.4189e-04 +/-  9.87e-01
               muIDSYS    4.1666e-01 +/-  8.12e-01
            muISOBAR16    1.8125e-01 +/-  9.15e-01
            muISOBAR17    7.6656e-02 +/-  9.26e-01
            muISOBAR18    5.3920e-02 +/-  9.20e-01
            muISOEND16    7.1681e-02 +/-  9.16e-01
            muISOEND17   -1.7494e-02 +/-  9.21e-01
            muISOEND18   -2.1797e-02 +/-  9.39e-01
              muISOSYS    3.2479e-02 +/-  9.30e-01
                muRC16    6.6432e-02 +/-  5.59e-01
                muRC17    9.2505e-02 +/-  4.26e-01
                muRC18   -7.6504e-03 +/-  5.84e-01
         mufakesrw1b16   -8.5973e-02 +/-  9.01e-01
         mufakesrw1b17   -2.9850e-02 +/-  9.18e-01
         mufakesrw1b18    1.0209e-02 +/-  9.09e-01
         mufakesrw2b16    1.8493e-03 +/-  9.22e-01
         mufakesrw2b17    5.5265e-02 +/-  9.18e-01
         mufakesrw2b18    1.1947e-01 +/-  9.02e-01
         mufakesrw3b16    2.1811e-02 +/-  9.19e-01
         mufakesrw3b17   -2.2185e-02 +/-  9.22e-01
         mufakesrw3b18   -1.2285e-02 +/-  9.28e-01
         mufakesrw4b16    0.0000e+00 +/-  9.22e-01
         mufakesrw4b17    1.5959e-02 +/-  9.21e-01
