
Attaching file multidimfitTest.root as _file0...
(TFile *) 0x2b91030

  RooFitResult: minimized FCN value: -0.294938, estimated distance to minimum: 1.24894e-09
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    3.8304e-02 +/-  5.41e-02
                    A4    1.6098e+00 +/-  8.50e-02
                 FAC16    8.1652e-02 +/-  9.17e-01
               FAC1718   -1.7460e-02 +/-  9.18e-01
                    Pu    5.4332e-02 +/-  9.22e-01
               REFAC16    9.0905e-02 +/-  7.80e-01
             REFAC1718   -2.3878e-02 +/-  8.43e-01
              RENORM16    1.6083e-02 +/-  8.51e-01
            RENORM1718   -9.5541e-03 +/-  9.59e-01
              alphaS16   -2.1070e-04 +/-  1.01e+00
            alphaS1718    2.8274e-12 +/-  9.94e-01
               db_xsec    1.7895e-03 +/-  9.89e-01
               dy_xsec    2.6248e-02 +/-  8.36e-01
         emucostrw1b16   -4.5878e-02 +/-  6.87e-01
       emucostrw1b1718   -1.5663e-02 +/-  6.49e-01
         emucostrw2b16   -1.1312e-02 +/-  9.66e-01
       emucostrw2b1718   -2.6989e-03 +/-  9.76e-01
         emucostrw3b16   -8.1634e-03 +/-  9.85e-01
       emucostrw3b1718    1.1815e-02 +/-  9.85e-01
         emucostrw4b16   -9.3928e-03 +/-  9.89e-01
       emucostrw4b1718    1.6621e-02 +/-  9.89e-01
              gam_xsec    6.4866e-03 +/-  9.94e-01
                lumi16    1.2425e-02 +/-  9.26e-01
                lumi17   -2.6643e-02 +/-  8.37e-01
                lumi18    1.9278e-02 +/-  9.02e-01
                lumiBC   -1.4436e-03 +/-  9.93e-01
                lumiDB   -3.0919e-03 +/-  9.87e-01
                lumiGS    9.3473e-04 +/-  9.92e-01
                lumiLS   -1.4436e-03 +/-  9.93e-01
                lumiXY    1.8702e-02 +/-  8.99e-01
             muFakes16   -4.6842e-03 +/-  9.93e-01
             muFakes17   -2.5081e-04 +/-  9.56e-01
             muFakes18    1.4255e-02 +/-  9.91e-01
            muHLTBAR16    4.6175e-03 +/-  9.94e-01
            muHLTBAR17   -3.8071e-04 +/-  9.94e-01
            muHLTBAR18    6.0445e-03 +/-  9.93e-01
            muHLTEND16    3.2136e-02 +/-  9.85e-01
            muHLTEND17   -1.9005e-03 +/-  9.92e-01
            muHLTEND18   -1.9232e-03 +/-  9.92e-01
             muIDBAR16   -8.4088e-03 +/-  9.37e-01
             muIDBAR17   -1.7888e-03 +/-  9.35e-01
             muIDBAR18    9.5016e-03 +/-  9.83e-01
             muIDEND16    6.9996e-02 +/-  9.14e-01
             muIDEND17   -1.5547e-02 +/-  9.72e-01
             muIDEND18   -7.6180e-03 +/-  9.91e-01
               muIDSYS    4.6900e-02 +/-  9.05e-01
            muISOBAR16   -2.4232e-03 +/-  9.91e-01
            muISOBAR17   -7.1793e-04 +/-  9.93e-01
            muISOBAR18    4.4736e-03 +/-  9.93e-01
            muISOEND16    1.3341e-02 +/-  9.91e-01
            muISOEND17   -1.3695e-03 +/-  9.94e-01
            muISOEND18   -4.6888e-03 +/-  9.94e-01
              muISOSYS    7.2843e-03 +/-  9.90e-01
              muPref16   -7.0739e-03 +/-  9.92e-01
            muPref1718    1.3484e-03 +/-  9.94e-01
                muRC16   -1.1704e-02 +/-  7.41e-01
                muRC17    1.5026e-02 +/-  8.53e-01
                muRC18    6.8065e-02 +/-  8.81e-01
