
Attaching file multidimfit.root as _file0...
(TFile *) 0x2bd9260

  RooFitResult: minimized FCN value: -0.411068, estimated distance to minimum: 4.17869e-09
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    4.1202e-02 +/-  4.26e-02
                    A4    1.6168e+00 +/-  7.44e-02
      prop_binY16_bin0    2.5562e-01 +/-  8.97e-01
      prop_binY16_bin1    8.8541e-02 +/-  9.23e-01
     prop_binY16_bin10    4.8049e-02 +/-  9.30e-01
     prop_binY16_bin11   -3.2381e-02 +/-  9.37e-01
     prop_binY16_bin12    3.4929e-02 +/-  9.42e-01
     prop_binY16_bin13    6.6110e-02 +/-  9.32e-01
     prop_binY16_bin14   -1.2144e-01 +/-  9.03e-01
     prop_binY16_bin15   -6.8918e-02 +/-  9.19e-01
     prop_binY16_bin16   -1.5616e-01 +/-  9.46e-01
     prop_binY16_bin17    1.7275e-01 +/-  9.51e-01
     prop_binY16_bin18    5.1533e-02 +/-  9.53e-01
     prop_binY16_bin19    1.1910e-01 +/-  9.45e-01
      prop_binY16_bin2    9.0434e-02 +/-  9.29e-01
     prop_binY16_bin20    1.0454e-01 +/-  9.26e-01
     prop_binY16_bin21    8.0658e-03 +/-  9.60e-01
     prop_binY16_bin22    3.2114e-02 +/-  9.71e-01
     prop_binY16_bin23    1.7869e-02 +/-  9.76e-01
     prop_binY16_bin24   -2.3563e-02 +/-  9.79e-01
     prop_binY16_bin25   -2.1478e-02 +/-  9.77e-01
     prop_binY16_bin26    2.3252e-02 +/-  9.58e-01
     prop_binY16_bin27   -4.7056e-02 +/-  9.36e-01
     prop_binY16_bin28   -1.9298e-02 +/-  9.49e-01
     prop_binY16_bin29   -2.2468e-03 +/-  9.79e-01
      prop_binY16_bin3   -1.0776e-01 +/-  9.38e-01
     prop_binY16_bin30    4.1891e-02 +/-  9.81e-01
     prop_binY16_bin31   -4.8610e-02 +/-  9.77e-01
     prop_binY16_bin32    3.9568e-03 +/-  9.78e-01
     prop_binY16_bin33    4.3669e-02 +/-  9.69e-01
     prop_binY16_bin34   -7.2304e-02 +/-  9.33e-01
     prop_binY16_bin35   -6.8031e-02 +/-  9.66e-01
     prop_binY16_bin36   -3.2827e-03 +/-  9.81e-01
     prop_binY16_bin37   -2.5912e-03 +/-  9.84e-01
     prop_binY16_bin38    4.2001e-02 +/-  9.81e-01
     prop_binY16_bin39    6.0780e-02 +/-  9.74e-01
      prop_binY16_bin4    9.2734e-02 +/-  9.40e-01
     prop_binY16_bin40    1.5439e-01 +/-  9.48e-01
     prop_binY16_bin41   -6.5102e-03 +/-  9.80e-01
     prop_binY16_bin42    8.4680e-03 +/-  9.88e-01
     prop_binY16_bin43   -5.3545e-04 +/-  9.88e-01
     prop_binY16_bin44    1.1298e-02 +/-  9.90e-01
     prop_binY16_bin45    3.5542e-03 +/-  9.89e-01
     prop_binY16_bin46    1.6214e-02 +/-  9.89e-01
     prop_binY16_bin47   -8.3711e-02 +/-  9.68e-01
     prop_binY16_bin48    1.6800e-02 +/-  9.70e-01
     prop_binY16_bin49    7.1176e-03 +/-  9.87e-01
      prop_binY16_bin5   -6.7846e-02 +/-  9.36e-01
     prop_binY16_bin50   -6.2143e-03 +/-  9.90e-01
     prop_binY16_bin51    3.6275e-02 +/-  9.31e-01
     prop_binY16_bin52    1.0592e-02 +/-  9.72e-01
     prop_binY16_bin53    2.0752e-02 +/-  9.62e-01
     prop_binY16_bin54   -1.0004e-01 +/-  9.71e-01
     prop_binY16_bin55   -3.9916e-03 +/-  9.84e-01
     prop_binY16_bin56    7.4213e-03 +/-  9.89e-01
     prop_binY16_bin57    1.3585e-03 +/-  9.90e-01
     prop_binY16_bin58    1.0764e-02 +/-  9.89e-01
     prop_binY16_bin59    8.6321e-02 +/-  9.66e-01
      prop_binY16_bin6   -7.7005e-02 +/-  9.34e-01
      prop_binY16_bin7   -2.5967e-01 +/-  9.17e-01
      prop_binY16_bin8   -1.1327e-01 +/-  9.06e-01
      prop_binY16_bin9   -2.2516e-02 +/-  9.24e-01
      prop_binY17_bin0   -1.6431e-02 +/-  8.82e-01
      prop_binY17_bin1    2.7618e-02 +/-  9.51e-01
     prop_binY17_bin10    4.0854e-02 +/-  9.61e-01
     prop_binY17_bin11   -8.2811e-03 +/-  9.67e-01
     prop_binY17_bin12   -2.6525e-02 +/-  9.67e-01
     prop_binY17_bin13   -7.3717e-02 +/-  9.34e-01
     prop_binY17_bin14    2.2402e-02 +/-  9.30e-01
     prop_binY17_bin15   -3.9163e-03 +/-  9.49e-01
     prop_binY17_bin16   -2.9790e-02 +/-  9.64e-01
     prop_binY17_bin17    3.2195e-02 +/-  9.70e-01
     prop_binY17_bin18    2.3452e-03 +/-  9.71e-01
     prop_binY17_bin19   -3.5675e-02 +/-  9.64e-01
      prop_binY17_bin2    7.3572e-02 +/-  9.58e-01
     prop_binY17_bin20    6.1485e-03 +/-  9.43e-01
     prop_binY17_bin21    2.3946e-02 +/-  9.76e-01
     prop_binY17_bin22   -8.8566e-03 +/-  9.80e-01
     prop_binY17_bin23   -3.0404e-03 +/-  9.84e-01
     prop_binY17_bin24   -1.8652e-02 +/-  9.85e-01
     prop_binY17_bin25   -6.5025e-03 +/-  9.84e-01
     prop_binY17_bin26   -1.9916e-02 +/-  9.80e-01
     prop_binY17_bin27    8.2333e-03 +/-  9.52e-01
     prop_binY17_bin28   -2.7156e-02 +/-  9.50e-01
     prop_binY17_bin29    4.2348e-03 +/-  9.82e-01
      prop_binY17_bin3    2.8957e-02 +/-  9.65e-01
     prop_binY17_bin30   -2.3651e-02 +/-  9.85e-01
     prop_binY17_bin31    5.1989e-03 +/-  9.89e-01
     prop_binY17_bin32   -1.2422e-02 +/-  9.86e-01
     prop_binY17_bin33    1.6591e-02 +/-  9.65e-01
     prop_binY17_bin34    1.1038e-01 +/-  9.65e-01
     prop_binY17_bin35   -4.8604e-02 +/-  9.78e-01
     prop_binY17_bin36   -2.0006e-02 +/-  9.87e-01
     prop_binY17_bin37    1.0398e-03 +/-  9.89e-01
     prop_binY17_bin38    1.1519e-02 +/-  9.87e-01
     prop_binY17_bin39   -5.3817e-02 +/-  9.81e-01
      prop_binY17_bin4   -1.0067e-02 +/-  9.67e-01
     prop_binY17_bin40    1.3343e-02 +/-  9.60e-01
     prop_binY17_bin41   -5.9053e-03 +/-  9.86e-01
     prop_binY17_bin42    4.8477e-04 +/-  9.91e-01
     prop_binY17_bin43   -2.1280e-03 +/-  9.92e-01
     prop_binY17_bin44   -3.0027e-03 +/-  9.92e-01
     prop_binY17_bin45   -5.8338e-03 +/-  9.92e-01
     prop_binY17_bin46    5.1147e-04 +/-  9.88e-01
     prop_binY17_bin47   -1.0190e-02 +/-  9.66e-01
     prop_binY17_bin48   -2.0117e-02 +/-  9.82e-01
     prop_binY17_bin49   -6.9209e-03 +/-  9.90e-01
      prop_binY17_bin5   -6.0333e-02 +/-  9.64e-01
     prop_binY17_bin50   -2.3285e-03 +/-  9.92e-01
     prop_binY17_bin51   -9.7172e-04 +/-  9.92e-01
     prop_binY17_bin52    1.8586e-03 +/-  9.92e-01
     prop_binY17_bin53    9.6997e-03 +/-  9.85e-01
     prop_binY17_bin54   -3.3368e-02 +/-  9.83e-01
     prop_binY17_bin55   -1.7016e-02 +/-  9.90e-01
     prop_binY17_bin56    5.7180e-03 +/-  9.91e-01
     prop_binY17_bin57   -8.1220e-03 +/-  9.91e-01
     prop_binY17_bin58    7.5405e-03 +/-  9.89e-01
     prop_binY17_bin59    9.7347e-03 +/-  9.90e-01
      prop_binY17_bin6   -3.7122e-02 +/-  9.59e-01
      prop_binY17_bin7   -2.4553e-02 +/-  8.97e-01
      prop_binY17_bin8    6.4935e-02 +/-  8.96e-01
      prop_binY17_bin9    6.3041e-02 +/-  9.52e-01
      prop_binY18_bin0    1.1613e-01 +/-  9.25e-01
      prop_binY18_bin1    7.9000e-03 +/-  9.51e-01
     prop_binY18_bin10   -4.3608e-02 +/-  9.60e-01
     prop_binY18_bin11    5.8015e-02 +/-  9.63e-01
     prop_binY18_bin12    5.4531e-03 +/-  9.63e-01
     prop_binY18_bin13    1.6436e-02 +/-  9.57e-01
     prop_binY18_bin14    7.3294e-02 +/-  9.29e-01
     prop_binY18_bin15    3.3427e-02 +/-  9.38e-01
     prop_binY18_bin16    1.3954e-02 +/-  9.56e-01
     prop_binY18_bin17   -1.9911e-02 +/-  9.65e-01
     prop_binY18_bin18   -1.7679e-02 +/-  9.67e-01
     prop_binY18_bin19   -5.0915e-02 +/-  9.66e-01
      prop_binY18_bin2    6.7817e-02 +/-  9.47e-01
     prop_binY18_bin20    9.1628e-02 +/-  9.65e-01
     prop_binY18_bin21    1.4258e-02 +/-  9.79e-01
     prop_binY18_bin22    7.0155e-03 +/-  9.81e-01
     prop_binY18_bin23    1.7346e-03 +/-  9.85e-01
     prop_binY18_bin24   -1.6661e-03 +/-  9.86e-01
     prop_binY18_bin25   -2.3865e-03 +/-  9.85e-01
     prop_binY18_bin26   -8.5267e-03 +/-  9.82e-01
     prop_binY18_bin27   -6.9988e-02 +/-  9.71e-01
     prop_binY18_bin28    1.3568e-02 +/-  9.70e-01
     prop_binY18_bin29    1.4975e-02 +/-  9.81e-01
      prop_binY18_bin3   -1.5844e-02 +/-  9.60e-01
     prop_binY18_bin30    6.8529e-03 +/-  9.86e-01
     prop_binY18_bin31   -9.4985e-03 +/-  9.87e-01
     prop_binY18_bin32   -8.8815e-03 +/-  9.87e-01
     prop_binY18_bin33   -4.5440e-03 +/-  9.81e-01
