
Attaching file multidimfit.mumu_u_-1.root as _file0...
(TFile *) 0x37d2150

  RooFitResult: minimized FCN value: -4.29344e-06, estimated distance to minimum: 2.54907e-06
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    2.0242e-02 +/-  5.55e-02
                    A4    1.5900e+00 +/-  6.74e-02
                 FAC16   -5.5212e-01 +/-  9.48e-01
               FAC1718    3.2042e-01 +/-  1.10e+00
        MCStatBin10y16    4.4247e-01 +/-  9.55e-01
        MCStatBin10y17   -1.5209e-01 +/-  9.73e-01
        MCStatBin10y18   -2.8468e-01 +/-  9.64e-01
        MCStatBin11y16   -1.1785e-02 +/-  9.62e-01
        MCStatBin11y17   -3.3750e-01 +/-  9.78e-01
        MCStatBin11y18    4.3892e-02 +/-  9.68e-01
        MCStatBin15y16    6.5313e-02 +/-  9.57e-01
        MCStatBin15y17   -1.6590e-01 +/-  9.71e-01
        MCStatBin15y18   -2.0158e-01 +/-  9.61e-01
        MCStatBin16y16   -7.1335e-01 +/-  9.57e-01
        MCStatBin16y17    4.2783e-01 +/-  9.66e-01
        MCStatBin16y18   -7.9176e-02 +/-  9.59e-01
        MCStatBin17y16    3.4708e-01 +/-  9.60e-01
        MCStatBin17y17    2.7590e-01 +/-  9.74e-01
        MCStatBin17y18    4.0392e-01 +/-  9.66e-01
         MCStatBin1y16    3.2361e-01 +/-  9.89e-01
         MCStatBin1y17    1.2194e-01 +/-  9.90e-01
         MCStatBin1y18    1.2941e-01 +/-  9.87e-01
        MCStatBin21y16   -4.1481e-02 +/-  9.96e-01
        MCStatBin21y17   -4.8161e-02 +/-  9.97e-01
        MCStatBin21y18    9.5095e-03 +/-  9.95e-01
        MCStatBin22y16   -1.2600e-01 +/-  9.92e-01
        MCStatBin22y17    2.7256e-02 +/-  9.95e-01
        MCStatBin22y18   -1.3866e-01 +/-  9.94e-01
        MCStatBin23y16    2.5357e-02 +/-  9.90e-01
        MCStatBin23y17    2.4768e-02 +/-  9.95e-01
        MCStatBin23y18    1.7857e-01 +/-  9.92e-01
        MCStatBin24y16    2.6697e-01 +/-  9.88e-01
        MCStatBin24y17    1.3348e-01 +/-  9.94e-01
        MCStatBin24y18   -1.0869e-01 +/-  9.94e-01
        MCStatBin29y16    1.6844e-01 +/-  9.89e-01
        MCStatBin29y17    6.7242e-02 +/-  9.95e-01
        MCStatBin29y18    1.7562e-01 +/-  9.91e-01
         MCStatBin2y16    2.4765e-01 +/-  9.65e-01
