
Attaching file multidimfit.mumu_u_vec_-1.root as _file0...
(TFile *) 0xecf2d0

  RooFitResult: minimized FCN value: -2.00524e-07, estimated distance to minimum: 2.8786e-07
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    4.6338e-03 +/-  5.59e-02
                    A4    1.6174e+00 +/-  6.83e-02
                 FAC16   -4.0554e-01 +/-  9.85e-01
               FAC1718    6.1346e-01 +/-  9.67e-01
        MCStatBin10y16    4.0047e-01 +/-  9.55e-01
        MCStatBin10y17   -1.7648e-01 +/-  9.73e-01
        MCStatBin10y18   -3.2149e-01 +/-  9.66e-01
        MCStatBin11y16   -6.8071e-02 +/-  9.63e-01
        MCStatBin11y17   -3.5929e-01 +/-  9.79e-01
        MCStatBin11y18    1.4469e-02 +/-  9.84e-01
        MCStatBin15y16    4.4208e-02 +/-  9.55e-01
        MCStatBin15y17   -1.9731e-01 +/-  9.71e-01
        MCStatBin15y18   -2.5852e-01 +/-  9.61e-01
        MCStatBin16y16   -7.6776e-01 +/-  9.56e-01
        MCStatBin16y17    4.0565e-01 +/-  9.66e-01
        MCStatBin16y18   -9.8809e-02 +/-  9.60e-01
        MCStatBin17y16    3.2559e-01 +/-  9.60e-01
        MCStatBin17y17    2.5509e-01 +/-  9.75e-01
        MCStatBin17y18    3.8286e-01 +/-  9.67e-01
         MCStatBin1y16    3.3835e-01 +/-  9.88e-01
         MCStatBin1y17    1.1365e-01 +/-  9.91e-01
         MCStatBin1y18    1.2476e-01 +/-  9.88e-01
        MCStatBin21y16   -3.6859e-02 +/-  9.96e-01
        MCStatBin21y17   -4.4400e-02 +/-  9.98e-01
        MCStatBin21y18    9.3652e-03 +/-  1.02e+00
        MCStatBin22y16   -1.3049e-01 +/-  9.86e-01
        MCStatBin22y17    1.9922e-02 +/-  9.95e-01
        MCStatBin22y18   -1.4396e-01 +/-  1.01e+00
        MCStatBin23y16    1.4095e-02 +/-  9.90e-01
        MCStatBin23y17    2.0069e-02 +/-  9.96e-01
        MCStatBin23y18    1.7655e-01 +/-  9.93e-01
        MCStatBin24y16    2.5940e-01 +/-  9.89e-01
        MCStatBin24y17    1.2738e-01 +/-  9.95e-01
        MCStatBin24y18   -1.0622e-01 +/-  9.95e-01
        MCStatBin29y16    1.6344e-01 +/-  9.89e-01
        MCStatBin29y17    6.4960e-02 +/-  9.96e-01
        MCStatBin29y18    1.7480e-01 +/-  1.00e+00
         MCStatBin2y16    2.0240e-01 +/-  9.65e-01
         MCStatBin2y17    5.0387e-01 +/-  9.77e-01
