
Attaching file multidimfit.mumu_u_vec_-1.root as _file0...
(TFile *) 0x286ed70

  RooFitResult: minimized FCN value: -2.059e-05, estimated distance to minimum: 1.27023e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0    1.3488e-02 +/-  5.34e-02
                    A4    1.6349e+00 +/-  6.35e-02
                 FAC16   -3.7789e-01 +/-  9.99e-01
               FAC1718    6.2194e-01 +/-  9.60e-01
        MCStatBin10y16    4.0331e-01 +/-  9.56e-01
        MCStatBin10y17   -1.7848e-01 +/-  9.73e-01
        MCStatBin10y18   -3.2885e-01 +/-  9.64e-01
        MCStatBin11y16   -6.6777e-02 +/-  9.63e-01
        MCStatBin11y17   -3.6123e-01 +/-  9.79e-01
        MCStatBin11y18   -1.1217e-03 +/-  9.68e-01
        MCStatBin15y16    5.0110e-02 +/-  9.55e-01
        MCStatBin15y17   -1.8410e-01 +/-  9.70e-01
        MCStatBin15y18   -2.4325e-01 +/-  9.59e-01
        MCStatBin16y16   -7.6096e-01 +/-  9.56e-01
        MCStatBin16y17    4.0684e-01 +/-  9.66e-01
        MCStatBin16y18   -9.6060e-02 +/-  9.57e-01
        MCStatBin17y16    3.2523e-01 +/-  9.60e-01
        MCStatBin17y17    2.5054e-01 +/-  9.74e-01
        MCStatBin17y18    3.7168e-01 +/-  9.65e-01
         MCStatBin1y16    3.1733e-01 +/-  9.89e-01
         MCStatBin1y17    1.0764e-01 +/-  9.91e-01
         MCStatBin1y18    1.1263e-01 +/-  9.86e-01
        MCStatBin21y16   -3.5840e-02 +/-  9.96e-01
        MCStatBin21y17   -4.0597e-02 +/-  9.98e-01
        MCStatBin21y18    1.1156e-02 +/-  9.95e-01
        MCStatBin22y16   -1.1886e-01 +/-  9.92e-01
        MCStatBin22y17    2.6318e-02 +/-  9.95e-01
        MCStatBin22y18   -1.3458e-01 +/-  9.93e-01
        MCStatBin23y16    2.2271e-02 +/-  9.90e-01
        MCStatBin23y17    2.6300e-02 +/-  9.95e-01
        MCStatBin23y18    1.8146e-01 +/-  9.91e-01
        MCStatBin24y16    2.6417e-01 +/-  9.89e-01
        MCStatBin24y17    1.3159e-01 +/-  9.95e-01
        MCStatBin24y18   -1.0180e-01 +/-  9.93e-01
        MCStatBin29y16    1.7194e-01 +/-  9.89e-01
        MCStatBin29y17    7.4962e-02 +/-  9.95e-01
        MCStatBin29y18    1.8592e-01 +/-  9.91e-01
         MCStatBin2y16    2.0623e-01 +/-  9.66e-01
         MCStatBin2y17    4.9648e-01 +/-  9.77e-01
         MCStatBin2y18    1.2821e-01 +/-  9.68e-01
        MCStatBin30y16   -2.1878e-01 +/-  9.91e-01
        MCStatBin30y17   -1.6103e-02 +/-  9.95e-01
        MCStatBin30y18    1.6556e-01 +/-  9.90e-01
        MCStatBin31y16    9.4279e-02 +/-  9.89e-01
        MCStatBin31y17   -8.0819e-02 +/-  9.96e-01
        MCStatBin31y18   -8.8773e-02 +/-  9.93e-01
        MCStatBin35y16    3.0633e-03 +/-  9.84e-01
