
Attaching file multidimfit.mumu_d_2016.root as _file0...
(TFile *) 0x4011730

  RooFitResult: minimized FCN value: -3.12591e-08, estimated distance to minimum: 2.93681e-08
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0   -1.0928e-01 +/-  1.01e-01
                    A4    1.5160e+00 +/-  1.33e-01
                 FAC16   -3.4161e-01 +/-  1.06e+00
        MCStatBin10y16    4.5735e-01 +/-  9.56e-01
        MCStatBin11y16    2.9087e-02 +/-  9.65e-01
        MCStatBin15y16   -8.5135e-03 +/-  9.59e-01
        MCStatBin16y16   -6.6751e-01 +/-  9.59e-01
        MCStatBin17y16    5.1963e-01 +/-  9.69e-01
         MCStatBin1y16    3.8170e-01 +/-  9.87e-01
        MCStatBin21y16   -5.6612e-02 +/-  9.94e-01
        MCStatBin22y16   -1.5793e-01 +/-  9.92e-01
        MCStatBin23y16    1.5132e-02 +/-  9.90e-01
        MCStatBin24y16    2.8039e-01 +/-  9.89e-01
        MCStatBin29y16    1.2245e-01 +/-  9.89e-01
         MCStatBin2y16    2.1618e-01 +/-  9.65e-01
        MCStatBin30y16   -2.2630e-01 +/-  9.91e-01
        MCStatBin31y16    1.0570e-01 +/-  9.89e-01
        MCStatBin35y16   -6.4597e-02 +/-  9.85e-01
        MCStatBin36y16    9.2787e-02 +/-  9.84e-01
        MCStatBin37y16   -1.2054e-01 +/-  9.90e-01
         MCStatBin3y16   -6.9455e-02 +/-  9.66e-01
        MCStatBin41y16   -1.4394e-02 +/-  9.96e-01
        MCStatBin42y16   -1.4121e-01 +/-  9.96e-01
        MCStatBin43y16    1.1471e-02 +/-  9.95e-01
        MCStatBin44y16   -8.1461e-02 +/-  9.97e-01
        MCStatBin49y16    4.9104e-02 +/-  9.93e-01
         MCStatBin4y16   -1.7477e-01 +/-  9.70e-01
        MCStatBin50y16   -1.9903e-02 +/-  9.94e-01
        MCStatBin51y16   -1.3323e-01 +/-  9.98e-01
        MCStatBin55y16   -7.6174e-03 +/-  9.93e-01
        MCStatBin56y16   -1.5669e-01 +/-  9.96e-01
        MCStatBin57y16    2.3501e-02 +/-  9.96e-01
         MCStatBin9y16   -1.2463e-01 +/-  9.71e-01
                    Pu   -5.1609e-01 +/-  9.98e-01
               REFAC16   -4.9050e-01 +/-  8.26e-01
              RENORM16   -5.7244e-02 +/-  1.08e+00
              alphaS16   -3.3309e-02 +/-  1.02e+00
               db_xsec    4.8003e-02 +/-  1.00e+00
               dy_xsec    1.9423e-02 +/-  9.45e-01
         emucostrw1b16    1.5190e+00 +/-  7.58e-01
         emucostrw2b16    1.1361e-03 +/-  9.75e-01
         emucostrw3b16   -6.1152e-02 +/-  9.89e-01
         emucostrw4b16    5.0516e-03 +/-  9.95e-01
              gam_xsec    3.2227e-02 +/-  1.00e+00
                lumi16    3.1114e-01 +/-  9.43e-01
                lumiDB    5.7073e-02 +/-  9.98e-01
                lumiGS    5.7073e-02 +/-  9.98e-01
                lumiXY    1.2810e-01 +/-  9.91e-01
             muFakes16    4.7869e-02 +/-  1.01e+00
            muHLTBAR16   -2.7798e-02 +/-  1.00e+00
            muHLTEND16   -7.7712e-02 +/-  9.61e-01
             muIDBAR16    1.3668e-01 +/-  9.53e-01
             muIDEND16    6.9863e-02 +/-  9.30e-01
               muIDSYS    6.9863e-02 +/-  9.30e-01
            muISOBAR16    3.0234e-02 +/-  9.97e-01
            muISOEND16    2.7412e-02 +/-  9.97e-01
              muISOSYS    2.7412e-02 +/-  9.97e-01
              muPref16   -4.1534e-02 +/-  9.98e-01
                muRC16   -2.7948e-01 +/-  6.47e-01
         mufakesrw1b16    5.2344e-02 +/-  9.81e-01
         mufakesrw2b16    1.3465e-04 +/-  1.00e+00
         mufakesrw3b16   -2.4836e-02 +/-  1.00e+00
         mufakesrw4b16   -4.9377e-13 +/-  1.00e+00
               nlo_sys    3.3003e-03 +/-  1.00e+00
                  pdf1    6.4854e-03 +/-  1.00e+00
                 pdf10   -5.5153e-03 +/-  1.00e+00
                 pdf11   -8.7060e-03 +/-  1.00e+00
                 pdf12   -1.8025e-02 +/-  9.95e-01
                 pdf13    2.7196e-02 +/-  9.96e-01
                 pdf14   -2.1810e-02 +/-  1.00e+00
                 pdf15   -2.1261e-02 +/-  9.86e-01
                 pdf16   -1.8351e-02 +/-  1.01e+00
                 pdf17   -9.3932e-03 +/-  1.00e+00
                 pdf18   -2.1404e-02 +/-  1.00e+00
                 pdf19   -3.6489e-02 +/-  9.93e-01
                  pdf2    1.1880e-02 +/-  1.00e+00
                 pdf20   -4.4067e-03 +/-  9.89e-01
                 pdf21    1.6711e-02 +/-  1.00e+00
                 pdf22    6.6183e-03 +/-  9.94e-01
