
Attaching file multidimfit.mumu_d_vec_2016.root as _file0...
(TFile *) 0x1b3de30

  RooFitResult: minimized FCN value: -8.69311e-08, estimated distance to minimum: 1.1507e-07
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0   -1.1567e-01 +/-  9.61e-02
                    A4    1.5291e+00 +/-  1.23e-01
                 FAC16    2.6165e-02 +/-  1.09e+00
        MCStatBin10y16    4.9030e-01 +/-  9.43e-01
        MCStatBin11y16   -2.0185e-02 +/-  9.54e-01
        MCStatBin15y16   -3.3654e-02 +/-  9.49e-01
        MCStatBin16y16   -7.5523e-01 +/-  9.50e-01
        MCStatBin17y16    5.6114e-01 +/-  9.60e-01
         MCStatBin1y16    4.2094e-01 +/-  9.82e-01
        MCStatBin21y16   -6.1536e-02 +/-  9.91e-01
        MCStatBin22y16   -1.8325e-01 +/-  9.81e-01
        MCStatBin23y16    4.1137e-02 +/-  9.83e-01
        MCStatBin24y16    3.8157e-01 +/-  9.83e-01
        MCStatBin29y16    1.7568e-01 +/-  9.83e-01
         MCStatBin2y16    2.2398e-01 +/-  9.53e-01
        MCStatBin30y16   -2.6537e-01 +/-  9.86e-01
        MCStatBin31y16    1.5664e-01 +/-  9.83e-01
        MCStatBin35y16   -7.8376e-02 +/-  9.79e-01
        MCStatBin36y16    9.8811e-02 +/-  9.79e-01
        MCStatBin37y16   -1.3349e-01 +/-  9.85e-01
         MCStatBin3y16   -8.3420e-02 +/-  9.54e-01
        MCStatBin41y16    1.5247e-02 +/-  9.87e-01
        MCStatBin42y16   -2.0701e-01 +/-  9.89e-01
        MCStatBin43y16    7.3175e-02 +/-  9.82e-01
        MCStatBin44y16   -8.9735e-02 +/-  9.89e-01
        MCStatBin49y16    9.7170e-02 +/-  9.85e-01
         MCStatBin4y16   -2.2838e-01 +/-  9.59e-01
        MCStatBin50y16   -2.3680e-03 +/-  9.85e-01
        MCStatBin51y16   -1.9401e-01 +/-  9.94e-01
        MCStatBin55y16   -7.0789e-03 +/-  9.88e-01
        MCStatBin56y16   -2.0339e-01 +/-  9.97e-01
        MCStatBin57y16    3.6458e-02 +/-  9.91e-01
         MCStatBin9y16   -1.6266e-01 +/-  9.61e-01
                    Pu   -5.2392e-01 +/-  9.94e-01
               REFAC16    1.4615e-01 +/-  9.27e-01
              RENORM16    1.1038e-01 +/-  8.44e-01
              alphaS16   -6.1795e-02 +/-  9.78e-01
               db_xsec    5.2548e-02 +/-  1.00e+00
               dy_xsec    1.5646e-01 +/-  9.35e-01
         emucostrw1b16    1.4821e+00 +/-  7.63e-01
         emucostrw2b16   -2.3820e-03 +/-  9.76e-01
         emucostrw3b16   -6.4201e-02 +/-  9.89e-01
         emucostrw4b16   -7.8469e-03 +/-  9.95e-01
              gam_xsec    4.2243e-02 +/-  1.00e+00
                lumi16    4.3216e-01 +/-  9.40e-01
                lumiDB    7.9284e-02 +/-  9.98e-01
                lumiGS    7.9284e-02 +/-  9.98e-01
                lumiXY    1.7794e-01 +/-  9.90e-01
             muFakes16    4.7179e-02 +/-  1.01e+00
            muHLTBAR16   -1.0609e-02 +/-  9.97e-01
            muHLTEND16   -7.4092e-02 +/-  9.61e-01
             muIDBAR16    2.6241e-01 +/-  9.53e-01
             muIDEND16    7.7966e-02 +/-  9.31e-01
               muIDSYS    7.7966e-02 +/-  9.31e-01
            muISOBAR16    6.1716e-02 +/-  9.97e-01
            muISOEND16    3.0075e-02 +/-  9.96e-01
              muISOSYS    3.0075e-02 +/-  9.96e-01
              muPref16   -5.8966e-02 +/-  9.98e-01
                muRC16   -2.5562e-01 +/-  6.68e-01
         mufakesrw1b16    5.1091e-02 +/-  9.81e-01
         mufakesrw2b16    2.2513e-04 +/-  1.00e+00
         mufakesrw3b16   -2.3447e-02 +/-  1.00e+00
         mufakesrw4b16    1.2386e-12 +/-  1.00e+00
               nlo_sys    2.1441e-01 +/-  1.00e+00
                  pdf1    1.0585e-02 +/-  1.00e+00
                 pdf10   -1.0743e-02 +/-  1.00e+00
                 pdf11    8.4500e-03 +/-  1.00e+00
                 pdf12   -1.1724e-02 +/-  9.98e-01
                 pdf13    3.1628e-02 +/-  9.98e-01
                 pdf14   -2.4138e-02 +/-  9.98e-01
                 pdf15   -1.5561e-02 +/-  9.91e-01
                 pdf16   -1.1514e-02 +/-  1.00e+00
                 pdf17    2.1903e-03 +/-  1.00e+00
                 pdf18   -2.6647e-02 +/-  1.00e+00
                 pdf19   -9.4782e-03 +/-  9.95e-01
                  pdf2    7.2449e-03 +/-  9.98e-01
                 pdf20    1.1834e-02 +/-  9.91e-01
                 pdf21    1.1847e-02 +/-  1.00e+00
                 pdf22    7.9198e-03 +/-  9.97e-01
                 pdf23   -4.8465e-03 +/-  9.97e-01
                 pdf24   -1.0318e-02 +/-  9.97e-01
                 pdf25    2.0099e-02 +/-  1.00e+00
                 pdf26   -1.9709e-02 +/-  1.00e+00
                 pdf27   -8.0275e-03 +/-  9.98e-01
                 pdf28   -3.4082e-02 +/-  1.00e+00
                 pdf29    2.0786e-03 +/-  9.98e-01
                  pdf3    1.9292e-02 +/-  9.98e-01
                 pdf30    1.1418e-02 +/-  9.99e-01
                 pdf31    1.0722e-02 +/-  9.93e-01
                 pdf32    1.2712e-02 +/-  9.96e-01
                 pdf33   -3.1177e-02 +/-  9.95e-01
                 pdf34    1.1940e-03 +/-  1.00e+00
                 pdf35    2.0194e-02 +/-  9.99e-01
                 pdf36    2.0237e-02 +/-  1.00e+00
                 pdf37   -1.7867e-03 +/-  9.98e-01
                 pdf38    1.2653e-02 +/-  9.97e-01
                 pdf39    1.0268e-02 +/-  9.95e-01
                  pdf4    8.4642e-03 +/-  9.97e-01
                 pdf40    1.6936e-02 +/-  1.00e+00
                 pdf41    2.1303e-03 +/-  9.99e-01
                 pdf42   -3.2872e-03 +/-  9.94e-01
                 pdf43    9.7043e-03 +/-  9.93e-01
                 pdf44    1.9443e-02 +/-  9.98e-01
                 pdf45   -1.0224e-02 +/-  1.00e+00
                 pdf46   -5.8066e-03 +/-  9.98e-01
                 pdf47    4.1695e-02 +/-  9.99e-01
                 pdf48    1.9290e-02 +/-  9.98e-01
                 pdf49   -6.0017e-03 +/-  1.00e+00
                  pdf5    1.9608e-02 +/-  1.00e+00
                 pdf50    1.3779e-02 +/-  9.97e-01
                 pdf51   -3.5108e-02 +/-  9.97e-01
                 pdf52    4.3639e-02 +/-  9.98e-01
                 pdf53    4.3942e-03 +/-  9.95e-01
                 pdf54    6.6077e-03 +/-  1.00e+00
                 pdf55   -4.6071e-03 +/-  9.95e-01
                 pdf56    6.4314e-03 +/-  9.99e-01
                 pdf57    1.2817e-02 +/-  9.98e-01
                 pdf58    2.6142e-02 +/-  1.00e+00
                 pdf59    6.9833e-03 +/-  9.99e-01
                  pdf6   -1.4760e-03 +/-  9.99e-01
                 pdf60   -6.5611e-03 +/-  9.97e-01
                  pdf7   -5.6103e-03 +/-  9.98e-01
                  pdf8    1.8366e-02 +/-  9.99e-01
                  pdf9    1.4472e-02 +/-  1.00e+00
      prop_binY16_bin0    6.6536e-03 +/-  9.33e-01
      prop_binY16_bin1   -1.9377e-02 +/-  9.32e-01
     prop_binY16_bin10   -1.4421e-01 +/-  9.33e-01
     prop_binY16_bin11    1.0845e-01 +/-  9.34e-01
     prop_binY16_bin12    1.2626e-01 +/-  9.43e-01
     prop_binY16_bin13    1.3350e-01 +/-  9.40e-01
     prop_binY16_bin14   -1.8365e-02 +/-  9.30e-01
     prop_binY16_bin15   -8.6570e-01 +/-  9.35e-01
     prop_binY16_bin16    7.5716e-01 +/-  9.52e-01
     prop_binY16_bin17   -1.8419e-02 +/-  9.60e-01
     prop_binY16_bin18   -1.7718e-01 +/-  9.61e-01
     prop_binY16_bin19   -4.7690e-02 +/-  9.57e-01
      prop_binY16_bin2   -1.9865e-01 +/-  9.34e-01
     prop_binY16_bin20   -1.4299e-01 +/-  9.34e-01
     prop_binY16_bin21   -2.7651e-01 +/-  9.64e-01
     prop_binY16_bin22    1.4742e-01 +/-  9.68e-01
     prop_binY16_bin23    2.5934e-01 +/-  9.73e-01
     prop_binY16_bin24    3.8000e-01 +/-  9.73e-01
     prop_binY16_bin25   -7.6543e-02 +/-  9.78e-01
     prop_binY16_bin26   -1.0983e-01 +/-  9.59e-01
     prop_binY16_bin27   -7.3398e-02 +/-  9.38e-01
     prop_binY16_bin28    5.1438e-01 +/-  9.44e-01
     prop_binY16_bin29   -2.1344e-01 +/-  9.87e-01
      prop_binY16_bin3    1.5228e-01 +/-  9.35e-01
     prop_binY16_bin30    1.6482e-01 +/-  9.81e-01
     prop_binY16_bin31    4.9730e-02 +/-  9.75e-01
     prop_binY16_bin32   -1.5760e-01 +/-  9.82e-01
     prop_binY16_bin33   -1.4612e-01 +/-  9.74e-01
     prop_binY16_bin34   -1.8906e-01 +/-  9.44e-01
     prop_binY16_bin35    1.8105e-01 +/-  9.63e-01
     prop_binY16_bin36   -5.4338e-02 +/-  9.85e-01
     prop_binY16_bin37   -1.2084e-01 +/-  9.89e-01
     prop_binY16_bin38   -3.2331e-02 +/-  9.84e-01
     prop_binY16_bin39    3.3061e-02 +/-  9.78e-01
      prop_binY16_bin4   -5.0603e-01 +/-  9.48e-01
     prop_binY16_bin40    8.4260e-02 +/-  9.49e-01
     prop_binY16_bin41   -1.5478e-01 +/-  9.85e-01
     prop_binY16_bin42   -8.6183e-02 +/-  9.93e-01
     prop_binY16_bin43   -5.9223e-02 +/-  9.92e-01
     prop_binY16_bin44   -3.9445e-02 +/-  9.94e-01
     prop_binY16_bin45    1.6439e-01 +/-  9.89e-01
