
Attaching file multidimfit.mumu_u_2016.root as _file0...
(TFile *) 0x22fa340

  RooFitResult: minimized FCN value: -1.62133e-05, estimated distance to minimum: 2.92813e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0   -1.0937e-01 +/-  1.01e-01
                    A4    1.5081e+00 +/-  1.36e-01
                 FAC16   -3.3240e-01 +/-  1.06e+00
        MCStatBin10y16    4.5643e-01 +/-  9.55e-01
        MCStatBin11y16    2.6682e-02 +/-  9.64e-01
        MCStatBin15y16   -9.7566e-03 +/-  9.59e-01
        MCStatBin16y16   -6.7075e-01 +/-  9.59e-01
        MCStatBin17y16    5.2162e-01 +/-  9.69e-01
         MCStatBin1y16    3.8263e-01 +/-  9.88e-01
        MCStatBin21y16   -5.6836e-02 +/-  9.95e-01
        MCStatBin22y16   -1.5855e-01 +/-  9.92e-01
        MCStatBin23y16    1.4486e-02 +/-  9.90e-01
        MCStatBin24y16    2.8103e-01 +/-  9.89e-01
        MCStatBin29y16    1.2257e-01 +/-  9.89e-01
         MCStatBin2y16    2.1377e-01 +/-  9.65e-01
        MCStatBin30y16   -2.2724e-01 +/-  9.91e-01
        MCStatBin31y16    1.0581e-01 +/-  9.89e-01
        MCStatBin35y16   -6.3269e-02 +/-  9.85e-01
        MCStatBin36y16    9.4697e-02 +/-  9.84e-01
        MCStatBin37y16   -1.1926e-01 +/-  9.90e-01
         MCStatBin3y16   -7.0761e-02 +/-  9.65e-01
        MCStatBin41y16   -1.4421e-02 +/-  9.96e-01
        MCStatBin42y16   -1.4137e-01 +/-  9.96e-01
        MCStatBin43y16    1.1601e-02 +/-  9.95e-01
        MCStatBin44y16   -8.1602e-02 +/-  9.97e-01
        MCStatBin49y16    5.1487e-02 +/-  9.94e-01
         MCStatBin4y16   -1.7767e-01 +/-  9.69e-01
        MCStatBin50y16   -1.8406e-02 +/-  9.94e-01
        MCStatBin51y16   -1.3307e-01 +/-  9.98e-01
        MCStatBin55y16   -4.7459e-03 +/-  9.92e-01
        MCStatBin56y16   -1.5542e-01 +/-  9.96e-01
        MCStatBin57y16    2.4984e-02 +/-  9.95e-01
         MCStatBin9y16   -1.2624e-01 +/-  9.71e-01
                    Pu   -5.1094e-01 +/-  1.00e+00
               REFAC16   -4.8017e-01 +/-  8.26e-01
              RENORM16   -4.5853e-02 +/-  1.07e+00
              alphaS16   -3.3208e-02 +/-  1.02e+00
               db_xsec    4.7792e-02 +/-  1.00e+00
