
Attaching file multidimfit.mumu_u_vec_2016.root as _file0...
(TFile *) 0x3970fa0

  RooFitResult: minimized FCN value: -6.34502e-05, estimated distance to minimum: 1.48303e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                    A0   -1.0698e-01 +/-  9.38e-02
                    A4    1.5813e+00 +/-  1.21e-01
                 FAC16    2.7452e-01 +/-  1.02e+00
        MCStatBin10y16    3.8930e-01 +/-  9.56e-01
        MCStatBin11y16   -7.2520e-02 +/-  9.66e-01
        MCStatBin15y16   -2.7556e-02 +/-  9.57e-01
        MCStatBin16y16   -7.3130e-01 +/-  9.57e-01
        MCStatBin17y16    5.0394e-01 +/-  9.67e-01
         MCStatBin1y16    3.4423e-01 +/-  9.87e-01
        MCStatBin21y16   -4.6266e-02 +/-  9.96e-01
        MCStatBin22y16   -1.3124e-01 +/-  9.93e-01
        MCStatBin23y16    1.3721e-02 +/-  9.91e-01
        MCStatBin24y16    2.7742e-01 +/-  9.90e-01
        MCStatBin29y16    1.3128e-01 +/-  9.89e-01
         MCStatBin2y16    1.4364e-01 +/-  9.66e-01
        MCStatBin30y16   -2.1888e-01 +/-  9.91e-01
        MCStatBin31y16    1.1198e-01 +/-  9.90e-01
        MCStatBin35y16   -4.5089e-02 +/-  9.84e-01
        MCStatBin36y16    1.1709e-01 +/-  9.83e-01
        MCStatBin37y16   -8.0321e-02 +/-  9.90e-01
         MCStatBin3y16   -1.0636e-01 +/-  9.66e-01
        MCStatBin41y16    2.0661e-02 +/-  9.97e-01
        MCStatBin42y16   -7.0431e-02 +/-  9.97e-01
        MCStatBin43y16    5.7301e-02 +/-  9.96e-01
        MCStatBin44y16   -2.8686e-02 +/-  9.97e-01
        MCStatBin49y16    9.2633e-02 +/-  9.94e-01
         MCStatBin4y16   -2.6325e-01 +/-  9.71e-01
        MCStatBin50y16    2.3687e-02 +/-  9.94e-01
        MCStatBin51y16   -9.2841e-02 +/-  9.98e-01
        MCStatBin55y16    2.8166e-02 +/-  9.93e-01
        MCStatBin56y16   -1.2518e-01 +/-  9.96e-01
        MCStatBin57y16    7.7678e-02 +/-  9.96e-01
         MCStatBin9y16   -1.6667e-01 +/-  9.70e-01
                    Pu   -4.1703e-01 +/-  1.04e+00
               REFAC16    4.8764e-01 +/-  9.38e-01
              RENORM16    1.9175e-01 +/-  7.84e-01
              alphaS16   -6.5587e-02 +/-  9.49e-01
               db_xsec    6.0674e-02 +/-  1.00e+00
               dy_xsec    3.0900e-01 +/-  9.47e-01
         emucostrw1b16    1.4262e+00 +/-  7.64e-01
         emucostrw2b16   -1.8721e-02 +/-  9.77e-01
         emucostrw3b16   -8.6745e-02 +/-  9.90e-01
         emucostrw4b16   -3.7614e-02 +/-  9.96e-01
              gam_xsec    4.5032e-02 +/-  1.00e+00
                lumi16    4.8835e-01 +/-  9.42e-01
                lumiDB    8.9541e-02 +/-  9.99e-01
                lumiGS    8.9541e-02 +/-  9.99e-01
                lumiXY    2.0083e-01 +/-  9.91e-01
             muFakes16    4.9381e-02 +/-  1.01e+00
            muHLTBAR16    5.7601e-03 +/-  9.95e-01
            muHLTEND16   -2.2337e-02 +/-  9.55e-01
             muIDBAR16    2.4160e-01 +/-  9.52e-01
